Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Cortical white matter abnormalities seen on MRI	4/29	0.00024537661128648	0.60853399599047	4	0.137931034482759	RRM2B;CHMP2B;TMEM106B;TMEM165
Leukoaraiosis	4/37	0.000638190190049029	0.620731911387925	4	0.108108108108108	RRM2B;CHMP2B;TMEM106B;TMEM165
FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED	2/6	0.00166162330360499	0.620731911387925	2	0.333333333333333	CHMP2B;TMEM106B
Male Germ Cell Tumor	2/6	0.00166162330360499	0.620731911387925	2	0.333333333333333	FAS;DICER1
Benign neoplasm of prostate	2/6	0.00166162330360499	0.620731911387925	2	0.333333333333333	CKS2;FKBP5
Abnormality of the eyelashes	3/26	0.00261905586890583	0.620731911387925	3	0.115384615384615	PLK4;SMCHD1;FAS
Social disinhibition	3/29	0.00359513120421055	0.620731911387925	3	0.103448275862069	LRRK2;CHMP2B;TMEM106B
Grammar-specific speech disorder	2/9	0.00390431488588977	0.620731911387925	2	0.222222222222222	CHMP2B;TMEM106B
Spoken Word Recognition Deficit	2/9	0.00390431488588977	0.620731911387925	2	0.222222222222222	CHMP2B;TMEM106B
Hypergammaglobulinemia	3/30	0.00396339528224076	0.620731911387925	3	0.1	FAS;RNPC3;TNFSF13B
HIV Encephalopathy	3/31	0.00435379513834436	0.620731911387925	3	0.0967741935483871	XRCC5;TMED2;ADAM10
HIV encephalitis	3/32	0.00476670967341664	0.620731911387925	3	0.09375	XRCC5;TMED2;ADAM10
Temporal cortical atrophy	2/10	0.00484611401257664	0.620731911387925	2	0.2	CHMP2B;TMEM106B
Blunted affect	2/10	0.00484611401257664	0.620731911387925	2	0.2	CHMP2B;TMEM106B
EEG with continuous slow activity	2/10	0.00484611401257664	0.620731911387925	2	0.2	CHMP2B;TMEM106B
GRN-related frontotemporal dementia	4/66	0.00547353964666487	0.620731911387925	4	0.0606060606060606	LRRK2;CHMP2B;TMEM106B;FNDC3A
Hyperorality	2/11	0.00588146045252237	0.620731911387925	2	0.181818181818182	CHMP2B;TMEM106B
Alexia	2/11	0.00588146045252237	0.620731911387925	2	0.181818181818182	CHMP2B;TMEM106B
Difficulty making arithmetical calculations	2/11	0.00588146045252237	0.620731911387925	2	0.181818181818182	CHMP2B;TMEM106B
Primary Progressive Nonfluent Aphasia	2/11	0.00588146045252237	0.620731911387925	2	0.181818181818182	CHMP2B;TMEM106B
Seckel syndrome	3/36	0.00665040597318811	0.620731911387925	3	0.0833333333333333	PLK4;NIN;CD69
MYELODYSPLASTIC SYNDROME	15/683	0.00689637730177808	0.620731911387925	15	0.0219619326500732	NUP214;PLK4;CDKN1B;XRCC5;DICER1;SMAD5;RAP1B;PPP3CA;STAG2;RRM2B;PDIK1L;PGK1;FAS;CD69;TMED7
Frontotemporal cerebral atrophy	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	CHMP2B;TMEM106B
Restrictive behavior, interests, and activities	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	CHMP2B;TMEM106B
Abnormal brain FDG positron emission tomography	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	CHMP2B;TMEM106B
Influenza A	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	IVNS1ABP;PDIK1L
Lack of insight	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	CHMP2B;TMEM106B
Developmental arithmetic disorder	2/12	0.00700826351567012	0.620731911387925	2	0.166666666666667	CHMP2B;TMEM106B
Restrictive behavior	2/13	0.00822446617086264	0.637940679162452	2	0.153846153846154	CHMP2B;TMEM106B
Inappropriate behavior	2/13	0.00822446617086264	0.637940679162452	2	0.153846153846154	CHMP2B;TMEM106B
Compulsive hoarding	2/13	0.00822446617086264	0.637940679162452	2	0.153846153846154	CHMP2B;TMEM106B
Semantic Dementia	2/14	0.00952804457493119	0.637940679162452	2	0.142857142857143	CHMP2B;TMEM106B
Uranostaphyloschisis	8/274	0.00954155408007406	0.637940679162452	8	0.0291970802919708	RAP1B;SMCHD1;CDKN1B;USP9X;TGFA;ZSWIM6;NBN;PDS5B
Choanal Atresia	3/42	0.0102038877741351	0.637940679162452	3	0.0714285714285714	SMCHD1;USP9X;NBN
Hepatitis C	16/783	0.0102845673881915	0.637940679162452	16	0.0204342273307791	IVNS1ABP;PRKAA1;CDKN1B;GOLM1;TGFA;AZIN1;TNFSF13B;CLIP1;COP1;XRN1;PDIK1L;RAB18;FAS;CD69;XPR1;FKBP5
Hyperplasia of nose	3/43	0.0108841081810345	0.637940679162452	3	0.0697674418604651	NIN;USP9X;NBN
Hypertrophy of nose	3/43	0.0108841081810345	0.637940679162452	3	0.0697674418604651	NIN;USP9X;NBN
Large nose	3/43	0.0108841081810345	0.637940679162452	3	0.0697674418604651	NIN;USP9X;NBN
Erythrophagocytosis	2/15	0.0109170075997138	0.637940679162452	2	0.133333333333333	CHMP2B;SLC40A1
Helicobacter Infections	2/15	0.0109170075997138	0.637940679162452	2	0.133333333333333	PRKAA1;CDKN1B
Perseveration	2/15	0.0109170075997138	0.637940679162452	2	0.133333333333333	CHMP2B;TMEM106B
Progesterone Resistance	2/15	0.0109170075997138	0.637940679162452	2	0.133333333333333	CDKN1B;FKBP5
Leukemogenesis	15/730	0.0122062975013344	0.637940679162452	15	0.0205479452054795	NUP214;PRKAA1;CDKN1B;MAP3K1;CBFB;FBXO11;SMAD5;RAP1B;SMCHD1;COP1;HHEX;ABI1;FAS;CD69;TMED7
