Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
regulation of B cell receptor signaling pathway (GO:0050855)	4/23	9.61989814404869e-05	0.11264900726681	4	0.173913043478261	ELF1;ELF2;CBFB;SLC39A10
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	3/13	0.000319174518721365	0.186876680711359	3	0.230769230769231	ELF1;ELF2;CBFB
protein-containing complex assembly (GO:0065003)	10/267	0.000629296145675918	0.2456352621955	10	0.0374531835205993	TLE4;TRAPPC6B;CAPZA1;LRRK2;TGFA;TMED2;FAS;ADAM10;SEC24D;SKAP2
regulation of retrograde transport, endosome to Golgi (GO:1905279)	2/6	0.00166162330360499	0.405342822051946	2	0.333333333333333	LRRK2;ARFIP1
endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)	2/7	0.00230989251851847	0.405342822051946	2	0.285714285714286	CHMP2B;LYST
cellular protein modification process (GO:0006464)	21/1025	0.00336073443610302	0.405342822051946	21	0.0204878048780488	PLK4;PRKAA1;MAP3K1;GOLM1;LRRK2;ADAM10;PTPN12;FBXO11;MTMR6;PPP1CB;PPP3CA;COP1;SERP1;BTBD1;PIGK;UBA3;FBXL3;FEM1C;FBXL5;COPS8;PIGH
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	7/185	0.00384384507987063	0.405342822051946	7	0.0378378378378378	TRAPPC6B;CAPZA1;TGFA;TMED2;TMED7;VAMP4;SEC24D
post-translational protein modification (GO:0043687)	10/345	0.00415025578637772	0.405342822051946	10	0.0289855072463768	COP1;BTBD1;GOLM1;UBA3;ADAM10;FBXL3;FEM1C;FBXL5;COPS8;FBXO11
COPII vesicle coating (GO:0048208)	4/63	0.00463741072210015	0.405342822051946	4	0.0634920634920635	TRAPPC6B;TMED2;TGFA;SEC24D
vesicle coating (GO:0006901)	4/63	0.00463741072210015	0.405342822051946	4	0.0634920634920635	TRAPPC6B;TMED2;TGFA;SEC24D
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	4/63	0.00463741072210015	0.405342822051946	4	0.0634920634920635	TRAPPC6B;TMED2;TGFA;SEC24D
Rap protein signal transduction (GO:0032486)	2/10	0.00484611401257664	0.405342822051946	2	0.2	RAP1B;RAP2C
regulation of peptidyl-lysine acetylation (GO:2000756)	2/10	0.00484611401257664	0.405342822051946	2	0.2	PRKAA1;DIP2B
production of siRNA involved in RNA interference (GO:0030422)	2/10	0.00484611401257664	0.405342822051946	2	0.2	TSNAX;DICER1
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	2/11	0.00588146045252237	0.45094651396529	2	0.181818181818182	RNF13;FAS
COPII-coated vesicle budding (GO:0090114)	4/70	0.00673716601839706	0.45094651396529	4	0.0571428571428571	TRAPPC6B;TMED2;TGFA;SEC24D
lysosome organization (GO:0007040)	3/38	0.00773577511827312	0.45094651396529	3	0.0789473684210526	LRRK2;TMEM106B;TMEM165
regulation of lysosomal lumen pH (GO:0035751)	2/13	0.00822446617086264	0.45094651396529	2	0.153846153846154	LRRK2;TMEM165
positive regulation of protein acetylation (GO:1901985)	2/13	0.00822446617086264	0.45094651396529	2	0.153846153846154	PRKAA1;DIP2B
protein modification by small protein conjugation or removal (GO:0070647)	2/14	0.00952804457493119	0.45094651396529	2	0.142857142857143	UBA6;UBA3
microvillus organization (GO:0032528)	2/14	0.00952804457493119	0.45094651396529	2	0.142857142857143	RAP1B;RAP2C
protein modification process (GO:0036211)	4/78	0.00981255347394027	0.45094651396529	4	0.0512820512820513	SERP1;UBA3;FBXO11;PIGH
glucan catabolic process (GO:0009251)	2/15	0.0109170075997138	0.45094651396529	2	0.133333333333333	AGL;PGM2
glycogen catabolic process (GO:0005980)	2/15	0.0109170075997138	0.45094651396529	2	0.133333333333333	AGL;PGM2
microvillus assembly (GO:0030033)	2/15	0.0109170075997138	0.45094651396529	2	0.133333333333333	RAP1B;RAP2C
cellular polysaccharide catabolic process (GO:0044247)	2/16	0.0123893963748976	0.45094651396529	2	0.125	AGL;PGM2
cellular response to metal ion (GO:0071248)	5/131	0.0134429728180955	0.45094651396529	5	0.0381679389312977	CPNE8;PRKAA1;CDKN1B;LRRK2;CPNE3
RNA interference (GO:0016246)	2/17	0.0139432838318642	0.45094651396529	2	0.117647058823529	TSNAX;DICER1
ubiquitin-dependent protein catabolic process (GO:0006511)	9/354	0.0142949061281049	0.45094651396529	9	0.0254237288135593	COP1;NDFIP1;APPBP2;RNF13;USP9X;UBA6;SPOPL;FEM1C;FBXO11
neutrophil degranulation (GO:0043312)	11/481	0.0148294353185387	0.45094651396529	11	0.0228690228690229	RAP2C;RAP1B;CLEC4D;MS4A3;XRCC5;AGL;RAB18;ADAM10;PGM2;CPNE3;DEGS1
rRNA catabolic process (GO:0016075)	2/18	0.0155767742432303	0.45094651396529	2	0.111111111111111	XRN1;EXOSC3
neutrophil activation involved in immune response (GO:0002283)	11/485	0.0156758538234716	0.45094651396529	11	0.022680412371134	RAP2C;RAP1B;CLEC4D;MS4A3;XRCC5;AGL;RAB18;ADAM10;PGM2;CPNE3;DEGS1
neutrophil mediated immunity (GO:0002446)	11/488	0.0163341609900836	0.45094651396529	11	0.0225409836065574	RAP2C;RAP1B;CLEC4D;MS4A3;XRCC5;AGL;RAB18;ADAM10;PGM2;CPNE3;DEGS1
regulation of synaptic vesicle exocytosis (GO:2000300)	2/19	0.017288002791931	0.45094651396529	2	0.105263157894737	RAP1B;LRRK2
protein localization to organelle (GO:0033365)	5/142	0.0184394014483833	0.45094651396529	5	0.0352112676056338	HHEX;SERP1;LRRK2;PAQR3;RAB33B
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	2/20	0.0190751351249388	0.45094651396529	2	0.1	HHEX;CDKN1B
positive regulation of peptidyl-lysine acetylation (GO:2000758)	2/20	0.0190751351249388	0.45094651396529	2	0.1	PRKAA1;DIP2B
