Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
protein serine/threonine phosphatase activity (GO:0004722)	5/62	0.000527727777816326	0.108184194452347	5	0.0806451612903226	PPP1CB;PPP3CA;LRRK2;PPP1R3D;MTMR6
protein phosphatase 1 binding (GO:0008157)	3/23	0.00182654800861828	0.187221170883374	3	0.130434782608696	AKAP11;PPP1R3D;SHOC2
transition metal ion transmembrane transporter activity (GO:0046915)	3/30	0.00396339528224076	0.200949898794514	3	0.1	SLC40A1;SLC39A10;TMEM165
co-SMAD binding (GO:0070410)	2/10	0.00484611401257664	0.200949898794514	2	0.2	USP9X;TRIM33
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	3/33	0.00520249788621075	0.200949898794514	3	0.0909090909090909	XRN1;EXOSC3;CNOT8
ubiquitin-dependent protein binding (GO:0140036)	2/11	0.00588146045252237	0.200949898794514	2	0.181818181818182	USP15;IDE
Lys48-specific deubiquitinase activity (GO:1990380)	2/15	0.0109170075997138	0.296992920043569	2	0.133333333333333	USP15;USP9X
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	3/44	0.0115899676114563	0.296992920043569	3	0.0681818181818182	CDKN1B;CCNG2;CKS2
TBP-class protein binding (GO:0017025)	2/22	0.0228699234600959	0.298541439379577	2	0.0909090909090909	DR1;HHEX
carboxy-lyase activity (GO:0016831)	2/23	0.0248740592098288	0.298541439379577	2	0.0869565217391304	ECHDC1;AZIN1
thiol-dependent deubiquitinase (GO:0004843)	4/106	0.0271761813655607	0.298541439379577	4	0.0377358490566038	USP15;USP9X;OTUD6B;OTUD1
GTPase activity (GO:0003924)	6/216	0.0290147085693094	0.298541439379577	6	0.0277777777777778	RAP2C;RAP1B;RHOT1;LRRK2;RAB18;RAB33B
nucleoside-triphosphatase activity (GO:0017111)	7/278	0.0304256769922987	0.298541439379577	7	0.0251798561151079	RAP2C;RAP1B;SMCHD1;RHOT1;LRRK2;RAB18;RAB33B
general transcription initiation factor binding (GO:0140296)	2/26	0.0312929153935775	0.298541439379577	2	0.0769230769230769	HHEX;DR1
protein serine/threonine kinase activity (GO:0004674)	8/344	0.0322459944499169	0.298541439379577	8	0.0232558139534884	PLK4;PRKAA1;MAP3K1;SLK;PDIK1L;LRRK2;CPNE3;CLK4
deubiquitinase activity (GO:0101005)	4/112	0.0323597219921326	0.298541439379577	4	0.0357142857142857	USP15;USP9X;OTUD6B;OTUD1
omega peptidase activity (GO:0008242)	4/113	0.0332760733970002	0.298541439379577	4	0.0353982300884956	USP15;USP9X;OTUD6B;OTUD1
ribonuclease activity (GO:0004540)	3/66	0.033781167303022	0.298541439379577	3	0.0454545454545455	TSNAX;DICER1;EXOSC3
