Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
p53 signaling pathway	4/73	0.00780214400371151	0.896238771996075	4	0.0547945205479452	COP1;RRM2B;CCNG2;FAS
Insulin resistance	4/108	0.0288443198502298	0.896238771996075	4	0.037037037037037	PPP1CB;PRKAA1;PPP1R3D;CREB5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/26	0.0312929153935775	0.896238771996075	2	0.0769230769230769	PIGK;PIGH
Long-term potentiation	3/67	0.0350940441386843	0.896238771996075	3	0.0447761194029851	PPP1CB;RAP1B;PPP3CA
Amphetamine addiction	3/69	0.0377979110972589	0.896238771996075	3	0.0434782608695652	PPP1CB;PPP3CA;CREB5
Circadian rhythm	2/31	0.0432478380134877	0.896238771996075	2	0.0645161290322581	PRKAA1;FBXL3
FoxO signaling pathway	4/131	0.0523528646929868	0.896238771996075	4	0.0305343511450382	PLK4;PRKAA1;CDKN1B;CCNG2
RNA degradation	3/79	0.0528484972447021	0.896238771996075	3	0.0379746835443038	XRN1;EXOSC3;CNOT8
Starch and sucrose metabolism	2/36	0.0566069158042542	0.896238771996075	2	0.0555555555555556	AGL;PGM2
Ubiquitin mediated proteolysis	4/140	0.0637166044761904	0.896238771996075	4	0.0285714285714286	COP1;MAP3K1;UBA6;UBA3
Ferroptosis	2/41	0.0711917281132405	0.896238771996075	2	0.0487804878048781	SLC40A1;ACSL4
Prostate cancer	3/97	0.0859607629322104	0.896238771996075	3	0.0309278350515464	CDKN1B;TGFA;CREB5
Glucagon signaling pathway	3/107	0.107339569722897	0.896238771996075	3	0.0280373831775701	PPP3CA;PRKAA1;CREB5
Non-homologous end-joining	1/13	0.130547282864418	0.896238771996075	1	0.0769230769230769	XRCC5
Oocyte meiosis	3/129	0.160466165373474	0.896238771996075	3	0.0232558139534884	PPP1CB;PPP3CA;SLK
Glycolysis / Gluconeogenesis	2/67	0.160987036848585	0.896238771996075	2	0.0298507462686567	PGK1;PGM2
Mitophagy	2/68	0.164761403507123	0.896238771996075	2	0.0294117647058824	USP15;RHOT1
Dopaminergic synapse	3/132	0.168249174088825	0.896238771996075	3	0.0227272727272727	PPP1CB;PPP3CA;CREB5
Adipocytokine signaling pathway	2/69	0.168551360115352	0.896238771996075	2	0.0289855072463768	PRKAA1;ACSL4
Renal cell carcinoma	2/69	0.168551360115352	0.896238771996075	2	0.0289855072463768	RAP1B;TGFA
RIG-I-like receptor signaling pathway	2/70	0.172356145978416	0.896238771996075	2	0.0285714285714286	MAP3K1;AZI2
Fatty acid biosynthesis	1/18	0.176111537825667	0.896238771996075	1	0.0555555555555556	ACSL4
Estrogen signaling pathway	3/137	0.181457405419465	0.896238771996075	3	0.0218978102189781	TGFA;FKBP5;CREB5
Insulin signaling pathway	3/137	0.181457405419465	0.896238771996075	3	0.0218978102189781	PPP1CB;PRKAA1;PPP1R3D
