Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Hypertrichosis	6/50	2.10466591430654e-06	0.00361160670895003	6	0.12	NDUFS8;NDUFS7;BMS1;LTBP3;SDHA;SMARCA4
Encephalopathy, Subacute Necrotizing, Infantile	4/19	1.13719134292529e-05	0.00650473448153266	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Encephalopathy, Subacute Necrotizing, Juvenile	4/19	1.13719134292529e-05	0.00650473448153266	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Small nose	7/176	0.000402018739768931	0.145596548192572	7	0.0397727272727273	MAP2K2;TBC1D20;PUF60;SPECC1L;PLOD3;LTBP3;HDAC6
Short nose	7/179	0.000444961624885463	0.145596548192572	7	0.0391061452513966	MAP2K2;TBC1D20;PUF60;SPECC1L;PLOD3;LTBP3;HDAC6
LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	3/21	0.00051765927146958	0.145596548192572	3	0.142857142857143	NDUFS8;NDUFS7;SDHA
Short stature	15/750	0.000606382271810805	0.145596548192572	15	0.02	ACD;MAP2K2;PHC1;CEP164;CHD4;LTBP3;CTCF;SDHA;HDAC6;SMARCA4;DIAPH1;TBC1D20;PUF60;DGCR8;GUSB
Hepatocellular necrosis	3/23	0.000681670980288799	0.145596548192572	3	0.130434782608696	NDUFS8;NDUFS7;SDHA
Mental and motor retardation	18/1021	0.00076361825975125	0.145596548192572	18	0.0176297747306562	SLC25A1;ACD;MAP2K2;PHC1;ECHS1;ACY1;CEP164;PLOD3;CTCF;SDHA;SMARCA4;DIAPH1;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L
Abnormal pattern of respiration	3/26	0.000984195917036306	0.15779358608887	3	0.115384615384615	NDUFS8;NDUFS7;SDHA
Cognitive delay	17/966	0.00109612252044361	0.15779358608887	17	0.0175983436853002	SLC25A1;ACD;MAP2K2;PHC1;ECHS1;ACY1;CEP164;PLOD3;CTCF;SDHA;SMARCA4;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L
POLYCYSTIC LIVER DISEASE 1	2/7	0.00117521983016495	0.15779358608887	2	0.285714285714286	PRKCSH;HDAC6
Increased CSF lactate	4/61	0.00119540595521871	0.15779358608887	4	0.0655737704918033	NDUFS8;ECHS1;NDUFS7;SDHA
Abnormal mitochondria in muscle tissue	3/30	0.00150307894316567	0.167218845501942	3	0.1	NDUFS8;NDUFS7;SDHA
Amyotrophic Lateral Sclerosis 4, Juvenile	2/8	0.00155915007461018	0.167218845501942	2	0.25	BRD3;DDX19A
Chromosome 21 monosomy	2/8	0.00155915007461018	0.167218845501942	2	0.25	PFKL;RUNX1
J-shaped hypophysial fossa	2/10	0.00248088195653985	0.212859671871119	2	0.2	PLOD3;GUSB
J-shaped sella turcica	2/10	0.00248088195653985	0.212859671871119	2	0.2	PLOD3;GUSB
Medullary cystic kidney disease 1	2/10	0.00248088195653985	0.212859671871119	2	0.2	CCT3;SCAMP3
Omega shaped hypophysial fossa	2/10	0.00248088195653985	0.212859671871119	2	0.2	PLOD3;GUSB
Platyspondyly	4/76	0.00269178535716507	0.219957317756917	4	0.0526315789473684	PLOD3;LTBP3;GUSB;HDAC6
Pediatric Neoplasm	2/11	0.00301710175481558	0.235333936875615	2	0.181818181818182	ABL1;SMARCA4
Childhood Pre-B Acute Lymphoblastic Leukemia	2/12	0.00360251775531864	0.268779150788121	2	0.166666666666667	ACD;RUNX1
LEUKOENCEPHALOPATHY, BRAIN CALCIFICATIONS, AND CYSTS	2/13	0.00423636119497933	0.296446731585975	2	0.153846153846154	STIP1;ARHGEF1
Global developmental delay	17/1102	0.00431886263965581	0.296446731585975	17	0.015426497277677	SLC25A1;ACD;MAP2K2;PHC1;ECHS1;ACY1;CEP164;PLOD3;CTCF;SDHA;SMARCA4;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L
Ophthalmoplegia	5/144	0.00490147465653913	0.305740352813107	5	0.0347222222222222	NDUFS8;NDUFS7;IDH3B;SDHA;DHDDS
Anteverted nostril	7/283	0.00598637581008521	0.305740352813107	7	0.0247349823321555	MAP2K2;TBC1D20;IDH3B;PLOD3;LTBP3;DHDDS;SMARCA4
Central nervous system demyelination	3/49	0.00614010517345174	0.305740352813107	3	0.0612244897959184	NDUFS8;NDUFS7;SDHA
Necrotizing encephalopathy, infantile subacute, of Leigh	2/16	0.00642089859624638	0.305740352813107	2	0.125	NDUFS8;SDHA
Abnormality of the lymphatic system	2/16	0.00642089859624638	0.305740352813107	2	0.125	ACD;MAP2K2
Increased number of platelets	2/16	0.00642089859624638	0.305740352813107	2	0.125	ABL1;RUNX1
Leigh Syndrome Due To Mitochondrial Complex II Deficiency	2/16	0.00642089859624638	0.305740352813107	2	0.125	NDUFS8;SDHA
Leigh Syndrome due to Mitochondrial Complex V Deficiency	2/16	0.00642089859624638	0.305740352813107	2	0.125	NDUFS8;SDHA
Pyruvate Dehydrogenase Complex Deficiency Disease	2/16	0.00642089859624638	0.305740352813107	2	0.125	ECHS1;DHDDS
Leigh Disease	4/99	0.00690705215359414	0.305740352813107	4	0.0404040404040404	NDUFS8;ECHS1;NDUFS7;SDHA
Mood swings	4/100	0.00715315286742312	0.305740352813107	4	0.04	NDUFS8;NDUFS7;DGCR8;SDHA
Abnormality of the helix	2/17	0.00724093700202408	0.305740352813107	2	0.117647058823529	MAP2K2;SPECC1L
Leigh Syndrome due to Mitochondrial Complex III Deficiency	2/17	0.00724093700202408	0.305740352813107	2	0.117647058823529	NDUFS8;SDHA
Leigh Syndrome due to Mitochondrial Complex IV Deficiency	2/17	0.00724093700202408	0.305740352813107	2	0.117647058823529	NDUFS8;SDHA
Friedreich Ataxia	3/52	0.00724440258865456	0.305740352813107	3	0.0576923076923077	GPAA1;CTCF;NFE2L1
Intellectual Disability	30/2503	0.00730498511966049	0.305740352813107	30	0.0119856172592889	SMARCD2;ACY1;GPAA1;PLOD3;CHD4;LTBP3;CTCF;HDAC6;CYB5R3;PUF60;DPF2;IDH3B;DGCR8;GUSB;TNPO2;FBXW4;ACD;MAP2K2;PHC1;SETD1A;ASMTL;SDHA;DHDDS;RUNX1;SMARCA4;DIAPH1;NDUFS8;NDUFS7;SPECC1L;EIF4G1
Poor school performance	15/985	0.00812369856105128	0.331911112637238	15	0.0152284263959391	ACD;MAP2K2;PHC1;CHD4;CTCF;SDHA;DHDDS;SMARCA4;CYB5R3;NDUFS8;NDUFS7;SPECC1L;IDH3B;DGCR8;GUSB
Abnormality of the heart valves	2/20	0.00996646428845589	0.38869210724978	2	0.1	MAP2K2;GUSB
Leukaemia recurrent	2/20	0.00996646428845589	0.38869210724978	2	0.1	ABL1;RUNX1
22q11 Deletion Syndrome	2/22	0.0119975832364343	0.439056407180454	2	0.0909090909090909	HIC2;DGCR8
Strabismus	8/404	0.0122285315113406	0.439056407180454	8	0.0198019801980198	MAP2K2;CYB5R3;NDUFS8;NDUFS7;SPECC1L;CTCF;SDHA;SMARCA4
Increased serum lactate	4/119	0.0129748314811656	0.439056407180454	4	0.0336134453781513	NDUFS8;ECHS1;NDUFS7;SDHA
Leukemia secondary	2/23	0.0130752925229749	0.439056407180454	2	0.0869565217391304	ABL1;RUNX1
Broad flat nasal bridge	7/330	0.0132453995850033	0.439056407180454	7	0.0212121212121212	TBC1D20;ACY1;PUF60;SPECC1L;IDH3B;DHDDS;SMARCA4
Low intelligence	14/947	0.0132630385626513	0.439056407180454	14	0.0147835269271383	ACD;MAP2K2;CHD4;CTCF;SDHA;DHDDS;SMARCA4;CYB5R3;NDUFS8;NDUFS7;SPECC1L;IDH3B;DGCR8;GUSB
Dull intelligence	14/947	0.0132630385626513	0.439056407180454	14	0.0147835269271383	ACD;MAP2K2;CHD4;CTCF;SDHA;DHDDS;SMARCA4;CYB5R3;NDUFS8;NDUFS7;SPECC1L;IDH3B;DGCR8;GUSB
FRIEDREICH ATAXIA 1	3/65	0.0133310530889592	0.439056407180454	3	0.0461538461538462	CCT3;GPAA1;CTCF
Nasal bridge wide	7/333	0.0138597345967228	0.439056407180454	7	0.021021021021021	TBC1D20;ACY1;PUF60;SPECC1L;IDH3B;DHDDS;SMARCA4
Congenital heart disease	4/122	0.0141049156322717	0.439056407180454	4	0.0327868852459016	HIC2;PHC1;ABL1;SMARCA4
Childhood Solid Neoplasm	2/24	0.0141935289211861	0.439056407180454	2	0.0833333333333333	XRCC6;HDAC6
Blepharoptosis	7/337	0.0147103233770221	0.439056407180454	7	0.0207715133531157	MAP2K2;NDUFS8;TBC1D20;NDUFS7;SPECC1L;CHD4;SDHA
Acquired scoliosis	8/418	0.0147447396930143	0.439056407180454	8	0.0191387559808612	MAP2K2;TBC1D20;PUF60;B3GAT3;PLOD3;GUSB;RUNX1;SMARCA4
Long philtrum	5/190	0.0151369322424512	0.439056407180454	5	0.0263157894736842	MAP2K2;PUF60;SPECC1L;PLOD3;LTBP3
Tetralogy of Fallot	4/125	0.0152956435781109	0.439056407180454	4	0.032	PFKL;PHC1;DGCR8;CHD4
Excessive wrinkled skin	2/25	0.0153516226286872	0.439056407180454	2	0.08	ACD;MAP2K2
Recurrent Childhood Acute Lymphoblastic Leukemia	2/26	0.0165489115664886	0.458031165291846	2	0.0769230769230769	ABL1;RUNX1
Adult T Acute Lymphoblastic Leukemia	2/26	0.0165489115664886	0.458031165291846	2	0.0769230769230769	ABL1;RUNX1
Generalized hyperpigmentation	2/27	0.0177847413009564	0.476853376131894	2	0.0740740740740741	ACD;MAP2K2
Loss of appetite (finding)	2/27	0.0177847413009564	0.476853376131894	2	0.0740740740740741	ABL1;RUNX1
Thick eyebrow	3/74	0.0188332333963529	0.488124266768731	3	0.0405405405405405	B3GAT3;SPECC1L;SMARCA4
DiGeorge Syndrome	3/74	0.0188332333963529	0.488124266768731	3	0.0405405405405405	SLC25A1;SPECC1L;DGCR8
Granulocytic Sarcoma	2/28	0.01905846496125	0.488124266768731	2	0.0714285714285714	ABL1;RUNX1
Polycythemia	3/75	0.0195110752702579	0.488650766383146	3	0.04	CYB5R3;ABL1;RUNX1
Dilated ventricles (finding)	5/204	0.0199431034538432	0.488650766383146	5	0.0245098039215686	SLC25A1;ACD;PHC1;SPECC1L;CHD4
Left ventricular noncompaction	2/29	0.0203694431745012	0.488650766383146	2	0.0689655172413793	MIB2;SDHA
Pierre Robin Syndrome	2/29	0.0203694431745012	0.488650766383146	2	0.0689655172413793	TBC1D20;DGCR8
