Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
spermidine metabolic process (GO:0008216)	2/8	0.00155915007461018	0.288375435548398	2	0.25	DHPS;HDAC6
negative regulation of protein-containing complex disassembly (GO:0043242)	2/9	0.00199463591761929	0.288375435548398	2	0.222222222222222	UBQLN4;HDAC6
fructose 1,6-bisphosphate metabolic process (GO:0030388)	2/9	0.00199463591761929	0.288375435548398	2	0.222222222222222	PFKL;PFKP
fructose 6-phosphate metabolic process (GO:0006002)	2/10	0.00248088195653985	0.288375435548398	2	0.2	PFKL;PFKP
low-density lipoprotein particle receptor catabolic process (GO:0032802)	2/10	0.00248088195653985	0.288375435548398	2	0.2	AP2S1;AP2M1
low-density lipoprotein receptor particle metabolic process (GO:0032799)	2/10	0.00248088195653985	0.288375435548398	2	0.2	AP2S1;AP2M1
regulation of androgen receptor signaling pathway (GO:0060765)	3/36	0.00255682183923054	0.288375435548398	3	0.0833333333333333	NCOR2;HDAC6;SMARCA4
ATP-dependent chromatin remodeling (GO:0043044)	3/42	0.00397668563090276	0.288375435548398	3	0.0714285714285714	SMARCD2;CHD4;SMARCA4
cellular respiration (GO:0045333)	3/42	0.00397668563090276	0.288375435548398	3	0.0714285714285714	NDUFS8;NDUFS7;SDHA
regulation of oxidoreductase activity (GO:0051341)	2/13	0.00423636119497933	0.288375435548398	2	0.153846153846154	ABL1;HDAC6
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	2/13	0.00423636119497933	0.288375435548398	2	0.153846153846154	BMS1;KRI1
polyamine metabolic process (GO:0006595)	2/13	0.00423636119497933	0.288375435548398	2	0.153846153846154	DHPS;HDAC6
positive regulation of stress fiber assembly (GO:0051496)	3/44	0.00453730306351783	0.288375435548398	3	0.0681818181818182	TESK1;ABL1;SORBS3
negative regulation of androgen receptor signaling pathway (GO:0060766)	2/15	0.00564629878421815	0.288375435548398	2	0.133333333333333	NCOR2;SMARCA4
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	2/15	0.00564629878421815	0.288375435548398	2	0.133333333333333	CCT3;RUVBL1
regulation of vesicle-mediated transport (GO:0060627)	4/96	0.00620254433299346	0.288375435548398	4	0.0416666666666667	MAP2K2;SNX17;ABL1;AP2S1
regulation of cellular component movement (GO:0051270)	3/50	0.006496107775646	0.288375435548398	3	0.06	DIAPH1;ABL1;HDAC6
positive regulation of actin filament bundle assembly (GO:0032233)	3/51	0.0068641742413194	0.288375435548398	3	0.0588235294117647	TESK1;ABL1;SORBS3
acyl-CoA biosynthetic process (GO:0071616)	2/17	0.00724093700202408	0.288375435548398	2	0.117647058823529	SLC25A1;ACSS1
protein localization to chromosome, centromeric region (GO:0071459)	2/17	0.00724093700202408	0.288375435548398	2	0.117647058823529	IK;CTCF
chromatin remodeling (GO:0006338)	4/103	0.00792601792264479	0.288375435548398	4	0.0388349514563107	SMARCD2;RUVBL1;CHD4;SMARCA4
regulation of megakaryocyte differentiation (GO:0045652)	3/54	0.00804171518002584	0.288375435548398	3	0.0555555555555556	SETD1A;WDR5;RUNX1
chromatin disassembly (GO:0031498)	2/18	0.00810568791811713	0.288375435548398	2	0.111111111111111	SMARCD2;SMARCA4
nucleosome disassembly (GO:0006337)	2/18	0.00810568791811713	0.288375435548398	2	0.111111111111111	SMARCD2;SMARCA4
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	2/18	0.00810568791811713	0.288375435548398	2	0.111111111111111	NCOR2;MAP2K2
regulation of telomerase RNA localization to Cajal body (GO:1904872)	2/18	0.00810568791811713	0.288375435548398	2	0.111111111111111	CCT3;RUVBL1
