Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	25/1406	5.78640121612438e-05	0.0100104741038952	25	0.0177809388335704	DDX24;AKAP8L;DDX23;RBM4B;AATF;KRI1;STIP1;RAVER1;PUF60;BMS1;DGCR8;ABCF1;CCT3;XRCC6;NCOA5;DDX56;ADAT1;RANGAP1;ATXN2L;DIAPH1;DDX19A;MRPS9;ARHGEF1;EIF4G1;EIF3B
acetylation-dependent protein binding (GO:0140033)	3/21	0.00051765927146958	0.0298516846547458	3	0.142857142857143	BRD3;DPF2;SMARCA4
lysine-acetylated histone binding (GO:0070577)	3/21	0.00051765927146958	0.0298516846547458	3	0.142857142857143	BRD3;DPF2;SMARCA4
histone deacetylase binding (GO:0042826)	5/93	0.000720704385802308	0.0311704646859498	5	0.0537634408602151	NCOR2;AKAP8L;CHD4;MEF2D;HDAC6
phosphofructokinase activity (GO:0008443)	2/7	0.00117521983016495	0.0338855051030894	2	0.285714285714286	PFKL;PFKP
NADH dehydrogenase activity (GO:0003954)	2/7	0.00117521983016495	0.0338855051030894	2	0.285714285714286	NDUFS8;NDUFS7
nucleosomal DNA binding (GO:0031492)	3/33	0.00198655030492107	0.0490961718216208	3	0.0909090909090909	SMARCD2;CHD4;SMARCA4
AMP binding (GO:0016208)	2/11	0.00301710175481558	0.0652448254478869	2	0.181818181818182	PFKL;PFKP
clathrin adaptor activity (GO:0035615)	2/15	0.00564629878421815	0.108534409963305	2	0.133333333333333	AP2S1;AP2M1
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	2/16	0.00642089859624638	0.111081545715062	2	0.125	SETD1A;WDR5
DNA polymerase binding (GO:0070182)	2/18	0.00810568791811713	0.127480364530388	2	0.111111111111111	ACD;SMARCA4
cadherin binding (GO:0045296)	7/322	0.0117032903247598	0.168722435515288	7	0.0217391304347826	ATXN2L;NUDC;PUF60;RUVBL1;RANGAP1;PFKP;PPP1CA
low-density lipoprotein particle receptor binding (GO:0050750)	2/23	0.0130752925229749	0.17400196972882	2	0.0869565217391304	SNX17;AP2M1
lipoprotein particle receptor binding (GO:0070325)	2/28	0.01905846496125	0.2310917387873	2	0.0714285714285714	SNX17;AP2M1
telomeric DNA binding (GO:0042162)	2/33	0.0259733720779601	0.2310917387873	2	0.0606060606060606	ACD;XRCC6
Hsp90 protein binding (GO:0051879)	2/35	0.0289827782444761	0.2310917387873	2	0.0571428571428571	STIP1;HDAC6
NADH dehydrogenase (quinone) activity (GO:0050136)	2/35	0.0289827782444761	0.2310917387873	2	0.0571428571428571	NDUFS8;NDUFS7
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2/35	0.0289827782444761	0.2310917387873	2	0.0571428571428571	NDUFS8;NDUFS7
chromatin insulator sequence binding (GO:0043035)	1/5	0.0374302526522604	0.2310917387873	1	0.2	CTCF
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.0374302526522604	0.2310917387873	1	0.2	XRCC6
isocitrate dehydrogenase activity (GO:0004448)	1/5	0.0374302526522604	0.2310917387873	1	0.2	IDH3B
nitrite reductase activity (GO:0098809)	1/5	0.0374302526522604	0.2310917387873	1	0.2	CYB5R3
translation initiation factor activity (GO:0003743)	2/41	0.0387842078881282	0.2310917387873	2	0.0487804878048781	EIF3B;EIF4G1
signal sequence binding (GO:0005048)	2/42	0.0405245871075195	0.2310917387873	2	0.0476190476190476	TNPO2;AP2M1
sequence-specific DNA binding (GO:0043565)	10/707	0.043736076991177	0.2310917387873	10	0.0141442715700141	XRCC6;ACD;ZGPAT;KLF13;ABL1;NFATC3;CTCF;ZNF444;MEF2D;CENPB
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	1/6	0.0447475921851276	0.2310917387873	1	0.166666666666667	UBQLN4
supercoiled DNA binding (GO:0097100)	1/6	0.0447475921851276	0.2310917387873	1	0.166666666666667	ABL1
fructose binding (GO:0070061)	1/6	0.0447475921851276	0.2310917387873	1	0.166666666666667	PFKL
primary miRNA binding (GO:0070878)	1/6	0.0447475921851276	0.2310917387873	1	0.166666666666667	DGCR8
histone-lysine N-methyltransferase activity (GO:0018024)	2/45	0.0459178830409848	0.2310917387873	2	0.0444444444444444	SETD1A;WDR5
protein kinase C binding (GO:0005080)	2/45	0.0459178830409848	0.2310917387873	2	0.0444444444444444	PRKCSH;ABL1
DEAD/H-box RNA helicase binding (GO:0017151)	1/7	0.052009671210746	0.2310917387873	1	0.142857142857143	AKAP8L
ADP transmembrane transporter activity (GO:0015217)	1/7	0.052009671210746	0.2310917387873	1	0.142857142857143	SLC25A42
GPI anchor binding (GO:0034235)	1/7	0.052009671210746	0.2310917387873	1	0.142857142857143	GPAA1
polyubiquitin modification-dependent protein binding (GO:0031593)	2/51	0.05743225250948	0.2310917387873	2	0.0392156862745098	UBQLN4;HDAC6
RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164)	1/8	0.0592169038679493	0.2310917387873	1	0.125	SMARCA4
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	1/8	0.0592169038679493	0.2310917387873	1	0.125	SMARCA4
tRNA-specific adenosine deaminase activity (GO:0008251)	1/8	0.0592169038679493	0.2310917387873	1	0.125	ADAT1
bubble DNA binding (GO:0000405)	1/8	0.0592169038679493	0.2310917387873	1	0.125	ABL1
ATP binding (GO:0005524)	5/278	0.0613561188438586	0.2310917387873	5	0.0179856115107914	PFKL;ABL1;PFKP;EIF4G1;ABCF1
transcription coregulator binding (GO:0001221)	2/53	0.0614712576334358	0.2310917387873	2	0.0377358490566038	CTCF;HDAC6
flavin adenine dinucleotide binding (GO:0050660)	2/55	0.0656042555663192	0.2310917387873	2	0.0363636363636364	CYB5R3;SDHA
double-stranded telomeric DNA binding (GO:0003691)	1/9	0.0663697013463757	0.2310917387873	1	0.111111111111111	XRCC6
prenyltransferase activity (GO:0004659)	1/9	0.0663697013463757	0.2310917387873	1	0.111111111111111	DHDDS
U3 snoRNA binding (GO:0034511)	1/9	0.0663697013463757	0.2310917387873	1	0.111111111111111	BMS1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	2/57	0.0698275164931172	0.2310917387873	2	0.0350877192982456	ACY1;HDAC6
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	2/58	0.0719718546757665	0.2310917387873	2	0.0344827586206897	NDUFS8;NDUFS7
nucleoside-triphosphate diphosphatase activity (GO:0047429)	1/10	0.0734684718687947	0.2310917387873	1	0.1	ASMTL
adenosine deaminase activity (GO:0004000)	1/10	0.0734684718687947	0.2310917387873	1	0.1	ADAT1
leucine zipper domain binding (GO:0043522)	1/10	0.0734684718687947	0.2310917387873	1	0.1	AATF
Tat protein binding (GO:0030957)	1/10	0.0734684718687947	0.2310917387873	1	0.1	SMARCA4
enoyl-CoA hydratase activity (GO:0004300)	1/10	0.0734684718687947	0.2310917387873	1	0.1	ECHS1
eukaryotic initiation factor 4E binding (GO:0008190)	1/10	0.0734684718687947	0.2310917387873	1	0.1	EIF4G1
ATP transmembrane transporter activity (GO:0005347)	1/10	0.0734684718687947	0.2310917387873	1	0.1	SLC25A42
ubiquitination-like modification-dependent protein binding (GO:0140035)	1/10	0.0734684718687947	0.2310917387873	1	0.1	LAPTM5
transaminase activity (GO:0008483)	1/11	0.0805136206673202	0.23214760625744	1	0.0909090909090909	BCAT2
MAP-kinase scaffold activity (GO:0005078)	1/11	0.0805136206673202	0.23214760625744	1	0.0909090909090909	MAP2K2
ubiquitin-dependent protein binding (GO:0140036)	1/11	0.0805136206673202	0.23214760625744	1	0.0909090909090909	LAPTM5
purine ribonucleotide transmembrane transporter activity (GO:0005346)	1/11	0.0805136206673202	0.23214760625744	1	0.0909090909090909	SLC25A42
vinculin binding (GO:0017166)	1/11	0.0805136206673202	0.23214760625744	1	0.0909090909090909	SORBS3
adenyl ribonucleotide binding (GO:0032559)	5/306	0.0844665074487901	0.236961420645119	5	0.0163398692810458	PFKL;ABL1;PFKP;EIF4G1;ABCF1
adenine nucleotide transmembrane transporter activity (GO:0000295)	1/12	0.0875055499955368	0.236961420645119	1	0.0833333333333333	SLC25A42
neurexin family protein binding (GO:0042043)	1/12	0.0875055499955368	0.236961420645119	1	0.0833333333333333	SYTL1
sequence-specific double-stranded DNA binding (GO:1990837)	9/712	0.0936240945823098	0.236961420645119	9	0.0126404494382022	XRCC6;KLF13;ABL1;NFATC3;CTCF;ZNF444;MEF2D;CENPB;RUNX1
nucleoside-diphosphatase activity (GO:0017110)	1/13	0.0944446591214453	0.236961420645119	1	0.0769230769230769	SLC25A42
acid-thiol ligase activity (GO:0016878)	1/13	0.0944446591214453	0.236961420645119	1	0.0769230769230769	ACSS1
protein phosphatase activator activity (GO:0072542)	1/13	0.0944446591214453	0.236961420645119	1	0.0769230769230769	B3GAT3
GTPase inhibitor activity (GO:0005095)	1/13	0.0944446591214453	0.236961420645119	1	0.0769230769230769	GPS1
methylated histone binding (GO:0035064)	2/68	0.0945106244191517	0.236961420645119	2	0.0294117647058824	DPF2;WDR5
CoA-ligase activity (GO:0016405)	1/14	0.101331344382835	0.242149648868701	1	0.0714285714285714	ACSS1
phosphatase activator activity (GO:0019211)	1/14	0.101331344382835	0.242149648868701	1	0.0714285714285714	B3GAT3
LRR domain binding (GO:0030275)	1/14	0.101331344382835	0.242149648868701	1	0.0714285714285714	AATF
GTPase regulator activity (GO:0030695)	4/233	0.102178753568874	0.242149648868701	4	0.0171673819742489	ARHGAP30;TBC1D20;GPS1;RANGAP1
MAP kinase kinase activity (GO:0004708)	1/15	0.108165999160366	0.25287456560464	1	0.0666666666666667	MAP2K2
nuclear import signal receptor activity (GO:0061608)	1/16	0.114949013919298	0.258262070234267	1	0.0625	TNPO2
organic cation transmembrane transporter activity (GO:0015101)	1/16	0.114949013919298	0.258262070234267	1	0.0625	SLC25A42
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	1/16	0.114949013919298	0.258262070234267	1	0.0625	NDUFS7
four-way junction DNA binding (GO:0000400)	1/17	0.121680776211731	0.269881721597813	1	0.0588235294117647	ABL1
cadherin binding involved in cell-cell adhesion (GO:0098641)	1/18	0.128361670747538	0.281095810624355	1	0.0555555555555556	PPP1CA
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	4/256	0.131282601385084	0.283898625495245	4	0.015625	HIC2;ZGPAT;NFATC3;CTCF
histone deacetylase activity (GO:0004407)	1/19	0.134992079321435	0.288316416328497	1	0.0526315789473684	HDAC6
purine ribonucleoside triphosphate binding (GO:0035639)	6/460	0.138764487118645	0.292759222823483	6	0.0130434782608696	PFKL;BMS1;ABL1;PFKP;EIF4G1;ABCF1
ubiquitin-like protein-specific protease activity (GO:0019783)	1/20	0.14157238091539	0.29508460118509	1	0.05	USP21
ephrin receptor binding (GO:0046875)	1/21	0.148102951692341	0.304471983357429	1	0.0476190476190476	ABL1
adenylyltransferase activity (GO:0070566)	1/22	0.154584164992083	0.304471983357429	1	0.0454545454545455	ABL1
TBP-class protein binding (GO:0017025)	1/22	0.154584164992083	0.304471983357429	1	0.0454545454545455	RUVBL1
protein kinase A regulatory subunit binding (GO:0034237)	1/22	0.154584164992083	0.304471983357429	1	0.0454545454545455	AKAP8L
phosphatidylinositol binding (GO:0035091)	2/92	0.154875922170253	0.304471983357429	2	0.0217391304347826	GPAA1;SNX17
nuclear localization sequence binding (GO:0008139)	1/24	0.16739999868484	0.318243953543706	1	0.0416666666666667	TNPO2
transforming growth factor beta binding (GO:0050431)	1/24	0.16739999868484	0.318243953543706	1	0.0416666666666667	LTBP3
Notch binding (GO:0005112)	1/24	0.16739999868484	0.318243953543706	1	0.0416666666666667	NCOR2
actin monomer binding (GO:0003785)	1/25	0.173735351952041	0.323185117072077	1	0.04	ABL1
FAD binding (GO:0071949)	1/25	0.173735351952041	0.323185117072077	1	0.04	CYB5R3
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	3/190	0.176041160056723	0.32399064563631	3	0.0157894736842105	NCOR2;CHD4;SMARCA4
general transcription initiation factor binding (GO:0140296)	1/26	0.180022813559029	0.327831018375916	1	0.0384615384615385	RUVBL1
androgen receptor binding (GO:0050681)	1/27	0.186262743123984	0.335660985004679	1	0.037037037037037	SMARCA4
protein serine/threonine/tyrosine kinase activity (GO:0004712)	1/28	0.192455497614786	0.343245372034619	1	0.0357142857142857	MAP2K2
transcription corepressor binding (GO:0001222)	1/29	0.198601431322741	0.347050986048831	1	0.0344827586206897	HDAC6
mitogen-activated protein kinase binding (GO:0051019)	1/29	0.198601431322741	0.347050986048831	1	0.0344827586206897	ABL1
snoRNA binding (GO:0030515)	1/30	0.204700895906085	0.354132549917527	1	0.0333333333333333	BMS1
alpha-tubulin binding (GO:0043014)	1/31	0.210754240420059	0.357455721496767	1	0.032258064516129	HDAC6
glucuronosyltransferase activity (GO:0015020)	1/31	0.210754240420059	0.357455721496767	1	0.032258064516129	B3GAT3
SH2 domain binding (GO:0042169)	1/32	0.216761811284632	0.363631743092581	1	0.03125	ABL1
transcription regulatory region nucleic acid binding (GO:0001067)	3/212	0.218599429373574	0.363631743092581	3	0.0141509433962264	XRCC6;CTCF;RUNX1
DNA secondary structure binding (GO:0000217)	1/33	0.222723952350542	0.36696422625375	1	0.0303030303030303	ABL1
nuclear receptor binding (GO:0016922)	2/120	0.231678493760401	0.375655576158896	2	0.0166666666666667	NCOR2;SMARCA4
catalytic activity, acting on a tRNA (GO:0140101)	1/35	0.234513307659889	0.375655576158896	1	0.0285714285714286	DUS1L
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/35	0.234513307659889	0.375655576158896	1	0.0285714285714286	ABL1
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	1/37	0.246125006124119	0.380175232673863	1	0.027027027027027	GUSB
core promoter sequence-specific DNA binding (GO:0001046)	1/37	0.246125006124119	0.380175232673863	1	0.027027027027027	SMARCA4
phosphotyrosine residue binding (GO:0001784)	1/37	0.246125006124119	0.380175232673863	1	0.027027027027027	ABL1
protein serine/threonine kinase activator activity (GO:0043539)	1/37	0.246125006124119	0.380175232673863	1	0.027027027027027	MAP2K2
tau protein binding (GO:0048156)	1/40	0.263215254488373	0.402975566606093	1	0.025	HDAC6
protein phosphorylated amino acid binding (GO:0045309)	1/42	0.274394360568625	0.411415987868275	1	0.0238095238095238	ABL1
cell-cell adhesion mediator activity (GO:0098632)	1/42	0.274394360568625	0.411415987868275	1	0.0238095238095238	PPP1CA
DNA binding (GO:0003677)	8/811	0.275862743310519	0.411415987868275	8	0.00986436498150432	HIC2;XRCC6;ZGPAT;ABL1;CHD4;CTCF;CENPB;SMARCA4
ATP hydrolysis activity (GO:0140603)	1/45	0.29084783531298	0.430057055633723	1	0.0222222222222222	RUVBL1
organic anion transmembrane transporter activity (GO:0008514)	2/144	0.299163670664959	0.438604364618966	2	0.0138888888888889	SLC25A1;SLC25A42
ribosome binding (GO:0043022)	1/48	0.306930617839149	0.442491640718107	1	0.0208333333333333	NOMO1
manganese ion binding (GO:0030145)	1/48	0.306930617839149	0.442491640718107	1	0.0208333333333333	ABL1
ubiquitin protein ligase binding (GO:0031625)	3/265	0.327132905239183	0.467718947160154	3	0.0113207547169811	LAPTM5;SCAMP3;HDAC6
phosphoric ester hydrolase activity (GO:0042578)	1/53	0.332933947543977	0.472111253484491	1	0.0188679245283019	PPP1CA
pyrophosphatase activity (GO:0016462)	1/54	0.338017111556939	0.475422441458134	1	0.0185185185185185	ASMTL
hydro-lyase activity (GO:0016836)	1/55	0.343061793818967	0.478626534924849	1	0.0181818181818182	ECHS1
protein phosphatase regulator activity (GO:0019888)	1/57	0.353036868369247	0.488603025823038	1	0.0175438596491228	B3GAT3
ubiquitin-like protein ligase binding (GO:0044389)	3/282	0.362422084767216	0.489372687573857	3	0.0106382978723404	LAPTM5;SCAMP3;HDAC6
double-stranded DNA binding (GO:0003690)	6/651	0.374616235647691	0.489372687573857	6	0.00921658986175115	XRCC6;KLF13;ABL1;NFATC3;ZNF444;MEF2D
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	10/1149	0.376117763796738	0.489372687573857	10	0.00870322019147084	HIC2;ZGPAT;KLF13;NFATC3;CTCF;ZNF444;MEF2D;NFE2L1;HDAC6;RUNX1
cis-regulatory region sequence-specific DNA binding (GO:0000987)	10/1149	0.376117763796738	0.489372687573857	10	0.00870322019147084	HIC2;ZGPAT;KLF13;NFATC3;CTCF;ZNF444;MEF2D;NFE2L1;HDAC6;RUNX1
SH3 domain binding (GO:0017124)	1/62	0.37732111898679	0.489372687573857	1	0.0161290322580645	ABL1
syntaxin binding (GO:0019905)	1/62	0.37732111898679	0.489372687573857	1	0.0161290322580645	ABL1
protein serine/threonine phosphatase activity (GO:0004722)	1/62	0.37732111898679	0.489372687573857	1	0.0161290322580645	PPP1CA
PDZ domain binding (GO:0030165)	1/63	0.38206818593741	0.489372687573857	1	0.0158730158730159	MAP2K2
methylation-dependent protein binding (GO:0140034)	1/63	0.38206818593741	0.489372687573857	1	0.0158730158730159	WDR5
protein kinase activator activity (GO:0030295)	1/63	0.38206818593741	0.489372687573857	1	0.0158730158730159	MAP2K2
small GTPase binding (GO:0031267)	2/175	0.384709164797945	0.489372687573857	2	0.0114285714285714	TBC1D20;RANGAP1
double-stranded RNA binding (GO:0003725)	1/73	0.427605381191352	0.539968839022656	1	0.0136986301369863	DGCR8
GTPase binding (GO:0051020)	2/201	0.452909949853109	0.564192572935746	2	0.00995024875621891	TBC1D20;RANGAP1
phosphatase activity (GO:0016791)	1/79	0.453310795595773	0.564192572935746	1	0.0126582278481013	PPP1CA
amyloid-beta binding (GO:0001540)	1/80	0.457482101445071	0.565317168214266	1	0.0125	APBA3
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	3/333	0.465701247994747	0.569282328114395	3	0.00900900900900901	SMARCD2;NFATC3;RUNX1
DNA-binding transcription factor binding (GO:0140297)	2/208	0.470543309143667	0.569282328114395	2	0.00961538461538462	CHD4;MEF2D
GTPase activator activity (GO:0005096)	3/336	0.471572617429931	0.569282328114395	3	0.00892857142857143	ARHGAP30;TBC1D20;RANGAP1
UDP-glycosyltransferase activity (GO:0008194)	1/84	0.473853498546086	0.569282328114395	1	0.0119047619047619	B3GAT3
heme binding (GO:0020037)	1/91	0.50133106888029	0.598139827008898	1	0.010989010989011	DGCR8
cysteine-type peptidase activity (GO:0008234)	1/98	0.527382589993278	0.624912247046829	1	0.0102040816326531	USP21
cysteine-type endopeptidase activity (GO:0004197)	1/105	0.552081607222697	0.64933883579107	1	0.00952380952380952	GPAA1
thiol-dependent deubiquitinase (GO:0004843)	1/106	0.555503743913747	0.64933883579107	1	0.00943396226415094	USP21
protein tyrosine kinase activity (GO:0004713)	1/108	0.56227028865236	0.652837315012472	1	0.00925925925925926	ABL1
deubiquitinase activity (GO:0101005)	1/112	0.575497896633776	0.658700085505824	1	0.00892857142857143	USP21
kinase activity (GO:0016301)	1/112	0.575497896633776	0.658700085505824	1	0.00892857142857143	ABL1
omega peptidase activity (GO:0008242)	1/113	0.578742271658297	0.658700085505824	1	0.00884955752212389	USP21
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	10/1359	0.588690021939256	0.665642965983604	10	0.00735835172921266	HIC2;ZGPAT;KLF13;NFATC3;CTCF;ZNF444;MEF2D;NFE2L1;HDAC6;RUNX1
mRNA binding (GO:0003729)	2/263	0.596483585331147	0.667107708223667	2	0.00760456273764259	RBM4B;EIF4G1
