Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysine degradation	3/63	0.0122533965505827	0.428313250836063	3	0.0476190476190476	ECHS1;SETD1A;PLOD3
Glycolysis / Gluconeogenesis	3/67	0.0144611362799919	0.428313250836063	3	0.0447761194029851	PFKL;ACSS1;PFKP
Central carbon metabolism in cancer	3/70	0.0162552154106178	0.428313250836063	3	0.0428571428571429	PFKL;MAP2K2;PFKP
Chronic myeloid leukemia	3/76	0.0202022804160722	0.428313250836063	3	0.0394736842105263	MAP2K2;ABL1;RUNX1
Amyotrophic lateral sclerosis	7/364	0.0214508292828897	0.428313250836063	7	0.0192307692307692	ATXN2L;ACTR1A;NDUFS8;NDUFS7;SDHA;UBQLN4;HDAC6
Citrate cycle (TCA cycle)	2/30	0.0217170439806355	0.428313250836063	2	0.0666666666666667	IDH3B;SDHA
Pentose phosphate pathway	2/30	0.0217170439806355	0.428313250836063	2	0.0666666666666667	PFKL;PFKP
Galactose metabolism	2/31	0.0231006427672299	0.428313250836063	2	0.0645161290322581	PFKL;PFKP
Fructose and mannose metabolism	2/33	0.0259733720779601	0.428313250836063	2	0.0606060606060606	PFKL;PFKP
Propanoate metabolism	2/34	0.0274612894254046	0.428313250836063	2	0.0588235294117647	ECHS1;ACSS1
Huntington disease	6/306	0.0296830283170535	0.428313250836063	6	0.0196078431372549	ACTR1A;NDUFS8;NDUFS7;AP2S1;SDHA;AP2M1
Thermogenesis	5/232	0.0323255283649859	0.428313250836063	5	0.021551724137931	SMARCD2;NDUFS8;NDUFS7;SDHA;SMARCA4
cGMP-PKG signaling pathway	4/167	0.0387605946465929	0.474071888369867	4	0.0239520958083832	MAP2K2;NFATC3;MEF2D;PPP1CA
HIF-1 signaling pathway	3/109	0.0504412917797211	0.533936285485126	3	0.0275229357798165	PFKL;MAP2K2;PFKP
Valine, leucine and isoleucine degradation	2/48	0.0515583670832979	0.533936285485126	2	0.0416666666666667	ECHS1;BCAT2
RNA transport	4/186	0.0537294375330944	0.533936285485126	4	0.021505376344086	DDX19A;RANGAP1;EIF4G1;EIF3B
Sulfur relay system	1/8	0.0592169038679493	0.536310742868207	1	0.125	URM1
Endocrine and other factor-regulated calcium reabsorption	2/53	0.0614712576334358	0.536310742868207	2	0.0377358490566038	AP2S1;AP2M1
Thyroid hormone signaling pathway	3/121	0.0648711401634225	0.536310742868207	3	0.0247933884297521	PFKL;MAP2K2;PFKP
Diabetic cardiomyopathy	4/203	0.0694252868867082	0.536310742868207	4	0.0197044334975369	NDUFS8;NDUFS7;SDHA;PPP1CA
Viral myocarditis	2/60	0.076323713214089	0.536310742868207	2	0.0333333333333333	ABL1;EIF4G1
Vascular smooth muscle contraction	3/133	0.0809767818180162	0.536310742868207	3	0.0225563909774436	MAP2K2;ARHGEF1;PPP1CA
Oxidative phosphorylation	3/133	0.0809767818180162	0.536310742868207	3	0.0225563909774436	NDUFS8;NDUFS7;SDHA
Regulation of actin cytoskeleton	4/218	0.0850225725667306	0.536310742868207	4	0.018348623853211	DIAPH1;MAP2K2;ARHGEF1;PPP1CA
Yersinia infection	3/137	0.0866955765242349	0.536310742868207	3	0.0218978102189781	MAP2K2;NFATC3;ARHGEF1
Acute myeloid leukemia	2/67	0.092173425573212	0.536310742868207	2	0.0298507462686567	MAP2K2;RUNX1
Long-term potentiation	2/67	0.092173425573212	0.536310742868207	2	0.0298507462686567	MAP2K2;PPP1CA
Non-homologous end-joining	1/13	0.0944446591214453	0.536310742868207	1	0.0769230769230769	XRCC6
Oxytocin signaling pathway	3/154	0.112793184707831	0.57221985592849	3	0.0194805194805195	MAP2K2;NFATC3;PPP1CA
Non-alcoholic fatty liver disease	3/155	0.114413043046883	0.57221985592849	3	0.0193548387096774	NDUFS8;NDUFS7;SDHA
Cellular senescence	3/156	0.116041754847273	0.57221985592849	3	0.0192307692307692	MAP2K2;NFATC3;PPP1CA
Synaptic vesicle cycle	2/78	0.118756685770793	0.57221985592849	2	0.0256410256410256	AP2S1;AP2M1
RNA degradation	2/79	0.12126059747251	0.57221985592849	2	0.0253164556962025	PFKL;PFKP
B cell receptor signaling pathway	2/81	0.126307099942252	0.57221985592849	2	0.0246913580246914	MAP2K2;NFATC3
Glycosaminoglycan degradation	1/19	0.134992079321435	0.57221985592849	1	0.0526315789473684	GUSB
Hepatocellular carcinoma	3/168	0.13624414604521	0.57221985592849	3	0.0178571428571429	SMARCD2;MAP2K2;SMARCA4
ErbB signaling pathway	2/85	0.136545485923271	0.57221985592849	2	0.0235294117647059	MAP2K2;ABL1
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.146960551688728	0.57221985592849	2	0.0224719101123595	MAP2K2;NFATC3
Pantothenate and CoA biosynthesis	1/21	0.148102951692341	0.57221985592849	1	0.0476190476190476	BCAT2
Pathways of neurodegeneration	6/475	0.154186277005525	0.57221985592849	6	0.0126315789473684	ATXN2L;ACTR1A;MAP2K2;NDUFS8;NDUFS7;SDHA
Arginine biosynthesis	1/22	0.154584164992083	0.57221985592849	1	0.0454545454545455	ACY1
Terpenoid backbone biosynthesis	1/22	0.154584164992083	0.57221985592849	1	0.0454545454545455	DHDDS
Prion disease	4/273	0.154751281791981	0.57221985592849	4	0.0146520146520147	STIP1;NDUFS8;NDUFS7;SDHA
mRNA surveillance pathway	2/98	0.170940147289703	0.581529368986576	2	0.0204081632653061	DDX19A;PPP1CA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.180022813559029	0.581529368986576	1	0.0384615384615385	GPAA1
Fatty acid elongation	1/27	0.186262743123984	0.581529368986576	1	0.037037037037037	ECHS1
T cell receptor signaling pathway	2/104	0.18726638983545	0.581529368986576	2	0.0192307692307692	MAP2K2;NFATC3
Pathogenic Escherichia coli infection	3/197	0.189327611173885	0.581529368986576	3	0.0152284263959391	CLDN15;ABL1;ARHGEF1
Butanoate metabolism	1/28	0.192455497614786	0.581529368986576	1	0.0357142857142857	ECHS1
Parathyroid hormone synthesis, secretion and action	2/106	0.192757041910448	0.581529368986576	2	0.0188679245283019	ARHGEF1;MEF2D
Th17 cell differentiation	2/107	0.195510369496795	0.581529368986576	2	0.0186915887850467	NFATC3;RUNX1
Glucagon signaling pathway	2/107	0.195510369496795	0.581529368986576	2	0.0186915887850467	PFKL;PFKP
Ascorbate and aldarate metabolism	1/30	0.204700895906085	0.581529368986576	1	0.0333333333333333	GUSB
beta-Alanine metabolism	1/30	0.204700895906085	0.581529368986576	1	0.0333333333333333	ECHS1
Glyoxylate and dicarboxylate metabolism	1/30	0.204700895906085	0.581529368986576	1	0.0333333333333333	ACSS1
Proteoglycans in cancer	3/205	0.204815375240555	0.581529368986576	3	0.0146341463414634	MAP2K2;ARHGEF1;PPP1CA
Lipid and atherosclerosis	3/215	0.224565674676367	0.613948008465061	3	0.013953488372093	NFATC3;MIB2;ARHGEF1
Pentose and glucuronate interconversions	1/34	0.228641004905514	0.613948008465061	1	0.0294117647058824	GUSB
Neurotrophin signaling pathway	2/119	0.228877234505399	0.613948008465061	2	0.0168067226890756	MAP2K2;ABL1
AMPK signaling pathway	2/120	0.231678493760401	0.613948008465061	2	0.0166666666666667	PFKL;PFKP
Platelet activation	2/124	0.242903864538954	0.621172634503729	2	0.0161290322580645	ARHGEF1;PPP1CA
Human cytomegalovirus infection	3/225	0.244672512138655	0.621172634503729	3	0.0133333333333333	MAP2K2;NFATC3;ARHGEF1
Thyroid cancer	1/37	0.246125006124119	0.621172634503729	1	0.027027027027027	MAP2K2
Lysosome	2/128	0.254152747375529	0.626864352916074	2	0.015625	LAPTM5;GUSB
Natural killer cell mediated cytotoxicity	2/131	0.262597912694293	0.626864352916074	2	0.0152671755725191	MAP2K2;ICAM2
Bladder cancer	1/41	0.268826031718954	0.626864352916074	1	0.024390243902439	MAP2K2
Tryptophan metabolism	1/42	0.274394360568625	0.626864352916074	1	0.0238095238095238	ECHS1
Apelin signaling pathway	2/137	0.279490340617207	0.626864352916074	2	0.0145985401459854	MAP2K2;MEF2D
Insulin signaling pathway	2/137	0.279490340617207	0.626864352916074	2	0.0145985401459854	MAP2K2;PPP1CA
Fatty acid degradation	1/43	0.279920560107178	0.626864352916074	1	0.0232558139534884	ECHS1
Porphyrin and chlorophyll metabolism	1/43	0.279920560107178	0.626864352916074	1	0.0232558139534884	GUSB
Parkinson disease	3/249	0.293915359250787	0.630933142787922	3	0.0120481927710843	NDUFS8;NDUFS7;SDHA
Other types of O-glycan biosynthesis	1/47	0.301610362316692	0.630933142787922	1	0.0212765957446809	PLOD3
Pyruvate metabolism	1/47	0.301610362316692	0.630933142787922	1	0.0212765957446809	ACSS1
Amino sugar and nucleotide sugar metabolism	1/48	0.306930617839149	0.630933142787922	1	0.0208333333333333	CYB5R3
Alzheimer disease	4/369	0.308441839250408	0.630933142787922	4	0.010840108401084	MAP2K2;NDUFS8;NDUFS7;SDHA
Cell adhesion molecules	2/148	0.310370792871278	0.630933142787922	2	0.0135135135135135	CLDN15;ICAM2
Retrograde endocannabinoid signaling	2/148	0.310370792871278	0.630933142787922	2	0.0135135135135135	NDUFS8;NDUFS7
Spliceosome	2/150	0.315961365803397	0.630933142787922	2	0.0133333333333333	PUF60;DDX23
Cysteine and methionine metabolism	1/50	0.317450637880715	0.630933142787922	1	0.02	BCAT2
Cushing syndrome	2/155	0.329891873514468	0.642596029928673	2	0.0129032258064516	MAP2K2;WDR5
Glycosaminoglycan biosynthesis	1/53	0.332933947543977	0.642596029928673	1	0.0188679245283019	B3GAT3
Hepatitis C	2/157	0.335443210591697	0.642596029928673	2	0.0127388535031847	MAP2K2;CLDN15
Hepatitis B	2/162	0.349261535601027	0.650915708725766	2	0.0123456790123457	MAP2K2;NFATC3
Endometrial cancer	1/58	0.357967832989926	0.650915708725766	1	0.0172413793103448	MAP2K2
Wnt signaling pathway	2/166	0.360247542641426	0.650915708725766	2	0.0120481927710843	RUVBL1;NFATC3
VEGF signaling pathway	1/59	0.362861460595225	0.650915708725766	1	0.0169491525423729	MAP2K2
Notch signaling pathway	1/59	0.362861460595225	0.650915708725766	1	0.0169491525423729	NCOR2
Long-term depression	1/60	0.367718031958389	0.650915708725766	1	0.0166666666666667	MAP2K2
Tight junction	2/169	0.368442853995717	0.650915708725766	2	0.0118343195266272	CLDN15;RUNX1
Protein processing in endoplasmic reticulum	2/171	0.373883957917472	0.653269772625033	2	0.0116959064327485	PRKCSH;UBQLN4
GnRH secretion	1/64	0.386779299275949	0.666235056995304	1	0.015625	MAP2K2
Axon guidance	2/182	0.403456820213211	0.666235056995304	2	0.010989010989011	ABL1;NFATC3
Fc epsilon RI signaling pathway	1/68	0.405269596460818	0.666235056995304	1	0.0147058823529412	MAP2K2
Amphetamine addiction	1/69	0.409804959216901	0.666235056995304	1	0.0144927536231884	PPP1CA
Renal cell carcinoma	1/69	0.409804959216901	0.666235056995304	1	0.0144927536231884	MAP2K2
Alcoholism	2/186	0.414049239738553	0.666235056995304	2	0.010752688172043	HDAC6;PPP1CA
Prolactin signaling pathway	1/70	0.414305961420649	0.666235056995304	1	0.0142857142857143	MAP2K2
Neutrophil extracellular trap formation	2/189	0.421932657542402	0.666235056995304	2	0.0105820105820106	MAP2K2;HDAC6
Melanoma	1/72	0.423205916707709	0.666235056995304	1	0.0138888888888889	MAP2K2
Non-small cell lung cancer	1/72	0.423205916707709	0.666235056995304	1	0.0138888888888889	MAP2K2
Kaposi sarcoma-associated herpesvirus infection	2/193	0.432359458926247	0.673518671416161	2	0.0103626943005181	MAP2K2;NFATC3
Glioma	1/75	0.436304548150092	0.673518671416161	1	0.0133333333333333	MAP2K2
Focal adhesion	2/201	0.452909949853109	0.692429634871581	2	0.00995024875621891	DIAPH1;PPP1CA
Viral carcinogenesis	2/203	0.457982002211125	0.693515603348275	2	0.00985221674876847	CHD4;HDAC6
Human immunodeficiency virus 1 infection	2/212	0.480467393196279	0.71517584228087	2	0.00943396226415094	MAP2K2;NFATC3
Colorectal cancer	1/86	0.481854191516413	0.71517584228087	1	0.0116279069767442	MAP2K2
Gap junction	1/88	0.489734012231164	0.71517584228087	1	0.0113636363636364	MAP2K2
cAMP signaling pathway	2/216	0.490277778670533	0.71517584228087	2	0.00925925925925926	MAP2K2;PPP1CA
Human T-cell leukemia virus 1 infection	2/219	0.497559643818047	0.71919984879154	2	0.0091324200913242	MAP2K2;NFATC3
Th1 and Th2 cell differentiation	1/92	0.505138266518598	0.722479797556854	1	0.0108695652173913	NFATC3
GnRH signaling pathway	1/93	0.508916586958287	0.722479797556854	1	0.010752688172043	MAP2K2
Prostate cancer	1/97	0.523745424116781	0.72419357919201	1	0.0103092783505155	MAP2K2
Choline metabolism in cancer	1/98	0.527382589993278	0.72419357919201	1	0.0102040816326531	MAP2K2
Inflammatory mediator regulation of TRP channels	1/98	0.527382589993278	0.72419357919201	1	0.0102040816326531	PPP1CA
Ras signaling pathway	2/232	0.528342485448259	0.72419357919201	2	0.00862068965517241	MAP2K2;ABL1
AGE-RAGE signaling pathway in diabetic complications	1/100	0.534574342306715	0.725106487685908	1	0.01	DIAPH1
Melanogenesis	1/101	0.538129343062498	0.725106487685908	1	0.0099009900990099	MAP2K2
Toll-like receptor signaling pathway	1/104	0.548633298348281	0.726584377601762	1	0.00961538461538462	MAP2K2
C-type lectin receptor signaling pathway	1/104	0.548633298348281	0.726584377601762	1	0.00961538461538462	NFATC3
Drug metabolism	1/108	0.56227028865236	0.726584377601762	1	0.00925925925925926	GUSB
Insulin resistance	1/108	0.56227028865236	0.726584377601762	1	0.00925925925925926	PPP1CA
Ribosome biogenesis in eukaryotes	1/108	0.56227028865236	0.726584377601762	1	0.00925925925925926	BMS1
Salmonella infection	2/249	0.566644420268041	0.726584377601762	2	0.00803212851405622	ACTR1A;MAP2K2
Endocytosis	2/252	0.57316894707938	0.728003824056124	2	0.00793650793650794	AP2S1;AP2M1
Pathways in cancer	4/531	0.576908690761457	0.728003824056124	4	0.00753295668549906	MAP2K2;ABL1;ARHGEF1;RUNX1
Leukocyte transendothelial migration	1/114	0.581962012429684	0.728598110049762	1	0.0087719298245614	CLDN15
Sphingolipid signaling pathway	1/119	0.597697657657042	0.736697112926122	1	0.00840336134453781	MAP2K2
Growth hormone synthesis, secretion and action	1/119	0.597697657657042	0.736697112926122	1	0.00840336134453781	MAP2K2
Cell cycle	1/124	0.612844735270588	0.749556253138642	1	0.00806451612903226	ABL1
Oocyte meiosis	1/129	0.62742511927177	0.75154041185502	1	0.00775193798449612	PPP1CA
Relaxin signaling pathway	1/129	0.62742511927177	0.75154041185502	1	0.00775193798449612	MAP2K2
FoxO signaling pathway	1/131	0.633103344006938	0.75154041185502	1	0.00763358778625954	MAP2K2
Dopaminergic synapse	1/132	0.635910133125822	0.75154041185502	1	0.00757575757575758	PPP1CA
Autophagy	1/137	0.649627300595693	0.75154041185502	1	0.0072992700729927	MAP2K2
Estrogen signaling pathway	1/137	0.649627300595693	0.75154041185502	1	0.0072992700729927	MAP2K2
MAPK signaling pathway	2/294	0.657041168133599	0.75154041185502	2	0.00680272108843537	MAP2K2;NFATC3
Apoptosis	1/142	0.662830940473373	0.75154041185502	1	0.00704225352112676	MAP2K2
Signaling pathways regulating pluripotency of stem cells	1/143	0.665411738717356	0.75154041185502	1	0.00699300699300699	MAP2K2
