Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Classical Hodgkin's Lymphoma	3/166	0.0011291976051592	0.189562217773918	3	0.0180722891566265	TNFSF10;CD58;B2M
Ewings sarcoma-primitive neuroectodermal tumor (PNET)	2/42	0.00125255578049936	0.189562217773918	2	0.0476190476190476	CD58;B2M
Acquired Immunodeficiency Syndrome	3/188	0.00161429641717817	0.189562217773918	3	0.0159574468085106	TNFSF10;CD58;B2M
Inflammatory disorder	3/192	0.00171446938028924	0.189562217773918	3	0.015625	TNFSF10;S100A12;B2M
Cholestasis	3/315	0.0068853492786488	0.189562217773918	3	0.00952380952380952	TNFSF10;LY96;B2M
Orthostatic hypotension due to autonomic dysfunction	1/6	0.00747744681013907	0.189562217773918	1	0.166666666666667	B2M
Gastrointestinal dysmotility	1/6	0.00747744681013907	0.189562217773918	1	0.166666666666667	B2M
Autonomic dysregulation	1/7	0.0087184638276748	0.189562217773918	1	0.142857142857143	B2M
Peritoneal dissemination	1/7	0.0087184638276748	0.189562217773918	1	0.142857142857143	TNFSF10
Generalized amyloid deposition	1/7	0.0087184638276748	0.189562217773918	1	0.142857142857143	B2M
Southeast Asian ovalocytosis	1/7	0.0087184638276748	0.189562217773918	1	0.142857142857143	CD58
Neoplasm of skeletal system	1/7	0.0087184638276748	0.189562217773918	1	0.142857142857143	TNFSF10
Macular Holes	1/8	0.0099579917015561	0.189562217773918	1	0.125	TNFSF10
Amyloidosis, familial visceral	1/8	0.0099579917015561	0.189562217773918	1	0.125	B2M
Neuroepithelioma, Peripheral	1/8	0.0099579917015561	0.189562217773918	1	0.125	B2M
Peripheral T-Cell Lymphoma	2/123	0.0102607642781478	0.189562217773918	2	0.016260162601626	CD58;B2M
Multiple Sclerosis	5/1106	0.0107859028393482	0.189562217773918	5	0.00452079566003617	TNFSF10;S100A12;CD58;B2M;CKLF
Ependymoma	2/128	0.0110732557767541	0.189562217773918	2	0.015625	S100A12;DNAJC15
Bare Lymphocyte Syndrome, Type I	1/9	0.0111960320481715	0.189562217773918	1	0.111111111111111	B2M
Undifferentiated Neuroblastoma	1/9	0.0111960320481715	0.189562217773918	1	0.111111111111111	B2M
Intermittent diarrhea	1/9	0.0111960320481715	0.189562217773918	1	0.111111111111111	B2M
Keratitis sicca	1/9	0.0111960320481715	0.189562217773918	1	0.111111111111111	B2M
Fecal Incontinence	1/10	0.0124325865055396	0.189562217773918	1	0.1	B2M
Hereditary systemic amyloidosis	1/10	0.0124325865055396	0.189562217773918	1	0.1	B2M
Plasma cell inflammation	1/11	0.0136676567242549	0.189562217773918	1	0.0909090909090909	B2M
Burn scar	1/11	0.0136676567242549	0.189562217773918	1	0.0909090909090909	S100A12
Xerophthalmia	1/11	0.0136676567242549	0.189562217773918	1	0.0909090909090909	B2M
Myositis	2/143	0.0136750745853578	0.189562217773918	2	0.013986013986014	TNFSF10;CKLF
46,XY partial gonadal dysgenesis	1/12	0.0149012443701484	0.189562217773918	1	0.0833333333333333	VAMP7
Abnormality of the labia	1/12	0.0149012443701484	0.189562217773918	1	0.0833333333333333	VAMP7
Abnormality of the scrotum	1/12	0.0149012443701484	0.189562217773918	1	0.0833333333333333	VAMP7
Nasopharyngeal carcinoma	4/782	0.0152466418487443	0.189562217773918	4	0.0051150895140665	SRGN;TNFSF10;CD58;B2M
Aplastic Anemia	2/155	0.015929275316928	0.189562217773918	2	0.0129032258064516	TNFSF10;B2M
Testicular regression syndrome	1/13	0.016133351108423	0.189562217773918	1	0.0769230769230769	VAMP7
Amyloid Neuropathies, Familial	1/13	0.016133351108423	0.189562217773918	1	0.0769230769230769	B2M
Jaundice, Chronic Idiopathic	1/13	0.016133351108423	0.189562217773918	1	0.0769230769230769	S100A12
Chronic constipation	1/13	0.016133351108423	0.189562217773918	1	0.0769230769230769	B2M
Osteoporosis	3/441	0.0170860698010611	0.189562217773918	3	0.00680272108843537	ATP6V1G1;VAMP7;S100A12
Supratentorial Embryonal Tumor, Not Otherwise Specified	1/14	0.0173639786153884	0.189562217773918	1	0.0714285714285714	DNAJC15
Abnormal sex determination	1/14	0.0173639786153884	0.189562217773918	1	0.0714285714285714	VAMP7
Hypoproteinemia	1/14	0.0173639786153884	0.189562217773918	1	0.0714285714285714	B2M
Reproductive tract infection	1/15	0.0185931285667873	0.189562217773918	1	0.0666666666666667	B2M
Familial cold urticaria	1/15	0.0185931285667873	0.189562217773918	1	0.0666666666666667	VAMP7
Fowlpox	1/15	0.0185931285667873	0.189562217773918	1	0.0666666666666667	CD58
Plasmacytosis	1/15	0.0185931285667873	0.189562217773918	1	0.0666666666666667	B2M
Systemic amyloidosis	1/15	0.0185931285667873	0.189562217773918	1	0.0666666666666667	B2M
Reoviridae Infections	1/16	0.0198208026407264	0.189562217773918	1	0.0625	TNFSF10
Female external genitalia in individual with 46,XY karyotype	1/16	0.0198208026407264	0.189562217773918	1	0.0625	VAMP7
Serous cystadenocarcinoma ovary	1/16	0.0198208026407264	0.189562217773918	1	0.0625	B2M
Primary Systemic Amyloidosis	1/16	0.0198208026407264	0.189562217773918	1	0.0625	B2M
Pathologic Neovascularization	1/17	0.0210470025189845	0.189562217773918	1	0.0588235294117647	TNFSF10
Mouth Diseases	1/17	0.0210470025189845	0.189562217773918	1	0.0588235294117647	S100A12
Asthma	5/1313	0.0213656349756544	0.189562217773918	5	0.00380807311500381	TNFSF10;LY96;S100A12;GLRX;CKLF
Hepatitis, Chronic	2/183	0.0217587385597152	0.189562217773918	2	0.0109289617486339	TNFSF10;B2M
Retinal ischemia	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	LY96
Hypoplasia of vagina	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	VAMP7
Rudimentary vagina	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	VAMP7
Urogenital sinus anomaly	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	VAMP7
Sexually Transmitted Diseases	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	B2M
Radial bowing	1/18	0.0222717298790694	0.189562217773918	1	0.0555555555555556	B2M
Pneumonia	3/497	0.0233795211938069	0.189562217773918	3	0.00603621730382294	TNFSF10;LY96;S100A12
Adult T-Cell Lymphoma/Leukemia	3/500	0.0237480115110783	0.189562217773918	3	0.006	TNFSF10;CD58;B2M
Constitutional Symptom	1/20	0.0247167737784927	0.189562217773918	1	0.05	B2M
Corneal pannus	1/20	0.0247167737784927	0.189562217773918	1	0.05	TNFSF10
Acral pseudolymphomatous angiokeratoma of children (APACHE)	1/20	0.0247167737784927	0.189562217773918	1	0.05	S100A12
Cerebral Vasospasm	1/20	0.0247167737784927	0.189562217773918	1	0.05	S100A12
Streak ovary	1/20	0.0247167737784927	0.189562217773918	1	0.05	VAMP7
Elevated circulating luteinizing hormone level	1/20	0.0247167737784927	0.189562217773918	1	0.05	VAMP7
Chronic ulcerative colitis	1/20	0.0247167737784927	0.189562217773918	1	0.05	B2M
Anaplastic carcinoma	2/204	0.026627108198952	0.189562217773918	2	0.00980392156862745	TNFSF10;LY96
Bare Lymphocyte Syndrome	1/22	0.0271559477765974	0.189562217773918	1	0.0454545454545455	B2M
CATARACT, MARNER TYPE	1/22	0.0271559477765974	0.189562217773918	1	0.0454545454545455	CD58
AIDS with Kaposi's sarcoma	1/22	0.0271559477765974	0.189562217773918	1	0.0454545454545455	TNFSF10
ovarian neoplasm	4/938	0.0277132022690343	0.189562217773918	4	0.00426439232409382	PPP1CC;TNFSF10;DNAJC15;B2M
Myxoid cyst	2/209	0.0278459952020625	0.189562217773918	2	0.00956937799043062	S100A12;CD58
Hepatocellular necrosis	1/23	0.0283733377644313	0.189562217773918	1	0.0434782608695652	TNFSF10
Elevated circulating follicle stimulating hormone level	1/23	0.0283733377644313	0.189562217773918	1	0.0434782608695652	VAMP7
Decreased fertility in females	1/24	0.0295892653137072	0.189562217773918	1	0.0416666666666667	VAMP7
Candidemia	1/24	0.0295892653137072	0.189562217773918	1	0.0416666666666667	CD58
Pure gonadal dysgenesis	1/24	0.0295892653137072	0.189562217773918	1	0.0416666666666667	VAMP7
