Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
protein carboxyl O-methyltransferase activity (GO:0051998)	1/6	0.00747744681013907	0.112832548784932	1	0.166666666666667	PCMTD1
disulfide oxidoreductase activity (GO:0015036)	1/8	0.0099579917015561	0.112832548784932	1	0.125	GLRX
RAGE receptor binding (GO:0050786)	1/9	0.0111960320481715	0.112832548784932	1	0.111111111111111	S100A12
cytochrome-c oxidase activity (GO:0004129)	1/15	0.0185931285667873	0.112832548784932	1	0.0666666666666667	NDUFA4
ATPase activator activity (GO:0001671)	1/20	0.0247167737784927	0.112832548784932	1	0.05	DNAJC15
ubiquitin conjugating enzyme activity (GO:0061631)	1/35	0.0428684260822969	0.112832548784932	1	0.0285714285714286	UBE2E1
NADH dehydrogenase (quinone) activity (GO:0050136)	1/35	0.0428684260822969	0.112832548784932	1	0.0285714285714286	NDUFA4
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	1/35	0.0428684260822969	0.112832548784932	1	0.0285714285714286	NDUFA4
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	1/38	0.0464596315903414	0.112832548784932	1	0.0263157894736842	UBE2E1
ATPase regulator activity (GO:0060590)	1/38	0.0464596315903414	0.112832548784932	1	0.0263157894736842	DNAJC15
proton transmembrane transporter activity (GO:0015078)	1/40	0.048846578661385	0.112832548784932	1	0.025	NDUFA4
active ion transmembrane transporter activity (GO:0022853)	1/42	0.0512277892154369	0.112832548784932	1	0.0238095238095238	NDUFA4
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	1/43	0.0524162474254505	0.112832548784932	1	0.0232558139534884	PCMTD1
copper ion binding (GO:0005507)	1/45	0.0547888779421461	0.112832548784932	1	0.0222222222222222	S100A12
chemokine activity (GO:0008009)	1/46	0.0559730535406076	0.112832548784932	1	0.0217391304347826	CKLF
chemokine receptor binding (GO:0042379)	1/50	0.0606955298241754	0.112832548784932	1	0.02	CKLF
phosphoric ester hydrolase activity (GO:0042578)	1/53	0.0642224954747202	0.112832548784932	1	0.0188679245283019	PPP1CC
zinc ion binding (GO:0008270)	2/336	0.065515673488025	0.112832548784932	2	0.00595238095238095	TNFSF10;S100A12
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	1/58	0.0700725371329717	0.114328876374849	1	0.0172413793103448	NDUFA4
protein serine/threonine phosphatase activity (GO:0004722)	1/62	0.074727276437816	0.115827278478615	1	0.0161290322580645	PPP1CC
ATPase binding (GO:0051117)	1/73	0.0874127663656434	0.129037893206426	1	0.0136986301369863	ATP6V1G1
phosphatase activity (GO:0016791)	1/79	0.0942615791008968	0.132823134187627	1	0.0126582278481013	PPP1CC
transition metal ion binding (GO:0046914)	2/445	0.105998062989128	0.142866954463607	2	0.00449438202247191	TNFSF10;S100A12
kinase binding (GO:0019900)	2/461	0.112419051935432	0.145207942083266	2	0.00433839479392625	PPP1CC;RB1CC1
protein kinase binding (GO:0019901)	2/506	0.131010085448738	0.162452505956435	2	0.00395256916996047	PPP1CC;RB1CC1
cytokine activity (GO:0005125)	1/173	0.195328512709887	0.232891688231019	1	0.00578034682080925	CKLF
calcium ion binding (GO:0005509)	1/348	0.35537979413208	0.408028652522018	1	0.0028735632183908	S100A12
ubiquitin-protein transferase activity (GO:0004842)	1/392	0.390529574449955	0.432372028855307	1	0.00255102040816327	UBE2E1
metal ion binding (GO:0046872)	1/517	0.480634122406001	0.513781303261588	1	0.00193423597678917	S100A12
protein homodimerization activity (GO:0042803)	1/636	0.554432477308144	0.572913559885082	1	0.00157232704402516	B2M
RNA binding (GO:0003723)	1/1406	0.838534071884666	0.838534071884666	1	0.000711237553342817	PPP1CC
