Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Oxidative phosphorylation	2/133	0.0119133690372257	0.245096240580481	2	0.0150375939849624	ATP6V1G1;NDUFA4
Epstein-Barr virus infection	2/202	0.0261458788108373	0.245096240580481	2	0.0099009900990099	CD58;B2M
Diabetic cardiomyopathy	2/203	0.0263860392421063	0.245096240580481	2	0.00985221674876847	PPP1CC;NDUFA4
Lipid and atherosclerosis	2/215	0.0293381315708654	0.245096240580481	2	0.00930232558139535	TNFSF10;LY96
Collecting duct acid secretion	1/27	0.0332282900970065	0.245096240580481	1	0.037037037037037	ATP6V1G1
Salmonella infection	2/249	0.0383765652685901	0.245096240580481	2	0.00803212851405622	TNFSF10;LY96
SNARE interactions in vesicular transport	1/33	0.0404670797978911	0.245096240580481	1	0.0303030303030303	VAMP7
Huntington disease	2/306	0.0555616381219643	0.245096240580481	2	0.0065359477124183	NDUFA4;RB1CC1
Vibrio cholerae infection	1/50	0.0606955298241754	0.245096240580481	1	0.02	ATP6V1G1
Amyotrophic lateral sclerosis	2/364	0.0753091485426317	0.245096240580481	2	0.00549450549450549	NDUFA4;RB1CC1
Alzheimer disease	2/369	0.0771057881016967	0.245096240580481	2	0.00542005420054201	NDUFA4;RB1CC1
Long-term potentiation	1/67	0.0805142527998035	0.245096240580481	1	0.0149253731343284	PPP1CC
Amphetamine addiction	1/69	0.0828193009171873	0.245096240580481	1	0.0144927536231884	PPP1CC
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.0839697437215684	0.245096240580481	1	0.0142857142857143	ATP6V1G1
Pertussis	1/76	0.0908433638322228	0.245096240580481	1	0.0131578947368421	LY96
Synaptic vesicle cycle	1/78	0.0931235471667538	0.245096240580481	1	0.0128205128205128	ATP6V1G1
Antigen processing and presentation	1/78	0.0931235471667538	0.245096240580481	1	0.0128205128205128	B2M
Rheumatoid arthritis	1/93	0.110050784689784	0.245096240580481	1	0.010752688172043	ATP6V1G1
Inflammatory mediator regulation of TRP channels	1/98	0.115625484041699	0.245096240580481	1	0.0102040816326531	PPP1CC
mRNA surveillance pathway	1/98	0.115625484041699	0.245096240580481	1	0.0102040816326531	PPP1CC
Viral protein interaction with cytokine and cytokine receptor	1/100	0.117845964040422	0.245096240580481	1	0.01	TNFSF10
Pathways of neurodegeneration	2/475	0.118122075570327	0.245096240580481	2	0.00421052631578947	NDUFA4;RB1CC1
Longevity regulating pathway	1/102	0.12006109138115	0.245096240580481	1	0.00980392156862745	RB1CC1
Toll-like receptor signaling pathway	1/104	0.12227087840991	0.245096240580481	1	0.00961538461538462	LY96
NF-kappa B signaling pathway	1/104	0.12227087840991	0.245096240580481	1	0.00961538461538462	LY96
Insulin resistance	1/108	0.126674480888512	0.245096240580481	1	0.00925925925925926	PPP1CC
Herpes simplex virus 1 infection	2/498	0.127651529817022	0.245096240580481	2	0.00401606425702811	PPP1CC;B2M
Toxoplasmosis	1/112	0.131056869860314	0.245096240580481	1	0.00892857142857143	LY96
Platelet activation	1/124	0.144077732971028	0.245096240580481	1	0.00806451612903226	PPP1CC
Oocyte meiosis	1/129	0.149447628052219	0.245096240580481	1	0.00775193798449612	PPP1CC
Natural killer cell mediated cytotoxicity	1/131	0.151586517552237	0.245096240580481	1	0.00763358778625954	TNFSF10
FoxO signaling pathway	1/131	0.151586517552237	0.245096240580481	1	0.00763358778625954	TNFSF10
Dopaminergic synapse	1/132	0.152654025012426	0.245096240580481	1	0.00757575757575758	PPP1CC
Vascular smooth muscle contraction	1/133	0.153720242987001	0.245096240580481	1	0.0075187969924812	PPP1CC
Insulin signaling pathway	1/137	0.15797224953081	0.245096240580481	1	0.0072992700729927	PPP1CC
Autophagy	1/137	0.15797224953081	0.245096240580481	1	0.0072992700729927	RB1CC1
Ubiquitin mediated proteolysis	1/140	0.161147787516096	0.245096240580481	1	0.00714285714285714	UBE2E1
Apoptosis	1/142	0.163258422244749	0.245096240580481	1	0.00704225352112676	TNFSF10
Spinocerebellar ataxia	1/143	0.16431182690413	0.245096240580481	1	0.00699300699300699	RB1CC1
Cell adhesion molecules	1/148	0.169559781787547	0.245096240580481	1	0.00675675675675676	CD58
Retrograde endocannabinoid signaling	1/148	0.169559781787547	0.245096240580481	1	0.00675675675675676	NDUFA4
Adrenergic signaling in cardiomyocytes	1/150	0.171650092688749	0.245096240580481	1	0.00666666666666667	PPP1CC
