Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Hashimoto Disease	2/186	0.00232163116765276	0.0633641525876342	2	0.010752688172043	ITGAL;CTSB
Atrophy of the spinal cord	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Troyer syndrome	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Progressive spastic paraplegia	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Chorioretinal dystrophy	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Early Inflammatory Arthritis	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	CTSB
Polyneuropathy, Familial	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Pure hereditary spastic paraplegia	1/6	0.00239785896922775	0.0633641525876342	1	0.166666666666667	PNPLA6
Familial Motor Neuron Disease	1/7	0.00279701502710506	0.0633641525876342	1	0.142857142857143	PNPLA6
Anterior Horn Cell Disease	1/7	0.00279701502710506	0.0633641525876342	1	0.142857142857143	PNPLA6
Temporomandibular Joint Dysfunction Syndrome	1/7	0.00279701502710506	0.0633641525876342	1	0.142857142857143	ITGAL
Abnormality of the antitragus	1/8	0.00319603159192642	0.0633641525876342	1	0.125	PNPLA6
Leukocyte Adhesion Deficiency, Type III	1/8	0.00319603159192642	0.0633641525876342	1	0.125	ITGAL
Motor Neuron Disease, Upper	1/8	0.00319603159192642	0.0633641525876342	1	0.125	PNPLA6
TIBIAL MUSCULAR DYSTROPHY, TARDIVE	1/9	0.00359490866621763	0.0633641525876342	1	0.111111111111111	ITGAL
Hypomenorrhea	1/9	0.00359490866621763	0.0633641525876342	1	0.111111111111111	PNPLA6
Brooke-Spiegler syndrome	1/9	0.00359490866621763	0.0633641525876342	1	0.111111111111111	PNPLA6
TROPICAL CALCIFIC PANCREATITIS	1/10	0.00399364626134036	0.0633641525876342	1	0.1	CTSB
Hereditary X-Linked Recessive Spastic Paraplegia	1/10	0.00399364626134036	0.0633641525876342	1	0.1	PNPLA6
clinical depression	1/10	0.00399364626134036	0.0633641525876342	1	0.1	ITGAL
Necrotizing fasciitis	1/11	0.00439224439616303	0.0633641525876342	1	0.0909090909090909	CTSB
Congenital leukocyte adherence deficiency	1/12	0.00479070309341298	0.0633641525876342	1	0.0833333333333333	ITGAL
Distal lower limb muscle weakness	1/12	0.00479070309341298	0.0633641525876342	1	0.0833333333333333	PNPLA6
Autosomal Recessive Hereditary Spastic Paraplegia	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	PNPLA6
Explosive speech	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	PNPLA6
Benign symmetrical lipomatosis	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	PNPLA6
Scanning speech	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	PNPLA6
Skin symptom	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	PNPLA6
Diffuse panbronchiolitis	1/13	0.00518902237949986	0.0633641525876342	1	0.0769230769230769	ITGAL
SEBASTIAN SYNDROME	1/14	0.0055872022837974	0.0633641525876342	1	0.0714285714285714	PNPLA6
Achromatopsia 1	1/14	0.0055872022837974	0.0633641525876342	1	0.0714285714285714	PNPLA6
Amelanotic Skin Melanoma	1/14	0.0055872022837974	0.0633641525876342	1	0.0714285714285714	CTSB
Hereditary Autosomal Dominant Spastic Paraplegia	1/14	0.0055872022837974	0.0633641525876342	1	0.0714285714285714	PNPLA6
Meleda Disease	1/15	0.00598524283644591	0.0633641525876342	1	0.0666666666666667	CTSB
Abnormality of the hypothalamus-pituitary axis	1/15	0.00598524283644591	0.0633641525876342	1	0.0666666666666667	PNPLA6
Achromatopsia	1/16	0.00638314407085165	0.0633641525876342	1	0.0625	PNPLA6
Hand polydactyly	1/16	0.00638314407085165	0.0633641525876342	1	0.0625	PNPLA6
Lateral Sclerosis	1/16	0.00638314407085165	0.0633641525876342	1	0.0625	PNPLA6
Polyneuropathy, Motor	1/16	0.00638314407085165	0.0633641525876342	1	0.0625	PNPLA6
Motor Neuron Disease, Lower	1/17	0.00678090602009761	0.0633641525876342	1	0.0588235294117647	PNPLA6
T-lymphocyte deficiency	1/17	0.00678090602009761	0.0633641525876342	1	0.0588235294117647	ITGAL
Secondary malignant neoplasm of bone	2/330	0.00711658758154154	0.0633641525876342	2	0.00606060606060606	ITGAL;CTSB
Niemann-Pick Diseases	1/18	0.0071785287204102	0.0633641525876342	1	0.0555555555555556	CTSB
Melanoma, Amelanotic	1/19	0.00757601220630419	0.0633641525876342	1	0.0526315789473684	CTSB
Chronic berylliosis	1/19	0.00757601220630419	0.0633641525876342	1	0.0526315789473684	ITGAL
Jaundice, Obstructive	1/20	0.0079733565142536	0.0633641525876342	1	0.05	PNPLA6
Early onset periodontitis	1/20	0.0079733565142536	0.0633641525876342	1	0.05	ITGAL
response to anticoagulant	1/21	0.00837056168160556	0.0633641525876342	1	0.0476190476190476	ITGAL
Papillon-Lefevre Disease	1/21	0.00837056168160556	0.0633641525876342	1	0.0476190476190476	ITGAL
Chronic venous insufficiency	1/21	0.00837056168160556	0.0633641525876342	1	0.0476190476190476	ITGAL
Osteophyte	1/23	0.00916455474573022	0.0633641525876342	1	0.0434782608695652	CTSB
Lupus Erythematosus, Subacute Cutaneous	1/23	0.00916455474573022	0.0633641525876342	1	0.0434782608695652	ITGAL
