Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
T cell extravasation (GO:0072683)	1/5	0.00199856343165899	0.034927596022037	1	0.2	ITGAL
cellular response to thyroid hormone stimulus (GO:0097067)	1/12	0.00479070309341298	0.034927596022037	1	0.0833333333333333	CTSB
response to thyroid hormone (GO:0097066)	1/13	0.00518902237949986	0.034927596022037	1	0.0769230769230769	CTSB
sodium-independent organic anion transport (GO:0043252)	1/14	0.0055872022837974	0.034927596022037	1	0.0714285714285714	MFSD10
NLS-bearing protein import into nucleus (GO:0006607)	1/19	0.00757601220630419	0.034927596022037	1	0.0526315789473684	KPNA6
regulation of mitotic spindle assembly (GO:1901673)	1/19	0.00757601220630419	0.034927596022037	1	0.0526315789473684	EML3
glycerolipid catabolic process (GO:0046503)	1/19	0.00757601220630419	0.034927596022037	1	0.0526315789473684	PNPLA6
positive regulation of viral life cycle (GO:1903902)	1/24	0.00956134271782716	0.034927596022037	1	0.0416666666666667	KPNA6
phospholipid catabolic process (GO:0009395)	1/24	0.00956134271782716	0.034927596022037	1	0.0416666666666667	PNPLA6
regulation of spindle assembly (GO:0090169)	1/25	0.0099579917015561	0.034927596022037	1	0.04	EML3
regulation of viral life cycle (GO:1903900)	1/26	0.0103545017362566	0.034927596022037	1	0.0384615384615385	KPNA6
receptor clustering (GO:0043113)	1/28	0.0111471051134161	0.034927596022037	1	0.0357142857142857	ITGAL
leukocyte cell-cell adhesion (GO:0007159)	1/28	0.0111471051134161	0.034927596022037	1	0.0357142857142857	ITGAL
T cell activation involved in immune response (GO:0002286)	1/28	0.0111471051134161	0.034927596022037	1	0.0357142857142857	ITGAL
glycerophospholipid catabolic process (GO:0046475)	1/28	0.0111471051134161	0.034927596022037	1	0.0357142857142857	PNPLA6
regulation of mitotic spindle organization (GO:0060236)	1/35	0.0139168458355772	0.0373304440333586	1	0.0285714285714286	EML3
neutrophil degranulation (GO:0043312)	2/481	0.0146814177488723	0.0373304440333586	2	0.00415800415800416	ITGAL;CTSB
neutrophil activation involved in immune response (GO:0002283)	2/485	0.0149148648332886	0.0373304440333586	2	0.00412371134020619	ITGAL;CTSB
neutrophil mediated immunity (GO:0002446)	2/488	0.0150910305666769	0.0373304440333586	2	0.00409836065573771	ITGAL;CTSB
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	1/42	0.0166797975569069	0.0391975242587311	1	0.0238095238095238	ITGAL
mitotic metaphase plate congression (GO:0007080)	1/51	0.0202222107748752	0.0452592336390065	1	0.0196078431372549	EML3
cellular protein catabolic process (GO:0044257)	1/60	0.0237534541210961	0.0488174473200715	1	0.0166666666666667	CTSB
pattern recognition receptor signaling pathway (GO:0002221)	1/61	0.0241451262933278	0.0488174473200715	1	0.0163934426229508	CTSB
positive regulation of viral process (GO:0048524)	1/63	0.0249280582059939	0.0488174473200715	1	0.0158730158730159	KPNA6
ubiquitin-dependent ERAD pathway (GO:0030433)	1/73	0.0288344798754145	0.0503634090640687	1	0.0136986301369863	RHBDD2
proteolysis involved in cellular protein catabolic process (GO:0051603)	1/74	0.0292243678788926	0.0503634090640687	1	0.0135135135135135	CTSB
protein import into nucleus (GO:0006606)	1/76	0.0300037330594452	0.0503634090640687	1	0.0131578947368421	KPNA6
cellular response to hormone stimulus (GO:0032870)	1/76	0.0300037330594452	0.0503634090640687	1	0.0131578947368421	CTSB
glycerophospholipid metabolic process (GO:0006650)	1/80	0.0315608212516243	0.0511502965112532	1	0.0125	PNPLA6
ERAD pathway (GO:0036503)	1/87	0.0342804638132286	0.0537060599740582	1	0.0114942528735632	RHBDD2
toll-like receptor signaling pathway (GO:0002224)	1/91	0.0358315430597974	0.0538294725429777	1	0.010989010989011	CTSB
organic anion transport (GO:0015711)	1/99	0.0389271636980286	0.0538294725429777	1	0.0101010101010101	MFSD10
cell-matrix adhesion (GO:0007160)	1/100	0.0393135041520565	0.0538294725429777	1	0.01	ITGAL
epithelial cell differentiation (GO:0030855)	1/101	0.0396997087104848	0.0538294725429777	1	0.0099009900990099	CTSB
mitotic sister chromatid segregation (GO:0000070)	1/102	0.0400857774256217	0.0538294725429777	1	0.00980392156862745	EML3
epithelium development (GO:0060429)	1/122	0.0477786858359174	0.0623777287302255	1	0.00819672131147541	CTSB
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	1/170	0.0660219724849666	0.0838657488322549	1	0.00588235294117647	ITGAL
regulation of immune response (GO:0050776)	1/179	0.069408326255472	0.0858471403686101	1	0.00558659217877095	ITGAL
regulation of programmed cell death (GO:0043067)	1/194	0.0750283793101757	0.0885973397815468	1	0.00515463917525773	CTSB
protein localization to membrane (GO:0072657)	1/195	0.0754019913034441	0.0885973397815468	1	0.00512820512820513	ITGAL
extracellular structure organization (GO:0043062)	1/216	0.0832174012495757	0.0935390837273867	1	0.00462962962962963	ITGAL
external encapsulating structure organization (GO:0045229)	1/217	0.0835881173734094	0.0935390837273867	1	0.00460829493087558	ITGAL
inflammatory response (GO:0006954)	1/230	0.0883955048247714	0.0966183424828896	1	0.00434782608695652	ITGAL
proteolysis (GO:0006508)	1/287	0.109214547064379	0.116660993455132	1	0.00348432055749129	CTSB
extracellular matrix organization (GO:0030198)	1/300	0.11390406037158	0.118966463054761	1	0.00333333333333333	ITGAL
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	1/321	0.121433803015547	0.124073668298494	1	0.00311526479750779	RHBDD2
regulation of apoptotic process (GO:0042981)	1/742	0.261030808788338	0.261030808788338	1	0.00134770889487871	CTSB
