Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
nuclear import signal receptor activity (GO:0061608)	1/16	0.00638314407085165	0.0286840281534815	1	0.0625	KPNA6
anion transmembrane transporter activity (GO:0008509)	1/17	0.00678090602009761	0.0286840281534815	1	0.0588235294117647	MFSD10
lysophospholipase activity (GO:0004622)	1/21	0.00837056168160556	0.0286840281534815	1	0.0476190476190476	PNPLA6
ubiquitin-specific protease binding (GO:1990381)	1/21	0.00837056168160556	0.0286840281534815	1	0.0476190476190476	RHBDD2
nuclear localization sequence binding (GO:0008139)	1/24	0.00956134271782716	0.0286840281534815	1	0.0416666666666667	KPNA6
signal sequence binding (GO:0005048)	1/42	0.0166797975569069	0.0416994938922672	1	0.0238095238095238	KPNA6
phospholipase activity (GO:0004620)	1/73	0.0288344798754145	0.0617881711616024	1	0.0136986301369863	PNPLA6
carboxylic ester hydrolase activity (GO:0052689)	1/96	0.0377673265742596	0.0618647532952891	1	0.0104166666666667	PNPLA6
cysteine-type peptidase activity (GO:0008234)	1/98	0.0385406873099314	0.0618647532952891	1	0.0102040816326531	CTSB
cysteine-type endopeptidase activity (GO:0004197)	1/105	0.0412431688635261	0.0618647532952891	1	0.00952380952380952	CTSB
protease binding (GO:0002020)	1/118	0.0462444344043176	0.0630605923695239	1	0.00847457627118644	RHBDD2
organic anion transmembrane transporter activity (GO:0008514)	1/144	0.056178529985824	0.0702231624822801	1	0.00694444444444444	MFSD10
microtubule binding (GO:0008017)	1/232	0.0891331408738941	0.10284593177757	1	0.00431034482758621	EML3
tubulin binding (GO:0015631)	1/307	0.116420224128309	0.119288182698353	1	0.00325732899022801	EML3
endopeptidase activity (GO:0004175)	1/315	0.119288182698353	0.119288182698353	1	0.00317460317460317	CTSB
