Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Malaria	1/50	0.0198291614511851	0.0885456139649376	1	0.02	ITGAL
Viral myocarditis	1/60	0.0237534541210961	0.0885456139649376	1	0.0166666666666667	ITGAL
Renin secretion	1/69	0.027273557473831	0.0885456139649376	1	0.0144927536231884	CTSB
Antigen processing and presentation	1/78	0.0307825507393775	0.0885456139649376	1	0.0128205128205128	CTSB
Rheumatoid arthritis	1/93	0.0366062649569838	0.0885456139649376	1	0.010752688172043	ITGAL
Staphylococcus aureus infection	1/95	0.037380442146754	0.0885456139649376	1	0.0105263157894737	ITGAL
Glycerophospholipid metabolism	1/98	0.0385406873099314	0.0885456139649376	1	0.0102040816326531	PNPLA6
Leukocyte transendothelial migration	1/114	0.0447080204553743	0.0885456139649376	1	0.0087719298245614	ITGAL
Lysosome	1/128	0.0500760139599404	0.0885456139649376	1	0.0078125	CTSB
Natural killer cell mediated cytotoxicity	1/131	0.0512228583369014	0.0885456139649376	1	0.00763358778625954	ITGAL
Autophagy	1/137	0.0535129132165144	0.0885456139649376	1	0.0072992700729927	CTSB
Apoptosis	1/142	0.0554175963123028	0.0885456139649376	1	0.00704225352112676	CTSB
Cell adhesion molecules	1/148	0.0576987884494518	0.0885456139649376	1	0.00675675675675676	ITGAL
Influenza A	1/172	0.0667754258809193	0.0885456139649376	1	0.00581395348837209	KPNA6
NOD-like receptor signaling pathway	1/181	0.0701593886784966	0.0885456139649376	1	0.00552486187845304	CTSB
Neutrophil extracellular trap formation	1/189	0.0731583372077777	0.0885456139649376	1	0.00529100529100529	ITGAL
Epstein-Barr virus infection	1/202	0.0780135801130876	0.0885456139649376	1	0.00495049504950495	ITGAL
Rap1 signaling pathway	1/210	0.0809903476493452	0.0885456139649376	1	0.00476190476190476	ITGAL
Regulation of actin cytoskeleton	1/218	0.0839587023327822	0.0885456139649376	1	0.00458715596330275	ITGAL
Human T-cell leukemia virus 1 infection	1/219	0.0843291561570834	0.0885456139649376	1	0.0045662100456621	ITGAL
Chemical carcinogenesis	1/239	0.0917107559627223	0.0917107559627223	1	0.00418410041841004	KPNA6
