Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Abnormality of the genital system	12/24	3.70234976957967e-14	5.54611995483034e-11	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Abnormality of the reproductive system	12/24	3.70234976957967e-14	5.54611995483034e-11	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Aase Smith syndrome 2	11/20	1.09787158752473e-13	1.09640775874136e-10	11	0.55	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;RPL27;RPL26;RPS10;RPS24
Abnormality of the urinary system	11/34	1.4011832861808e-10	1.04948628134942e-07	11	0.323529411764706	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Hand deformities	12/47	4.44250625194808e-10	2.66194974616729e-07	12	0.25531914893617	RPL5;RPS17;RPS27;ZNHIT3;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Anemia, Macrocytic	11/41	1.3395682629072e-09	6.68891085944994e-07	11	0.268292682926829	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Anemia, Diamond-Blackfan	12/70	5.62194983443169e-08	2.10787090004291e-05	12	0.171428571428571	RPL5;RPS17;RPS27;RPL31;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Pallor	11/57	5.6284937250812e-08	2.10787090004291e-05	11	0.192982456140351	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Abnormal heart beat	12/100	2.98994976676029e-06	0.000817479919975966	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
ECG abnormality	12/100	2.98994976676029e-06	0.000817479919975966	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Mitochondrial Diseases	25/384	3.00142827761536e-06	0.000817479919975966	25	0.0651041666666667	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;HSPD1;NFU1;MRPL3;NDUFA8;MRPS22;NDUFA1;COX6C;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;TMEM126A;NDUFAF2;UQCRC2;TMEM126B
Cardiac conduction abnormality	12/102	3.69038491715721e-06	0.000921366100983583	12	0.117647058823529	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Electrocardiogram abnormal	12/103	4.09193211323041e-06	0.000943032970095253	12	0.116504854368932	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Electrocardiographic changes	12/104	4.53143642615188e-06	0.000969727395196502	12	0.115384615384615	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Radial club hand	9/59	7.16058456503031e-06	0.00143020742378872	9	0.152542372881356	RPL5;RPS17;RPS29;RPL11;PTEN;RPL35A;RPL26;RPS10;RPS24
Intermittent migraine headaches	11/95	1.09265741696435e-05	0.00204600101326574	11	0.115789473684211	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Progressive macrocephaly	6/25	1.68644425509741e-05	0.00297210999310109	6	0.24	NDUFB3;NDUFS4;PTEN;NDUFA1;NDUFAF2;TMEM126B
Cardiac Arrhythmia	12/132	5.14665424715275e-05	0.00856632006914981	12	0.0909090909090909	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Acute necrotizing encephalopathy	5/22	0.000116356510220352	0.0183475844536933	5	0.227272727272727	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;TMEM126B
Delayed Puberty	11/130	0.000199128890069047	0.0298295077323433	11	0.0846153846153846	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Cerebral Edema	6/42	0.000359717223565965	0.0513196572287443	6	0.142857142857143	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;ACADM;TMEM126B
