Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
cytoplasmic translation (GO:0002181)	36/93	4.88367642274615e-35	8.68317667964265e-32	36	0.387096774193548	EIF4A2;RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS4X;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;ZC3H15;RWDD1;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPL26L1;RPS24
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	35/90	3.54892990911669e-34	3.15499868920474e-31	35	0.388888888888889	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL6;RPL7;RPS4X;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24
translation (GO:0006412)	48/214	9.0578100761455e-34	5.3682621051289e-31	48	0.224299065420561	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;ZC3H15;RWDD1;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;EEF1A1;RPS25;RPS27;MRPL51;COPS5;PPA1;RPS29;RPL24;RPL27;RPS20;RPL26;EEF1E1;ABCE1;RPS24;RPL26L1
cotranslational protein targeting to membrane (GO:0006613)	35/94	2.18834187896649e-33	9.72717965200607e-31	35	0.372340425531915	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL6;RPL7;RPS4X;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24
protein targeting to ER (GO:0045047)	35/103	9.24393384426373e-32	3.28714287502018e-29	35	0.339805825242718	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL6;RPL7;RPS4X;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24
peptide biosynthetic process (GO:0043043)	41/162	3.17924768557554e-31	9.42117064158885e-29	41	0.253086419753086	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL6;MRPL32;RPL7;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;EEF1A1;RPS25;COPS5;RPS27;MRPL51;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	35/113	3.7050816562889e-30	9.41090740697382e-28	35	0.309734513274336	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS4X;RPS17;RPS18;MAGOH;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;PNRC2;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS24
nuclear-transcribed mRNA catabolic process (GO:0000956)	36/171	1.56089993903205e-24	3.46910011449873e-22	36	0.210526315789474	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS4X;RPS17;RPS18;MAGOH;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;LSM1;RPL35A;RPS3A;PNRC2;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS24
cellular macromolecule biosynthetic process (GO:0034645)	45/314	4.43347656937265e-23	8.75857926704952e-21	45	0.143312101910828	RPL4;RPL5;RPL30;SET;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPA2;RPL35A;RPS3A;MRPS18C;EEF1A1;RPS25;RPS27;MRPL51;COPS5;RPS29;RPA3;RPL24;RPL27;RPS20;RPL26;RPS24
gene expression (GO:0010467)	47/356	1.61233667187481e-22	2.86673460259341e-20	47	0.132022471910112	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL6;MRPL32;RPL7;HSPD1;RPS4X;MRPL3;RPS17;RPS18;MAGOH;RPL35;NUP88;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;THOC7;MRPS18C;EEF1A1;RPS25;RPS27;MRPL51;COPS5;RPS29;RPL24;RPL27;RPS20;RPL26;SLU7;RPS24;NUP37
cellular protein metabolic process (GO:0044267)	48/417	2.06571013088866e-20	3.33893873883639e-18	48	0.115107913669065	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;MRPS33;RPL11;MRPL36;RPL6;MRPL32;RPL7;RPS4X;PCMT1;UBL5;MRPL3;RPS17;RPS18;RPL35;RPS27A;RPL39;RPL17;SEC11A;RPS10;RPS13;SEC11C;ATG3;SLC35A1;RPL41;RPL21;RPL23;CCDC59;RPL35A;MRPS21;RPS3A;MRPS18C;EEF1A1;RPS25;MRPL51;COPS5;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24
ribosome biogenesis (GO:0042254)	33/192	1.09895368000719e-19	1.62828303587733e-17	33	0.171875	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;MRPL36;RPL6;RPL7;RPS17;EMG1;RPL35;RIOK2;RPL39;RPL17;EIF2A;RPL41;UTP6;RPL21;RPL23;WDR75;RPL35A;MRPL22;RPS25;RPS27;RPL24;RPL27;RPL26;ABCE1;RPS24;RPL26L1
rRNA processing (GO:0006364)	29/173	3.86554134260636e-17	5.28687115934931e-15	29	0.167630057803468	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS17;EMG1;RPL35;RIOK2;RPL39;RPL17;RPL41;UTP6;RPL21;RPL23;WDR75;RPL35A;RPS25;RSL1D1;RPS27;RPL24;RPL27;RPL26;RPS24
rRNA metabolic process (GO:0016072)	27/162	5.6039077168174e-16	7.1169628003581e-14	27	0.166666666666667	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS17;EMG1;RPL35;RPL39;RPL17;RPL41;UTP6;RPL21;RPL23;WDR75;RPL35A;RPS25;RPS27;RPL24;RPL27;RPL26;RPS24
ncRNA processing (GO:0034470)	28/201	1.82514376299743e-14	2.16340374040628e-12	28	0.139303482587065	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS17;EMG1;RPL35;RPL39;RPL17;RPL41;UTP6;SSB;RPL21;RPL23;WDR75;RPL35A;RPS25;RPS27;RPL24;RPL27;RPL26;RPS24
aerobic electron transport chain (GO:0019646)	17/70	2.43211592654107e-13	2.70268882336877e-11	17	0.242857142857143	NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFB3;NDUFB2;NDUFA1;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	17/71	3.13138319151111e-13	3.27505842029809e-11	17	0.23943661971831	NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFB3;NDUFB2;NDUFA1;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
mitochondrial respiratory chain complex I assembly (GO:0032981)	12/58	6.03894732657499e-09	5.65118334034228e-07	12	0.206896551724138	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;TMEM126A;NDUFB2;NDUFA1;NDUFAF2;TMEM126B
NADH dehydrogenase complex assembly (GO:0010257)	12/58	6.03894732657499e-09	5.65118334034228e-07	12	0.206896551724138	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;TMEM126A;NDUFB2;NDUFA1;NDUFAF2;TMEM126B
ribonucleoprotein complex biogenesis (GO:0022613)	12/60	9.09213745595035e-09	8.08291019833987e-07	12	0.2	RPL5;RPS25;RPS17;EMG1;RPL11;RPL35A;MRPL36;RIOK2;RPL26;RPL26L1;RPS24;RPL7
translational elongation (GO:0006414)	15/104	1.42862532175412e-08	1.20956943908515e-06	15	0.144230769230769	MRPS22;MRPS33;MRPS31;MRPL17;MRPS21;MRPL36;MRPL32;MRPS18C;MRPL22;MRPL33;EEF1B2;EEF1A1;MRPL3;MRPL50;MRPL51
translational termination (GO:0006415)	14/96	3.75923838596887e-08	3.0381481137512e-06	14	0.145833333333333	MRPS22;MRPS33;MRPS31;MRPS21;MRPL17;MRPL36;MRPL32;MRPL33;MRPS18C;MRPL22;MRPL3;MRPL50;MRPL51;ABCE1
mitochondrial translational elongation (GO:0070125)	13/89	1.13283588891211e-07	8.39242587702391e-06	13	0.146067415730337	MRPS22;MRPS33;MRPS31;MRPS21;MRPL17;MRPL36;MRPL32;MRPL33;MRPS18C;MRPL22;MRPL3;MRPL50;MRPL51
mitochondrial translational termination (GO:0070126)	13/89	1.13283588891211e-07	8.39242587702391e-06	13	0.146067415730337	MRPS22;MRPS33;MRPS31;MRPS21;MRPL17;MRPL36;MRPL32;MRPL33;MRPS18C;MRPL22;MRPL3;MRPL50;MRPL51
mitochondrial translation (GO:0032543)	14/105	1.19530275815587e-07	8.50099321600457e-06	14	0.133333333333333	MRPS22;MRPS33;MRPS31;MRPL17;MRPS21;MRPL36;MTIF3;MRPL32;MRPS18C;MRPL22;MRPL33;MRPL3;MRPL50;MRPL51
mitochondrial respiratory chain complex assembly (GO:0033108)	13/90	1.29693520006759e-07	8.86904148353911e-06	13	0.144444444444444	NDUFA8;NDUFB6;NDUFB5;COX17;NDUFB3;NDUFB2;NDUFA1;NDUFS5;NDUFS4;NDUFAB1;TMEM126A;NDUFAF2;TMEM126B
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	9/39	1.80981469982259e-07	1.19179649492021e-05	9	0.230769230769231	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFB3;NDUFAB1;NDUFS4;NDUFB2;NDUFA1
DNA-dependent DNA replication (GO:0006261)	15/129	2.65921147526345e-07	1.68859928679229e-05	15	0.116279069767442	RPAIN;RPA2;POLB;POLE4;PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;RPA3;PSMB1;PSMC2;SSBP1;RPS27A
mRNA splicing, via spliceosome (GO:0000398)	22/274	3.77957450596204e-07	2.31727016262086e-05	22	0.0802919708029197	HSPA8;DDX1;WBP4;CWF19L2;CWC15;PLRG1;LSM5;GTF2F2;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;CLNS1A;MAGOH;FRG1;SNRPG;SNRPB2;SNRPF;DNAJC8;SLU7
protein-DNA complex assembly (GO:0065004)	15/143	1.01536759696313e-06	6.0177452913348e-05	15	0.104895104895105	CETN2;HMGB2;RPA2;GTF2H5;RBX1;PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;RPA3;PSMB1;PSMC2;RPS27A
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	20/251	1.44134432563973e-06	8.26680713221754e-05	20	0.0796812749003984	HSPA8;WBP4;CWF19L2;CWC15;PLRG1;LSM5;GTF2F2;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;MAGOH;FRG1;SNRPG;SNRPB2;SNRPF;DNAJC8;SLU7
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	11/78	1.54181914064369e-06	8.56673260020153e-05	11	0.141025641025641	CLEC4A;VAMP8;PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;NCF2;PSMA2;PSMB1;PSMC2
mRNA processing (GO:0006397)	22/300	1.73638769782268e-06	9.35544644463252e-05	22	0.0733333333333333	HSPA8;WBP4;CWF19L2;CWC15;PLRG1;LSM5;GTF2F2;GTF2H5;THOC7;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;MAGOH;FRG1;SNRPG;SNRPB2;SNRPF;DNAJC8;SLU7
anaphase-promoting complex-dependent catabolic process (GO:0031145)	11/84	3.25559949366554e-06	0.000170248702933451	11	0.130952380952381	PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;CDC26;PSMB1;PSMC2;BUB3;RPS27A
ribosomal large subunit biogenesis (GO:0042273)	9/57	5.33795644112493e-06	0.000263635737564448	9	0.157894736842105	RPL5;RSL1D1;RPL11;RPL24;RPL35A;RPL26;RPL6;RPL26L1;RPL7
