Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	99/1406	1.84190652955004e-24	5.78358650278713e-22	99	0.0704125177809388	RPL4;EIF4A2;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;SRP14;RPL6;RPL7;RPS17;SNRPD2;RPS18;MAGOH;RPL35;RPL39;RPS10;RPS13;EIF2A;RPL21;RPL23;NGDN;WDR75;EEF1A1;CLNS1A;SUB1;UNC50;SNRPG;RPL24;RPL27;ERH;MATR3;RPL26;SNRPF;PPIG;ZCCHC7;DDX1;TXN;EMG1;PRDX1;ZC3H15;BTF3;HSPA8;RPL41;LSM1;LARP7;CWC15;TBCA;LSM5;LSM3;MRPL22;RPS25;LSM7;RPS27;RPS20;LSM14A;RPS24;RBM25;GDI2;HMGB2;ZCCHC17;MRPL32;RPS4X;MRPL3;HSP90AA1;MRPS21;RPS3A;GNL2;SRP9;GNL3;NME1;PSMA6;SYF2;FRG1;HDAC2;RPL12;RPL11;WBP4;MRPS31;RPS27L;HSPD1;BCLAF1;RPS27A;RPL17;UTP6;SSB;CNBP;CCDC59;RPL35A;DEK;HSPE1;RSL1D1;CEBPZ;EIF3E;SSBP1;TPT1;RPL26L1;METAP2
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	11/58	6.80447852529167e-08	1.06830312847079e-05	11	0.189655172413793	NDUFA8;NDUFB6;NDUFB5;UQCRQ;NDUFS5;NDUFS4;NDUFB3;NDUFB2;NDUFA1;COX6A1;UQCRH
NADH dehydrogenase (quinone) activity (GO:0050136)	8/35	9.56852135160923e-07	6.56572099419062e-05	8	0.228571428571429	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	8/35	9.56852135160923e-07	6.56572099419062e-05	8	0.228571428571429	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1
mRNA 5'-UTR binding (GO:0048027)	7/25	1.04549697359723e-06	6.56572099419062e-05	7	0.28	RPL5;RSL1D1;RPL41;RPS3A;RPL26;RPS13;GNL3
ubiquitin ligase inhibitor activity (GO:1990948)	4/8	1.75103028639846e-05	0.000916372516548528	4	0.5	RPL5;RPL23;RPL11;RPS20
ubiquitin-protein transferase inhibitor activity (GO:0055105)	4/9	3.0949162988953e-05	0.00138829102550447	4	0.444444444444444	RPL5;RPL23;RPL11;RPS20
rRNA binding (GO:0019843)	7/42	4.19513477023323e-05	0.00164659039731654	7	0.166666666666667	RPL5;EMG1;RPL12;RPL23;RPL11;RPS13;MRPS18C
cadherin binding (GO:0045296)	17/322	0.00126245362971527	0.0440456044145106	17	0.0527950310559006	HSPA8;ANXA1;RPL34;RPL6;PCMT1;RSL1D1;SNX2;PRDX1;GLOD4;RPL24;EIF3E;S100P;ARGLU1;ZC3H15;EIF2A;NCK1;CHMP5
ubiquitin-like protein ligase binding (GO:0044389)	15/282	0.00222220763414491	0.0661930030893736	15	0.0531914893617021	RPL5;CCT2;HSPA8;HSP90AA1;RALA;RPL23;RPL11;TRIP4;RPA2;RBX1;HSPD1;DNAJA1;PSMA3;NAE1;RPS27A
translation initiation factor activity (GO:0003743)	5/41	0.0023188631655513	0.0661930030893736	5	0.121951219512195	EIF4A2;COPS5;EIF3E;MTIF3;EIF2A
