Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome	43/158	3.63027522317912e-34	7.58727521644436e-32	43	0.272151898734177	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;MRPL17;RPS27L;MRPL36;RPL6;MRPL32;RPL7;MRPL33;RPS4X;MRPL3;RPS17;RPL36AL;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;MRPL22;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24;RPL26L1
Coronavirus disease	37/232	8.91854955989924e-21	9.31988429009471e-19	37	0.15948275862069	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPS27L;RPL6;RPL7;RPS4X;RPS17;TBK1;RPL36AL;RPS18;CASP1;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24;RPL26L1
Oxidative phosphorylation	22/133	3.4497259584043e-13	2.40330908435499e-11	22	0.165413533834586	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;COX17;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;PPA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2;ATP6V1E1;ATP6V1D
Parkinson disease	29/249	6.66180668345767e-13	3.48079399210663e-11	29	0.116465863453815	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;TXN;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;RPS27A;NDUFA8;NDUFA1;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2
Prion disease	29/273	6.76880984181939e-12	2.8293625138805e-10	29	0.106227106227106	COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;HSPA8;NDUFA8;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2
Amyotrophic lateral sclerosis	33/364	1.82395957003699e-11	6.35345916896219e-10	33	0.0906593406593407	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;TBK1;PSMB1;CASP1;NUP88;NDUFA8;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;MATR3;UQCRC2;ACTR10;NUP37
Huntington disease	29/306	1.09842080721925e-10	3.27957069584032e-09	29	0.0947712418300654	COX7B;HDAC2;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;NDUFA8;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;ACTR10
Non-alcoholic fatty liver disease	18/155	1.73712857256733e-08	4.53824839583214e-07	18	0.116129032258065	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Alzheimer disease	28/369	3.25949024633928e-08	7.56926068316566e-07	28	0.0758807588075881	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;NAE1;NDUFA8;NDUFA1;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2
Diabetic cardiomyopathy	20/203	4.68084736392951e-08	9.78297099061268e-07	20	0.0985221674876847	NDUFA8;COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;PTEN;NDUFB2;NDUFA1;COX7A2;COX6C;COX6A1;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;UQCRC2
