Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Primary immune deficiency disorder	7/81	5.50957432610898e-05	0.147150585615223	7	0.0864197530864197	NXF1;CSF3R;ITGB2;MKL1;STXBP2;PIK3CD;TYK2
Familial Alzheimer Disease (FAD)	10/188	9.81985889991475e-05	0.147150585615223	10	0.0531914893617021	CST3;G6PD;NCSTN;NOTCH1;PIK3CD;ITPR3;ABCA7;TPP1;CTSD;SORL1
Acute Promyelocytic Leukemia	16/475	0.000223083632770534	0.17635120283589	16	0.0336842105263158	CSF1R;NOTCH1;ITGAM;UBA7;ITGB2;PIK3CD;ARID3A;FOXO3;HK3;RXRA;ANPEP;ITGAX;PADI4;TIMP1;SLC12A9;PNPLA2
Cardiomyopathies	16/480	0.000250786558857551	0.17635120283589	16	0.0333333333333333	G6PD;ACADVL;GAA;SRF;DYSF;PIK3CD;TYK2;EHD1;ACTA2;POLR2A;ANPEP;ITGAX;MFN2;D2HGDH;TIMP1;CTSD
Epistaxis	5/51	0.000364375048696631	0.17635120283589	5	0.0980392156862745	P2RX1;GBA;TBXAS1;MYH9;NBEAL2
Frequent nosebleeds	5/51	0.000364375048696631	0.17635120283589	5	0.0980392156862745	P2RX1;GBA;TBXAS1;MYH9;NBEAL2
Cerebral Amyloid Angiopathy, Hereditary	3/13	0.000451973739334097	0.17635120283589	3	0.230769230769231	CST3;ITGAX;CTSD
Hypertensive disease	30/1310	0.000540578723082375	0.17635120283589	30	0.0229007633587786	SELPLG;NOTCH1;ITGAM;SRF;ITGB2;ARHGAP1;INPPL1;PIK3CD;PLOD1;SLC9A1;CST3;ANPEP;MFN2;EMILIN2;TIMP1;APBB3;SLC12A9;ATP6V0A1;G6PD;ARID3A;ACTN4;RENBP;SORL1;IL17RA;APBB1IP;ACTA2;KLF6;FES;TBXAS1;MYH9
Increased tendency to bruise	6/85	0.000568699082186902	0.17635120283589	6	0.0705882352941176	P2RX1;GBA;TBXAS1;MYH9;NBEAL2;PLOD1
Plaque, Amyloid	10/235	0.000588425768554856	0.17635120283589	10	0.0425531914893617	CST3;GRN;ITGAM;APLP2;DYSF;ITGAX;ABCA7;CTSD;RENBP;SORL1
Hepatosplenomegaly	5/58	0.000663823243865407	0.180861660169511	5	0.0862068965517241	CLCN7;CSF3R;GBA;STXBP2;TIMP1
Splenomegaly	10/247	0.000862766699057259	0.20375052923602	10	0.0404858299595142	CLCN7;NOTCH1;ATP6AP1;GAA;GBA;PIK3CD;NBEAL2;TCIRG1;ALDOA;GNS
Multiple Sclerosis	26/1106	0.000883802762785538	0.20375052923602	26	0.0235081374321881	CSF1R;SELPLG;NOTCH1;ITGAM;ITGB2;DYSF;LPP;KIR2DL3;CST3;NXF1;MMP25;ITGAX;MFN2;MGAT1;TIMP1;SEMA4A;SLC11A1;ABCA7;MYO9B;TYK2;SORL1;EHD1;SKIV2L;PTPN6;PADI4;ARHGEF2
Pleocytosis	3/18	0.00123339779238191	0.231002649357202	3	0.166666666666667	CSF3R;ITGAM;ITGB2
Microcalcification	4/41	0.00146761601514056	0.231002649357202	4	0.0975609756097561	NOTCH1;ITGB2;PTPN6;TIMP1
Acute Erythroblastic Leukemia	9/224	0.0016346523960255	0.231002649357202	9	0.0401785714285714	NFE2;CSF1R;G6PD;NOTCH1;ELF4;INPPL1;PIK3CD;HBQ1;SLC12A9
Mycosis Fungoides	7/142	0.00169628369575188	0.231002649357202	7	0.0492957746478873	NOTCH1;ITGAM;SELPLG;ANPEP;ITGB2;ICAM3;PIK3CD
Ki-1+ Anaplastic Large Cell Lymphoma	9/228	0.00184484718904943	0.231002649357202	9	0.0394736842105263	CSF1R;NOTCH1;ANPEP;PIK3CD;MYH9;PTPN6;TIMP1;FOXO3;SLC12A9
Tumoral calcinosis	4/44	0.00191266948809303	0.231002649357202	4	0.0909090909090909	NOTCH1;ITGB2;PTPN6;TIMP1
Hepatomegaly	12/373	0.0019831074135446	0.231002649357202	12	0.032171581769437	CLCN7;ACADVL;ATP6AP1;GAA;GBA;MFN2;SKIV2L;TCIRG1;LZTR1;PHKA2;GNS;PNPLA2
Hamartoma	5/74	0.00199735083631093	0.231002649357202	5	0.0675675675675676	CLCN7;PIK3CD;TIMP1;LPP;SLC12A9
Lupus Erythematosus, Systemic	25/1113	0.00206915387276325	0.231002649357202	25	0.0224618149146451	GRN;HIP1;NOTCH1;ITGAM;ITGB2;ICAM3;PIK3CD;ITPR3;FOXO3;LPP;ARHGAP4;RXRA;ITGAX;TIMP1;SLC15A4;SLC12A9;SRRM2;MKL1;MYO9B;ARID3A;TYK2;RENBP;SKIV2L;PTPN6;ARHGEF2
Mixed phenotype acute leukemia B/myeloid	2/6	0.00210085966662227	0.231002649357202	2	0.333333333333333	ANPEP;ITGAX
Opsoclonus	2/6	0.00210085966662227	0.231002649357202	2	0.333333333333333	CLCN7;TCIRG1
Mucopolysaccharidosis Type IIIA	3/22	0.00224649961349938	0.231002649357202	3	0.136363636363636	ITGAM;GNS;EXTL3
Pancolitis	3/22	0.00224649961349938	0.231002649357202	3	0.136363636363636	ITGAM;MKNK2;MYO9B
