Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
neutrophil degranulation (GO:0043312)	26/481	1.83012580227444e-10	1.34475574976568e-07	26	0.0540540540540541	GRN;ITGAM;STXBP2;ITGB2;UBR4;TCIRG1;GNS;CST3;HK3;NCSTN;MMP25;ANPEP;TBC1D10C;ITGAX;CTSD;SLC15A4;ATP6V0A1;STK11IP;SLC11A1;GAA;NBEAL2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA
neutrophil activation involved in immune response (GO:0002283)	26/485	2.18849694823506e-10	1.34475574976568e-07	26	0.0536082474226804	GRN;ITGAM;STXBP2;ITGB2;UBR4;TCIRG1;GNS;CST3;HK3;NCSTN;MMP25;ANPEP;TBC1D10C;ITGAX;CTSD;SLC15A4;ATP6V0A1;STK11IP;SLC11A1;GAA;NBEAL2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA
neutrophil mediated immunity (GO:0002446)	26/488	2.49954600328194e-10	1.34475574976568e-07	26	0.0532786885245902	GRN;ITGAM;STXBP2;ITGB2;UBR4;TCIRG1;GNS;CST3;HK3;NCSTN;MMP25;ANPEP;TBC1D10C;ITGAX;CTSD;SLC15A4;ATP6V0A1;STK11IP;SLC11A1;GAA;NBEAL2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA
vacuolar acidification (GO:0007035)	5/21	4.23614763956121e-06	0.00170928557256295	5	0.238095238095238	GRN;SLC11A1;TCIRG1;ATP6V0D1;ATP6V0A1
iron ion transport (GO:0006826)	6/50	2.93339268451585e-05	0.00946899158561715	6	0.12	ATP6AP1;SLC11A1;ARHGAP1;TCIRG1;ATP6V0D1;ATP6V0A1
IRE1-mediated unfolded protein response (GO:0036498)	6/53	4.1121300725398e-05	0.0110616298951321	6	0.113207547169811	ACADVL;PLA2G4B;TPP1;ATP6V0D1;TLN1;EXTL3
transferrin transport (GO:0033572)	5/36	6.77252007726895e-05	0.0156154962924458	5	0.138888888888889	ATP6AP1;ARHGAP1;TCIRG1;ATP6V0D1;ATP6V0A1
vesicle cytoskeletal trafficking (GO:0099518)	5/39	0.000100434855215081	0.0202627320396426	5	0.128205128205128	F8A1;NDE1;ACTN4;MYO1F;MYO1G
regulation of endocytic recycling (GO:2001135)	3/11	0.000265448294831713	0.0476037275398206	3	0.272727272727273	EHD1;ARHGAP1;SORL1
supramolecular fiber organization (GO:0097435)	13/351	0.000354970284358777	0.0572922038955065	13	0.037037037037037	HIP1;TUBGCP2;ACTN1;INPPL1;PLOD1;SORL1;CST3;NCSTN;CORO7;ARHGEF2;ALDOA;MYO1F;MYO1G
heterotypic cell-cell adhesion (GO:0034113)	4/30	0.000440499436534081	0.0646332809605461	4	0.133333333333333	ITGB2;ITGAX;ITGB7;ITGA5
actin filament organization (GO:0007015)	8/152	0.000523271642823024	0.0703800359596968	8	0.0526315789473684	HIP1;ACTN1;INPPL1;CORO7;ARHGEF2;ALDOA;MYO1F;MYO1G
lytic vacuole organization (GO:0080171)	4/33	0.000639387064996567	0.079382363300343	4	0.121212121212121	GRN;GAA;GBA;TPP1
membrane raft organization (GO:0031579)	3/15	0.000706347365139663	0.0814317605239583	3	0.2	MYADM;FLOT2;ABCA7
intracellular pH reduction (GO:0051452)	4/35	0.000802868034729006	0.0815142050859095	4	0.114285714285714	SLC11A1;TCIRG1;ATP6V0D1;ATP6V0A1
platelet degranulation (GO:0002576)	7/125	0.000808071425882622	0.0815142050859095	7	0.056	ACTN1;APLP2;STXBP2;ACTN4;TIMP1;TLN1;ALDOA
macrophage activation (GO:0042116)	4/36	0.000894761353577012	0.0849496955690175	4	0.111111111111111	ITGAM;SLC11A1;ITGB2;DYSF
lysosome organization (GO:0007040)	4/38	0.00110033647703116	0.0986635041071275	4	0.105263157894737	GRN;GAA;GBA;TPP1
regulation of neutrophil degranulation (GO:0043313)	2/5	0.00141178554194264	0.0993551036301029	2	0.4	ITGAM;ITGB2
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	2/5	0.00141178554194264	0.0993551036301029	2	0.4	SLC15A3;SLC15A4
vesicle transport along actin filament (GO:0030050)	3/19	0.00145169900114271	0.0993551036301029	3	0.157894736842105	ACTN4;MYO1F;MYO1G
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	3/19	0.00145169900114271	0.0993551036301029	3	0.157894736842105	FLOT2;ABCA7;SORL1
negative regulation of cellular catabolic process (GO:0031330)	5/69	0.00146282029711769	0.0993551036301029	5	0.072463768115942	CST3;WDR6;TIMP1;SORL1;CDK5RAP3
