Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
small GTPase binding (GO:0031267)	10/175	5.39441141492678e-05	0.0152122401900935	10	0.0571428571428571	EHD1;FGD3;ATP6AP1;SGSM2;ARHGAP1;ULK1;MYO9B;ARHGEF2;LZTR1;SORL1
GTPase binding (GO:0051020)	10/201	0.000170002636709651	0.0239703717760607	10	0.0497512437810945	EHD1;FGD3;ATP6AP1;SGSM2;ARHGAP1;ULK1;MYO9B;ARHGEF2;LZTR1;SORL1
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	3/16	0.000861644485559228	0.0568747889754034	3	0.1875	TCIRG1;ATP6V0D1;ATP6V0A1
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	3/16	0.000861644485559228	0.0568747889754034	3	0.1875	TCIRG1;ATP6V0D1;ATP6V0A1
solute:proton antiporter activity (GO:0015299)	2/5	0.00141178554194264	0.0568747889754034	2	0.4	SLC11A1;SLC9A1
oligopeptide transmembrane transporter activity (GO:0035673)	2/5	0.00141178554194264	0.0568747889754034	2	0.4	SLC15A3;SLC15A4
complement component C3b binding (GO:0001851)	2/5	0.00141178554194264	0.0568747889754034	2	0.4	ITGAM;ITGB2
pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678)	3/23	0.00256066623909089	0.088118302333383	3	0.130434782608696	TCIRG1;ATP6V0D1;ATP6V0A1
amyloid-beta binding (GO:0001540)	5/80	0.00281228624468244	0.088118302333383	5	0.0625	CST3;ITGAM;ITGB2;APBB3;SORL1
phosphatidylinositol binding (GO:0035091)	5/92	0.00512257995328085	0.14445675468252	5	0.0543478260869565	DENND1C;HIP1;PITPNM1;FES;ITPR3
actin binding (GO:0003779)	7/177	0.00574656271295982	0.147320971368606	7	0.0395480225988701	MICAL1;MYH9;MYO9B;ACTN4;CORO7;ALDOA;MYO1F
vinculin binding (GO:0017166)	2/11	0.00740290939819153	0.173968370857501	2	0.181818181818182	ACTN1;TLN1
metal ion:proton antiporter activity (GO:0051139)	2/14	0.0119608414146729	0.241126042314448	2	0.142857142857143	SLC11A1;SLC9A1
peptidase inhibitor activity (GO:0030414)	3/40	0.0122962663457551	0.241126042314448	3	0.075	CST3;TIMP1;RENBP
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	4/75	0.0128258533145983	0.241126042314448	4	0.0533333333333333	HK3;CHKB;DGKQ;PIK3CD
phosphatidylcholine transporter activity (GO:0008525)	2/18	0.0194849975508727	0.341890050573178	2	0.111111111111111	PITPNM1;ABCA7
GTPase activator activity (GO:0005096)	9/336	0.0210940219904635	0.341890050573178	9	0.0267857142857143	DENND1C;FGD3;SGSM2;TBC1D10C;ARHGAP1;MYO9B;ARHGEF2;SBF1;SIPA1
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	2/22	0.028507861611188	0.341890050573178	2	0.0909090909090909	SBF1;PPM1F
calmodulin-dependent protein kinase activity (GO:0004683)	2/24	0.0335316129731719	0.341890050573178	2	0.0833333333333333	MKNK2;PHKA2
phosphatidylinositol phosphate binding (GO:1901981)	4/102	0.0349717483968763	0.341890050573178	4	0.0392156862745098	DENND1C;HIP1;ATG2A;MYO1G
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	2/26	0.0388718656281344	0.341890050573178	2	0.0769230769230769	HIP1;MYO1G
ADP binding (GO:0043531)	2/27	0.0416550559494024	0.341890050573178	2	0.0740740740740741	MYH9;MYO9B
kinase activity (GO:0016301)	4/112	0.0466520129633925	0.341890050573178	4	0.0357142857142857	BCKDK;CHKB;DGKQ;PIK3CD
potassium ion transmembrane transporter activity (GO:0015079)	2/32	0.056615839595901	0.341890050573178	2	0.0625	TMEM175;SLC12A9
ATPase binding (GO:0051117)	3/73	0.0581237462532989	0.341890050573178	3	0.0410958904109589	NCSTN;TCIRG1;ATP6V0A1
inositol 1,3,4,5 tetrakisphosphate binding (GO:0043533)	1/5	0.0588208541183383	0.341890050573178	1	0.2	ITPR3
alpha-1,4-glucosidase activity (GO:0004558)	1/5	0.0588208541183383	0.341890050573178	1	0.2	GAA
L-histidine transmembrane transporter activity (GO:0005290)	1/5	0.0588208541183383	0.341890050573178	1	0.2	SLC15A4
LIM domain binding (GO:0030274)	1/5	0.0588208541183383	0.341890050573178	1	0.2	TLN1
mannokinase activity (GO:0019158)	1/5	0.0588208541183383	0.341890050573178	1	0.2	HK3
calmodulin-dependent protein phosphatase activity (GO:0033192)	1/5	0.0588208541183383	0.341890050573178	1	0.2	PPM1F
phosphatidylcholine floppase activity (GO:0090554)	1/5	0.0588208541183383	0.341890050573178	1	0.2	ABCA7
fructokinase activity (GO:0008865)	1/5	0.0588208541183383	0.341890050573178	1	0.2	HK3
glucokinase activity (GO:0004340)	1/5	0.0588208541183383	0.341890050573178	1	0.2	HK3
protein-arginine deiminase activity (GO:0004668)	1/5	0.0588208541183383	0.341890050573178	1	0.2	PADI4
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	1/5	0.0588208541183383	0.341890050573178	1	0.2	BCKDK
hexokinase activity (GO:0004396)	1/5	0.0588208541183383	0.341890050573178	1	0.2	HK3
histone acetyltransferase activity (H3-K23 specific) (GO:0043994)	1/5	0.0588208541183383	0.341890050573178	1	0.2	BRPF1
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	3/75	0.0620300408161942	0.341890050573178	3	0.04	HIP1;SLC9A1;MYO1G
immunoglobulin receptor binding (GO:0034987)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	FES
alpha-glucosidase activity (GO:0090599)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	GAA
LBD domain binding (GO:0050693)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	RXRA
sulfatide binding (GO:0120146)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	TPP1
beta-glucosidase activity (GO:0008422)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	GBA
cation:cation antiporter activity (GO:0015491)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	SLC11A1
collagen receptor activity (GO:0038064)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	OSCAR
fructose binding (GO:0070061)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	ALDOA
primary miRNA binding (GO:0070878)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	SRF
protein phosphatase 2B binding (GO:0030346)	1/6	0.0701648752848036	0.341890050573178	1	0.166666666666667	SLC9A1
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	2/37	0.0731332138299148	0.341890050573178	2	0.0540540540540541	GAA;GBA
phosphatidylinositol-3-phosphate binding (GO:0032266)	2/39	0.0801230065904789	0.341890050573178	2	0.0512820512820513	HIP1;ATG2A
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	1/7	0.0813727295550968	0.341890050573178	1	0.142857142857143	PIK3CD
