Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosome	10/128	3.50516398988768e-06	0.000778146405755066	10	0.078125	ATP6AP1;SLC11A1;GAA;GBA;TPP1;TCIRG1;ATP6V0D1;GNS;CTSD;ATP6V0A1
Regulation of actin cytoskeleton	11/218	7.11841281427225e-05	0.00790143822384219	11	0.0504587155963303	FGD3;ITGAM;ACTN1;ITGB2;ITGAX;PIK3CD;MYH9;ITGB7;ACTN4;ITGA5;SLC9A1
Platelet activation	8/124	0.000131076387717889	0.00969965269112381	8	0.0645161290322581	APBB1IP;PLA2G4B;P2RX1;TBXAS1;PIK3CD;ITPR3;TLN1;PLCB2
Shigellosis	11/246	0.000206449967930702	0.011457973220154	11	0.0447154471544715	RNF31;HK3;ACTN1;PIK3CD;ITPR3;ACTN4;ARHGEF2;ITGA5;TLN1;FOXO3;PLCB2
Vibrio cholerae infection	5/50	0.000331878593459642	0.0147354095496081	5	0.1	SEC61A1;ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
Phagosome	8/152	0.000523271642823024	0.0193610507844519	8	0.0526315789473684	SEC61A1;ITGAM;ATP6AP1;ITGB2;TCIRG1;ITGA5;ATP6V0D1;ATP6V0A1
Insulin signaling pathway	7/137	0.00138048620164686	0.0386035601560276	7	0.0510948905109489	HK3;FASN;MKNK2;INPPL1;PIK3CD;FLOT2;PHKA2
Amoebiasis	6/102	0.00147825974451974	0.0386035601560276	6	0.0588235294117647	ITGAM;ACTN1;ITGB2;PIK3CD;ACTN4;PLCB2
Tuberculosis	8/180	0.00156500919551463	0.0386035601560276	8	0.0444444444444444	ITGAM;ATP6AP1;ITGB2;ITGAX;TCIRG1;ATP6V0D1;CTSD;ATP6V0A1
Leukocyte transendothelial migration	6/114	0.0025990002738436	0.0576978060793278	6	0.0526315789473684	ITGAM;ACTN1;ITGB2;PIK3CD;ACTN4;SIPA1
Rap1 signaling pathway	8/210	0.00404732619301183	0.0755179031275863	8	0.0380952380952381	APBB1IP;CSF1R;ITGAM;ITGB2;PIK3CD;TLN1;PLCB2;SIPA1
Collecting duct acid secretion	3/27	0.00408204881770737	0.0755179031275863	3	0.111111111111111	TCIRG1;ATP6V0D1;ATP6V0A1
Rheumatoid arthritis	5/93	0.00536163662865923	0.0915602562740269	5	0.0537634408602151	ATP6AP1;ITGB2;TCIRG1;ATP6V0D1;ATP6V0A1
Phosphatidylinositol signaling system	5/97	0.00639700100661016	0.0981818005419925	5	0.0515463917525773	DGKQ;INPPL1;PIK3CD;ITPR3;PLCB2
Hematopoietic cell lineage	5/99	0.00696398560496436	0.0981818005419925	5	0.0505050505050505	CSF1R;CSF3R;ITGAM;ANPEP;ITGA5
Human papillomavirus infection	10/331	0.00707616580482829	0.0981818005419925	10	0.0302114803625378	NOTCH1;ATP6AP1;UBR4;PIK3CD;ITGB7;TYK2;TCIRG1;ITGA5;ATP6V0D1;ATP6V0A1
Mitophagy	4/68	0.00917033734519437	0.119753817096068	4	0.0588235294117647	RHOT2;MFN2;ULK1;FOXO3
Epithelial cell signaling in Helicobacter pylori infection	4/70	0.010134620438491	0.120723694060535	4	0.0571428571428571	ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
HIF-1 signaling pathway	5/109	0.010332208050226	0.120723694060535	5	0.0458715596330275	HK3;MKNK2;PIK3CD;TIMP1;ALDOA
Thyroid hormone signaling pathway	5/121	0.0156712401902843	0.173950766112155	5	0.0413223140495868	NOTCH1;RXRA;PIK3CD;PLCB2;SLC9A1
B cell receptor signaling pathway	4/81	0.0166083378591791	0.175573857368465	4	0.0493827160493827	INPPL1;PIK3CD;PTPN6;LILRA5
Osteoclast differentiation	5/127	0.018925010276818	0.183207302402752	5	0.0393700787401575	CSF1R;PIK3CD;TYK2;OSCAR;LILRA5
Carbohydrate digestion and absorption	3/47	0.0189809367354203	0.183207302402752	3	0.0638297872340425	HK3;PIK3CD;PLCB2
Vascular smooth muscle contraction	5/133	0.0225947984254464	0.209001885435379	5	0.037593984962406	ACTA2;PLA2G4B;MYH9;ITPR3;PLCB2
Autophagy	5/137	0.0252808816415035	0.222812774440449	5	0.0364963503649635	ATG16L2;ATG2A;PIK3CD;ULK1;CTSD
Salivary secretion	4/93	0.0260951897993318	0.222812774440449	4	0.043010752688172	CST3;ITPR3;PLCB2;SLC9A1
Neutrophil extracellular trap formation	6/189	0.0272550631290424	0.224097185727682	6	0.0317460317460317	ITGAM;SELPLG;ITGB2;PIK3CD;PADI4;PLCB2
Spinocerebellar ataxia	5/143	0.0296802716011121	0.228190555135282	5	0.034965034965035	ATG2A;PIK3CD;ULK1;ITPR3;PLCB2
Choline metabolism in cancer	4/98	0.0308365615047679	0.228190555135282	4	0.0408163265306122	CHKB;DGKQ;PLA2G4B;PIK3CD
Inflammatory mediator regulation of TRP channels	4/98	0.0308365615047679	0.228190555135282	4	0.0408163265306122	PLA2G4B;PIK3CD;ITPR3;PLCB2
Cell adhesion molecules	5/148	0.0336937750896639	0.239835890954244	5	0.0337837837837838	ITGAM;SELPLG;ITGB2;ICAM3;ITGB7
Focal adhesion	6/201	0.0352642201496262	0.239835890954244	6	0.0298507462686567	ACTN1;PIK3CD;ITGB7;ACTN4;ITGA5;TLN1
Long-term depression	3/60	0.0357739120273141	0.239835890954244	3	0.05	PLA2G4B;ITPR3;PLCB2
Viral carcinogenesis	6/203	0.0367316229389383	0.239835890954244	6	0.0295566502463054	ACTN1;SRF;UBR4;PIK3CD;ACTN4;ATP6V0D1
Parathyroid hormone synthesis, secretion and action	4/106	0.0394133660042049	0.249993350083814	4	0.0377358490566038	MMP25;RXRA;ITPR3;PLCB2
GnRH secretion	3/64	0.0420745104574894	0.259459481154518	3	0.046875	PIK3CD;ITPR3;PLCB2
JAK-STAT signaling pathway	5/162	0.0466589577628974	0.275399611436464	5	0.0308641975308642	PIAS4;CSF3R;PIK3CD;PTPN6;TYK2
Acute myeloid leukemia	3/67	0.047140474029665	0.275399611436464	3	0.0447761194029851	CSF1R;ITGAM;PIK3CD
Glutamatergic synapse	4/114	0.0492183667910078	0.276586936359312	4	0.0350877192982456	SLC38A1;PLA2G4B;ITPR3;PLCB2
Pentose phosphate pathway	2/30	0.0504308964403732	0.276586936359312	2	0.0666666666666667	G6PD;ALDOA
Central carbon metabolism in cancer	3/70	0.0524922907348691	0.276586936359312	3	0.0428571428571429	HK3;G6PD;PIK3CD
Galactose metabolism	2/31	0.0534912860611947	0.276586936359312	2	0.0645161290322581	HK3;GAA
Adherens junction	3/71	0.0543386978875086	0.276586936359312	3	0.0422535211267606	ACTN1;PTPN6;ACTN4
Non-small cell lung cancer	3/72	0.0562159345454407	0.276586936359312	3	0.0416666666666667	RXRA;PIK3CD;FOXO3
AMPK signaling pathway	4/120	0.0573750708782818	0.276586936359312	4	0.0333333333333333	FASN;PIK3CD;ULK1;FOXO3
Inositol phosphate metabolism	3/73	0.0581237462532989	0.276586936359312	3	0.0410958904109589	INPPL1;PIK3CD;PLCB2
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.0588208541183383	0.276586936359312	1	0.2	HK3
Fructose and mannose metabolism	2/33	0.0598025808344458	0.276586936359312	2	0.0606060606060606	HK3;ALDOA
Gastric acid secretion	3/76	0.0640279794591516	0.284284228798633	3	0.0394736842105263	ITPR3;PLCB2;SLC9A1
Pertussis	3/76	0.0640279794591516	0.284284228798633	3	0.0394736842105263	ITGAM;ITGB2;ITGA5
Leishmaniasis	3/77	0.066055405366867	0.286536482497974	3	0.038961038961039	ITGAM;ITGB2;PTPN6
Synaptic vesicle cycle	3/78	0.0681120306004695	0.286536482497974	3	0.0384615384615385	TCIRG1;ATP6V0D1;ATP6V0A1
NOD-like receptor signaling pathway	5/181	0.0684073584342009	0.286536482497974	5	0.0276243093922652	RNF31;MFN2;ITPR3;TYK2;PLCB2
Starch and sucrose metabolism	2/36	0.0697167341447503	0.286613240372862	2	0.0555555555555556	HK3;GAA
Natural killer cell mediated cytotoxicity	4/131	0.0740829481891116	0.299025718145141	4	0.0305343511450382	ITGB2;PIK3CD;PTPN6;KIR2DL3
Oxidative phosphorylation	4/133	0.0773590399061411	0.306673336770774	4	0.0300751879699248	ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
Transcriptional misregulation in cancer	5/192	0.083175551431561	0.31126368897022	5	0.0260416666666667	CSF1R;LYL1;ITGAM;RXRA;ITGB7
Complement and coagulation cascades	3/85	0.0833006517589219	0.31126368897022	3	0.0352941176470588	ITGAM;ITGB2;ITGAX
Apelin signaling pathway	4/137	0.0841253213433027	0.31126368897022	4	0.0291970802919708	ACTA2;ITPR3;PLCB2;SLC9A1
Estrogen signaling pathway	4/137	0.0841253213433027	0.31126368897022	4	0.0291970802919708	PIK3CD;ITPR3;CTSD;PLCB2
Pathogenic Escherichia coli infection	5/197	0.0904039700871801	0.329011169825475	5	0.0253807106598985	MYH9;PTPN6;ARHGEF2;MYO1F;MYO1G
GnRH signaling pathway	3/93	0.102254036309312	0.360713308068163	3	0.032258064516129	PLA2G4B;ITPR3;PLCB2
Proteoglycans in cancer	5/205	0.102621465822543	0.360713308068163	5	0.024390243902439	PIK3CD;ITPR3;PTPN6;ITGA5;SLC9A1
Phospholipase D signaling pathway	4/148	0.104154879572665	0.360713308068163	4	0.027027027027027	DGKQ;PLA2G4B;PIK3CD;PLCB2
Type II diabetes mellitus	2/46	0.106056558071984	0.360713308068163	2	0.0434782608695652	HK3;PIK3CD
Staphylococcus aureus infection	3/95	0.107239091587832	0.360713308068163	3	0.0315789473684211	ITGAM;SELPLG;ITGB2
Fc gamma R-mediated phagocytosis	3/97	0.112317221191327	0.369647039894982	3	0.0309278350515464	PLA2G4B;INPPL1;PIK3CD
Amino sugar and nucleotide sugar metabolism	2/48	0.113833387206336	0.369647039894982	2	0.0416666666666667	HK3;RENBP
Glycerophospholipid metabolism	3/98	0.114890296183576	0.369647039894982	3	0.0306122448979592	CHKB;DGKQ;PLA2G4B
Longevity regulating pathway	3/102	0.125400925932021	0.392098669815614	3	0.0294117647058824	PIK3CD;ULK1;FOXO3
Pancreatic secretion	3/102	0.125400925932021	0.392098669815614	3	0.0294117647058824	ITPR3;PLCB2;SLC9A1
PI3K-Akt signaling pathway	7/354	0.137073712201854	0.422643945955718	7	0.019774011299435	CSF1R;RXRA;CSF3R;PIK3CD;ITGB7;ITGA5;FOXO3
Glucagon signaling pathway	3/107	0.139003224677701	0.422722135321229	3	0.0280373831775701	ITPR3;PHKA2;PLCB2
Regulation of lipolysis in adipocytes	2/55	0.142093242240492	0.426279726721475	2	0.0363636363636364	PIK3CD;PNPLA2
Tight junction	4/169	0.147670752065085	0.430040002386598	4	0.0236686390532544	ACTN1;MYH9;ACTN4;ARHGEF2
Glutathione metabolism	2/57	0.15042114272238	0.430040002386598	2	0.0350877192982456	G6PD;ANPEP
Legionellosis	2/57	0.15042114272238	0.430040002386598	2	0.0350877192982456	ITGAM;ITGB2
Endometrial cancer	2/58	0.154621140992768	0.430040002386598	2	0.0344827586206897	PIK3CD;FOXO3
Cholinergic synapse	3/113	0.155946339028247	0.430040002386598	3	0.0265486725663717	PIK3CD;ITPR3;PLCB2
Serotonergic synapse	3/113	0.155946339028247	0.430040002386598	3	0.0265486725663717	PLA2G4B;ITPR3;PLCB2
Notch signaling pathway	2/59	0.15884360448514	0.430040002386598	2	0.0338983050847458	NCSTN;NOTCH1
VEGF signaling pathway	2/59	0.15884360448514	0.430040002386598	2	0.0338983050847458	PLA2G4B;PIK3CD
Arachidonic acid metabolism	2/61	0.167351374003984	0.442285774153385	2	0.0327868852459016	PLA2G4B;TBXAS1
Glycerolipid metabolism	2/61	0.167351374003984	0.442285774153385	2	0.0327868852459016	DGKQ;PNPLA2
Growth hormone synthesis, secretion and action	3/119	0.173491918418417	0.447851231266146	3	0.0252100840336134	PIK3CD;ITPR3;PLCB2
Sphingolipid signaling pathway	3/119	0.173491918418417	0.447851231266146	3	0.0252100840336134	PIK3CD;CTSD;PLCB2
Cortisol synthesis and secretion	2/65	0.184587737571488	0.471016985527245	2	0.0307692307692308	ITPR3;PLCB2
Glycolysis / Gluconeogenesis	2/67	0.193299701284914	0.476999973980334	2	0.0298507462686567	HK3;ALDOA
Long-term potentiation	2/67	0.193299701284914	0.476999973980334	2	0.0298507462686567	ITPR3;PLCB2
Fatty acid biosynthesis	1/18	0.196124003258161	0.476999973980334	1	0.0555555555555556	FASN
Other glycan degradation	1/18	0.196124003258161	0.476999973980334	1	0.0555555555555556	GBA
Fc epsilon RI signaling pathway	2/68	0.197675664892751	0.476999973980334	2	0.0294117647058824	PLA2G4B;PIK3CD
Renin secretion	2/69	0.202063687137274	0.477445333684524	2	0.0289855072463768	ITPR3;PLCB2
Relaxin signaling pathway	3/129	0.203862886103458	0.477445333684524	3	0.0232558139534884	ACTA2;PIK3CD;PLCB2
Glycosaminoglycan degradation	1/19	0.205819421057263	0.477445333684524	1	0.0526315789473684	GNS
Prolactin signaling pathway	2/70	0.206462846998713	0.477445333684524	2	0.0285714285714286	PIK3CD;FOXO3
Thyroid hormone synthesis	2/75	0.228594873507322	0.520217616319787	2	0.0266666666666667	ITPR3;PLCB2
Diabetic cardiomyopathy	4/203	0.229645614411438	0.520217616319787	4	0.0197044334975369	G6PD;PIK3CD;CTSD;PLCB2
Fluid shear stress and atherosclerosis	3/139	0.235343314186253	0.520990166290254	3	0.0215827338129496	PIAS4;PIK3CD;ARHGEF2
Arrhythmogenic right ventricular cardiomyopathy	2/77	0.237495621370849	0.520990166290254	2	0.025974025974026	ITGB7;ITGA5
Bacterial invasion of epithelial cells	2/77	0.237495621370849	0.520990166290254	2	0.025974025974026	PIK3CD;ITGA5
Protein export	1/23	0.243450384534647	0.520990166290254	1	0.0434782608695652	SEC61A1
Renin-angiotensin system	1/23	0.243450384534647	0.520990166290254	1	0.0434782608695652	ANPEP
Apoptosis	3/142	0.244953947416627	0.520990166290254	3	0.0211267605633803	PIK3CD;ITPR3;CTSD
RNA degradation	2/79	0.246414267839985	0.520990166290254	2	0.0253164556962025	EDC4;SKIV2L
alpha-Linolenic acid metabolism	1/25	0.26159454101751	0.544162378033264	1	0.04	PLA2G4B
Human T-cell leukemia virus 1 infection	4/219	0.271557695491954	0.544162378033264	4	0.0182648401826484	SRF;ITGB2;PIK3CD;TLN1
Insulin secretion	2/86	0.277687183316541	0.544162378033264	2	0.0232558139534884	ITPR3;PLCB2
Taste transduction	2/86	0.277687183316541	0.544162378033264	2	0.0232558139534884	ITPR3;PLCB2
MAPK signaling pathway	5/294	0.281440068218564	0.544162378033264	5	0.0170068027210884	CSF1R;PLA2G4B;SRF;MKNK2;MAP3K11
Oxytocin signaling pathway	3/154	0.283930178249833	0.544162378033264	3	0.0194805194805195	PLA2G4B;ITPR3;PLCB2
Alzheimer disease	6/369	0.286467553787511	0.544162378033264	6	0.016260162601626	NCSTN;ATG2A;PIK3CD;ULK1;ITPR3;PLCB2
ECM-receptor interaction	2/88	0.286616734393498	0.544162378033264	2	0.0227272727272727	ITGB7;ITGA5
