Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Muscle Spasticity	8/353	0.00162399807589903	0.665336190218259	8	0.0226628895184136	NDUFA9;RPIA;BOLA3;NDUFS3;ERCC5;NDUFV2;OPTN;LMNB1
Localized Carcinoma	2/11	0.00202182718837851	0.665336190218259	2	0.181818181818182	NME1-NME2;CBX3
Lactic acidemia	5/148	0.00230561735933092	0.665336190218259	5	0.0337837837837838	NDUFA9;BOLA3;NDUFS3;PDHB;NDUFV2
Leigh Disease	4/99	0.00336648372370801	0.665336190218259	4	0.0404040404040404	NDUFA9;NDUFS3;PDHB;NDUFV2
Central nervous system demyelination	3/49	0.00348114567484892	0.665336190218259	3	0.0612244897959184	NDUFA9;NDUFS3;LMNB1
HIV Coinfection	4/103	0.00387980453382589	0.665336190218259	4	0.0388349514563107	PSMA5;DNAJC7;PSME2;ILF2
Acidosis, Lactic	5/183	0.00569193520588954	0.665336190218259	5	0.0273224043715847	NDUFA9;BOLA3;NDUFS3;PDHB;NDUFV2
Respiratory Failure	5/185	0.00595517959647792	0.665336190218259	5	0.027027027027027	NDUFA9;BOLA3;NDUFS3;NDUFV2;OPTN
Encephalopathy, Subacute Necrotizing, Infantile	2/19	0.00608562334759284	0.665336190218259	2	0.105263157894737	NDUFA9;NDUFS3
Encephalopathy, Subacute Necrotizing, Juvenile	2/19	0.00608562334759284	0.665336190218259	2	0.105263157894737	NDUFA9;NDUFS3
Leukemia, Monocytic, Chronic	2/19	0.00608562334759284	0.665336190218259	2	0.105263157894737	TOP2B;SMC3
Increased CSF lactate	3/61	0.00644393404569742	0.665336190218259	3	0.0491803278688525	NDUFA9;NDUFS3;NDUFV2
LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	2/21	0.00741341721331565	0.702580394068729	2	0.0952380952380952	NDUFA9;NDUFS3
Acute necrotizing encephalopathy	2/22	0.00812189710512584	0.702580394068729	2	0.0909090909090909	NDUFS3;NDUFV2
Hepatocellular necrosis	2/23	0.0088595818473313	0.702580394068729	2	0.0869565217391304	NDUFA9;NDUFS3
Motor Neuron Disease	4/135	0.00998551959234281	0.702580394068729	4	0.0296296296296296	RPS6;GEMIN6;PARK7;OPTN
Progressive macrocephaly	2/25	0.010421036066738	0.702580394068729	2	0.08	NDUFS3;NDUFV2
