Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
cytoplasmic translation (GO:0002181)	7/93	1.80880428465905e-06	0.00112461657461438	7	0.0752688172043011	RPS14;EIF3M;RPL22;RPS6;DRG1;RPL10A;RPS12
ribosome biogenesis (GO:0042254)	9/192	3.15018648351366e-06	0.00112461657461438	9	0.046875	EXOSC7;RPS14;EBNA1BP2;RPS6;RPL22;MPHOSPH10;ZNF622;RPL10A;SDAD1
gene expression (GO:0010467)	11/356	1.37070234712344e-05	0.00326227158615378	11	0.0308988764044944	MRPS17;RPS14;RPS6;RPL22;DRG1;UPF3B;MPHOSPH10;RPL10A;PWP1;MRPL35;RPS12
protein targeting to ER (GO:0045047)	6/103	4.40196114512242e-05	0.00586779024704331	6	0.058252427184466	RPS14;SEC61G;RPL22;RPS6;RPL10A;RPS12
mitochondrial translation (GO:0032543)	6/105	4.90492466793682e-05	0.00586779024704331	6	0.0571428571428571	MRPS17;MRPS9;MRPL39;MTIF2;MRPL35;MRPL21
translation (GO:0006412)	8/214	5.73392944336565e-05	0.00586779024704331	8	0.0373831775700935	MRPS17;RPS14;RPS6;RPL22;DRG1;RPL10A;MRPL35;RPS12
rRNA metabolic process (GO:0016072)	7/162	6.83844206750346e-05	0.00586779024704331	7	0.0432098765432099	EXOSC7;RPS14;EBNA1BP2;RPS6;RPL22;MPHOSPH10;RPL10A
peptide biosynthetic process (GO:0043043)	7/162	6.83844206750346e-05	0.00586779024704331	7	0.0432098765432099	MRPS17;RPS14;RPS6;RPL22;RPL10A;MRPL35;RPS12
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	6/113	7.39637426097897e-05	0.00586779024704331	6	0.0530973451327434	RPS14;RPL22;RPS6;UPF3B;RPL10A;RPS12
nuclear-transcribed mRNA catabolic process (GO:0000956)	7/171	9.60385551363431e-05	0.00670359685214045	7	0.0409356725146199	EXOSC7;RPS14;RPS6;RPL22;UPF3B;RPL10A;RPS12
rRNA processing (GO:0006364)	7/173	0.000103276702203844	0.00670359685214045	7	0.0404624277456647	EXOSC7;RPS14;EBNA1BP2;RPS6;RPL22;MPHOSPH10;RPL10A
regulation of mRNA catabolic process (GO:0061013)	6/122	0.000113091278636654	0.00672893107888089	6	0.0491803278688525	FXR1;PSMA5;EXOSC7;PSMB6;PSMB7;PSME2
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	5/78	0.000124215551071616	0.00682230026654874	5	0.0641025641025641	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
cellular macromolecule biosynthetic process (GO:0034645)	9/314	0.000151121389182961	0.00770719084833102	9	0.0286624203821656	MRPS17;RPS14;RPS6;RPL22;DRG1;RPL10A;PWP1;MRPL35;RPS12
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	8/251	0.00017319089228354	0.00786969983431139	8	0.0318725099601594	ISY1;PNN;BUD31;UPF3B;PPWD1;GEMIN6;SNRPA1;PPIL3
anaphase-promoting complex-dependent catabolic process (GO:0031145)	5/84	0.000176351817015381	0.00786969983431139	5	0.0595238095238095	PSMA5;PSMB6;PSMB7;ANAPC4;PSME2
interleukin-12-mediated signaling pathway (GO:0035722)	4/46	0.000187783646114039	0.00788691313678966	4	0.0869565217391304	STAT4;PSME2;SNRPA1;LMNB1
cellular response to interleukin-12 (GO:0071349)	4/48	0.000221781595401348	0.0081031308391483	4	0.0833333333333333	STAT4;PSME2;SNRPA1;LMNB1
mitochondrial translational elongation (GO:0070125)	5/89	0.000231334822367742	0.0081031308391483	5	0.0561797752808989	MRPS17;MRPS9;MRPL39;MRPL35;MRPL21
mitochondrial translational termination (GO:0070126)	5/89	0.000231334822367742	0.0081031308391483	5	0.0561797752808989	MRPS17;MRPS9;MRPL39;MRPL35;MRPL21
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	5/90	0.000243738944098121	0.0081031308391483	5	0.0555555555555556	RPS14;RPL22;RPS6;RPL10A;RPS12
ncRNA processing (GO:0034470)	7/201	0.000260411999508433	0.0081031308391483	7	0.0348258706467662	EXOSC7;RPS14;EBNA1BP2;RPS6;RPL22;MPHOSPH10;RPL10A
regulation of cellular amine metabolic process (GO:0033238)	4/51	0.000280783012049782	0.0081031308391483	4	0.0784313725490196	PSMA5;PSMB6;PSMB7;PSME2
cotranslational protein targeting to membrane (GO:0006613)	5/94	0.000298482131422919	0.0081031308391483	5	0.0531914893617021	RPS14;RPL22;RPS6;RPL10A;RPS12
regulation of mRNA stability (GO:0043488)	6/146	0.000300629767820262	0.0081031308391483	6	0.0410958904109589	FXR1;PSMA5;EXOSC7;PSMB6;PSMB7;PSME2
mRNA splicing, via spliceosome (GO:0000398)	8/274	0.000313340852263315	0.0081031308391483	8	0.0291970802919708	ISY1;PNN;BUD31;UPF3B;PPWD1;GEMIN6;SNRPA1;PPIL3
regulation of cell cycle phase transition (GO:1901987)	5/95	0.000313516925410106	0.0081031308391483	5	0.0526315789473684	PSMA5;PSMB6;PSMB7;ANAPC4;PSME2
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	3/22	0.000328644429207667	0.0081031308391483	3	0.136363636363636	PSMA5;PSMB6;PSMB7
translational termination (GO:0006415)	5/96	0.00032911875957325	0.0081031308391483	5	0.0520833333333333	MRPS17;MRPS9;MRPL39;MRPL35;MRPL21
regulation of cellular amino acid metabolic process (GO:0006521)	4/54	0.000350281258650483	0.0083366939558815	4	0.0740740740740741	PSMA5;PSMB6;PSMB7;PSME2
negative regulation of cell cycle G2/M phase transition (GO:1902750)	4/57	0.000431297244181136	0.00962331976079161	4	0.0701754385964912	PSMA5;PSMB6;PSMB7;PSME2
ribosomal large subunit biogenesis (GO:0042273)	4/57	0.000431297244181136	0.00962331976079161	4	0.0701754385964912	EBNA1BP2;ZNF622;RPL10A;SDAD1
translational elongation (GO:0006414)	5/104	0.000476052304155893	0.0103000407626457	5	0.0480769230769231	MRPS17;MRPS9;MRPL39;MRPL35;MRPL21
ribonucleoprotein complex biogenesis (GO:0022613)	4/60	0.000524868199253737	0.0110222321843285	4	0.0666666666666667	EBNA1BP2;RPS6;ZNF622;SDAD1
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	2/6	0.000562721356492043	0.011027954630746	2	0.333333333333333	DPH3;DPH5
peptidyl-diphthamide metabolic process (GO:0017182)	2/6	0.000562721356492043	0.011027954630746	2	0.333333333333333	DPH3;DPH5
mRNA processing (GO:0006397)	8/300	0.000571476640528853	0.011027954630746	8	0.0266666666666667	ISY1;PNN;BUD31;UPF3B;PPWD1;GEMIN6;SNRPA1;PPIL3
Fc-epsilon receptor signaling pathway (GO:0038095)	5/111	0.000641011627212262	0.0116848003359454	5	0.045045045045045	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
Fc receptor signaling pathway (GO:0038093)	5/112	0.000667676319691196	0.0116848003359454	5	0.0446428571428571	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
regulation of cellular ketone metabolic process (GO:0010565)	4/64	0.00067097592965513	0.0116848003359454	4	0.0625	PSMA5;PSMB6;PSMB7;PSME2
pre-replicative complex assembly (GO:0036388)	4/64	0.00067097592965513	0.0116848003359454	4	0.0625	PSMA5;PSMB6;PSMB7;PSME2
cellular response to lectin (GO:1990858)	5/115	0.00075266750254209	0.0122335014278524	5	0.0434782608695652	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	5/115	0.00075266750254209	0.0122335014278524	5	0.0434782608695652	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	4/66	0.000753885242052527	0.0122335014278524	4	0.0606060606060606	PSMA5;PSMB6;PSMB7;PSME2
regulation of mitotic cell cycle (GO:0007346)	6/178	0.000856957336740401	0.0135970564096144	6	0.0337078651685393	PSMA5;PSMB6;PSMB7;ANAPC4;PSME2;CKS1B
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	5/119	0.000878254947510688	0.0136320441852746	5	0.0420168067226891	PSMA5;PSMB6;PSMB7;FCER1G;PSME2
regulation of hematopoietic stem cell differentiation (GO:1902036)	4/71	0.000992440551194783	0.0150766500755973	4	0.0563380281690141	PSMA5;PSMB6;PSMB7;PSME2
regulation of cytoplasmic translational elongation (GO:1900247)	2/8	0.00104190877220747	0.0154983929865861	2	0.25	DPH3;DPH5
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	4/73	0.00110120831452012	0.0160461782972932	4	0.0547945205479452	PSMA5;PSMB6;PSMB7;PSME2
regulation of mitotic cell cycle phase transition (GO:1901990)	6/188	0.00113667134967459	0.0162205494373435	6	0.0319148936170213	PSMA5;PSMB6;PSMB7;PCM1;ANAPC4;PSME2
NIK/NF-kappaB signaling (GO:0038061)	4/74	0.00115861067409597	0.0162205494373435	4	0.0540540540540541	PSMA5;PSMB6;PSMB7;PSME2
