Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	27/1406	1.07185583121816e-07	1.58634663020288e-05	27	0.019203413940256	ISY1;NOL7;MRPL39;MTIF2;PARK7;RPL10A;GTF2E2;FXR1;EXOSC7;RPS14;PNN;NGRN;ZNF622;RBM34;EIF4B;RPS12;PRMT1;RPS6;RPL22;UPF3B;ILF2;DDX50;MRPL21;EBNA1BP2;MRPS9;MPHOSPH10;SNRPA1
RNA strand annealing activity (GO:0033592)	2/5	0.000376676288753193	0.0185826969118242	2	0.4	FXR1;EIF4B
annealing activity (GO:0097617)	2/5	0.000376676288753193	0.0185826969118242	2	0.4	FXR1;EIF4B
NADH dehydrogenase activity (GO:0003954)	2/7	0.000784613660254309	0.0290307054294094	2	0.285714285714286	NDUFA9;NDUFS3
NADH dehydrogenase (quinone) activity (GO:0050136)	3/35	0.00131707930786077	0.0324879562605657	3	0.0857142857142857	NDUFA9;NDUFS3;NDUFV2
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	3/35	0.00131707930786077	0.0324879562605657	3	0.0857142857142857	NDUFA9;NDUFS3;NDUFV2
ribosomal small subunit binding (GO:0043024)	2/17	0.00487933937346942	0.103163175324782	2	0.117647058823529	MTIF2;EIF4B
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	3/58	0.00559942716297589	0.103589402515054	3	0.0517241379310345	NDUFA9;NDUFS3;NDUFV2
double-stranded RNA binding (GO:0003725)	3/73	0.0105546425097425	0.173565232382431	3	0.0410958904109589	FXR1;ILF2;EIF4B
rRNA binding (GO:0019843)	2/42	0.027935417267344	0.239488673674352	2	0.0476190476190476	NGRN;RPS14
IgG binding (GO:0019864)	1/5	0.0306208123732578	0.239488673674352	1	0.2	FCER1G
small protein activating enzyme binding (GO:0044388)	1/5	0.0306208123732578	0.239488673674352	1	0.2	PARK7
leukotriene-C4 synthase activity (GO:0004464)	1/5	0.0306208123732578	0.239488673674352	1	0.2	MGST3
thiolester hydrolase activity (GO:0016790)	1/5	0.0306208123732578	0.239488673674352	1	0.2	ESD
C-acetyltransferase activity (GO:0016453)	1/5	0.0306208123732578	0.239488673674352	1	0.2	ACAT2
U2 snRNA binding (GO:0030620)	1/5	0.0306208123732578	0.239488673674352	1	0.2	SNRPA1
protein-arginine omega-N monomethyltransferase activity (GO:0035241)	1/5	0.0306208123732578	0.239488673674352	1	0.2	PRMT1
copper ion binding (GO:0005507)	2/45	0.0317382518272569	0.239488673674352	2	0.0444444444444444	PARK7;COMMD1
single-stranded RNA binding (GO:0003727)	2/45	0.0317382518272569	0.239488673674352	2	0.0444444444444444	FXR1;EIF4B
acetyl-CoA C-acyltransferase activity (GO:0003988)	1/6	0.0366324477864725	0.239488673674352	1	0.166666666666667	ACAT2
MHC class I receptor activity (GO:0032393)	1/6	0.0366324477864725	0.239488673674352	1	0.166666666666667	CD160
histone-arginine N-methyltransferase activity (GO:0008469)	1/7	0.0426071023827974	0.239488673674352	1	0.142857142857143	PRMT1
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	1/7	0.0426071023827974	0.239488673674352	1	0.142857142857143	PDHB
cuprous ion binding (GO:1903136)	1/8	0.0485450014204767	0.239488673674352	1	0.125	PARK7
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	1/8	0.0485450014204767	0.239488673674352	1	0.125	CKS1B
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	1/8	0.0485450014204767	0.239488673674352	1	0.125	RPIA
adenylate kinase activity (GO:0004017)	1/8	0.0485450014204767	0.239488673674352	1	0.125	AK3
sodium channel inhibitor activity (GO:0019871)	1/8	0.0485450014204767	0.239488673674352	1	0.125	COMMD1
arginine N-methyltransferase activity (GO:0016273)	1/8	0.0485450014204767	0.239488673674352	1	0.125	PRMT1
bubble DNA binding (GO:0000405)	1/8	0.0485450014204767	0.239488673674352	1	0.125	ERCC5
small ribosomal subunit rRNA binding (GO:0070181)	1/9	0.0544463689113871	0.251814456215165	1	0.111111111111111	RPS14
potassium ion binding (GO:0030955)	1/9	0.0544463689113871	0.251814456215165	1	0.111111111111111	DRG1
endopeptidase activator activity (GO:0061133)	1/10	0.0603114275885762	0.270487614639675	1	0.1	PSME2
histone methyltransferase binding (GO:1990226)	1/11	0.0661403988818775	0.279679400986225	1	0.0909090909090909	CBX3
protein-arginine N-methyltransferase activity (GO:0016274)	1/11	0.0661403988818775	0.279679400986225	1	0.0909090909090909	PRMT1
alkali metal ion binding (GO:0031420)	1/13	0.077690958567445	0.301100525007204	1	0.0769230769230769	DRG1
exoribonuclease activity (GO:0004532)	1/13	0.077690958567445	0.301100525007204	1	0.0769230769230769	EXOSC7
protein phosphatase activator activity (GO:0072542)	1/13	0.077690958567445	0.301100525007204	1	0.0769230769230769	PPP2R5C
mRNA binding (GO:0003729)	4/263	0.0811948987328889	0.301100525007204	4	0.0152091254752852	FXR1;RPS14;UPF3B;PARK7
deoxyribonuclease activity (GO:0004536)	1/14	0.0834129832790227	0.301100525007204	1	0.0714285714285714	ERCC5
phosphatase activator activity (GO:0019211)	1/14	0.0834129832790227	0.301100525007204	1	0.0714285714285714	PPP2R5C
voltage-gated anion channel activity (GO:0008308)	1/16	0.0947516035813911	0.32612179837316	1	0.0625	VDAC3
voltage-gated ion channel activity (GO:0005244)	1/16	0.0947516035813911	0.32612179837316	1	0.0625	VDAC3
nucleobase-containing compound kinase activity (GO:0019205)	1/17	0.100368627724104	0.337603565981077	1	0.0588235294117647	AK3
phosphatidic acid binding (GO:0070300)	1/19	0.111499165598042	0.3506485706751	1	0.0526315789473684	COMMD1
protein heterodimerization activity (GO:0046982)	3/188	0.111744504726317	0.3506485706751	3	0.0159574468085106	FXR1;TOP2B;SMC3
nucleoside monophosphate kinase activity (GO:0050145)	1/20	0.117013100212596	0.3506485706751	1	0.05	AK3
endodeoxyribonuclease activity (GO:0004520)	1/20	0.117013100212596	0.3506485706751	1	0.05	ERCC5
ATPase activator activity (GO:0001671)	1/20	0.117013100212596	0.3506485706751	1	0.05	AHSA1
single-stranded DNA binding (GO:0003697)	2/97	0.121625403987271	0.3506485706751	2	0.0206185567010309	ERCC5;PARK7
ubiquitin-specific protease binding (GO:1990381)	1/21	0.122493090359722	0.3506485706751	1	0.0476190476190476	PARK7
peptidase activator activity (GO:0016504)	1/22	0.127939343354428	0.3506485706751	1	0.0454545454545455	PSME2
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	1/22	0.127939343354428	0.3506485706751	1	0.0454545454545455	OPTN
TBP-class protein binding (GO:0017025)	1/22	0.127939343354428	0.3506485706751	1	0.0454545454545455	TAF12
N-methyltransferase activity (GO:0008170)	1/23	0.133352065146115	0.351631733949907	1	0.0434782608695652	PRMT1
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	1/24	0.138731460509731	0.351631733949907	1	0.0416666666666667	COMMD1
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	1/24	0.138731460509731	0.351631733949907	1	0.0416666666666667	AK3
methyl-CpG binding (GO:0008327)	1/24	0.138731460509731	0.351631733949907	1	0.0416666666666667	PRMT1
cadherin binding (GO:0045296)	4/322	0.140177515561112	0.351631733949907	4	0.0124223602484472	PSMB6;AHSA1;PARK7;CCT8
mRNA 5'-UTR binding (GO:0048027)	1/25	0.144077732971028	0.355391741328536	1	0.04	RPS14
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	1/26	0.149391084851113	0.356610976741366	1	0.0384615384615385	COMMD1
general transcription initiation factor binding (GO:0140296)	1/26	0.149391084851113	0.356610976741366	1	0.0384615384615385	TAF12
androgen receptor binding (GO:0050681)	1/27	0.154671717152568	0.357678345915314	1	0.037037037037037	PARK7
glutathione transferase activity (GO:0004364)	1/27	0.154671717152568	0.357678345915314	1	0.037037037037037	MGST3
mitogen-activated protein kinase binding (GO:0051019)	1/29	0.165135621345553	0.375886817076067	1	0.0344827586206897	PRMT1
nuclear receptor binding (GO:0016922)	2/120	0.170669776687117	0.375886817076067	2	0.0166666666666667	BUD31;PARK7
histone methyltransferase activity (GO:0042054)	1/32	0.180591038128554	0.375886817076067	1	0.03125	PRMT1
RNA polymerase II complex binding (GO:0000993)	1/32	0.180591038128554	0.375886817076067	1	0.03125	ERCC5
beta-tubulin binding (GO:0048487)	1/32	0.180591038128554	0.375886817076067	1	0.03125	SMC3
RNA polymerase core enzyme binding (GO:0043175)	1/33	0.185679507943654	0.375886817076067	1	0.0303030303030303	ERCC5
DNA secondary structure binding (GO:0000217)	1/33	0.185679507943654	0.375886817076067	1	0.0303030303030303	ERCC5
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	1/33	0.185679507943654	0.375886817076067	1	0.0303030303030303	EXOSC7
basal RNA polymerase II transcription machinery binding (GO:0001099)	1/33	0.185679507943654	0.375886817076067	1	0.0303030303030303	ERCC5
3'-5'-exoribonuclease activity (GO:0000175)	1/34	0.190736631982304	0.375886817076067	1	0.0294117647058824	EXOSC7
Hsp90 protein binding (GO:0051879)	1/35	0.195762601798952	0.375886817076067	1	0.0285714285714286	AHSA1
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	1/35	0.195762601798952	0.375886817076067	1	0.0285714285714286	COMMD1
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	1/35	0.195762601798952	0.375886817076067	1	0.0285714285714286	PARK7
core promoter sequence-specific DNA binding (GO:0001046)	1/37	0.205721839075415	0.375886817076067	1	0.027027027027027	PARK7
ion channel inhibitor activity (GO:0008200)	1/37	0.205721839075415	0.375886817076067	1	0.027027027027027	COMMD1
sodium channel regulator activity (GO:0017080)	1/37	0.205721839075415	0.375886817076067	1	0.027027027027027	COMMD1
protein serine/threonine kinase activator activity (GO:0043539)	1/37	0.205721839075415	0.375886817076067	1	0.027027027027027	CKS1B
ATPase regulator activity (GO:0060590)	1/38	0.210655483825959	0.380207458612706	1	0.0263157894736842	AHSA1
translation initiation factor activity (GO:0003743)	1/41	0.225274762299593	0.401694756871563	1	0.024390243902439	EIF3M
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	1/43	0.234871412041655	0.407638651478349	1	0.0232558139534884	DPH5
snRNA binding (GO:0017069)	1/43	0.234871412041655	0.407638651478349	1	0.0232558139534884	SNRPA1
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	1/44	0.239625423504164	0.407638651478349	1	0.0227272727272727	CKS1B
