Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome	9/158	6.23610544374545e-07	7.79513180468181e-05	9	0.0569620253164557	MRPS17;RPS14;MRPS9;RPS6;RPL22;RPL10A;MRPL35;MRPL21;RPS12
Parkinson disease	9/249	2.54345143618143e-05	0.00158965714761339	9	0.036144578313253	PSMA5;PSMB6;NDUFA9;PSMB7;VDAC3;NDUFS3;PARK7;CALML4;NDUFV2
Pathways of neurodegeneration	11/475	0.000183207121935791	0.00586823894106373	11	0.0231578947368421	PSMA5;DCTN6;PSMB6;NDUFA9;PSMB7;VDAC3;NDUFS3;PARK7;CALML4;NDUFV2;OPTN
Proteasome	4/46	0.000187783646114039	0.00586823894106373	4	0.0869565217391304	PSMB6;PSMA5;PSMB7;PSME2
Huntington disease	8/306	0.000650512595761225	0.0162628148940306	8	0.0261437908496732	PSMA5;DCTN6;PSMB6;NDUFA9;PSMB7;VDAC3;NDUFS3;NDUFV2
RNA transport	6/186	0.00107579992816935	0.0224124985035282	6	0.032258064516129	FXR1;PNN;EIF1AY;UPF3B;GEMIN6;EIF4B
Prion disease	7/273	0.00158447918544651	0.0282942711686877	7	0.0256410256410256	PSMA5;PSMB6;NDUFA9;PSMB7;VDAC3;NDUFS3;NDUFV2
Amyotrophic lateral sclerosis	8/364	0.00196714981213019	0.029735093745688	8	0.021978021978022	PSMA5;DCTN6;PSMB6;NDUFA9;PSMB7;NDUFS3;NDUFV2;OPTN
Alzheimer disease	8/369	0.00214092674968953	0.029735093745688	8	0.021680216802168	PSMA5;PSMB6;NDUFA9;PSMB7;VDAC3;NDUFS3;CALML4;NDUFV2
Oocyte meiosis	4/129	0.00854553267618605	0.0991147642754874	4	0.0310077519379845	ANAPC4;CALML4;PPP2R5C;SMC3
Diabetic cardiomyopathy	5/203	0.00872209925624289	0.0991147642754874	5	0.0246305418719212	NDUFA9;VDAC3;NDUFS3;PDHB;NDUFV2
Spinocerebellar ataxia	4/143	0.0121382428346039	0.126440029527124	4	0.027972027972028	PSMA5;PSMB6;PSMB7;VDAC3
Coronavirus disease	5/232	0.0148681520252242	0.142963000242541	5	0.021551724137931	RPS14;RPS6;RPL22;RPL10A;RPS12
mRNA surveillance pathway	3/98	0.0230965783376099	0.206219449442946	3	0.0306122448979592	PNN;UPF3B;PPP2R5C
Glucagon signaling pathway	3/107	0.0289652205979106	0.241376838315922	3	0.0280373831775701	PRMT1;CALML4;PDHB
Basal transcription factors	2/45	0.0317382518272569	0.247955092400444	2	0.0444444444444444	TAF12;GTF2E2
Pyruvate metabolism	2/47	0.0343801998894374	0.252795587422334	2	0.0425531914893617	PDHB;ACAT2
Glutathione metabolism	2/57	0.0487801061923726	0.328248580408439	2	0.0350877192982456	MGST3;TXNDC12
Oxidative phosphorylation	3/133	0.0498937842220827	0.328248580408439	3	0.0225563909774436	NDUFA9;NDUFS3;NDUFV2
Thermogenesis	4/232	0.0565060680445852	0.353162925278658	4	0.0172413793103448	NDUFA9;RPS6;NDUFS3;NDUFV2
Synthesis and degradation of ketone bodies	1/10	0.0603114275885762	0.358996592789144	1	0.1	ACAT2
Retrograde endocannabinoid signaling	3/148	0.0645397108117084	0.36210391279761	3	0.0202702702702703	NDUFA9;NDUFS3;NDUFV2
Spliceosome	3/150	0.0666271199547603	0.36210391279761	3	0.02	ISY1;BUD31;SNRPA1
Non-alcoholic fatty liver disease	3/155	0.0719794284372954	0.374892856444247	3	0.0193548387096774	NDUFA9;NDUFS3;NDUFV2
Terpenoid backbone biosynthesis	1/22	0.127939343354428	0.586711382178538	1	0.0454545454545455	ACAT2
Protein export	1/23	0.133352065146115	0.586711382178538	1	0.0434782608695652	SEC61G
C-type lectin receptor signaling pathway	2/104	0.136165347740018	0.586711382178538	2	0.0192307692307692	FCER1G;CALML4
Drug metabolism	2/108	0.144640327888571	0.586711382178538	2	0.0185185185185185	NME1-NME2;MGST3
HIF-1 signaling pathway	2/109	0.146776283758901	0.586711382178538	2	0.018348623853211	RPS6;PDHB
