Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
neutrophil activation involved in immune response (GO:0002283)	31/485	1.03008168520777e-14	1.66461200329576e-11	31	0.0639175257731959	ARHGAP9;FCN1;SLC44A2;BRI3;FPR1;FPR2;CFP;LILRA2;CTSS;ALOX5;RAB24;TOM1;CD14;PGLYRP1;SYK;CD93;APAF1;PRKCD;HSPA6;MMP9;UNC13D;IGF2R;CKAP4;PTPRC;SELL;CRISPLD2;RAB37;IMPDH1;HSPA1B;VCL;SIGLEC5
neutrophil degranulation (GO:0043312)	29/481	3.4962989693919e-13	2.70403851011617e-10	29	0.0602910602910603	ARHGAP9;FCN1;SLC44A2;BRI3;FPR1;FPR2;CFP;CTSS;ALOX5;RAB24;TOM1;CD14;PGLYRP1;CD93;APAF1;PRKCD;HSPA6;MMP9;UNC13D;IGF2R;CKAP4;PTPRC;SELL;CRISPLD2;RAB37;IMPDH1;HSPA1B;VCL;SIGLEC5
neutrophil mediated immunity (GO:0002446)	29/488	5.01987347175032e-13	2.70403851011617e-10	29	0.0594262295081967	ARHGAP9;FCN1;SLC44A2;BRI3;FPR1;FPR2;CFP;CTSS;ALOX5;RAB24;TOM1;CD14;PGLYRP1;CD93;APAF1;PRKCD;HSPA6;MMP9;UNC13D;IGF2R;CKAP4;PTPRC;SELL;CRISPLD2;RAB37;IMPDH1;HSPA1B;VCL;SIGLEC5
cytokine-mediated signaling pathway (GO:0019221)	24/621	2.52168132154331e-07	0.00010187592539035	24	0.0386473429951691	STAT5B;SYK;CEBPD;STAT2;PRKCD;STAT3;FPR1;IFI6;TALDO1;ADAR;HLA-F;MMP9;TNFSF13B;TNFRSF1A;NFKBIA;ALOX5;IRF7;TRIM25;STAT6;TNFRSF14;TRIM38;VIM;TRIM21;IRF9
growth hormone receptor signaling pathway via JAK-STAT (GO:0060397)	5/14	3.61963842735084e-07	0.000106850657430261	5	0.357142857142857	LYN;PTPN1;STAT5B;STAT3;STAT6
regulation of interleukin-8 production (GO:0032677)	9/81	3.96722737983643e-07	0.000106850657430261	9	0.111111111111111	FCN1;PTPRC;SYK;STAT3;TLR8;CD14;TLR5;LILRA2;HSPA1B
positive regulation of interleukin-8 production (GO:0032757)	8/61	4.87754872544993e-07	0.000112601696290387	8	0.131147540983607	FCN1;SYK;STAT3;TLR8;CD14;TLR5;LILRA2;HSPA1B
positive regulation of cytokine production (GO:0001819)	16/335	1.9214520583768e-06	0.000388133315792115	16	0.0477611940298507	FCN1;ZBP1;CEBPB;SYK;STAT3;LILRA2;PTPRC;FLOT1;IRF7;TLR8;EP300;STAT6;TNFRSF14;CD14;TLR5;HSPA1B
growth hormone receptor signaling pathway (GO:0060396)	5/20	2.64887889596209e-06	0.00047562092176386	5	0.25	LYN;PTPN1;STAT5B;STAT3;STAT6
negative regulation of response to external stimulus (GO:0032102)	9/118	9.39651165577396e-06	0.00151847628357307	9	0.076271186440678	NLRP12;ALOX5;CARD8;PRKCD;FPR2;AOAH;LILRA2;TRIM21;TNFRSF1A
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	10/155	1.32370287044465e-05	0.00179626152600811	10	0.0645161290322581	NFKBIA;STAT3;FLOT1;EP300;TRIM25;RBCK1;CFLAR;TRIM38;TRIM21;HSPA1B
interferon-gamma-mediated signaling pathway (GO:0060333)	7/68	1.3338575688179e-05	0.00179626152600811	7	0.102941176470588	PRKCD;IRF7;TRIM25;TRIM38;HLA-F;TRIM21;IRF9
apoptotic process (GO:0006915)	12/231	1.65366885953711e-05	0.00205563759770151	12	0.051948051948052	NFKBIA;ADAM15;APAF1;DAPK2;PRKCD;DDIT4;IFI6;CIDEB;CXCR4;EP300;CD14;CFLAR
regulation of cytokine-mediated signaling pathway (GO:0001959)	7/74	2.33501371662488e-05	0.00269527297576129	7	0.0945945945945946	ZBP1;PTPN1;PTPRC;SYK;RBCK1;CFLAR;TNFRSF1A
positive regulation of type I interferon production (GO:0032481)	7/77	3.03020814317632e-05	0.00326454423958196	7	0.0909090909090909	ZBP1;FLOT1;IRF7;EP300;TLR8;STAT6;CD14
innate immune response (GO:0045087)	13/302	5.28189972449924e-05	0.00516428827625952	13	0.043046357615894	LYN;FCN1;SYK;IFI6;ADAR;CFP;ADAM15;IRF7;TRIM25;TLR8;TRIM38;PGLYRP1;TRIM21
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	6/58	5.45257068612336e-05	0.00516428827625952	6	0.103448275862069	SYK;CARD8;RBCK1;CFLAR;HSPA1B;TNFRSF1A
negative regulation of defense response (GO:0031348)	7/85	5.75230129781382e-05	0.00516428827625952	7	0.0823529411764706	NLRP12;ALOX5;PRKCD;AOAH;FPR2;TRIM21;TNFRSF1A
negative regulation of signal transduction (GO:0009968)	12/267	6.80110322213722e-05	0.00578451726682829	12	0.0449438202247191	LYN;PTPRE;PTPN1;NLRP12;LEPROT;PTPRC;RGS14;CARD8;PRKCD;DDIT4;LILRA2;THBS1
regulation of type I interferon production (GO:0032479)	7/89	7.72278625616409e-05	0.00624001129498058	7	0.0786516853932584	ZBP1;IRF7;EP300;TRIM25;STAT6;CD14;TRIM21
response to peptide (GO:1901652)	5/39	8.22672629170427e-05	0.00633066175590196	5	0.128205128205128	STAT5B;STAT2;STAT3;STAT6;MMP9
cellular response to type I interferon (GO:0071357)	6/65	0.000104039715186766	0.00730992085833973	6	0.0923076923076923	STAT2;IRF7;IFI6;ADAR;HLA-F;IRF9
type I interferon signaling pathway (GO:0060337)	6/65	0.000104039715186766	0.00730992085833973	6	0.0923076923076923	STAT2;IRF7;IFI6;ADAR;HLA-F;IRF9
regulation of leukocyte degranulation (GO:0043300)	3/9	0.000121356824886799	0.00817135954237777	3	0.333333333333333	LYN;SYK;UNC13D
regulation of inflammatory response (GO:0050727)	10/206	0.000147156648242842	0.00951220574241728	10	0.0485436893203883	ZBP1;NFKBIA;NLRP12;SBNO2;ALOX5;PRKCD;FPR2;AOAH;MMP9;TNFRSF1A
immune response-activating cell surface receptor signaling pathway (GO:0002429)	4/24	0.000153635145387507	0.00954901519023892	4	0.166666666666667	LYN;FPR1;FPR2;LILRA2
receptor signaling pathway via STAT (GO:0097696)	4/25	0.000181249737301702	0.0107270936735764	4	0.16	STAT5B;STAT2;STAT3;STAT6
negative regulation of inflammatory response (GO:0050728)	10/212	0.000185865484443156	0.0107270936735764	10	0.0471698113207547	LYN;NLRP12;CD163;SYK;ALOX5;PRKCD;RHBDF2;FPR2;AOAH;TNFRSF1A
