Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
ubiquitin-like protein ligase binding (GO:0044389)	11/282	0.00046006362774329	0.0649063134529404	11	0.0390070921985816	NFKBIA;HSPA1L;STAT2;HSPA6;ZNF746;CXCR4;TNFRSF14;CASC3;ANKRA2;HSPA1B;VCL
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	3/15	0.000624491268909596	0.0649063134529404	3	0.2	NLRP12;APAF1;CARD8
peptidase activator activity involved in apoptotic process (GO:0016505)	3/17	0.000917521530118158	0.0649063134529404	3	0.176470588235294	NLRP12;APAF1;CARD8
ubiquitin protein ligase binding (GO:0031625)	10/265	0.0010660378423015	0.0649063134529404	10	0.0377358490566038	NFKBIA;HSPA1L;HSPA6;ZNF746;CXCR4;TNFRSF14;CASC3;ANKRA2;HSPA1B;VCL
peptidoglycan immune receptor activity (GO:0016019)	2/5	0.00129812626905881	0.0649063134529404	2	0.4	CD14;PGLYRP1
protein tyrosine phosphatase activity (GO:0004725)	5/74	0.00165962308771594	0.0691509619881641	5	0.0675675675675676	PTPN1;PTPRE;MTMR3;PTPRC;DUSP1
tumor necrosis factor-activated receptor activity (GO:0005031)	2/9	0.00453278920598272	0.155011571061848	2	0.222222222222222	TNFRSF14;TNFRSF1A
cAMP response element binding (GO:0035497)	2/10	0.00562301893618273	0.155011571061848	2	0.2	E4F1;CREB5
protein serine/threonine phosphatase activity (GO:0004722)	4/62	0.00573009543221183	0.155011571061848	4	0.0645161290322581	MTMR3;PPTC7;DUSP1;PPM1M
MAP-kinase scaffold activity (GO:0005078)	2/11	0.0068205091267213	0.155011571061848	2	0.181818181818182	AKAP13;MAPK8IP3
complement receptor activity (GO:0004875)	2/11	0.0068205091267213	0.155011571061848	2	0.181818181818182	FPR1;FPR2
guanyl-nucleotide exchange factor activity (GO:0005085)	6/149	0.00777448621100965	0.156204970955683	6	0.0402684563758389	AKAP13;SH3BP5L;SPATA13;DENND3;RGL2;RAPGEF6
death receptor activity (GO:0005035)	2/12	0.0081226584896955	0.156204970955683	2	0.166666666666667	TNFRSF14;TNFRSF1A
double-stranded RNA binding (GO:0003725)	4/73	0.0101362437057756	0.181004351888849	4	0.0547945205479452	ZBP1;TLR8;ADAR;VIM
transmembrane receptor protein phosphatase activity (GO:0019198)	2/16	0.0143273937625018	0.210696967095615	2	0.125	PTPRE;PTPRC
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	2/16	0.0143273937625018	0.210696967095615	2	0.125	PTPRE;PTPRC
organic cation transmembrane transporter activity (GO:0015101)	2/16	0.0143273937625018	0.210696967095615	2	0.125	SLC22A4;SLC44A2
GTPase activator activity (GO:0005096)	9/336	0.0165098237018492	0.229303106970127	9	0.0267857142857143	ARHGAP9;AKAP13;SH3BP5L;RGS14;SPATA13;TAGAP;DENND3;RGL2;RAPGEF6
ephrin receptor binding (GO:0046875)	2/21	0.0241443488293055	0.317688800385598	2	0.0952380952380952	LYN;PTPN1
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	2/22	0.0263596552652775	0.325611937980277	2	0.0909090909090909	MTMR3;DUSP1
carboxylic acid transmembrane transporter activity (GO:0046943)	3/57	0.0281835605595293	0.325611937980277	3	0.0526315789473684	SLC22A4;SLC16A3;SLC16A5
