Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Vertical Talus	2/42	0.00898378124785379	0.375197280740455	2	0.0476190476190476	SAMD9;ZMPSTE24
Calcinosis	2/50	0.0125608922452036	0.375197280740455	2	0.04	SAMD9;ZMPSTE24
Myeloid neoplasm	2/53	0.0140377695733921	0.375197280740455	2	0.0377358490566038	EVI2A;SAMD9
Influenza	6/589	0.0148920276129108	0.375197280740455	6	0.0101867572156197	AIM2;SAMD9;CMPK1;XIST;GBP1;CD55
Tooth Crowding	2/58	0.016657145714021	0.375197280740455	2	0.0344827586206897	GNAI3;ZMPSTE24
Tooth mass arch size discrepancy	2/58	0.016657145714021	0.375197280740455	2	0.0344827586206897	GNAI3;ZMPSTE24
Tooth size discrepancy	2/58	0.016657145714021	0.375197280740455	2	0.0344827586206897	GNAI3;ZMPSTE24
Inadequate arch length for tooth size	2/58	0.016657145714021	0.375197280740455	2	0.0344827586206897	GNAI3;ZMPSTE24
Bipartite clavicle	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Flattening of facial bones	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
NESTOR-GUILLERMO PROGERIA SYNDROME	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Stiff skin	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Histiocytic Necrotizing Lymphadenitis	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	GBP1
Opsoclonus	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	SNX10
Hypoplastic facial bones	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Hypotrophic facial bones	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Underdevelopment of facial bones	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Craniofacial disproportion	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Decreased size of facial bones	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Keratoma	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	NFE2L2
Keratosis Blennorrhagica	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	NFE2L2
Pseudoarthrosis of clavicle	1/6	0.020229739174506	0.375197280740455	1	0.166666666666667	ZMPSTE24
Paroxysmal nocturnal hemoglobinuria	2/65	0.0206438804303416	0.375197280740455	2	0.0307692307692308	CD48;CD55
Bird-like facies	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	ZMPSTE24
Short cord	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	ZMPSTE24
CD59 Deficiency	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	CD55
Haemophilus Infections	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	CMPK1
Pyloric Stenosis, Infantile Hypertrophic 1	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	MBNL1
Abnormal trabecular bone morphology	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	ZMPSTE24
Hypoplastic superior helix	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	GNAI3
Abnormality of hair consistency	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	SNX10
Abnormality of hair curl pattern	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	SNX10
Abnormality of hair texture	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	SNX10
Abnormality of hair volume	1/7	0.0235619444744117	0.375197280740455	1	0.142857142857143	SNX10
Auriculo-condylar syndrome	1/8	0.0268829840764005	0.375197280740455	1	0.125	GNAI3
Reticular pigmentation pattern	1/8	0.0268829840764005	0.375197280740455	1	0.125	ZMPSTE24
Reticulated skin pigmentation	1/8	0.0268829840764005	0.375197280740455	1	0.125	ZMPSTE24
MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS	1/8	0.0268829840764005	0.375197280740455	1	0.125	NFE2L2
Fetal Membranes, Premature Rupture	1/8	0.0268829840764005	0.375197280740455	1	0.125	ZMPSTE24
Hypergonadotropic Ovarian Failure, X-Linked	1/8	0.0268829840764005	0.375197280740455	1	0.125	NFE2L2
Small penis	1/8	0.0268829840764005	0.375197280740455	1	0.125	SAMD9
Small placenta	1/8	0.0268829840764005	0.375197280740455	1	0.125	ZMPSTE24
Myotonic Disorders	1/8	0.0268829840764005	0.375197280740455	1	0.125	MBNL1
