Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
positive regulation of toll-like receptor signaling pathway (GO:0034123)	3/27	0.000103706510385465	0.0535125593588999	3	0.111111111111111	DDX3X;WDFY1;PJA2
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	4/185	0.00363985794539413	0.22363622954557	4	0.0216216216216216	CAPZA2;TMED5;CD55;CNIH4
regulation of response to biotic stimulus (GO:0002831)	2/29	0.00435830273978445	0.22363622954557	2	0.0689655172413793	CD55;ZMPSTE24
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	3/118	0.00759369259931135	0.22363622954557	3	0.0254237288135593	GNA13;GNG2;GPR65
protein localization to plasma membrane (GO:0072659)	3/136	0.0111720241335457	0.22363622954557	3	0.0220588235294118	EFR3A;SLMAP;RAB8B
protein localization to cell periphery (GO:1990778)	3/140	0.0120784448081094	0.22363622954557	3	0.0214285714285714	EFR3A;SLMAP;RAB8B
protein localization to organelle (GO:0033365)	3/142	0.0125470846115671	0.22363622954557	3	0.0211267605633803	DDX3X;SNX10;GBP1
positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	1/5	0.016886331477543	0.22363622954557	1	0.2	CD55
pyrimidine ribonucleotide metabolic process (GO:0009218)	1/5	0.016886331477543	0.22363622954557	1	0.2	CMPK1
regulation of voltage-gated sodium channel activity (GO:1905150)	1/5	0.016886331477543	0.22363622954557	1	0.2	SLMAP
late endosome to lysosome transport (GO:1902774)	1/5	0.016886331477543	0.22363622954557	1	0.2	ARL8B
mature ribosome assembly (GO:0042256)	1/5	0.016886331477543	0.22363622954557	1	0.2	DDX3X
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	1/5	0.016886331477543	0.22363622954557	1	0.2	NFE2L2
positive regulation of translation in response to stress (GO:0032056)	1/5	0.016886331477543	0.22363622954557	1	0.2	DDX3X
polyphosphate catabolic process (GO:0006798)	1/5	0.016886331477543	0.22363622954557	1	0.2	BNIP2
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	3/165	0.018686380246855	0.22363622954557	3	0.0181818181818182	GNA13;GPR65;GNAI3
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	2/62	0.0188906354882969	0.22363622954557	2	0.032258064516129	DDX3X;AIM2
actin cytoskeleton reorganization (GO:0031532)	2/63	0.0194677024405894	0.22363622954557	2	0.0317460317460317	MKLN1;GPR65
protein secretion (GO:0009306)	2/64	0.0200521358214471	0.22363622954557	2	0.03125	CYB5R4;RAB8B
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	2/64	0.0200521358214471	0.22363622954557	2	0.03125	DDX3X;NFE2L2
negative regulation of Arp2/3 complex-mediated actin nucleation (GO:0034316)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	GMFB
protein-DNA covalent cross-linking repair (GO:0106300)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	VCPIP1
response to catecholamine (GO:0071869)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	GNG2
negative regulation of sequestering of triglyceride (GO:0010891)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	OSBPL8
positive regulation of toll-like receptor 2 signaling pathway (GO:0034137)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	PJA2
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	WDFY1
positive regulation of toll-like receptor 7 signaling pathway (GO:0034157)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	DDX3X
polyphosphate metabolic process (GO:0006797)	1/6	0.020229739174506	0.22363622954557	1	0.166666666666667	BNIP2
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	GNG2
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	CMPK1
regulation of toll-like receptor 7 signaling pathway (GO:0034155)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	DDX3X
positive regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903071)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	NFE2L2
positive regulation of fibroblast apoptotic process (GO:2000271)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	STK17B
cellular response to laminar fluid shear stress (GO:0071499)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	NFE2L2
cellular response to monoamine stimulus (GO:0071868)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	GNG2
cellular response to prostaglandin E stimulus (GO:0071380)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	GNG2
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	DCP2
protein localization to cytoplasmic stress granule (GO:1903608)	1/7	0.0235619444744117	0.22363622954557	1	0.142857142857143	DDX3X
negative regulation of complement activation, classical pathway (GO:0045959)	1/8	0.0268829840764005	0.22363622954557	1	0.125	CD55
regulation of toll-like receptor 3 signaling pathway (GO:0034139)	1/8	0.0268829840764005	0.22363622954557	1	0.125	WDFY1
autophagosome-lysosome fusion (GO:0061909)	1/8	0.0268829840764005	0.22363622954557	1	0.125	ARL8B
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	1/8	0.0268829840764005	0.22363622954557	1	0.125	CD55
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	1/8	0.0268829840764005	0.22363622954557	1	0.125	DDX3X
RNA secondary structure unwinding (GO:0010501)	1/8	0.0268829840764005	0.22363622954557	1	0.125	DDX3X
negative regulation of response to reactive oxygen species (GO:1901032)	1/8	0.0268829840764005	0.22363622954557	1	0.125	NFE2L2
macromolecule modification (GO:0043412)	1/8	0.0268829840764005	0.22363622954557	1	0.125	CHD1
regulation of protein K63-linked ubiquitination (GO:1900044)	1/8	0.0268829840764005	0.22363622954557	1	0.125	DDX3X
endosomal vesicle fusion (GO:0034058)	1/8	0.0268829840764005	0.22363622954557	1	0.125	SAMD9
regulation of protein localization to chromatin (GO:1905634)	1/8	0.0268829840764005	0.22363622954557	1	0.125	VCPIP1
negative regulation of actin nucleation (GO:0051126)	1/8	0.0268829840764005	0.22363622954557	1	0.125	GMFB
cellular response to tumor necrosis factor (GO:0071356)	3/194	0.0284218431197819	0.22363622954557	3	0.0154639175257732	AIM2;GBP1;NFE2L2
protein localization to membrane (GO:0072657)	3/195	0.028797369866628	0.22363622954557	3	0.0153846153846154	EFR3A;SLMAP;RAB8B
regulation of complement activation, classical pathway (GO:0030450)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	CD55
regulation of complement-dependent cytotoxicity (GO:1903659)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	CD55
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	NFE2L2
regulation of fibroblast apoptotic process (GO:2000269)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	STK17B
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	DDX3X
positive regulation of protein polyubiquitination (GO:1902916)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	DDX3X
nucleoside diphosphate phosphorylation (GO:0006165)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	CMPK1
nucleoside triphosphate biosynthetic process (GO:0009142)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	CMPK1
nucleotide phosphorylation (GO:0046939)	1/9	0.030192894641306	0.22363622954557	1	0.111111111111111	CMPK1
negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)	1/10	0.0334917127632155	0.22363622954557	1	0.1	CD55
response to laminar fluid shear stress (GO:0034616)	1/10	0.0334917127632155	0.22363622954557	1	0.1	NFE2L2
cellular response to prostaglandin stimulus (GO:0071379)	1/10	0.0334917127632155	0.22363622954557	1	0.1	GNG2
regulation of hydrogen peroxide-induced cell death (GO:1903205)	1/10	0.0334917127632155	0.22363622954557	1	0.1	NFE2L2
methylguanosine-cap decapping (GO:0110156)	1/10	0.0334917127632155	0.22363622954557	1	0.1	DCP2
positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	1/10	0.0334917127632155	0.22363622954557	1	0.1	WDFY1
phagosome-lysosome fusion (GO:0090385)	1/10	0.0334917127632155	0.22363622954557	1	0.1	ARL8B
protein K11-linked deubiquitination (GO:0035871)	1/10	0.0334917127632155	0.22363622954557	1	0.1	VCPIP1
negative regulation of cellular amide metabolic process (GO:0034249)	2/86	0.0346645906265795	0.22363622954557	2	0.0232558139534884	DDX3X;MRPL13
protein targeting to membrane (GO:0006612)	2/87	0.0354037728922169	0.22363622954557	2	0.0229885057471264	SSR1;RAB8B
regulation of toll-like receptor 2 signaling pathway (GO:0034135)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	PJA2
Golgi inheritance (GO:0048313)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	VCPIP1
regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	CD55
response to prostaglandin E (GO:0034695)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	GNG2
regulation of mRNA 3'-end processing (GO:0031440)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	PAPOLA
PERK-mediated unfolded protein response (GO:0036499)	1/11	0.0367794749552908	0.22363622954557	1	0.0909090909090909	NFE2L2
positive regulation of autophagy (GO:0010508)	2/90	0.0376578251363587	0.22363622954557	2	0.0222222222222222	TP53INP1;GNAI3
negative regulation of translation (GO:0017148)	2/90	0.0376578251363587	0.22363622954557	2	0.0222222222222222	DDX3X;MRPL13
negative regulation of complement activation (GO:0045916)	1/12	0.0400562176312821	0.22363622954557	1	0.0833333333333333	CD55
cellular response to fluid shear stress (GO:0071498)	1/12	0.0400562176312821	0.22363622954557	1	0.0833333333333333	NFE2L2
phagolysosome assembly (GO:0001845)	1/12	0.0400562176312821	0.22363622954557	1	0.0833333333333333	ARL8B
endoplasmic reticulum membrane organization (GO:0090158)	1/12	0.0400562176312821	0.22363622954557	1	0.0833333333333333	VCPIP1
negative regulation of cellular protein metabolic process (GO:0032269)	2/94	0.0407466023557478	0.22363622954557	2	0.0212765957446809	DDX3X;MRPL13
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	GBP1
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	CD55
purine ribonucleoside triphosphate metabolic process (GO:0009205)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	GNAI3
positive regulation of ERAD pathway (GO:1904294)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	NFE2L2
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	NFE2L2
Golgi ribbon formation (GO:0090161)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	TMED5
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	GBP1
positive regulation of protein acetylation (GO:1901985)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	DDX3X
lymphocyte mediated immunity (GO:0002449)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	CD55
embryonic appendage morphogenesis (GO:0035113)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	MBNL1
regulation of protein acetylation (GO:1901983)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	DDX3X
plasma membrane repair (GO:0001778)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	ARL8B
negative regulation of adenylate cyclase activity (GO:0007194)	1/13	0.0433219771034119	0.22363622954557	1	0.0769230769230769	GNAI3
cellular response to chemical stress (GO:0062197)	2/101	0.0463727216749038	0.22363622954557	2	0.0198019801980198	DDX3X;NFE2L2
protein localization to vacuole (GO:0072665)	1/14	0.0465767895867938	0.22363622954557	1	0.0714285714285714	GBP1
negative regulation of cyclase activity (GO:0031280)	1/14	0.0465767895867938	0.22363622954557	1	0.0714285714285714	GNAI3
covalent chromatin modification (GO:0016569)	1/14	0.0465767895867938	0.22363622954557	1	0.0714285714285714	CHD1
nucleoside phosphate biosynthetic process (GO:1901293)	1/14	0.0465767895867938	0.22363622954557	1	0.0714285714285714	CMPK1
nucleoside triphosphate metabolic process (GO:0009141)	1/14	0.0465767895867938	0.22363622954557	1	0.0714285714285714	CMPK1
regulation of sequestering of triglyceride (GO:0010889)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	OSBPL8
response to acidic pH (GO:0010447)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	GPR65
GTP metabolic process (GO:0046039)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	GNAI3
histone mRNA catabolic process (GO:0071044)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	DCP2
integrated stress response signaling (GO:0140467)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	NFE2L2
cellular response to arsenic-containing substance (GO:0071243)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	DDX3X
myoblast differentiation (GO:0045445)	1/15	0.0498206911792053	0.22363622954557	1	0.0666666666666667	MBNL1
positive regulation of alpha-beta T cell proliferation (GO:0046641)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	CD55
negative regulation of immune effector process (GO:0002698)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	CD55
negative regulation of lyase activity (GO:0051350)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	GNAI3
regulation of defense response to virus (GO:0050688)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	ZMPSTE24
T cell mediated immunity (GO:0002456)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	CD55
regulation of leukocyte activation (GO:0002694)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	PJA2
nucleoside diphosphate metabolic process (GO:0009132)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	CMPK1
positive regulation by host of viral transcription (GO:0043923)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	CHD1
protein localization to microtubule organizing center (GO:1905508)	1/16	0.0530537178751864	0.22363622954557	1	0.0625	SNX10
response to tumor necrosis factor (GO:0034612)	2/110	0.0539970612527204	0.22363622954557	2	0.0181818181818182	GBP1;NFE2L2
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	1/17	0.0562759055530841	0.22363622954557	1	0.0588235294117647	GMFB
regulation of cell killing (GO:0031341)	1/17	0.0562759055530841	0.22363622954557	1	0.0588235294117647	CD55
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	1/17	0.0562759055530841	0.22363622954557	1	0.0588235294117647	DDX3X
organelle assembly (GO:0070925)	4/425	0.0566320489097076	0.22363622954557	4	0.00941176470588235	DDX3X;TP53INP1;SNX10;RAB8B
regulation of telomerase RNA localization to Cajal body (GO:1904872)	1/18	0.0594872899827325	0.22363622954557	1	0.0555555555555556	DCP2
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	1/18	0.0594872899827325	0.22363622954557	1	0.0555555555555556	NFE2L2
protein localization to centrosome (GO:0071539)	1/18	0.0594872899827325	0.22363622954557	1	0.0555555555555556	SNX10
regulation of intracellular signal transduction (GO:1902531)	4/437	0.0614773802285629	0.22363622954557	4	0.0091533180778032	GNA13;TP53INP1;GBP1;PJA2
actin filament capping (GO:0051693)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	CAPZA2
pyroptosis (GO:0070269)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	AIM2
regulation of T cell cytokine production (GO:0002724)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	CD55
barbed-end actin filament capping (GO:0051016)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	CAPZA2
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	NFE2L2
negative regulation of T cell receptor signaling pathway (GO:0050860)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	GBP1
long-term memory (GO:0007616)	1/19	0.0626879068283445	0.22363622954557	1	0.0526315789473684	PJA2
