Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
GTPase activity (GO:0003924)	7/216	8.62213287254819e-06	0.000931190350235205	7	0.0324074074074074	GNA13;GNG10;DDX3X;GNAI3;GBP1;RAB8B;ARL8B
nucleoside-triphosphatase activity (GO:0017111)	7/278	4.36907292512611e-05	0.0023592993795681	7	0.0251798561151079	GNA13;GNG10;DDX3X;GNAI3;GBP1;RAB8B;ARL8B
GDP binding (GO:0019003)	4/67	7.971347663758e-05	0.00286968515895288	4	0.0597014925373134	GNAI3;GBP1;RAB8B;ARL8B
pyrophosphatase activity (GO:0016462)	3/54	0.000823607306274324	0.0222373972694068	3	0.0555555555555556	DDX3X;BNIP2;DCP2
1-phosphatidylinositol binding (GO:0005545)	2/15	0.00116227019592486	0.025105036231977	2	0.133333333333333	WDFY1;SNX10
guanyl ribonucleotide binding (GO:0032561)	4/214	0.0060835461512987	0.109503830723377	4	0.0186915887850467	GNAI3;GBP1;RAB8B;ARL8B
nucleoside kinase activity (GO:0019206)	1/5	0.016886331477543	0.165793072688604	1	0.2	CMPK1
RNA strand annealing activity (GO:0033592)	1/5	0.016886331477543	0.165793072688604	1	0.2	DDX3X
annealing activity (GO:0097617)	1/5	0.016886331477543	0.165793072688604	1	0.2	DDX3X
exopolyphosphatase activity (GO:0004309)	1/5	0.016886331477543	0.165793072688604	1	0.2	BNIP2
CCR5 chemokine receptor binding (GO:0031730)	1/5	0.016886331477543	0.165793072688604	1	0.2	CNIH4
dopamine receptor binding (GO:0050780)	1/6	0.020229739174506	0.181460142515703	1	0.166666666666667	GNA13
phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)	1/7	0.0235619444744117	0.181460142515703	1	0.142857142857143	SACM1L
NAD(P)H oxidase H2O2-forming activity (GO:0016174)	1/7	0.0235619444744117	0.181460142515703	1	0.142857142857143	CYB5R4
double-stranded RNA binding (GO:0003725)	2/73	0.0256345102827396	0.181460142515703	2	0.0273972602739726	MBNL1;DDX3X
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1/8	0.0268829840764005	0.181460142515703	1	0.125	CYB5R4
eukaryotic initiation factor 4E binding (GO:0008190)	1/10	0.0334917127632155	0.197295467570382	1	0.1	DDX3X
phosphatidylinositol binding (GO:0035091)	2/92	0.0391904630653647	0.197295467570382	2	0.0217391304347826	WDFY1;SNX10
RNA stem-loop binding (GO:0035613)	1/12	0.0400562176312821	0.197295467570382	1	0.0833333333333333	DDX3X
m7G(5')pppN diphosphatase activity (GO:0050072)	1/12	0.0400562176312821	0.197295467570382	1	0.0833333333333333	DCP2
polynucleotide adenylyltransferase activity (GO:0004652)	1/12	0.0400562176312821	0.197295467570382	1	0.0833333333333333	PAPOLA
protein kinase A catalytic subunit binding (GO:0034236)	1/13	0.0433219771034119	0.197295467570382	1	0.0769230769230769	PJA2
nucleoside diphosphate kinase activity (GO:0004550)	1/14	0.0465767895867938	0.197295467570382	1	0.0714285714285714	CMPK1
5'-3' exonuclease activity (GO:0008409)	1/14	0.0465767895867938	0.197295467570382	1	0.0714285714285714	DCP2
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	1/15	0.0498206911792053	0.197295467570382	1	0.0666666666666667	CYB5R4
thiol-dependent deubiquitinase (GO:0004843)	2/106	0.0505559966334301	0.197295467570382	2	0.0188679245283019	VCPIP1;USP38
deubiquitinase activity (GO:0101005)	2/112	0.0557481068944517	0.197295467570382	2	0.0178571428571429	VCPIP1;USP38
ribosomal small subunit binding (GO:0043024)	1/17	0.0562759055530841	0.197295467570382	1	0.0588235294117647	DDX3X
nucleobase-containing compound kinase activity (GO:0019205)	1/17	0.0562759055530841	0.197295467570382	1	0.0588235294117647	CMPK1
phosphatidylinositol monophosphate phosphatase activity (GO:0052744)	1/17	0.0562759055530841	0.197295467570382	1	0.0588235294117647	SACM1L
omega peptidase activity (GO:0008242)	2/113	0.0566311064322394	0.197295467570382	2	0.0176991150442478	VCPIP1;USP38
nucleoside monophosphate kinase activity (GO:0050145)	1/20	0.0658777916264094	0.210820397994114	1	0.05	CMPK1
purine ribonucleoside triphosphate binding (GO:0035639)	4/460	0.0713622244080799	0.210820397994114	4	0.00869565217391304	STK17B;PAPOLA;GBP1;ARL8B
adenylyltransferase activity (GO:0070566)	1/22	0.0722255067202059	0.210820397994114	1	0.0454545454545455	PAPOLA
telomerase RNA binding (GO:0070034)	1/22	0.0722255067202059	0.210820397994114	1	0.0454545454545455	DCP2
poly(A) binding (GO:0008143)	1/22	0.0722255067202059	0.210820397994114	1	0.0454545454545455	DDX3X
protein kinase A regulatory subunit binding (GO:0034237)	1/22	0.0722255067202059	0.210820397994114	1	0.0454545454545455	PJA2
gamma-tubulin binding (GO:0043015)	1/23	0.0753834075225753	0.214247579274688	1	0.0434782608695652	DDX3X
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	1/24	0.0785307173419281	0.217469678793032	1	0.0416666666666667	CMPK1
mRNA 5'-UTR binding (GO:0048027)	1/25	0.0816674711385058	0.219157231073812	1	0.04	DDX3X
phosphatidylinositol-4-phosphate binding (GO:0070273)	1/26	0.0847937037877675	0.219157231073812	1	0.0384615384615385	OSBPL8
G protein-coupled receptor binding (GO:0001664)	2/143	0.0852278120842602	0.219157231073812	2	0.013986013986014	GNA13;GNAI3
poly-purine tract binding (GO:0070717)	1/28	0.0910147445824993	0.228595172439766	1	0.0357142857142857	DDX3X
alpha-tubulin binding (GO:0043014)	1/31	0.10026826238782	0.244460632528767	1	0.032258064516129	ARL8B
beta-tubulin binding (GO:0048487)	1/32	0.103332094120948	0.244460632528767	1	0.03125	ARL8B
kinase inhibitor activity (GO:0019210)	1/33	0.106385645637519	0.244460632528767	1	0.0303030303030303	GMFB
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	1/33	0.106385645637519	0.244460632528767	1	0.0303030303030303	DCP2
Hsp90 protein binding (GO:0051879)	1/35	0.112462043849211	0.253039598660726	1	0.0285714285714286	GBP1
protein serine/threonine kinase activator activity (GO:0043539)	1/37	0.118497727521693	0.26117866474169	1	0.027027027027027	DDX3X
CCR chemokine receptor binding (GO:0048020)	1/42	0.133410569845886	0.283215814386369	1	0.0238095238095238	CNIH4
