Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Apelin signaling pathway	4/137	0.00122211802707293	0.0660714756727641	4	0.0291970802919708	GNA13;GNG10;GNG2;GNAI3
GABAergic synapse	3/89	0.00346467159944783	0.0660714756727641	3	0.0337078651685393	GNG10;GNG2;GNAI3
Morphine addiction	3/91	0.00368848151095703	0.0660714756727641	3	0.032967032967033	GNG10;GNG2;GNAI3
Circadian entrainment	3/97	0.00441219115901112	0.0660714756727641	3	0.0309278350515464	GNG10;GNG2;GNAI3
Serotonergic synapse	3/113	0.00674170258219382	0.0660714756727641	3	0.0265486725663717	GNG10;GNG2;GNAI3
Cholinergic synapse	3/113	0.00674170258219382	0.0660714756727641	3	0.0265486725663717	GNG10;GNG2;GNAI3
Glutamatergic synapse	3/114	0.00690727228046358	0.0660714756727641	3	0.0263157894736842	GNG10;GNG2;GNAI3
Human cytomegalovirus infection	4/225	0.00724070966276867	0.0660714756727641	4	0.0177777777777778	GNA13;GNG10;GNG2;GNAI3
Relaxin signaling pathway	3/129	0.00968395364050889	0.0752373467660289	3	0.0232558139534884	GNG10;GNG2;GNAI3
Dopaminergic synapse	3/132	0.0103064858583601	0.0752373467660289	3	0.0227272727272727	GNG10;GNG2;GNAI3
Retrograde endocannabinoid signaling	3/148	0.0140151419049212	0.0930095780962951	3	0.0202702702702703	GNG10;GNG2;GNAI3
Long-term depression	2/60	0.0177588230505749	0.108032840224331	2	0.0333333333333333	GNA13;GNAI3
Alcoholism	3/186	0.0255130506399481	0.143265592055093	3	0.0161290322580645	GNG10;GNG2;GNAI3
Chemokine signaling pathway	3/192	0.0276787340857232	0.1443248277327	3	0.015625	GNG10;GNG2;GNAI3
Pathways in cancer	5/531	0.0343939478233919	0.162355092462558	5	0.00941619585687382	GNA13;GNG10;GNG2;GNAI3;NFE2L2
Human immunodeficiency virus 1 infection	3/212	0.0355846778000128	0.162355092462558	3	0.0141509433962264	GNG10;GNG2;GNAI3
Parathyroid hormone synthesis, secretion and action	2/106	0.0505559966334301	0.217093397308259	2	0.0188679245283019	GNA13;GNAI3
Sphingolipid signaling pathway	2/119	0.0620310950587665	0.251570552182775	2	0.0168067226890756	GNA13;GNAI3
Platelet activation	2/124	0.0666600478367523	0.256114920635943	2	0.0161290322580645	GNA13;GNAI3
Terpenoid backbone biosynthesis	1/22	0.0722255067202059	0.263623099528752	1	0.0454545454545455	ZMPSTE24
cGMP-PKG signaling pathway	2/167	0.110586417525858	0.381554527895535	2	0.0119760479041916	GNA13;GNAI3
Protein processing in endoplasmic reticulum	2/171	0.114989035804134	0.381554527895535	2	0.0116959064327485	SSR1;NFE2L2
NOD-like receptor signaling pathway	2/181	0.126187313388337	0.400507559884723	2	0.0110497237569061	AIM2;GBP1
Kaposi sarcoma-associated herpesvirus infection	2/193	0.139952517497768	0.425688907389045	2	0.0103626943005181	GNG10;GNG2
Amino sugar and nucleotide sugar metabolism	1/48	0.150978136952872	0.432024533644449	1	0.0208333333333333	CYB5R4
Cocaine addiction	1/49	0.153871751708982	0.432024533644449	1	0.0204081632653061	GNAI3
Regulation of lipolysis in adipocytes	1/55	0.171030496559459	0.450684988912682	1	0.0181818181818182	GNAI3
Pyrimidine metabolism	1/56	0.173856761028	0.450684988912682	1	0.0178571428571429	CMPK1
Viral myocarditis	1/60	0.185067187057358	0.450684988912682	1	0.0166666666666667	CD55
Ras signaling pathway	2/232	0.186601898860718	0.450684988912682	2	0.00862068965517241	GNG10;GNG2
Cytosolic DNA-sensing pathway	1/63	0.193376517247407	0.450684988912682	1	0.0158730158730159	AIM2
Parkinson disease	2/249	0.207587752259492	0.450684988912682	2	0.00803212851405622	GNAI3;NFE2L2
Renin secretion	1/69	0.209745530181625	0.450684988912682	1	0.0144927536231884	GNAI3
RIG-I-like receptor signaling pathway	1/70	0.212441693286996	0.450684988912682	1	0.0142857142857143	DDX3X
Inositol phosphate metabolism	1/73	0.220475919376264	0.450684988912682	1	0.0136986301369863	SACM1L
Pertussis	1/76	0.228429377942044	0.450684988912682	1	0.0131578947368421	GNAI3
Gastric acid secretion	1/76	0.228429377942044	0.450684988912682	1	0.0131578947368421	GNAI3
RNA degradation	1/79	0.236302868951504	0.453950248248942	1	0.0126582278481013	DCP2
Complement and coagulation cascades	1/85	0.251813109088694	0.466712857836815	1	0.0117647058823529	CD55
Gap junction	1/88	0.259451419381849	0.466712857836815	1	0.0113636363636364	GNAI3
Phosphatidylinositol signaling system	1/97	0.281908318965999	0.466712857836815	1	0.0103092783505155	SACM1L
mRNA surveillance pathway	1/98	0.284361725987834	0.466712857836815	1	0.0102040816326531	PAPOLA
Hematopoietic cell lineage	1/99	0.286806873612854	0.466712857836815	1	0.0101010101010101	CD55
Progesterone-mediated oocyte maturation	1/100	0.289243789255229	0.466712857836815	1	0.01	GNAI3
Melanogenesis	1/101	0.291672500203959	0.466712857836815	1	0.0099009900990099	GNAI3
Chagas disease	1/102	0.29409303370539	0.466712857836815	1	0.00980392156862745	GNAI3
Drug metabolism	1/108	0.30844602025895	0.479075733593688	1	0.00925925925925926	CMPK1
Toxoplasmosis	1/112	0.317854530817576	0.480476133246069	1	0.00892857142857143	GNAI3
Leukocyte transendothelial migration	1/114	0.322511377110375	0.480476133246069	1	0.0087719298245614	GNAI3
Growth hormone synthesis, secretion and action	1/119	0.334016891608587	0.485864323337841	1	0.00840336134453781	GNAI3
PI3K-Akt signaling pathway	2/354	0.339439458770273	0.485864323337841	2	0.00564971751412429	GNG10;GNG2
Natural killer cell mediated cytotoxicity	1/131	0.360850483456424	0.501901232367981	1	0.00763358778625954	CD48
Vascular smooth muscle contraction	1/133	0.365217971514384	0.501901232367981	1	0.0075187969924812	GNA13
Estrogen signaling pathway	1/137	0.373864917385737	0.501901232367981	1	0.0072992700729927	GNAI3
Fluid shear stress and atherosclerosis	1/139	0.378144764112862	0.501901232367981	1	0.00719424460431655	NFE2L2
Phospholipase D signaling pathway	1/148	0.397050091395582	0.50782725729361	1	0.00675675675675676	GNA13
Adrenergic signaling in cardiomyocytes	1/150	0.401173739052162	0.50782725729361	1	0.00666666666666667	GNAI3
Oxytocin signaling pathway	1/154	0.409337848115374	0.50782725729361	1	0.00649350649350649	GNAI3
Cushing syndrome	1/155	0.411361679140847	0.50782725729361	1	0.00645161290322581	GNAI3
