Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Muscle degeneration	7/259	7.29000517250878e-07	0.000710775504319606	7	0.027027027027027	ATXN2;TRPV2;TBCD;PIK3R2;PIP5K1C;NDUFV1;POLG
Skeletal muscle atrophy	6/215	4.07155159875122e-06	0.0011548746221204	6	0.027906976744186	ATXN2;TBCD;PIK3R2;PIP5K1C;NDUFV1;POLG
Neurogenic muscle atrophy, especially in the lower limbs	6/215	4.07155159875122e-06	0.0011548746221204	6	0.027906976744186	ATXN2;TBCD;PIK3R2;PIP5K1C;NDUFV1;POLG
Neurogenic Muscular Atrophy	6/228	5.70479561502653e-06	0.0011548746221204	6	0.0263157894736842	ATXN2;TBCD;PIK3R2;PIP5K1C;NDUFV1;POLG
Atrophy/Degeneration affecting the brainstem	3/18	5.92243395959177e-06	0.0011548746221204	3	0.166666666666667	ATXN2;TBCD;SPTAN1
Cerebellar atrophy	5/190	3.68739442457021e-05	0.00553483005638546	5	0.0263157894736842	ATXN2;TBCD;SPTAN1;NDUFV1;POLG
Cerebellar degeneration	5/193	3.97372414304597e-05	0.00553483005638546	5	0.0259067357512953	ATXN2;TBCD;SPTAN1;NDUFV1;POLG
Mental deterioration in childhood	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Neurodevelopmental regression	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Psychomotor regression, progressive	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Psychomotor regression	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Psychomotor regression beginning in infancy	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Loss of developmental milestones	4/150	0.000225159977358803	0.0161839581556674	4	0.0266666666666667	TBCD;SPTAN1;NDUFV1;POLG
Psychomotor regression in infants	4/153	0.000242865534277317	0.0161839581556674	4	0.0261437908496732	TBCD;SPTAN1;NDUFV1;POLG
