Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
adherens junction organization (GO:0034332)	3/49	0.00012809766709923	0.0297082498115825	3	0.0612244897959184	TBCD;CSK;PIP5K1C
adherens junction assembly (GO:0034333)	2/10	0.000173732455038494	0.0297082498115825	2	0.2	TBCD;PIP5K1C
negative regulation of angiogenesis (GO:0016525)	3/87	0.000699214990563813	0.0797105089242747	3	0.0344827586206897	HGS;FOXJ2;EPN1
positive regulation of protein import into nucleus (GO:0042307)	2/28	0.00142651862327447	0.0972964428182904	2	0.0714285714285714	TRIM28;PIK3R2
positive regulation of protein import (GO:1904591)	2/30	0.00163748677237875	0.0972964428182904	2	0.0666666666666667	TRIM28;PIK3R2
phosphatidylinositol biosynthetic process (GO:0006661)	3/126	0.0020346597799215	0.0972964428182904	3	0.0238095238095238	ITPKB;PIK3R2;PIP5K1C
positive regulation of transcription, DNA-templated (GO:0045893)	8/1183	0.002063588989164	0.0972964428182904	8	0.00676246830092984	AKNA;SMARCC2;TRIM28;CXXC1;PTOV1;FOXJ2;PIK3R2;SUPT5H
regulation of protein import into nucleus (GO:0042306)	2/36	0.00235363568199741	0.0972964428182904	2	0.0555555555555556	TRIM28;PIK3R2
negative regulation of ERBB signaling pathway (GO:1901185)	2/40	0.00289935441040517	0.0972964428182904	2	0.05	HGS;EPN1
mRNA processing (GO:0006397)	4/300	0.00296458116095964	0.0972964428182904	4	0.0133333333333333	SF3B2;SF3A2;SUPT5H;RBM10
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	2/42	0.00319237751918603	0.0972964428182904	2	0.0476190476190476	ITPKB;PIK3R2
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	2/44	0.00349870137866653	0.0972964428182904	2	0.0454545454545455	HGS;EPN1
positive regulation of nucleocytoplasmic transport (GO:0046824)	2/46	0.00381822042610321	0.0972964428182904	2	0.0434782608695652	TRIM28;PIK3R2
epithelial to mesenchymal transition (GO:0001837)	2/47	0.00398289532004697	0.0972964428182904	2	0.0425531914893617	AKNA;TRIM28
mesenchymal cell differentiation (GO:0048762)	2/51	0.00467405959848196	0.106568558845389	2	0.0392156862745098	AKNA;TRIM28
cell-cell junction assembly (GO:0007043)	2/66	0.00771634396606459	0.148959674757426	2	0.0303030303030303	TBCD;PIP5K1C
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	2/67	0.00794377456927992	0.148959674757426	2	0.0298507462686567	HGS;EPN1
positive regulation of protein localization to nucleus (GO:1900182)	2/68	0.00817421097250093	0.148959674757426	2	0.0294117647058824	TRIM28;PIK3R2
nucleic acid metabolic process (GO:0090304)	2/71	0.00888343207228369	0.148959674757426	2	0.028169014084507	ATXN2;POLG
isocitrate metabolic process (GO:0006102)	1/5	0.0099609694951761	0.148959674757426	1	0.2	IDH3G
negative regulation of blood vessel morphogenesis (GO:2000181)	2/78	0.0106412033242667	0.148959674757426	2	0.0256410256410256	HGS;FOXJ2
ATP synthesis coupled electron transport (GO:0042773)	1/6	0.0119415311049954	0.148959674757426	1	0.166666666666667	NDUFV1
vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	1/6	0.0119415311049954	0.148959674757426	1	0.166666666666667	TAPBP
mRNA 3'-splice site recognition (GO:0000389)	1/6	0.0119415311049954	0.148959674757426	1	0.166666666666667	SF3A2
membrane organization (GO:0061024)	3/242	0.0124335738729718	0.148959674757426	3	0.012396694214876	HGS;PIP5K1C;EPN1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	3/251	0.0137092721016413	0.148959674757426	3	0.0119521912350598	SF3B2;SF3A2;RBM10
membrane invagination (GO:0010324)	1/7	0.0139182304660795	0.148959674757426	1	0.142857142857143	HGS
delamination (GO:0060232)	1/7	0.0139182304660795	0.148959674757426	1	0.142857142857143	AKNA
hemostasis (GO:0007599)	1/7	0.0139182304660795	0.148959674757426	1	0.142857142857143	GPI
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	1/7	0.0139182304660795	0.148959674757426	1	0.142857142857143	ATXN2
mRNA metabolic process (GO:0016071)	2/95	0.0154880314367593	0.148959674757426	2	0.0210526315789474	SF3B2;SF3A2
regulation of Golgi to plasma membrane protein transport (GO:0042996)	1/8	0.0158910747267935	0.148959674757426	1	0.125	CSK
tubulin complex assembly (GO:0007021)	1/8	0.0158910747267935	0.148959674757426	1	0.125	TBCD
mitochondrial DNA replication (GO:0006264)	1/8	0.0158910747267935	0.148959674757426	1	0.125	POLG
negative regulation of mRNA polyadenylation (GO:1900364)	1/8	0.0158910747267935	0.148959674757426	1	0.125	SUPT5H
mRNA splicing, via spliceosome (GO:0000398)	3/274	0.0172990723643592	0.148959674757426	3	0.0109489051094891	SF3B2;SF3A2;RBM10
negative regulation of mRNA 3'-end processing (GO:0031441)	1/9	0.0178600710727219	0.148959674757426	1	0.111111111111111	SUPT5H
Rap protein signal transduction (GO:0032486)	1/10	0.019825226718581	0.148959674757426	1	0.1	RAPGEF1
nerve growth factor signaling pathway (GO:0038180)	1/10	0.019825226718581	0.148959674757426	1	0.1	RAPGEF1
nucleic acid transport (GO:0050657)	1/10	0.019825226718581	0.148959674757426	1	0.1	ATXN2
modulation by symbiont of host process (GO:0044003)	1/10	0.019825226718581	0.148959674757426	1	0.1	HGS
regulation of macroautophagy (GO:0016241)	2/112	0.0211079078431774	0.148959674757426	2	0.0178571428571429	CAPNS1;SUPT5H
phosphatidylinositol metabolic process (GO:0046488)	2/112	0.0211079078431774	0.148959674757426	2	0.0178571428571429	PIK3R2;PIP5K1C
negative regulation of sprouting angiogenesis (GO:1903671)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	EPN1
regulation of lipid kinase activity (GO:0043550)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	PIK3R2
positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	TRIM28
cell proliferation in forebrain (GO:0021846)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	AKNA
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	HGS
inositol phosphate biosynthetic process (GO:0032958)	1/11	0.021786548882168	0.148959674757426	1	0.0909090909090909	ITPKB
