Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
isocitrate dehydrogenase activity (GO:0004448)	1/5	0.0099609694951761	0.183830174316917	1	0.2	IDH3G
TAP1 binding (GO:0046978)	1/5	0.0099609694951761	0.183830174316917	1	0.2	TAPBP
chromo shadow domain binding (GO:0070087)	1/6	0.0119415311049954	0.183830174316917	1	0.166666666666667	TRIM28
inositol hexakisphosphate kinase activity (GO:0000828)	1/8	0.0158910747267935	0.183830174316917	1	0.125	ITPKB
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	1/8	0.0158910747267935	0.183830174316917	1	0.125	GPI
unmethylated CpG binding (GO:0045322)	1/8	0.0158910747267935	0.183830174316917	1	0.125	CXXC1
ubiquitin-like protein ligase binding (GO:0044389)	3/282	0.0186598208594539	0.183830174316917	3	0.0106382978723404	GPI;TRIM28;HGS
protein kinase A catalytic subunit binding (GO:0034236)	1/13	0.0256977216686787	0.183830174316917	1	0.0769230769230769	CSK
calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	1/15	0.0295936471887674	0.183830174316917	1	0.0666666666666667	CAPNS1
1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)	1/16	0.0315359102498905	0.183830174316917	1	0.0625	PIK3R2
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	1/16	0.0315359102498905	0.183830174316917	1	0.0625	CXXC1
MHC class I protein binding (GO:0042288)	1/17	0.0334743831049908	0.183830174316917	1	0.0588235294117647	TAPBP
phosphatidylinositol 3-kinase regulator activity (GO:0035014)	1/19	0.0373399869476018	0.183830174316917	1	0.0526315789473684	PIK3R2
SUMO transferase activity (GO:0019789)	1/19	0.0373399869476018	0.183830174316917	1	0.0526315789473684	TRIM28
fibroblast growth factor binding (GO:0017134)	1/21	0.0411905160666275	0.183830174316917	1	0.0476190476190476	GLG1
DNA-directed DNA polymerase activity (GO:0003887)	1/21	0.0411905160666275	0.183830174316917	1	0.0476190476190476	POLG
DNA polymerase activity (GO:0034061)	1/22	0.0431101454791181	0.183830174316917	1	0.0454545454545455	POLG
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	1/24	0.0469381696680576	0.183830174316917	1	0.0416666666666667	ITPKB
epidermal growth factor receptor binding (GO:0005154)	1/26	0.0507512617202017	0.183830174316917	1	0.0384615384615385	ATXN2
protein heterodimerization activity (GO:0046982)	2/188	0.0543055155873171	0.183830174316917	2	0.0106382978723404	PIK3R2;SUPT5H
MHC protein binding (GO:0042287)	1/28	0.0545494783414528	0.183830174316917	1	0.0357142857142857	TAPBP
miRNA binding (GO:0035198)	1/30	0.058332876023497	0.183830174316917	1	0.0333333333333333	RBM10
RNA binding (GO:0003723)	6/1406	0.0589487321451654	0.183830174316917	6	0.0042674253200569	SF3B2;ATXN2;SF3A2;TRIM28;SUPT5H;RBM10
beta-tubulin binding (GO:0048487)	1/32	0.0621015110607877	0.183830174316917	1	0.03125	TBCD
nucleosomal DNA binding (GO:0031492)	1/33	0.0639803101343835	0.183830174316917	1	0.0303030303030303	SMARCC2
NADH dehydrogenase (quinone) activity (GO:0050136)	1/35	0.0677269063272853	0.183830174316917	1	0.0285714285714286	NDUFV1
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	1/35	0.0677269063272853	0.183830174316917	1	0.0285714285714286	NDUFV1
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/35	0.0677269063272853	0.183830174316917	1	0.0285714285714286	CSK
phosphotyrosine residue binding (GO:0001784)	1/37	0.0714588797420939	0.187271546910315	1	0.027027027027027	PIK3R2
regulatory RNA binding (GO:0061980)	1/40	0.0770295436931649	0.195141510689351	1	0.025	RBM10
protein phosphorylated amino acid binding (GO:0045309)	1/42	0.0807252029061721	0.197906949060293	1	0.0238095238095238	PIK3R2
histone-lysine N-methyltransferase activity (GO:0018024)	1/45	0.0862416543351897	0.201900514281466	1	0.0222222222222222	CXXC1
channel activity (GO:0015267)	1/46	0.0880732889291257	0.201900514281466	1	0.0217391304347826	TRPV2
3'-5' exonuclease activity (GO:0008408)	1/48	0.0917258252694664	0.201900514281466	1	0.0208333333333333	POLG
exonuclease activity (GO:0004527)	1/49	0.0935467406593446	0.201900514281466	1	0.0204081632653061	POLG
inorganic cation transmembrane transporter activity (GO:0022890)	1/51	0.0971778997917376	0.201900514281466	1	0.0196078431372549	TRPV2
ubiquitin protein ligase binding (GO:0031625)	2/265	0.0982936714265031	0.201900514281466	2	0.00754716981132075	GPI;TRIM28
calcium ion transmembrane transporter activity (GO:0015085)	1/55	0.104397720869268	0.206941884653719	1	0.0181818181818182	TRPV2
receptor tyrosine kinase binding (GO:0030971)	1/56	0.106193861861777	0.206941884653719	1	0.0178571428571429	PIK3R2
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	1/58	0.109775613696014	0.208573666022427	1	0.0172413793103448	NDUFV1
methylation-dependent protein binding (GO:0140034)	1/63	0.118668878756111	0.219971580133279	1	0.0158730158730159	CXXC1
methylated histone binding (GO:0035064)	1/68	0.127475500640455	0.230669953539871	1	0.0147058823529412	CXXC1
protein tyrosine kinase binding (GO:1990782)	1/72	0.134458968098937	0.237648408733004	1	0.0138888888888889	PIK3R2
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	1/75	0.139660775543874	0.241232248666691	1	0.0133333333333333	FLII
GTPase activator activity (GO:0005096)	2/336	0.145043320154815	0.244962051817021	2	0.00595238095238095	TBCD;RAPGEF1
calcium channel activity (GO:0005262)	1/84	0.155083981801562	0.250774098232313	1	0.0119047619047619	TRPV2
ion channel activity (GO:0005216)	1/84	0.155083981801562	0.250774098232313	1	0.0119047619047619	TRPV2
phosphatidylinositol bisphosphate binding (GO:1902936)	1/94	0.171904765012116	0.272182544602516	1	0.0106382978723404	FLII
cation channel activity (GO:0005261)	1/98	0.178541263849713	0.276921143930167	1	0.0102040816326531	TRPV2
cysteine-type endopeptidase activity (GO:0004197)	1/105	0.190030570103204	0.283182810349872	1	0.00952380952380952	CAPNS1
growth factor receptor binding (GO:0070851)	1/105	0.190030570103204	0.283182810349872	1	0.00952380952380952	ATXN2
protein tyrosine kinase activity (GO:0004713)	1/108	0.194906457103083	0.284863283458352	1	0.00925925925925926	CSK
kinase activity (GO:0016301)	1/112	0.201363144104455	0.287916890017633	1	0.00892857142857143	ITPKB
phosphatase binding (GO:0019902)	1/114	0.204572527117792	0.287916890017633	1	0.0087719298245614	PIK3R2
protease binding (GO:0002020)	1/118	0.210953613244165	0.291499538301029	1	0.00847457627118644	POLG
protein phosphatase binding (GO:0019903)	1/123	0.218859814605504	0.29702403410747	1	0.00813008130081301	PIK3R2
magnesium ion binding (GO:0000287)	1/146	0.254244553816827	0.338992738422436	1	0.00684931506849315	IDH3G
guanyl-nucleotide exchange factor activity (GO:0005085)	1/149	0.258743135211638	0.339042728898008	1	0.00671140939597315	RAPGEF1
actin binding (GO:0003779)	1/177	0.299473943378836	0.385763045708331	1	0.00564971751412429	FLII
GTPase regulator activity (GO:0030695)	1/233	0.374494475562386	0.474359669045689	1	0.00429184549356223	TBCD
mRNA binding (GO:0003729)	1/263	0.411399985272832	0.509539108179201	1	0.00380228136882129	SUPT5H
sequence-specific DNA binding (GO:0043565)	2/707	0.415676640883033	0.509539108179201	2	0.00282885431400283	CXXC1;FOXJ2
tubulin binding (GO:0015631)	1/307	0.461715916424915	0.556990629337993	1	0.00325732899022801	TBCD
cadherin binding (GO:0045296)	1/322	0.477890674360748	0.558723610618042	1	0.0031055900621118	SPTAN1
DNA binding (GO:0003677)	2/811	0.48645960504264	0.558723610618042	2	0.00246609124537608	TRIM28;POLG
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	1/333	0.489449985665228	0.558723610618042	1	0.003003003003003	FOXJ2
zinc ion binding (GO:0008270)	1/336	0.492558972518537	0.558723610618042	1	0.00297619047619048	TRIM28
