Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Phosphatidylinositol signaling system	3/97	0.000959267666543539	0.114152852318681	3	0.0309278350515464	ITPKB;PIK3R2;PIP5K1C
Focal adhesion	3/201	0.00751704326757805	0.244324709799232	3	0.0149253731343284	RAPGEF1;PIK3R2;PIP5K1C
Renal cell carcinoma	2/69	0.0084076408675767	0.244324709799232	2	0.0289855072463768	RAPGEF1;PIK3R2
Inositol phosphate metabolism	2/73	0.00937105040814959	0.244324709799232	2	0.0273972602739726	ITPKB;PIP5K1C
Endocytosis	3/252	0.0138554688121875	0.244324709799232	3	0.0119047619047619	HGS;PIP5K1C;EPN1
Fc gamma R-mediated phagocytosis	2/97	0.0161101489862026	0.244324709799232	2	0.0206185567010309	PIK3R2;PIP5K1C
Choline metabolism in cancer	2/98	0.0164251905747383	0.244324709799232	2	0.0204081632653061	PIK3R2;PIP5K1C
Inflammatory mediator regulation of TRP channels	2/98	0.0164251905747383	0.244324709799232	2	0.0204081632653061	TRPV2;PIK3R2
Neurotrophin signaling pathway	2/119	0.0236338297872442	0.285694224356931	2	0.0168067226890756	RAPGEF1;PIK3R2
Yersinia infection	2/137	0.0306627799167013	0.285694224356931	2	0.0145985401459854	PIK3R2;PIP5K1C
Insulin signaling pathway	2/137	0.0306627799167013	0.285694224356931	2	0.0145985401459854	RAPGEF1;PIK3R2
Apoptosis	2/142	0.0327457096330175	0.285694224356931	2	0.0140845070422535	PIK3R2;SPTAN1
Spinocerebellar ataxia	2/143	0.0331688584830801	0.285694224356931	2	0.013986013986014	ATXN2;PIK3R2
Phospholipase D signaling pathway	2/148	0.0353168725371972	0.285694224356931	2	0.0135135135135135	PIK3R2;PIP5K1C
Spliceosome	2/150	0.0361909542806485	0.285694224356931	2	0.0133333333333333	SF3B2;SF3A2
Non-alcoholic fatty liver disease	2/155	0.0384126688211	0.285694224356931	2	0.0129032258064516	PIK3R2;NDUFV1
Hepatocellular carcinoma	2/168	0.0444257833931067	0.310980483751747	2	0.0119047619047619	SMARCC2;PIK3R2
Citrate cycle (TCA cycle)	1/30	0.058332876023497	0.32706179574266	1	0.0333333333333333	IDH3G
Pentose phosphate pathway	1/30	0.058332876023497	0.32706179574266	1	0.0333333333333333	GPI
Epstein-Barr virus infection	2/202	0.0616416024321444	0.32706179574266	2	0.0099009900990099	PIK3R2;TAPBP
Diabetic cardiomyopathy	2/203	0.0621781008339573	0.32706179574266	2	0.00985221674876847	PIK3R2;NDUFV1
Rap1 signaling pathway	2/210	0.0659785184990876	0.32706179574266	2	0.00952380952380952	RAPGEF1;PIK3R2
Human immunodeficiency virus 1 infection	2/212	0.0670785483823693	0.32706179574266	2	0.00943396226415094	PIK3R2;TAPBP
Starch and sucrose metabolism	1/36	0.0695947174016119	0.32706179574266	1	0.0277777777777778	GPI
Regulation of actin cytoskeleton	2/218	0.0704155260850088	0.32706179574266	2	0.00917431192660551	PIK3R2;PIP5K1C
Aldosterone-regulated sodium reabsorption	1/37	0.0714588797420939	0.32706179574266	1	0.027027027027027	PIK3R2
Human cytomegalovirus infection	2/225	0.0743767944057207	0.327808834602991	2	0.00888888888888889	PIK3R2;TAPBP
Thermogenesis	2/232	0.0784088811974359	0.333237745089103	2	0.00862068965517241	SMARCC2;NDUFV1
Shigellosis	2/246	0.0866750767589747	0.335444133489228	2	0.00813008130081301	CAPNS1;PIK3R2
Type II diabetes mellitus	1/46	0.0880732889291257	0.335444133489228	1	0.0217391304347826	PIK3R2
Carbohydrate digestion and absorption	1/47	0.0899013436297567	0.335444133489228	1	0.0212765957446809	PIK3R2
Amino sugar and nucleotide sugar metabolism	1/48	0.0917258252694664	0.335444133489228	1	0.0208333333333333	GPI
Prion disease	2/273	0.103313145930953	0.335444133489228	2	0.00732600732600733	PIK3R2;NDUFV1
Regulation of lipolysis in adipocytes	1/55	0.104397720869268	0.335444133489228	1	0.0181818181818182	PIK3R2
Endometrial cancer	1/58	0.109775613696014	0.335444133489228	1	0.0172413793103448	PIK3R2
VEGF signaling pathway	1/59	0.111561237909421	0.335444133489228	1	0.0169491525423729	PIK3R2
GnRH secretion	1/64	0.120437108137799	0.335444133489228	1	0.015625	PIK3R2
Acute myeloid leukemia	1/67	0.125721068128605	0.335444133489228	1	0.0149253731343284	PIK3R2
Glycolysis / Gluconeogenesis	1/67	0.125721068128605	0.335444133489228	1	0.0149253731343284	GPI
Fc epsilon RI signaling pathway	1/68	0.127475500640455	0.335444133489228	1	0.0147058823529412	PIK3R2
Central carbon metabolism in cancer	1/70	0.130974073810238	0.335444133489228	1	0.0142857142857143	PIK3R2
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.130974073810238	0.335444133489228	1	0.0142857142857143	CSK
