Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Disease due to Parvoviridae	3/42	0.00261607642377465	0.571270788122094	3	0.0714285714285714	GOLPH3;RNASE3;SAT1
Ceroid lipofuscinosis, neuronal 1, infantile	2/13	0.00316757782553326	0.571270788122094	2	0.153846153846154	RPS6KB1;TFAM
Developmental reading disorder	2/15	0.00422766992931221	0.571270788122094	2	0.133333333333333	TMED10;PTGES3
Parasitic infection	2/17	0.00542917037017155	0.571270788122094	2	0.117647058823529	COQ2;IFNGR1
Glomerulosclerosis (disorder)	4/112	0.00633229766024451	0.571270788122094	4	0.0357142857142857	COQ2;ATP6AP2;SDHD;MAT2B
Renal glomerular fibrosis	2/20	0.00748823341082939	0.571270788122094	2	0.1	COQ2;SDHD
Infantile neuronal ceroid lipofuscinosis	2/20	0.00748823341082939	0.571270788122094	2	0.1	RPS6KB1;CASP3
Eczema Herpeticum	2/20	0.00748823341082939	0.571270788122094	2	0.1	IFNGR1;CAMP
Rosacea	2/22	0.00902671954895144	0.571270788122094	2	0.0909090909090909	SAT1;CAMP
Shigella Infections	3/66	0.00930635690350743	0.571270788122094	3	0.0454545454545455	ACTR2;UBE2N;CAMP
Depletion of mitochondrial DNA	2/23	0.00984432662442871	0.571270788122094	2	0.0869565217391304	CASP3;TFAM
Isodicentric Chromosome 15 Syndrome	2/23	0.00984432662442871	0.571270788122094	2	0.0869565217391304	TMED10;PTGES3
Wiskott-Aldrich Syndrome	3/68	0.0100964492686847	0.571270788122094	3	0.0441176470588235	ACTR3;ACTR2;CASP3
Blepharitis	2/26	0.012485247380843	0.571270788122094	2	0.0769230769230769	PSIP1;SAT1
MOHR-TRANEBJAERG SYNDROME	2/26	0.012485247380843	0.571270788122094	2	0.0769230769230769	CASP3;SDHD
Dermatitis, Atopic	8/484	0.0144624217668513	0.571270788122094	8	0.0165289256198347	VNN2;IFNGR1;CASP3;USO1;PSIP1;RNASE3;RNASE2;CAMP
Erythema Nodosum	2/29	0.01539914998268	0.571270788122094	2	0.0689655172413793	USO1;SDHD
Methylmalonic aciduria	2/29	0.01539914998268	0.571270788122094	2	0.0689655172413793	MCEE;LMBRD1
Methylmalonic acidemia	2/30	0.0164291163481761	0.571270788122094	2	0.0666666666666667	MCEE;LMBRD1
Varicose Ulcer	2/35	0.022000248179421	0.571270788122094	2	0.0571428571428571	CASP3;ZFP36L1
Hepatitis B	11/839	0.0220518833320824	0.571270788122094	11	0.0131108462455304	SUZ12;RPS15A;CUL5;IFNGR1;CASP3;USO1;S100A6;DHX15;RNASE3;RCOR3;BMI1
Sepsis	8/529	0.0232581047439326	0.571270788122094	8	0.0151228733459357	GZMK;RPS6KB1;CASP3;NAMPT;TFAM;NAP1L1;RPL9;CAMP
Adenoma, Basal Cell	2/37	0.0244177645621678	0.571270788122094	2	0.0540540540540541	SUZ12;PTMA
Adenoma, Monomorphic	2/37	0.0244177645621678	0.571270788122094	2	0.0540540540540541	SUZ12;PTMA
Limb ischemia	3/95	0.0245618421491211	0.571270788122094	3	0.0315789473684211	CASP3;PSIP1;CAMP
Adenoma, Trabecular	2/38	0.0256654561578795	0.571270788122094	2	0.0526315789473684	SUZ12;PTMA
Papillary adenoma	2/38	0.0256654561578795	0.571270788122094	2	0.0526315789473684	SUZ12;PTMA
Mycobacterium Infections	3/98	0.026613466555295	0.571270788122094	3	0.0306122448979592	IFNGR1;CASP3;CAMP
Sweet Syndrome	2/39	0.0269385884450215	0.571270788122094	2	0.0512820512820513	CASP3;BIRC2
TNF receptor-associated periodic fever syndrome (TRAPS)	2/41	0.0295596535904276	0.571270788122094	2	0.0487804878048781	CASP3;PSIP1
Ragged-red muscle fibers	2/42	0.0309068352483614	0.571270788122094	2	0.0476190476190476	COQ2;SDHD
MIXED LINEAGE LEUKEMIA	4/185	0.0335503559589594	0.571270788122094	4	0.0216216216216216	SUZ12;CASP3;S100A6;PSIP1
Adenoma, Microcystic	2/45	0.0350905485641548	0.571270788122094	2	0.0444444444444444	SUZ12;PTMA
Congenital neutropenia	2/45	0.0350905485641548	0.571270788122094	2	0.0444444444444444	NAMPT;CAMP
MYELODYSPLASTIC SYNDROME	9/683	0.0357919859781502	0.571270788122094	9	0.0131771595900439	SUZ12;CASP3;UBE2N;PSIP1;MNDA;IFIT1;BMI1;CAMP;BIRC2
Severe congenital neutropenia	2/47	0.0379945486140604	0.571270788122094	2	0.0425531914893617	NAMPT;CAMP
Cerebellar degeneration	4/193	0.0382630431307745	0.571270788122094	4	0.0207253886010363	COQ2;ELOVL5;CASP3;ATP6AP2
Ataxic tremor	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	ATP6AP2
Episodic hypertension	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	SDHD
Familial eosinophilia	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	RNASE2
Sertoli-Leydig cell tumor of ovary	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	RNASE3
Bulbous tip of nose	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	PIGY
HERMANSKY-PUDLAK SYNDROME 2	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	GOLPH3
Histiocytic Necrotizing Lymphadenitis	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Schwannomatosis, Plexiform	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	SUZ12
Subarachnoid Hemorrhage, Aneurysmal	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Subarachnoid Hemorrhage, Intracranial	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Subarachnoid Hemorrhage, Spontaneous	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Hyperplasia of nasal tip	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	PIGY
Hypertrophy of nasal tip	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	PIGY
Perinatal Subarachnoid Hemorrhage	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Cowpox	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	USO1
Cutaneous Follicular Lymphoma	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	MNDA
Infantile hemangioma	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	CASP3
Decreased methionine synthase activity	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	LMBRD1
Decreased methylcobalamin	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	LMBRD1
Deep-set nails	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	SUZ12
Disseminated Bacillus Calmette-Guerin infection	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	IFNGR1
Prominent nasal tip	1/6	0.0386665993582629	0.571270788122094	1	0.166666666666667	PIGY
Spinocerebellar Ataxia Type 6 (disorder)	2/48	0.0394799404384238	0.571270788122094	2	0.0416666666666667	ELOVL5;CASP3
Influenza	8/589	0.0401032118149716	0.571270788122094	8	0.0135823429541596	CLK1;API5;IFNGR1;CASP3;IFI44;IFIT1;CAMP;IFIT2
Respiratory Syncytial Virus Infections	3/116	0.040780805004621	0.571270788122094	3	0.0258620689655172	RNASE3;CAMP;IFIT2
Li-Fraumeni Syndrome	2/50	0.0425157677463691	0.571270788122094	2	0.04	CREG1;RNASE3
Infection	7/492	0.043317300476071	0.571270788122094	7	0.0142276422764228	IFNGR1;CASP3;NAMPT;PSIP1;IFIT1;CAMP;IFIT2
NONAKA MYOPATHY	2/51	0.0440655178663881	0.571270788122094	2	0.0392156862745098	ACTR2;CASP3
Facial erythema	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SAT1
Ruddy face	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SAT1
Fetid chronic bronchitis	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	CAMP
Mitochondrial Complex II Deficiency	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SDHD
Carotid Body Paraganglioma	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SDHD
Glomus Jugulare Tumor	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SDHD
Hereditary Paraganglioma-Pheochromocytoma Syndrome	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SDHD
Chronic neutropenia	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	CAMP
Normochromic anemia	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	RPL15
Nose symptoms	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	RNASE3
Opioid withdrawal	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	RNASE3
Decreased adenosylcobalamin	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	LMBRD1
Vulvar Neoplasms	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	CASP3
Weaver syndrome	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SUZ12
Progressive leukoencephalopathy	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SDHD
Pure Autonomic Failure	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	COQ2
Low Grade Endometrial Stromal Sarcoma	1/7	0.044965205761108	0.571270788122094	1	0.142857142857143	SUZ12
Hoarseness	2/52	0.0456360412198942	0.571270788122094	2	0.0384615384615385	SUZ12;SDHD
Parasitic Diseases	2/52	0.0456360412198942	0.571270788122094	2	0.0384615384615385	COQ2;IFNGR1
Desmoplastic Medulloblastoma	2/52	0.0456360412198942	0.571270788122094	2	0.0384615384615385	RPS6KB1;S100A6
Diabetic Cardiomyopathies	2/54	0.0488380751277771	0.571270788122094	2	0.037037037037037	ATP6AP2;MAT2B
Recurrent mycobacterial infections	1/8	0.0512228583369014	0.571270788122094	1	0.125	IFNGR1
Blastocyst Disintegration	1/8	0.0512228583369014	0.571270788122094	1	0.125	UBE2N
Endometrial stromal sarcoma, high grade	1/8	0.0512228583369014	0.571270788122094	1	0.125	SUZ12
Sensory denervation disorder	1/8	0.0512228583369014	0.571270788122094	1	0.125	CASP3
Gastric erosions	1/8	0.0512228583369014	0.571270788122094	1	0.125	CASP3
Cap Myopathy	1/8	0.0512228583369014	0.571270788122094	1	0.125	BMI1
Gram-Positive Bacterial Infections	1/8	0.0512228583369014	0.571270788122094	1	0.125	RNASE3
Neuroferritinopathy	1/8	0.0512228583369014	0.571270788122094	1	0.125	CASP3
Hyperhomocystinemia	1/8	0.0512228583369014	0.571270788122094	1	0.125	LMBRD1
Hyperphosphatasia with Mental Retardation	1/8	0.0512228583369014	0.571270788122094	1	0.125	PIGY
Vasospasm, Intracranial	1/8	0.0512228583369014	0.571270788122094	1	0.125	S100A6
COWDEN-LIKE SYNDROME (disorder)	1/8	0.0512228583369014	0.571270788122094	1	0.125	SDHD
Protracted diarrhea	1/8	0.0512228583369014	0.571270788122094	1	0.125	SDHD
Embryo Disintegration	1/8	0.0512228583369014	0.571270788122094	1	0.125	UBE2N
Endometrial Stromal Tumors	1/8	0.0512228583369014	0.571270788122094	1	0.125	SUZ12
Parkinsonian Disorders	4/214	0.0523528646929868	0.571270788122094	4	0.0186915887850467	CHCHD2;COQ2;ATP6AP2;VPS26A
Lyme Disease	3/130	0.0539450216733267	0.571270788122094	3	0.0230769230769231	GOLPH3;TMED10;PTGES3
Glioblastoma Multiforme	10/854	0.0541239287243854	0.571270788122094	10	0.0117096018735363	SUZ12;GOLPH3;RPS6KB1;CASP3;S100A6;UBE2N;RNASE3;BMI1;SAT1;IFIT2
Mycoplasma Infections	2/58	0.0554769542765943	0.571270788122094	2	0.0344827586206897	CASP3;S100A6
Fibromatosis, Aggressive	2/59	0.0571837284420018	0.571270788122094	2	0.0338983050847458	CASP3;BMI1
Alopecia Areata	2/59	0.0571837284420018	0.571270788122094	2	0.0338983050847458	PSIP1;FCGR1B
Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	NAP1L1
Bare Lymphocyte Syndrome, Type I	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	USO1
Avascular Necrosis of Femur Head	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Blushing	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	SAT1
Burkitt-like lymphoma	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Gram-Negative Bacterial Infections	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	RNASE3
Spinal Cord Contusion	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Spinal Cord Injuries	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Spinal Cord Laceration	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Spinal Cord transection injury	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Status Asthmaticus	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	RNASE3
PHEOCHROMOCYTOMA, SUSCEPTIBILITY TO	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	SDHD
Conjunctival hamartoma	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	SDHD
Abnormality of the penis	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	SDHD
West Nile Fever	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	IFIT2
Post-Traumatic Myelopathy	1/9	0.0574398210623127	0.571270788122094	1	0.111111111111111	CASP3
Ewing's sarcoma of bone	1/10	0.0636163562830487	0.571270788122094	1	0.1	RNASE3
Extra-Adrenal Paraganglioma	1/10	0.0636163562830487	0.571270788122094	1	0.1	SDHD
Bisphosphonate-associated osteonecrosis	1/10	0.0636163562830487	0.571270788122094	1	0.1	RNASE3
Femoral artery occlusion	1/10	0.0636163562830487	0.571270788122094	1	0.1	RAP2A
Generalized periodontitis	1/10	0.0636163562830487	0.571270788122094	1	0.1	CAMP
Night sweats	1/10	0.0636163562830487	0.571270788122094	1	0.1	SDHD
Abdominal Cryptorchidism	1/10	0.0636163562830487	0.571270788122094	1	0.1	CASP3
Inguinal Cryptorchidism	1/10	0.0636163562830487	0.571270788122094	1	0.1	CASP3
Embryo Loss	1/10	0.0636163562830487	0.571270788122094	1	0.1	UBE2N
Hypertrophic Cardiomyopathy	5/328	0.0648175620353816	0.571270788122094	5	0.0152439024390244	MTPN;COQ2;CAB39;CASP3;SDHD
