Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	6/90	2.79320125378837e-05	0.0168060539720255	6	0.0666666666666667	RPS15A;RPL37A;SEC61B;RPL15;RPL9;RPS21
neutrophil degranulation (GO:0043312)	12/481	7.78691205099142e-05	0.0168060539720255	12	0.0249480249480249	RAB10;HEBP2;ACTR2;CAB39;CREG1;ATP6AP2;CMTM6;MNDA;RNASE3;ARPC5;RNASE2;CAMP
neutrophil activation involved in immune response (GO:0002283)	12/485	8.42218125947683e-05	0.0168060539720255	12	0.0247422680412371	RAB10;HEBP2;ACTR2;CAB39;CREG1;ATP6AP2;CMTM6;MNDA;RNASE3;ARPC5;RNASE2;CAMP
neutrophil mediated immunity (GO:0002446)	12/488	8.92751871023932e-05	0.0168060539720255	12	0.0245901639344262	RAB10;HEBP2;ACTR2;CAB39;CREG1;ATP6AP2;CMTM6;MNDA;RNASE3;ARPC5;RNASE2;CAMP
Arp2/3 complex-mediated actin nucleation (GO:0034314)	3/15	0.000117959605606949	0.0169989219410045	3	0.2	ACTR3;ACTR2;ARPC5
nuclear-transcribed mRNA catabolic process (GO:0000956)	7/171	0.000135449577219159	0.0169989219410045	7	0.0409356725146199	PAN3;RPS15A;RPL37A;RPL15;RPL9;RPS21;ZFP36L1
actin nucleation (GO:0045010)	3/21	0.000335034323996167	0.0289519564450253	3	0.142857142857143	ACTR3;ACTR2;ARPC5
innate immune response in mucosa (GO:0002227)	3/21	0.000335034323996167	0.0289519564450253	3	0.142857142857143	RNASE3;RNASE2;CAMP
cytoplasmic translation (GO:0002181)	5/93	0.000365938460207138	0.0289519564450253	5	0.0537634408602151	RPS15A;RPL37A;RPL15;RPL9;RPS21
cotranslational protein targeting to membrane (GO:0006613)	5/94	0.00038448813340007	0.0289519564450253	5	0.0531914893617021	RPS15A;RPL37A;RPL15;RPL9;RPS21
protein targeting to ER (GO:0045047)	5/103	0.000585114136795023	0.039390259887391	5	0.0485436893203883	RPS15A;RPL37A;RPL15;RPL9;RPS21
induction of bacterial agglutination (GO:0043152)	2/6	0.000627733225297067	0.039390259887391	2	0.333333333333333	RNASE3;RNASE2
mucosal immune response (GO:0002385)	3/28	0.000798072892999447	0.0419152895364981	3	0.107142857142857	RNASE3;RNASE2;CAMP
protein localization to Golgi apparatus (GO:0034067)	3/28	0.000798072892999447	0.0419152895364981	3	0.107142857142857	GBP5;GOLPH3;TMED10
regulation of ubiquitin-protein transferase activity (GO:0051438)	3/29	0.000885916040577899	0.0419152895364981	3	0.103448275862069	DCUN1D5;UBE2N;BMI1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	5/113	0.000890630322156667	0.0419152895364981	5	0.0442477876106195	RPS15A;RPL37A;RPL15;RPL9;RPS21
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	3/31	0.00107945916830792	0.0460315222159358	3	0.0967741935483871	DCUN1D5;UBE2N;BMI1
cellular macromolecule biosynthetic process (GO:0034645)	8/314	0.00110035511273153	0.0460315222159358	8	0.0254777070063694	GOLPH3;RPS15A;RPL37A;NAP1L1;RPL15;RPL9;RPS21;PTMA
regulation of amyloid-beta formation (GO:1902003)	3/34	0.00141661346428507	0.056142628347719	3	0.0882352941176471	TMED10;IFNGR1;CASP3
positive regulation of cellular amide metabolic process (GO:0034250)	4/81	0.00198112259972964	0.0743062193841964	4	0.0493827160493827	RPS6KB1;IFNGR1;CASP3;NSMAF
positive regulation of protein ubiquitination (GO:0031398)	4/82	0.00207228500274651	0.0743062193841964	4	0.0487804878048781	DCUN1D5;UBE2N;BMI1;BIRC2
positive regulation of transferase activity (GO:0051347)	5/148	0.00292482414466398	0.0978730625775717	5	0.0337837837837838	DCUN1D5;PTGES3;UBE2N;SERINC1;BMI1
antibacterial humoral response (GO:0019731)	3/44	0.00298948265509183	0.0978730625775717	3	0.0681818181818182	RNASE3;RNASE2;CAMP
protein localization to vacuole (GO:0072665)	2/14	0.00367970636984923	0.110832755859859	2	0.142857142857143	LMBRD1;MFSD1
polarized epithelial cell differentiation (GO:0030859)	2/14	0.00367970636984923	0.110832755859859	2	0.142857142857143	RAB10;RAP2A
Golgi to plasma membrane transport (GO:0006893)	3/48	0.00383059846196321	0.110940024686858	3	0.0625	RAB10;GOLPH3;RABEP1
peptide biosynthetic process (GO:0043043)	5/162	0.00430060963860123	0.119939224365434	5	0.0308641975308642	RPS15A;RPL37A;RPL15;RPL9;RPS21
positive regulation of amyloid-beta formation (GO:1902004)	2/18	0.00608175314787588	0.163555718583948	2	0.111111111111111	IFNGR1;CASP3
establishment of epithelial cell polarity (GO:0090162)	2/20	0.00748823341082939	0.194435853736363	2	0.1	GOLPH3;RAP2A
positive regulation of interleukin-1 production (GO:0032732)	3/62	0.007838369652445	0.194657965231697	3	0.0483870967741935	GBP5;TMED10;MNDA
histone ubiquitination (GO:0016574)	2/21	0.00824120450750411	0.194657965231697	2	0.0952380952380952	UBE2N;WAC
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	2/22	0.00902671954895144	0.194657965231697	2	0.0909090909090909	IFNGR1;CASP3
negative regulation of B cell activation (GO:0050869)	2/22	0.00902671954895144	0.194657965231697	2	0.0909090909090909	BANK1;MNDA
cellular response to osmotic stress (GO:0071470)	2/22	0.00902671954895144	0.194657965231697	2	0.0909090909090909	CAB39;ZFP36L1
gene expression (GO:0010467)	7/356	0.00908603881940548	0.194657965231697	7	0.0196629213483146	GOLPH3;RPS15A;RPL37A;RPL15;RPL9;RPS21;PTMA
positive regulation of cell cycle (GO:0045787)	3/66	0.00930635690350743	0.194657965231697	3	0.0454545454545455	RPS15A;RPS6KB1;CCPG1
cellular response to insulin stimulus (GO:0032869)	4/129	0.010313054281085	0.205652122137545	4	0.0310077519379845	RAB10;RPS6KB1;NAMPT;ZFP36L1
positive regulation of lamellipodium assembly (GO:0010592)	2/24	0.0106935782667137	0.205652122137545	2	0.0833333333333333	ACTR3;ACTR2
protein transport (GO:0015031)	7/369	0.0109214486290264	0.205652122137545	7	0.018970189701897	RAB10;GOLPH3;TMED10;USO1;CMTM6;VPS26A;ZDHHC17
defense response to Gram-positive bacterium (GO:0050830)	3/70	0.0109244155185947	0.205652122137545	3	0.0428571428571429	RNASE3;RNASE2;CAMP
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	3/71	0.0113527007074814	0.208502039822767	3	0.0422535211267606	ACTR3;ACTR2;ARPC5
Fc-gamma receptor signaling pathway (GO:0038094)	3/72	0.0117905694871481	0.211388067233869	3	0.0416666666666667	ACTR3;ACTR2;ARPC5
defense response to Gram-negative bacterium (GO:0050829)	3/73	0.0122380560135726	0.214308283214422	3	0.0410958904109589	RNASE3;RNASE2;CAMP
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	3/74	0.0126951924740637	0.217260907567498	3	0.0405405405405405	ACTR3;ACTR2;ARPC5
translation (GO:0006412)	5/214	0.0134429728180955	0.221262666462442	5	0.0233644859813084	RPS15A;RPL37A;RPL15;RPL9;RPS21
cell morphogenesis involved in neuron differentiation (GO:0048667)	3/76	0.013638534267589	0.221262666462442	3	0.0394736842105263	RAB10;S100A6;ZDHHC17
regulation of B cell activation (GO:0050864)	2/28	0.0143982346037977	0.221262666462442	2	0.0714285714285714	BANK1;ZFP36L1
positive regulation of fibroblast proliferation (GO:0048146)	2/28	0.0143982346037977	0.221262666462442	2	0.0714285714285714	S100A6;BMI1
protein localization to lysosome (GO:0061462)	2/28	0.0143982346037977	0.221262666462442	2	0.0714285714285714	LMBRD1;MFSD1
axon development (GO:0061564)	3/79	0.0151266162127251	0.22780684016364	3	0.0379746835443038	RAB10;S100A6;ZDHHC17
negative regulation of gene expression, epigenetic (GO:0045814)	2/30	0.0164291163481761	0.237307495809838	2	0.0666666666666667	SUZ12;BMI1
Golgi to plasma membrane protein transport (GO:0043001)	2/30	0.0164291163481761	0.237307495809838	2	0.0666666666666667	RAB10;GOLPH3
ephrin receptor signaling pathway (GO:0048013)	3/82	0.0167029180317682	0.237307495809838	3	0.0365853658536585	ACTR3;ACTR2;ARPC5
response to insulin (GO:0032868)	3/84	0.0178030364594962	0.248253452851864	3	0.0357142857142857	RAB10;RPS6KB1;ZFP36L1
regulation of cellular amide metabolic process (GO:0034248)	2/32	0.0185745365603118	0.249761179105621	2	0.0625	MTPN;TMED10
positive regulation of lamellipodium organization (GO:1902745)	2/32	0.0185745365603118	0.249761179105621	2	0.0625	ACTR3;ACTR2
post-Golgi vesicle-mediated transport (GO:0006892)	3/89	0.0207264394168177	0.270446513453624	3	0.0337078651685393	RAB10;RABEP1;ACBD3
regulation of lamellipodium assembly (GO:0010591)	2/34	0.0208312055515408	0.270446513453624	2	0.0588235294117647	ACTR3;ACTR2
membrane organization (GO:0061024)	5/242	0.0216633216075136	0.276482731702674	5	0.0206611570247934	ACTR3;ACTR2;RABEP1;USO1;ARPC5
establishment of protein localization to plasma membrane (GO:0061951)	2/36	0.0231958988654078	0.282156666150953	2	0.0555555555555556	RAB10;GOLPH3
membrane fusion (GO:0061025)	2/36	0.0231958988654078	0.282156666150953	2	0.0555555555555556	RABEP1;USO1
negative regulation of G0 to G1 transition (GO:0070317)	2/38	0.0256654561578795	0.282156666150953	2	0.0526315789473684	SUZ12;BMI1
regulation of G0 to G1 transition (GO:0070316)	2/41	0.0295596535904276	0.282156666150953	2	0.0487804878048781	SUZ12;BMI1
nucleobase-containing compound catabolic process (GO:0034655)	2/41	0.0295596535904276	0.282156666150953	2	0.0487804878048781	RNASE3;RNASE2
protein retention in Golgi apparatus (GO:0045053)	1/5	0.0323267736057392	0.282156666150953	1	0.2	GOLPH3
regulation of barbed-end actin filament capping (GO:2000812)	1/5	0.0323267736057392	0.282156666150953	1	0.2	MTPN
positive regulation of interleukin-18 production (GO:0032741)	1/5	0.0323267736057392	0.282156666150953	1	0.2	GBP5
response to salt stress (GO:0009651)	1/5	0.0323267736057392	0.282156666150953	1	0.2	ZFP36L1
positive regulation of membrane permeability (GO:1905710)	1/5	0.0323267736057392	0.282156666150953	1	0.2	HEBP2
positive regulation of necrotic cell death (GO:0010940)	1/5	0.0323267736057392	0.282156666150953	1	0.2	HEBP2
regulation of guanyl-nucleotide exchange factor activity (GO:1905097)	1/5	0.0323267736057392	0.282156666150953	1	0.2	CCPG1
cellular response to salt stress (GO:0071472)	1/5	0.0323267736057392	0.282156666150953	1	0.2	ZFP36L1
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	1/5	0.0323267736057392	0.282156666150953	1	0.2	SEC61B
positive regulation of protein monoubiquitination (GO:1902527)	1/5	0.0323267736057392	0.282156666150953	1	0.2	BIRC2
positive regulation of protein neddylation (GO:2000436)	1/5	0.0323267736057392	0.282156666150953	1	0.2	DCUN1D5
p38MAPK cascade (GO:0038066)	1/5	0.0323267736057392	0.282156666150953	1	0.2	ZFP36L1
regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)	1/5	0.0323267736057392	0.282156666150953	1	0.2	BIRC2
regulation of protein monoubiquitination (GO:1902525)	1/5	0.0323267736057392	0.282156666150953	1	0.2	BIRC2
cellular response to peptide hormone stimulus (GO:0071375)	3/106	0.0325191700999561	0.282156666150953	3	0.0283018867924528	RAB10;RPS6KB1;ZFP36L1
protein deacetylation (GO:0006476)	2/45	0.0350905485641548	0.282156666150953	2	0.0444444444444444	MORF4L1;RCOR3
establishment of protein localization to extracellular region (GO:0035592)	2/46	0.0365313008025229	0.282156666150953	2	0.0434782608695652	RAB10;GOLPH3
regulation of fibroblast proliferation (GO:0048145)	2/46	0.0365313008025229	0.282156666150953	2	0.0434782608695652	S100A6;BMI1
regulation of macroautophagy (GO:0016241)	3/112	0.0373600075086221	0.282156666150953	3	0.0267857142857143	CASP3;WAC;VPS26A
histone deacetylation (GO:0016575)	2/47	0.0379945486140604	0.282156666150953	2	0.0425531914893617	MORF4L1;RCOR3
regulation of response to reactive oxygen species (GO:1901031)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	HEBP2
alditol metabolic process (GO:0019400)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	COQ2
negative regulation of erythrocyte differentiation (GO:0045647)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	ZFP36L1
Golgi transport vesicle coating (GO:0048200)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	TMED10
regulation of cellular response to hypoxia (GO:1900037)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	CHCHD2
regulation of keratinocyte apoptotic process (GO:1902172)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	ZFP36L1
regulation of macromolecule biosynthetic process (GO:0010556)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	MTPN
COPI coating of Golgi vesicle (GO:0048205)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	TMED10
COPI-coated vesicle budding (GO:0035964)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	TMED10
mRNA 5'-splice site recognition (GO:0000395)	1/6	0.0386665993582629	0.282156666150953	1	0.166666666666667	PSIP1
histone modification (GO:0016570)	3/114	0.0390511781129319	0.282156666150953	3	0.0263157894736842	MORF4L1;UBE2N;RCOR3
negative regulation of programmed cell death (GO:0043069)	6/381	0.0395902834002933	0.282156666150953	6	0.015748031496063	GOLPH3;RPS6KB1;API5;CASP3;PTMA;BIRC2
sphingolipid metabolic process (GO:0006665)	3/116	0.040780805004621	0.282156666150953	3	0.0258620689655172	ELOVL5;SERINC1;NSMAF
RNA catabolic process (GO:0006401)	2/49	0.0409871282964616	0.282156666150953	2	0.0408163265306122	RNASE3;RNASE2
regulation of cellular response to stress (GO:0080135)	3/118	0.04254867157148	0.282156666150953	3	0.0254237288135593	CHCHD2;PTGES3;SLC38A2
negative regulation of cell cycle phase transition (GO:1901988)	1/7	0.044965205761108	0.282156666150953	1	0.142857142857143	ZFP36L1
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	1/7	0.044965205761108	0.282156666150953	1	0.142857142857143	ELOVL5
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	1/7	0.044965205761108	0.282156666150953	1	0.142857142857143	ELOVL5
fatty acid elongation, saturated fatty acid (GO:0019367)	1/7	0.044965205761108	0.282156666150953	1	0.142857142857143	ELOVL5
