Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	18/1406	0.00472205963968928	0.447969236363575	18	0.0128022759601707	API5;ZFR;USO1;PSIP1;NAP1L1;IFIT1;RPL9;IFIT2;ZFP36L1;RPS15A;RPL37A;FAM120A;UBE2N;DHX15;TFAM;SEC61B;RPL15;RPS21
interferon receptor activity (GO:0004904)	1/5	0.0323267736057392	0.447969236363575	1	0.2	IFNGR1
RNA-directed DNA polymerase activity (GO:0003964)	1/6	0.0386665993582629	0.447969236363575	1	0.166666666666667	PTGES3
L-serine transmembrane transporter activity (GO:0015194)	1/6	0.0386665993582629	0.447969236363575	1	0.166666666666667	SLC38A2
supercoiled DNA binding (GO:0097100)	1/6	0.0386665993582629	0.447969236363575	1	0.166666666666667	PSIP1
telomerase activity (GO:0003720)	1/6	0.0386665993582629	0.447969236363575	1	0.166666666666667	PTGES3
ribosomal protein S6 kinase activity (GO:0004711)	1/7	0.044965205761108	0.447969236363575	1	0.142857142857143	RPS6KB1
acid-amino acid ligase activity (GO:0016881)	1/7	0.044965205761108	0.447969236363575	1	0.142857142857143	PPCS
fatty acid elongase activity (GO:0009922)	1/7	0.044965205761108	0.447969236363575	1	0.142857142857143	ELOVL5
serine transmembrane transporter activity (GO:0022889)	1/8	0.0512228583369014	0.447969236363575	1	0.125	SLC38A2
L-glutamine transmembrane transporter activity (GO:0015186)	1/8	0.0512228583369014	0.447969236363575	1	0.125	SLC38A2
clathrin heavy chain binding (GO:0032050)	1/9	0.0574398210623127	0.447969236363575	1	0.111111111111111	LMBRD1
prenyltransferase activity (GO:0004659)	1/9	0.0574398210623127	0.447969236363575	1	0.111111111111111	COQ2
nuclease activity (GO:0004518)	2/60	0.0589086982016463	0.447969236363575	2	0.0333333333333333	RNASE3;RNASE2
cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	1/10	0.0636163562830487	0.447969236363575	1	0.1	CASP3
fatty acid synthase activity (GO:0004312)	1/10	0.0636163562830487	0.447969236363575	1	0.1	ELOVL5
ribonuclease activity (GO:0004540)	2/66	0.0696236308924301	0.447969236363575	2	0.0303030303030303	RNASE3;RNASE2
amino acid:sodium symporter activity (GO:0005283)	1/11	0.0697527247352707	0.447969236363575	1	0.0909090909090909	SLC38A2
GDP binding (GO:0019003)	2/67	0.0714675389798842	0.447969236363575	2	0.0298507462686567	RAB10;RAP2A
poly(A)-specific ribonuclease activity (GO:0004535)	1/12	0.0758491854913786	0.447969236363575	1	0.0833333333333333	PAN3
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	1/13	0.0819059960266386	0.447969236363575	1	0.0769230769230769	CASP3
double-stranded RNA binding (GO:0003725)	2/73	0.0828535037480825	0.447969236363575	2	0.0273972602739726	ZFR;DHX15
ubiquitin binding (GO:0043130)	2/74	0.0848023477498424	0.447969236363575	2	0.027027027027027	UBE2N;BIRC2
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	1/15	0.0939016881241754	0.447969236363575	1	0.0666666666666667	CASP3
myosin V binding (GO:0031489)	1/15	0.0939016881241754	0.447969236363575	1	0.0666666666666667	RAB10
DNA binding, bending (GO:0008301)	1/16	0.0998410764728978	0.447969236363575	1	0.0625	TFAM
tropomyosin binding (GO:0005523)	1/16	0.0998410764728978	0.447969236363575	1	0.0625	S100A6
DNA polymerase binding (GO:0070182)	1/18	0.111604192717514	0.447969236363575	1	0.0555555555555556	PTGES3
cadherin binding involved in cell-cell adhesion (GO:0098641)	1/18	0.111604192717514	0.447969236363575	1	0.0555555555555556	RAB10
heme binding (GO:0020037)	2/91	0.119854690486793	0.447969236363575	2	0.021978021978022	HEBP2;SDHD
GTP binding (GO:0005525)	3/189	0.127471522094799	0.447969236363575	3	0.0158730158730159	RAB10;GBP5;RAP2A
