Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Fc gamma R-mediated phagocytosis	4/97	0.0038076995971724	0.189432002890836	4	0.0412371134020619	ACTR3;ACTR2;RPS6KB1;ARPC5
Ribosome	5/158	0.00386830032221472	0.189432002890836	5	0.0316455696202532	RPS15A;RPL37A;RPL15;RPL9;RPS21
Salmonella infection	6/249	0.00601582973817189	0.189432002890836	6	0.0240963855421687	ACTR3;ACTR2;CASP3;ARPC5;ACBD3;BIRC2
Endocytosis	6/252	0.00636746228204491	0.189432002890836	6	0.0238095238095238	ACTR3;RAB10;ACTR2;RABEP1;VPS26A;ARPC5
Pantothenate and CoA biosynthesis	2/21	0.00824120450750411	0.191535136639213	2	0.0952380952380952	VNN2;PPCS
Pathogenic Escherichia coli infection	5/197	0.00965723378012841	0.191535136639213	5	0.0253807106598985	ACTR3;ACTR2;TMED10;CASP3;ARPC5
Bacterial invasion of epithelial cells	3/77	0.0141247943984081	0.240121504772937	3	0.038961038961039	ACTR3;ACTR2;ARPC5
Coronavirus disease	5/232	0.0184277296818364	0.274112479017317	5	0.021551724137931	RPS15A;RPL37A;RPL15;RPL9;RPS21
Shigellosis	5/246	0.0230548586158289	0.304836463920404	5	0.0203252032520325	ACTR3;ACTR2;RPS6KB1;UBE2N;ARPC5
NOD-like receptor signaling pathway	4/181	0.0313290130520087	0.372815255318903	4	0.0220994475138122	GBP5;NAMPT;CAMP;BIRC2
Toxoplasmosis	3/112	0.0373600075086221	0.404167353956912	3	0.0267857142857143	IFNGR1;CASP3;BIRC2
AMPK signaling pathway	3/120	0.0443545467089488	0.439849254863742	3	0.025	RAB10;CAB39;RPS6KB1
Legionellosis	2/57	0.0537886863451022	0.492373359620551	2	0.0350877192982456	CLK1;CASP3
Yersinia infection	3/137	0.0612011162320828	0.511253345303219	3	0.0218978102189781	ACTR3;ACTR2;ARPC5
Ubiquitin mediated proteolysis	3/140	0.0644436989878008	0.511253345303219	3	0.0214285714285714	CUL5;UBE2N;BIRC2
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.0697527247352707	0.518785890218576	1	0.0909090909090909	COQ2
Tight junction	3/169	0.0996160214784879	0.645513064093446	3	0.0177514792899408	ACTR3;ACTR2;ARPC5
Colorectal cancer	2/86	0.109200142257853	0.645513064093446	2	0.0232558139534884	RPS6KB1;CASP3
Tuberculosis	3/180	0.114609332814958	0.645513064093446	3	0.0166666666666667	IFNGR1;CASP3;CAMP
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.115561883285601	0.645513064093446	2	0.0224719101123595	RPS6KB1;IFNGR1
Small cell lung cancer	2/92	0.122015918962004	0.645513064093446	2	0.0217391304347826	CASP3;BIRC2
Protein export	1/23	0.140348824050719	0.645513064093446	1	0.0434782608695652	SEC61B
Renin-angiotensin system	1/23	0.140348824050719	0.645513064093446	1	0.0434782608695652	ATP6AP2
Vitamin digestion and absorption	1/24	0.145986013605011	0.645513064093446	1	0.0416666666666667	LMBRD1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.157150572763428	0.645513064093446	1	0.0384615384615385	PIGY
HIF-1 signaling pathway	2/109	0.160055337519228	0.645513064093446	2	0.018348623853211	RPS6KB1;IFNGR1
Human immunodeficiency virus 1 infection	3/212	0.162470831753895	0.645513064093446	3	0.0141509433962264	CUL5;RPS6KB1;CASP3
Biosynthesis of unsaturated fatty acids	1/27	0.162678414630487	0.645513064093446	1	0.037037037037037	ELOVL5
Fatty acid elongation	1/27	0.162678414630487	0.645513064093446	1	0.037037037037037	ELOVL5
TNF signaling pathway	2/112	0.166981540744133	0.645513064093446	2	0.0178571428571429	CASP3;BIRC2
Regulation of actin cytoskeleton	3/218	0.172040745818135	0.645513064093446	3	0.0137614678899083	ACTR3;ACTR2;ARPC5
Citrate cycle (TCA cycle)	1/30	0.179046991591603	0.645513064093446	1	0.0333333333333333	SDHD
Glyoxylate and dicarboxylate metabolism	1/30	0.179046991591603	0.645513064093446	1	0.0333333333333333	MCEE
Asthma	1/31	0.184432304026699	0.645513064093446	1	0.032258064516129	RNASE3
Propanoate metabolism	1/34	0.200378792953385	0.6797055990726	1	0.0294117647058824	MCEE
Nicotinate and nicotinamide metabolism	1/35	0.205625223248854	0.6797055990726	1	0.0285714285714286	NAMPT
Natural killer cell mediated cytotoxicity	2/131	0.21185710915162	0.681378269974128	2	0.0152671755725191	IFNGR1;CASP3
Apelin signaling pathway	2/137	0.226282942190587	0.695017934402271	2	0.0145985401459854	RPS6KB1;TFAM
Ferroptosis	1/41	0.236394089198028	0.695017934402271	1	0.024390243902439	SAT1
Apoptosis	2/142	0.238359486224703	0.695017934402271	2	0.0140845070422535	CASP3;BIRC2
mTOR signaling pathway	2/154	0.267451454143004	0.695017934402271	2	0.012987012987013	CAB39;RPS6KB1
Non-alcoholic fatty liver disease	2/155	0.269878253110195	0.695017934402271	2	0.0129032258064516	CASP3;SDHD
Valine, leucine and isoleucine degradation	1/48	0.270799066287443	0.695017934402271	1	0.0208333333333333	MCEE
Hepatitis C	2/157	0.274731391970113	0.695017934402271	2	0.0127388535031847	CASP3;IFIT1
Necroptosis	2/159	0.279583246631772	0.695017934402271	2	0.0125786163522013	IFNGR1;BIRC2
Arginine and proline metabolism	1/50	0.280343368498395	0.695017934402271	1	0.02	SAT1
Vibrio cholerae infection	1/50	0.280343368498395	0.695017934402271	1	0.02	SEC61B
Cysteine and methionine metabolism	1/50	0.280343368498395	0.695017934402271	1	0.02	MAT2B
Influenza A	2/172	0.311036474885122	0.71115575311703	2	0.0116279069767442	IFNGR1;CASP3
Huntington disease	3/306	0.324479423438107	0.71115575311703	3	0.00980392156862745	CASP3;TFAM;SDHD
Viral myocarditis	1/60	0.326236816437013	0.71115575311703	1	0.0166666666666667	CASP3
Arachidonic acid metabolism	1/61	0.330663237374484	0.71115575311703	1	0.0163934426229508	PTGES3
Inflammatory bowel disease	1/65	0.348082184661614	0.71115575311703	1	0.0153846153846154	IFNGR1
Acute myeloid leukemia	1/67	0.356622201383958	0.71115575311703	1	0.0149253731343284	RPS6KB1
Transcriptional misregulation in cancer	2/192	0.358818570085005	0.71115575311703	2	0.0104166666666667	BMI1;BIRC2
Kaposi sarcoma-associated herpesvirus infection	2/193	0.361179517903923	0.71115575311703	2	0.0103626943005181	IFNGR1;CASP3
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.369224493295523	0.71115575311703	1	0.0142857142857143	CASP3
p53 signaling pathway	1/73	0.381581782464501	0.71115575311703	1	0.0136986301369863	CASP3
Proteoglycans in cancer	2/205	0.389247956951111	0.71115575311703	2	0.00975609756097561	RPS6KB1;CASP3
Pancreatic cancer	1/76	0.39369879604317	0.71115575311703	1	0.0131578947368421	RPS6KB1
Pertussis	1/76	0.39369879604317	0.71115575311703	1	0.0131578947368421	CASP3
Leishmaniasis	1/77	0.397685209995924	0.71115575311703	1	0.012987012987013	IFNGR1
RNA degradation	1/79	0.405580170745522	0.71115575311703	1	0.0126582278481013	PAN3
Herpes simplex virus 1 infection	4/498	0.412129838300953	0.71115575311703	4	0.00803212851405622	ZNF91;IFNGR1;CASP3;BIRC2
ErbB signaling pathway	1/85	0.428654107828371	0.71115575311703	1	0.0117647058823529	RPS6KB1
Human cytomegalovirus infection	2/225	0.434770281250978	0.71115575311703	2	0.00888888888888889	RPS6KB1;CASP3
GABAergic synapse	1/89	0.443540659959945	0.71115575311703	1	0.0112359550561798	SLC38A2
Thermogenesis	2/232	0.450278274106543	0.71115575311703	2	0.00862068965517241	RPS6KB1;SDHD
Th1 and Th2 cell differentiation	1/92	0.454452379907435	0.71115575311703	1	0.0108695652173913	IFNGR1
Salivary secretion	1/93	0.458042222538395	0.71115575311703	1	0.010752688172043	CAMP
