Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Pimples	3/13	7.1512006647065e-05	0.0607852056500053	3	0.230769230769231	PSTPIP1;TMC6;TMEM173
pustule	3/13	7.1512006647065e-05	0.0607852056500053	3	0.230769230769231	PSTPIP1;TMC6;TMEM173
Abnormality of abdomen morphology	3/20	0.000275787437045545	0.156279547659142	3	0.15	GP9;POR;MCOLN1
Soluble Transferrin Receptor Measurement	2/7	0.000848723548855487	0.342064967464314	2	0.285714285714286	PCSK7;SIDT2
Type I Mucolipidosis	2/8	0.00112685425299083	0.342064967464314	2	0.25	CTSA;MCOLN1
Schwannomatosis	2/9	0.00144269911329555	0.342064967464314	2	0.222222222222222	MED16;CABIN1
Gangliosidosis GM1	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	CTSA;NFIX
Immunoglobulin Deficiency, Late-Onset	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	CD81;IKZF1
Globulin gamma serum plasma increased result	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	PSTPIP1;TMEM173
Hyperglobulinemia	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	PSTPIP1;TMEM173
Increased antibody level in blood	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	PSTPIP1;TMEM173
Elevated immunoglobulin levels	2/12	0.00261163725011945	0.342064967464314	2	0.166666666666667	PSTPIP1;TMEM173
Tall stature	3/45	0.00305246507727431	0.342064967464314	3	0.0666666666666667	POR;NFIX;SLC6A8
Purpura	3/45	0.00305246507727431	0.342064967464314	3	0.0666666666666667	GP9;CD81;ITGA2B
Mucolipidoses	2/13	0.00307348053957776	0.342064967464314	2	0.153846153846154	CTSA;MCOLN1
AMYOTROPHIC LATERAL SCLEROSIS 1	4/94	0.00321943498789942	0.342064967464314	4	0.0425531914893617	GPX1;BSG;CD7;BCL2L1
Neonatal thrombocytopenia (disorder)	2/15	0.00410262394445491	0.410262394445491	2	0.133333333333333	GP9;ITGA2B
Non-arthropod borne lymphocytic choriomeningitis	3/52	0.004600937313319	0.417752051776692	3	0.0576923076923077	IRF3;PRF1;CABIN1
Choanal stenosis	2/16	0.00466899351985715	0.417752051776692	2	0.125	POR;NFIX
Lymphocytic Choriomeningitis	3/55	0.00538582640080866	0.456143647393023	3	0.0545454545454545	IRF3;PRF1;CABIN1
Gonorrhea	3/56	0.00566419423924727	0.456143647393023	3	0.0535714285714286	ZAP70;POR;FURIN
Storage disease	2/18	0.00590303543685089	0.456143647393023	2	0.111111111111111	CTSA;CLN3
Endocarditis	2/19	0.00656980377717787	0.469052878478715	2	0.105263157894737	SMOX;PRF1
Immune thrombocytopenic purpura	5/183	0.00670968864770719	0.469052878478715	5	0.0273224043715847	GP9;CD81;ITGA2B;PRF1;RUNX3
Chediak-Higashi Syndrome	2/21	0.00800060775454531	0.469052878478715	2	0.0952380952380952	LAMP1;PRF1
Laryngomalacia	2/22	0.00876376526785897	0.469052878478715	2	0.0909090909090909	POR;NFIX
Giant Cell Tumor of Bone	3/66	0.00892484986638461	0.469052878478715	3	0.0454545454545455	CTSA;GPX1;RUNX3
Ferritin measurement	2/23	0.00955818144348996	0.469052878478715	2	0.0869565217391304	PCSK7;SIDT2
Antibody Deficiency Syndrome	2/23	0.00955818144348996	0.469052878478715	2	0.0869565217391304	ZAP70;CD81
Menorrhagia	2/23	0.00955818144348996	0.469052878478715	2	0.0869565217391304	GP9;ITGA2B
Neonatal Alloimmune Thrombocytopenia	2/23	0.00955818144348996	0.469052878478715	2	0.0869565217391304	GP9;ITGA2B
Reticulocyte count (procedure)	5/202	0.0100394655595132	0.469052878478715	5	0.0247524752475248	RBM38;SLC25A37;SMOX;IKZF1;TMC6
Bernard-Soulier Syndrome	2/25	0.0112390798460131	0.469052878478715	2	0.08	GP9;ITGA2B
Quadriplegia	2/25	0.0112390798460131	0.469052878478715	2	0.08	UCP2;PRF1
Severe Aplastic Anemia	2/26	0.012124717445624	0.469052878478715	2	0.0769230769230769	ZAP70;PRF1
Generalized hyperpigmentation	2/27	0.0130399243931604	0.469052878478715	2	0.0740740740740741	POR;GMPPA
Autoimmune thrombocytopenia	3/76	0.0130888690429856	0.469052878478715	3	0.0394736842105263	GP9;CD81;RUNX3
Lysosomal Storage Diseases	3/79	0.0145201043907244	0.469052878478715	3	0.0379746835443038	CTSA;CLN3;MCOLN1
Head Neoplasms	2/29	0.0149574018377381	0.469052878478715	2	0.0689655172413793	GPX1;BCL2L1
Upper Aerodigestive Tract Neoplasms	2/29	0.0149574018377381	0.469052878478715	2	0.0689655172413793	GPX1;BCL2L1
Hypergammaglobulinemia	2/30	0.0159588600959688	0.469052878478715	2	0.0666666666666667	PSTPIP1;TMEM173
Cancer of Head	2/30	0.0159588600959688	0.469052878478715	2	0.0666666666666667	GPX1;BCL2L1
