Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Golgi to lysosome transport (GO:0090160)	3/11	4.16485037425007e-05	0.0349847431437006	3	0.272727272727273	GAK;CLN3;LAMP1
protein localization to plasma membrane (GO:0072659)	6/136	0.000253912385143152	0.0831171184556761	6	0.0441176470588235	GAK;CD81;PACS1;SEC16A;TESC;BSG
protein localization to cell periphery (GO:1990778)	6/140	0.000296846851627415	0.0831171184556761	6	0.0428571428571429	GAK;CD81;PACS1;SEC16A;TESC;BSG
immunological synapse formation (GO:0001771)	2/8	0.00112685425299083	0.236639393128075	2	0.25	CD81;PRF1
protein localization to membrane (GO:0072657)	6/195	0.00167767302098002	0.281849067524644	6	0.0307692307692308	GAK;CD81;PACS1;SEC16A;TESC;BSG
regulation of protein exit from endoplasmic reticulum (GO:0070861)	2/13	0.00307348053957776	0.34774952545787	2	0.153846153846154	CD81;SEC16A
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	2/13	0.00307348053957776	0.34774952545787	2	0.153846153846154	CD81;SEC16A
protein maturation (GO:0051604)	4/97	0.00360420576240184	0.34774952545787	4	0.0412371134020619	CLN3;TESC;FURIN;PCSK7
negative regulation of release of cytochrome c from mitochondria (GO:0090201)	2/16	0.00466899351985715	0.34774952545787	2	0.125	GPX1;BCL2L1
cellular biogenic amine biosynthetic process (GO:0042401)	2/17	0.00526928207879687	0.34774952545787	2	0.117647058823529	SMOX;HDC
regulation of leukocyte migration (GO:0002685)	2/17	0.00526928207879687	0.34774952545787	2	0.117647058823529	CD81;RHOG
cytosolic transport (GO:0016482)	4/116	0.00678350958506132	0.34774952545787	4	0.0344827586206897	GAK;CLN3;LAMP1;UBE2O
regulation of supramolecular fiber organization (GO:1902903)	2/23	0.00955818144348996	0.34774952545787	2	0.0869565217391304	GPX1;MAP1S
purine nucleotide metabolic process (GO:0006163)	2/24	0.0103834277603468	0.34774952545787	2	0.0833333333333333	GPX1;GUK1
regulation of inflammatory response to antigenic stimulus (GO:0002861)	4/137	0.0120038855601233	0.34774952545787	4	0.0291970802919708	VIPR1;CD81;GPBAR1;FURIN
nucleobase-containing small molecule interconversion (GO:0015949)	2/27	0.0130399243931604	0.34774952545787	2	0.0740740740740741	GUK1;NME4
receptor-mediated endocytosis (GO:0006898)	4/143	0.0138631601490653	0.34774952545787	4	0.027972027972028	GAK;CLN3;AP1G2;CD81
neutral amino acid transport (GO:0015804)	2/28	0.0139842885598932	0.34774952545787	2	0.0714285714285714	SLC7A5;SLC43A2
regulation of protein localization to plasma membrane (GO:1903076)	3/80	0.0150161126559912	0.34774952545787	3	0.0375	CLN3;RHOG;BCL2L1
organelle transport along microtubule (GO:0072384)	2/31	0.0169882631483111	0.34774952545787	2	0.0645161290322581	CLN3;MAP1S
transforming growth factor beta receptor signaling pathway (GO:0007179)	3/89	0.0199096185618711	0.34774952545787	3	0.0337078651685393	TGFBR3;ZYX;FURIN
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	2/34	0.0202401977431192	0.34774952545787	2	0.0588235294117647	GPX1;BCL2L1
negative regulation of mitochondrion organization (GO:0010823)	2/34	0.0202401977431192	0.34774952545787	2	0.0588235294117647	GPX1;BCL2L1
regulation of epithelial cell proliferation (GO:0050678)	3/93	0.0223339993253141	0.34774952545787	3	0.032258064516129	TGFBR3;GPX1;RUNX3
transferrin transport (GO:0033572)	2/36	0.0225407159555733	0.34774952545787	2	0.0555555555555556	MCOLN1;ATP6V0C
proton transmembrane transport (GO:1902600)	2/37	0.023729600714418	0.34774952545787	2	0.0540540540540541	UCP2;ATP6V0C
phagosome maturation (GO:0090382)	2/37	0.023729600714418	0.34774952545787	2	0.0540540540540541	MCOLN1;ATP6V0C
protein monoubiquitination (GO:0006513)	2/39	0.0261827540936212	0.34774952545787	2	0.0512820512820513	UBE2O;ATXN7L3
nucleobase-containing compound catabolic process (GO:0034655)	2/41	0.0287339722083049	0.34774952545787	2	0.0487804878048781	SND1;SIDT2
regulation of release of cytochrome c from mitochondria (GO:0090199)	2/41	0.0287339722083049	0.34774952545787	2	0.0487804878048781	GPX1;BCL2L1
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	2/42	0.030045451468153	0.34774952545787	2	0.0476190476190476	GPX1;BCL2L1
protein processing (GO:0016485)	3/106	0.0312751864365191	0.34774952545787	3	0.0283018867924528	CLN3;FURIN;PCSK7
negative regulation of anion transmembrane transport (GO:1903960)	1/5	0.0318396013720166	0.34774952545787	1	0.2	SLC43A2
negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	1/5	0.0318396013720166	0.34774952545787	1	0.2	RUNX3
receptor-mediated virion attachment to host cell (GO:0046813)	1/5	0.0318396013720166	0.34774952545787	1	0.2	CD81
regulation of caveolin-mediated endocytosis (GO:2001286)	1/5	0.0318396013720166	0.34774952545787	1	0.2	CLN3
regulation of cellular response to osmotic stress (GO:0106049)	1/5	0.0318396013720166	0.34774952545787	1	0.2	CLN3
cardiac muscle cell proliferation (GO:0060038)	1/5	0.0318396013720166	0.34774952545787	1	0.2	TGFBR3
negative regulation of transforming growth factor beta1 production (GO:0032911)	1/5	0.0318396013720166	0.34774952545787	1	0.2	FURIN
