Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
cholesterol binding (GO:0015485)	3/50	0.00411877737552453	0.265724796119712	3	0.06	OSBPL5;CD81;OSBP2
sterol binding (GO:0032934)	3/60	0.00686318243802372	0.265724796119712	3	0.05	OSBPL5;CD81;OSBP2
phosphatase inhibitor activity (GO:0019212)	2/23	0.00955818144348996	0.265724796119712	2	0.0869565217391304	TESC;CABIN1
neutral amino acid transmembrane transporter activity (GO:0015175)	2/32	0.0180452147305406	0.265724796119712	2	0.0625	SLC7A5;SLC43A2
chondroitin sulfotransferase activity (GO:0034481)	1/5	0.0318396013720166	0.265724796119712	1	0.2	CHST13
L-leucine transmembrane transporter activity (GO:0015190)	1/5	0.0318396013720166	0.265724796119712	1	0.2	SLC7A5
N-acetylgalactosamine 4-O-sulfotransferase activity (GO:0001537)	1/5	0.0318396013720166	0.265724796119712	1	0.2	CHST13
NAADP-sensitive calcium-release channel activity (GO:0072345)	1/5	0.0318396013720166	0.265724796119712	1	0.2	MCOLN1
nerve growth factor binding (GO:0048406)	1/5	0.0318396013720166	0.265724796119712	1	0.2	FURIN
sulfatide binding (GO:0120146)	1/6	0.0380857787516059	0.265724796119712	1	0.166666666666667	CLN3
thyroid hormone transmembrane transporter activity (GO:0015349)	1/6	0.0380857787516059	0.265724796119712	1	0.166666666666667	SLC7A5
BH domain binding (GO:0051400)	1/6	0.0380857787516059	0.265724796119712	1	0.166666666666667	BCL2L1
BH3 domain binding (GO:0051434)	1/6	0.0380857787516059	0.265724796119712	1	0.166666666666667	BCL2L1
MHC class II protein binding (GO:0042289)	1/6	0.0380857787516059	0.265724796119712	1	0.166666666666667	CD81
endopeptidase inhibitor activity (GO:0004866)	3/115	0.0384086408946779	0.265724796119712	3	0.0260869565217391	SPOCK2;UBE2O;FURIN
amino acid transmembrane transporter activity (GO:0015171)	2/49	0.0398626239122771	0.265724796119712	2	0.0408163265306122	SLC7A5;SLC43A2
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	PAFAH1B3
histone-arginine N-methyltransferase activity (GO:0008469)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	CARM1
serine-type exopeptidase activity (GO:0070008)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	CTSA
oxysterol binding (GO:0008142)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	OSBPL5
alpha-mannosidase activity (GO:0004559)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	MAN2C1
branched-chain amino acid transmembrane transporter activity (GO:0015658)	1/7	0.044291970472168	0.265724796119712	1	0.142857142857143	SLC7A5
nuclear receptor coactivator activity (GO:0030374)	2/53	0.0459429677254469	0.265724796119712	2	0.0377358490566038	CARM1;ATXN7L3
L-amino acid transmembrane transporter activity (GO:0015179)	2/53	0.0459429677254469	0.265724796119712	2	0.0377358490566038	SLC7A5;SLC43A2
exopeptidase activity (GO:0008238)	2/53	0.0459429677254469	0.265724796119712	2	0.0377358490566038	CTSA;DPP9
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1/8	0.0504584301157215	0.265724796119712	1	0.125	POR
iron ion transmembrane transporter activity (GO:0005381)	1/8	0.0504584301157215	0.265724796119712	1	0.125	SLC25A37
arginine N-methyltransferase activity (GO:0016273)	1/8	0.0504584301157215	0.265724796119712	1	0.125	CARM1
ether hydrolase activity (GO:0016803)	1/8	0.0504584301157215	0.265724796119712	1	0.125	TMEM86B
