Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosome	6/128	0.000182736108923487	0.0235729580511298	6	0.046875	CTSA;CLN3;LAMP1;AP1G2;MCOLN1;ATP6V0C
Yersinia infection	5/137	0.00195658927402122	0.126200008174368	5	0.0364963503649635	MAP2K3;ZAP70;IRF3;RHOG;WASF2
Pancreatic cancer	3/76	0.0130888690429856	0.562821368848379	3	0.0394736842105263	E2F2;RALGDS;BCL2L1
Small cell lung cancer	3/92	0.0217134717187425	0.648744417906738	3	0.0326086956521739	ITGA2B;E2F2;BCL2L1
Hematopoietic cell lineage	3/99	0.0262592072031373	0.648744417906738	3	0.0303030303030303	GP9;ITGA2B;CD7
Ether lipid metabolism	2/49	0.0398626239122771	0.648744417906738	2	0.0408163265306122	TMEM86B;PAFAH1B3
Epstein-Barr virus infection	4/202	0.0419757646104988	0.648744417906738	4	0.0198019801980198	MAP2K3;IRF3;E2F2;RUNX3
Human immunodeficiency virus 1 infection	4/212	0.048601035428512	0.648744417906738	4	0.0188679245283019	MAP2K3;AP1G2;IRF3;BCL2L1
Autophagy	3/137	0.0589867453490496	0.648744417906738	3	0.0218978102189781	LAMP1;ATG9A;BCL2L1
Mitophagy	2/68	0.0714007901878282	0.648744417906738	2	0.0294117647058824	ATG9A;BCL2L1
Hepatitis C	3/157	0.0813163727040288	0.648744417906738	3	0.0191082802547771	IRF3;CD81;E2F2
Chronic myeloid leukemia	2/76	0.086452838827906	0.648744417906738	2	0.0263157894736842	E2F2;BCL2L1
Hepatitis B	3/162	0.0873959610710741	0.648744417906738	3	0.0185185185185185	MAP2K3;IRF3;E2F2
Bacterial invasion of epithelial cells	2/77	0.0883967429786172	0.648744417906738	2	0.025974025974026	RHOG;WASF2
Other glycan degradation	1/18	0.109992471417983	0.648744417906738	1	0.0555555555555556	MAN2C1
ECM-receptor interaction	2/88	0.110586435397123	0.648744417906738	2	0.0227272727272727	GP9;ITGA2B
NOD-like receptor signaling pathway	3/181	0.112146854979386	0.648744417906738	3	0.0165745856353591	PSTPIP1;IRF3;BCL2L1
PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	0.112670961527431	0.648744417906738	2	0.0224719101123595	MAP2K3;ZAP70
Th1 and Th2 cell differentiation	2/92	0.118985122799304	0.648744417906738	2	0.0217391304347826	ZAP70;RUNX3
