Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome Biogenesis (GO:0042254)	9/161	7.30455556158382e-07	0.000256061249611034	9	0.0559006211180124	EXOSC7;RPS14;EBNA1BP2;RPS6;NOL7;MPHOSPH10;ZNF622;SDAD1;RPS12
Ribonucleoprotein Complex Biogenesis (GO:0022613)	8/120	8.18087059460171e-07	0.000256061249611034	8	0.0666666666666667	RPS14;EBNA1BP2;RPS6;NOL7;MPHOSPH10;ZNF622;SDAD1;RPS12
Translation (GO:0006412)	10/232	1.86918828645838e-06	0.00039003728910765	10	0.0431034482758621	MRPS17;RPS14;MRPS9;RPS6;RPL22;MRPL39;RPL10A;MRPL35;MRPL21;RPS12
Gene Expression (GO:0010467)	11/381	2.5655240713623e-05	0.00328397225413278	11	0.0288713910761155	MRPS17;EXOSC7;RPS14;BOLA3;RPS6;RPL22;MPHOSPH10;RPL10A;PWP1;MRPL35;RPS12
Mitochondrial Translation (GO:0032543)	6/94	2.62298103365238e-05	0.00328397225413278	6	0.0638297872340425	MRPS17;MRPS9;MRPL39;MTIF2;MRPL35;MRPL21
Cytoplasmic Translation (GO:0002181)	6/101	3.9411925173194e-05	0.00411197752640324	6	0.0594059405940594	RPS14;EIF3M;RPL22;RPS6;RPL10A;RPS12
rRNA Processing (GO:0006364)	6/110	6.36557393980945e-05	0.00569264183760102	6	0.0545454545454545	EXOSC7;RPS14;EBNA1BP2;RPS6;NOL7;MPHOSPH10
Macromolecule Biosynthetic Process (GO:0009059)	7/189	0.000178688279326863	0.0129688006974494	7	0.037037037037037	MRPS17;RPS14;RPS6;RPL22;RPL10A;MRPL35;RPS12
Ribosomal Small Subunit Biogenesis (GO:0042274)	5/85	0.000186452406193361	0.0129688006974494	5	0.0588235294117647	RPS14;RPS6;NOL7;MPHOSPH10;RPS12
COPII Vesicle Coating (GO:0048208)	3/21	0.000285116667880405	0.0162257303721031	3	0.142857142857143	TRAPPC2L;SAR1A;TRAPPC4
Vesicle Targeting, Rough ER to cis-Golgi (GO:0048207)	3/21	0.000285116667880405	0.0162257303721031	3	0.142857142857143	TRAPPC2L;SAR1A;TRAPPC4
Protein Histidyl Modification to Diphthamide (GO:0017183)	2/5	0.000376676288753193	0.0191400950109383	2	0.4	DPH3;DPH5
Mitochondrial Gene Expression (GO:0140053)	5/100	0.000397478011409262	0.0191400950109383	5	0.05	MRPS17;MRPS9;MRPL39;MRPL35;MRPL21
Peptidyl-Histidine Modification (GO:0018202)	2/6	0.000562721356492043	0.0251616835117156	2	0.333333333333333	DPH3;DPH5
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	6/171	0.00069520542811026	0.0290132398664682	6	0.0350877192982456	PNN;BUD31;PPWD1;GEMIN6;SNRPA1;PPIL3
Vesicle Coating (GO:0006901)	3/30	0.000835654521880821	0.0326949831685871	3	0.1	TRAPPC2L;SAR1A;TRAPPC4
Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)	3/34	0.00120962982863973	0.0445428395722629	3	0.0882352941176471	NDUFA9;NDUFS3;NDUFV2
