Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Crohn Disease	34/912	1.55693993795121e-09	4.75956539031685e-06	34	0.037280701754386	SLC22A4;MTMR3;RGS14;CXCR4;FPR2;CTSS;PANX2;SBNO2;ALOX5;TAGAP;EP300;STAT6;TNFRSF14;CD14;ZNF148;STAT5B;CD163;APAF1;CARD8;CYP4F3;STAT3;DEF8;MMP9;F5;TNFRSF1A;NFKBIA;PTPRC;SELL;SLC9A8;TLR8;VIM;TLR5;HSPA1B;CPEB4
Lupus Erythematosus, Systemic	34/1113	2.04085650330948e-07	0.000250040230639359	34	0.0305480682839173	SLC22A4;CEBPB;MTMR3;FPR1;CXCR4;ADAR;LILRA2;TNFSF13B;FCGRT;EP300;TNFRSF14;CD14;TRIM21;LYN;CD163;SYK;HSPA1L;STAT2;PRKCD;STAT3;MMP9;F5;TNFRSF1A;NFKBIA;PTPRC;SELL;SP1;IRF7;TLR8;TRIM38;TLR5;RBM23;HSPA1B;IRF9
Infection	21/492	2.96825563170277e-07	0.000250040230639359	21	0.0426829268292683	CEBPB;SYK;STAT3;CXCR4;ADAR;PILRA;MMP9;IGF2R;TNFSF13B;TNFRSF1A;NFKBIA;PTPRC;SELL;SP1;ALOX5;IRF7;STAT6;TNFRSF14;CD14;VIM;TLR5
Arthritis	24/630	3.27170730309923e-07	0.000250040230639359	24	0.0380952380952381	SLC22A4;CEBPB;SYK;CARD8;STAT3;RHBDF2;CXCR4;FPR2;MMP9;THBS1;UNC13D;LTB4R;TNFSF13B;TNFRSF1A;SELL;FCGRT;ALOX5;TLR8;STAT6;TNFRSF14;VIM;TLR5;TRIM21;SLC16A3
Classical Hodgkin's Lymphoma	12/166	5.38850361184296e-07	0.000329453110828079	12	0.072289156626506	NFKBIA;STAT5B;PTPN1;CD163;PTPRC;SYK;CEBPD;DUSP1;STAT3;TNFRSF14;KLHDC8B;STAT6
Ulcerative Colitis	29/915	8.44947076442984e-07	0.0004305005354477	29	0.0316939890710383	SLC22A4;RGS14;CXCR4;FPR2;TNFSF13B;PANX2;SBNO2;TOM1;STAT6;TNFRSF14;CD14;LYN;CD163;HSPA1L;DUSP1;CARD8;STAT3;CFLAR;PGD;MMP9;F5;TNFRSF1A;NFKBIA;VCAN;PTPRC;SELL;SLC9A8;TLR5;HSPA1B
Aortic Aneurysm, Abdominal	15/288	1.39581705453663e-06	0.000609573247959783	15	0.0520833333333333	STAT5B;CARD8;STAT3;CXCR4;MMP9;THBS1;CTSS;LTB4R;VCAN;PTPRC;SELL;FCGRT;ALOX5;EP300;CD14
Sepsis	20/529	3.68944217060605e-06	0.00140982808944283	20	0.0378071833648393	FCN1;CD163;DUSP1;STAT3;CXCR4;ADAR;FPR2;AOAH;MMP9;LTB4R;F5;TNFRSF1A;HSH2D;SELL;CRISPLD2;ALOX5;TAGAP;TLR8;CD14;TLR5
Anoxia	14/288	6.98248430236337e-06	0.00237171716803609	14	0.0486111111111111	STAT5B;PFKFB4;SYK;DUSP1;PRKCD;STAT3;CXCR4;CFLAR;MMP9;THBS1;SP1;DDIT4;TKT;HSPA1B
Aortic aneurysm without mention of rupture NOS	6/42	8.24268077655921e-06	0.00251978751339415	6	0.142857142857143	ALOX5;STAT3;THBS1;MMP9;LTB4R;CTSS
