Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Growth Hormone Receptor Signaling Pathway via JAK-STAT (GO:0060397)	5/10	4.73155391037812e-08	6.83236384658601e-05	5	0.5	LYN;PTPN1;STAT5B;STAT3;STAT6
Negative Regulation of Inflammatory Response (GO:0050728)	10/121	1.43674263485378e-06	0.00103732818236443	10	0.0826446280991736	LYN;NLRP12;SYK;ALOX5;PRKCD;RHBDF2;STAT3;FPR2;AOAH;TNFRSF1A
Growth Hormone Receptor Signaling Pathway (GO:0060396)	5/21	3.44403205189194e-06	0.00165772742764399	5	0.238095238095238	LYN;PTPN1;STAT5B;STAT3;STAT6
Regulation of Interleukin-8 Production (GO:0032677)	8/83	5.25355783715693e-06	0.00189653437921365	8	0.0963855421686747	FCN1;PTPRC;SYK;STAT3;TLR8;TLR5;LILRA2;HSPA1B
Positive Regulation of Interleukin-8 Production (GO:0032757)	7/63	7.99398390853693e-06	0.00230866255278546	7	0.111111111111111	FCN1;SYK;STAT3;TLR8;TLR5;LILRA2;HSPA1B
Pattern Recognition Receptor Signaling Pathway (GO:0002221)	7/65	9.86407944157708e-06	0.00237395511893955	7	0.107692307692308	FCN1;SYK;IRF7;TRIM25;TLR8;TLR5;CTSS
Negative Regulation of Response to External Stimulus (GO:0032102)	10/154	1.25078334761842e-05	0.00258018736280142	10	0.0649350649350649	NLRP12;ALOX5;CARD8;PRKCD;STAT3;FPR2;AOAH;LILRA2;TRIM21;TNFRSF1A
Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	13/270	1.65017213355715e-05	0.00297856070107065	13	0.0481481481481481	SLC44A2;CARD8;STAT3;CFLAR;TNFRSF1A;NFKBIA;AKAP13;NLRP12;FLOT1;TRIM25;TLR8;RBCK1;TRIM38
Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220)	5/31	2.61730066616216e-05	0.00419931351326461	5	0.161290322580645	FCN1;LYN;SYK;EP300;LILRA2
Regulation of Leukocyte Degranulation (GO:0043300)	3/6	2.9646571054401e-05	0.0042809648602555	3	0.5	LYN;SYK;UNC13D
Cell Surface Receptor Signaling Pathway via STAT (GO:0097696)	6/55	4.01951294954651e-05	0.00527652427195015	6	0.109090909090909	STAT5B;LEPROT;STAT2;STAT3;STAT6;TNFRSF1A
Inflammatory Response (GO:0006954)	12/261	5.46881771758498e-05	0.00658081065349393	12	0.0459770114942529	ZBP1;CEBPB;CARD8;STAT3;FPR1;CXCR4;FPR2;TLR5;TRIM21;THBS1;LTB4R;TNFRSF1A
Regulation of Myeloid Leukocyte Mediated Immunity (GO:0002886)	3/8	8.16001858353222e-05	0.00849221299401967	3	0.375	LYN;SYK;UNC13D
Negative Regulation of Defense Response (GO:0031348)	8/121	8.2334475011271e-05	0.00849221299401967	8	0.0661157024793388	NLRP12;ALOX5;PRKCD;STAT3;FPR2;AOAH;TRIM21;TNFRSF1A
Defense Response to Virus (GO:0051607)	10/198	0.000106300412767106	0.0102331864023801	10	0.0505050505050505	ZBP1;PTPRC;CARD8;STAT2;DDIT4;IFI6;IRF7;TRIM25;TLR8;TRIM21
Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	4/23	0.000129194674249323	0.0115411528563699	4	0.173913043478261	LYN;FPR1;FPR2;LILRA2
Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	10/204	0.000135872298170559	0.0115411528563699	10	0.0490196078431373	AKAP13;SLC44A2;STAT3;FLOT1;TRIM25;TLR8;RBCK1;CFLAR;TRIM38;TNFRSF1A
Regulation of Inflammatory Response (GO:0050727)	11/249	0.000158682104759582	0.0127298310707131	11	0.0441767068273092	ZBP1;NFKBIA;NLRP12;SBNO2;ALOX5;PRKCD;STAT3;FPR2;AOAH;MMP9;TNFRSF1A
Cell Surface Receptor Signaling Pathway via JAK-STAT (GO:0007259)	5/47	0.000203336757174555	0.0154535935452662	5	0.106382978723404	STAT5B;STAT2;STAT3;STAT6;TNFRSF1A
Apoptotic Process (GO:0006915)	10/232	0.000382116468511936	0.0272208821446093	10	0.0431034482758621	ADAM15;APAF1;DAPK2;PRKCD;DDIT4;IFI6;CIDEB;CXCR4;EP300;CFLAR
Negative Regulation of Signal Transduction (GO:0009968)	11/277	0.000395871554734623	0.0272208821446093	11	0.0397111913357401	LYN;PTPRE;PTPN1;NLRP12;LEPROT;PTPRC;RGS14;CARD8;PRKCD;LILRA2;THBS1
