Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Measles	11/139	6.5705703563889e-07	0.000129440236020861	11	0.079136690647482	NFKBIA;STAT5B;APAF1;HSPA1L;STAT2;HSPA6;STAT3;IRF7;ADAR;IRF9;HSPA1B
Legionellosis	7/57	4.0510574912403e-06	0.000399029162887169	7	0.12280701754386	NFKBIA;APAF1;HSPA1L;HSPA6;CD14;TLR5;HSPA1B
Hepatitis B	10/162	1.94455608305269e-05	0.0012769251612046	10	0.0617283950617284	NFKBIA;STAT5B;APAF1;STAT2;STAT3;IRF7;EP300;STAT6;MMP9;CREB5
NF-kappa B signaling pathway	8/104	2.78750621335098e-05	0.00137284681007536	8	0.0769230769230769	LYN;NFKBIA;SYK;TRIM25;CD14;CFLAR;TNFSF13B;TNFRSF1A
Lipid and atherosclerosis	11/215	4.28495332618105e-05	0.00168827161051533	11	0.0511627906976744	LYN;NFKBIA;HSPA1L;APAF1;STAT3;HSPA6;IRF7;CD14;MMP9;HSPA1B;TNFRSF1A
Kaposi sarcoma-associated herpesvirus infection	10/193	8.6006482941243e-05	0.00279501222520472	10	0.0518134715025907	LYN;NFKBIA;SYK;STAT2;STAT3;IRF7;EP300;HLA-F;IRF9;TNFRSF1A
Necroptosis	9/159	9.931515521032e-05	0.00279501222520472	9	0.0566037735849057	ZBP1;STAT5B;STAT2;STAT3;STAT6;RBCK1;CFLAR;IRF9;TNFRSF1A
Epstein-Barr virus infection	10/202	0.000125327513899469	0.00285671806508243	10	0.0495049504950495	LYN;NFKBIA;SYK;APAF1;STAT2;STAT3;IRF7;VIM;HLA-F;IRF9
Viral carcinogenesis	10/203	0.000130509962364172	0.00285671806508243	10	0.0492610837438424	LYN;NFKBIA;STAT5B;SYK;STAT3;IRF7;EP300;HLA-F;IRF9;CREB5
Influenza A	9/172	0.000180227543391449	0.00355048260481155	9	0.0523255813953488	NFKBIA;APAF1;STAT2;IRF7;EP300;TRIM25;ADAR;IRF9;TNFRSF1A
Antigen processing and presentation	6/78	0.000285631550667512	0.00511540140740908	6	0.0769230769230769	HSPA1L;HSPA6;HLA-F;CTSS;KIR2DL4;HSPA1B
Toxoplasmosis	7/112	0.00032460210206034	0.00532888450882392	7	0.0625	NFKBIA;HSPA1L;ALOX5;HSPA6;STAT3;HSPA1B;TNFRSF1A
Hepatitis C	8/157	0.000490457190303796	0.00743231280691137	8	0.0509554140127389	NFKBIA;APAF1;STAT2;STAT3;IRF7;CFLAR;IRF9;TNFRSF1A
Estrogen signaling pathway	7/137	0.0010813523094592	0.0152161717831044	7	0.0510948905109489	HSPA1L;SP1;PRKCD;HSPA6;MMP9;HSPA1B;CREB5
Tuberculosis	8/180	0.00119635259000324	0.0152611288717763	8	0.0444444444444444	ATP6V0B;CEBPB;APAF1;SYK;EP300;CD14;CTSS;TNFRSF1A
NOD-like receptor signaling pathway	8/181	0.00123948254796153	0.0152611288717763	8	0.0441988950276243	NFKBIA;NLRP12;CARD8;STAT2;PRKCD;IRF7;RBCK1;IRF9
Insulin resistance	6/108	0.00159823030539452	0.0185206688331012	6	0.0555555555555556	NFKBIA;PTPN1;PRKCD;STAT3;TNFRSF1A;CREB5
TNF signaling pathway	6/112	0.00192359906404854	0.0210527230898645	6	0.0535714285714286	NFKBIA;CEBPB;CFLAR;MMP9;TNFRSF1A;CREB5
Osteoclast differentiation	6/127	0.00360492206441395	0.0373773498257657	6	0.047244094488189	NFKBIA;SYK;STAT2;LILRA2;IRF9;TNFRSF1A
Human cytomegalovirus infection	8/225	0.00474520181720823	0.0460182909485991	8	0.0355555555555556	NFKBIA;AKAP13;SP1;STAT3;CXCR4;HLA-F;TNFRSF1A;CREB5
Pentose phosphate pathway	3/30	0.00490550309604355	0.0460182909485991	3	0.1	TALDO1;PGD;TKT
