Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Abnormality of the genital system	12/24	6.96984969919826e-14	1.09287243283429e-10	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Abnormality of the reproductive system	12/24	6.96984969919826e-14	1.09287243283429e-10	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Aase Smith syndrome 2	11/20	1.96416243562306e-13	2.05320446603797e-10	11	0.55	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;RPL27;RPL26;RPS10;RPS24
Abnormality of the urinary system	11/34	2.46620083387982e-10	1.93350145376178e-07	11	0.323529411764706	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Hand deformities	12/47	8.14051713593239e-10	5.10573234765679e-07	12	0.25531914893617	RPL5;RPS17;RPS27;ZNHIT3;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Anemia, Macrocytic	11/41	2.33863940675993e-09	1.22232886326652e-06	11	0.268292682926829	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Pallor	11/57	9.64582765167526e-08	3.93138531436168e-05	11	0.192982456140351	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Anemia, Diamond-Blackfan	12/70	1.002904416929e-07	3.93138531436168e-05	12	0.171428571428571	RPL5;RPS17;RPS27;RPL31;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Mitochondrial Diseases	26/384	2.4549014084891e-06	0.000855396757446869	26	0.0677083333333333	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;HSPD1;NFU1;MRPL3;NDUFA8;NDUFA4;MRPS22;NDUFA1;COX6C;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;TMEM126A;NDUFAF2;UQCRC2;TMEM126B
Abnormal heart beat	12/100	5.15178836780895e-06	0.00146872802922263	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
ECG abnormality	12/100	5.15178836780895e-06	0.00146872802922263	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Cardiac conduction abnormality	12/102	6.34403812470524e-06	0.00165790862992297	12	0.117647058823529	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Electrocardiogram abnormal	12/103	7.02623698011181e-06	0.00169494455151005	12	0.116504854368932	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Electrocardiographic changes	12/104	7.77196245770972e-06	0.00174091959052698	12	0.115384615384615	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Radial club hand	9/59	1.09705373516892e-05	0.00229357367565982	9	0.152542372881356	RPL5;RPS17;RPS29;RPL11;PTEN;RPL35A;RPL26;RPS10;RPS24
Intermittent migraine headaches	11/95	1.7926219151781e-05	0.00351353895374908	11	0.115789473684211	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Progressive macrocephaly	6/25	2.27797699744638e-05	0.00420219756705403	6	0.24	NDUFB3;NDUFS4;PTEN;NDUFA1;NDUFAF2;TMEM126B
Delayed Puberty	12/130	7.37212848546987e-05	0.0128438860724631	12	0.0923076923076923	RPL5;RPS17;RPS27;VAMP7;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Cardiac Arrhythmia	12/132	8.54881025265578e-05	0.0141100362906992	12	0.0909090909090909	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Acute necrotizing encephalopathy	5/22	0.000149337592405503	0.0234161344891828	5	0.227272727272727	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;TMEM126B
