Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Translation (GO:0006412)	50/232	3.93929942166939e-33	6.15712499606925e-30	50	0.21551724137931	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL6;MRPL32;RPL7;MRPL33;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS22;MRPS21;RPS3A;MRPS18C;EEF1A1;MRPL50;MRPL51;RPL27;RPL26;MRPS33;RPL12;RPL11;MRPS31;MRPL17;RPS27A;ZC3H15;RWDD1;RPL41;RPL35A;RPS25;RPS27;COPS5;RPS29;NACA;RPS20;ABCE1;RPS24;RPL26L1
Cytoplasmic Translation (GO:0002181)	34/101	6.06074157365881e-30	4.73646953981436e-27	34	0.336633663366337	EIF4A2;RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;RPS4X;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPS13;ZC3H15;RWDD1;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL27;RPS20;RPL26;RPS24;RPL26L1
Macromolecule Biosynthetic Process (GO:0009059)	43/189	1.20511705994679e-29	6.27865988232275e-27	43	0.227513227513228	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;KPNA4;RPS27A;RPL39;RPS10;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;EEF1A1;RPS25;COPS5;RPS27;MRPL51;NACA;RPS29;PTRH2;RPL27;RPS20;RPL26;RPS24
Gene Expression (GO:0010467)	49/381	6.40247250766264e-22	2.50176613236918e-19	49	0.128608923884514	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;CISD1;MRPL36;RPL6;MRPL32;RPL7;NFU1;RPS4X;MRPL3;RPS17;RPS18;CASP4;CASP1;RPL35;KPNA4;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS21;RPS3A;THOC7;MRPS18C;EEF1A1;MRPL51;RPL27;RPL26;MRPS33;RPL12;RPL11;HSPD1;NUP88;RPS27A;RPL41;GZMA;RPL35A;RPS25;RPS27;COPS5;RPS29;NACA;RPS20;RPS24
Aerobic Electron Transport Chain (GO:0019646)	19/64	4.08585298888677e-16	1.277237644326e-13	19	0.296875	NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	19/65	5.6465209605127e-16	1.47091871021356e-13	19	0.292307692307692	NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Cellular Respiration (GO:0045333)	21/85	7.14051396999155e-16	1.59437476215668e-13	21	0.247058823529412	NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;ETFA;COX7A2;COX6A1;COX6C;COX7C;UQCRH;BLOC1S1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Protein Metabolic Process (GO:0019538)	52/614	3.08461402232372e-15	6.02656464611497e-13	52	0.0846905537459283	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;CISD1;MRPL36;UBE3A;RPL6;MRPL32;RPL7;NFU1;RPS4X;PCMT1;UBL5;MRPL3;RPS17;RPS18;CASP4;CASP1;RPL35;RPL39;RPS10;B2M;RPS13;RPL21;RPL23;MRPS21;RPS3A;UCHL3;MRPS18C;EEF1A1;MRPL51;RPL27;RPL26;RPL12;MRPS33;RPL11;HSPD1;RPS27A;SLC35A1;RPL41;GZMA;RPL35A;RPS25;COPS5;RPS27;NACA;RPS29;RPS20;RPS24
Ribosome Biogenesis (GO:0042254)	22/161	5.01178932471433e-11	8.70380746058722e-09	22	0.136645962732919	RPL5;UTP6;NGDN;RPL11;WDR75;RPL35A;RPS3A;RPL7;RPS4X;RPS25;RPS17;EMG1;RPS27;METTL5;RPL27;RIOK2;RPL26;RPS27A;RPS13;RPS24;RPL26L1;EIF2A
Ribonucleoprotein Complex Biogenesis (GO:0022613)	19/120	7.87188634139442e-11	1.23037583515995e-08	19	0.158333333333333	RPL5;UTP6;NGDN;RPL11;WDR75;RPL35A;RPS3A;RPL7;RPS4X;RPS25;RPS17;EMG1;RPS27;RIOK2;RPL26;RPS27A;RPS13;RPS24;RPL26L1
Aerobic Respiration (GO:0009060)	14/81	7.70014800134392e-09	1.0941210296455e-06	14	0.172839506172839	NDUFA8;NDUFB6;UQCRB;MDH1;NDUFB5;NDUFB3;NDUFB2;NDUFA1;UQCRH;BLOC1S1;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Ribosomal Small Subunit Biogenesis (GO:0042274)	14/85	1.46946259216683e-08	1.91397502629729e-06	14	0.164705882352941	UTP6;NGDN;WDR75;RPS27L;RPS3A;RPS4X;RPS25;RPS17;EMG1;RPS27;RIOK2;RPS27A;RPS13;RPS24
Oxidative Phosphorylation (GO:0006119)	12/60	1.64094966662956e-08	1.97292640687846e-06	12	0.2	NDUFA8;NDUFB6;UQCRB;NDUFB5;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;NDUFB2;NDUFA1;UQCRC2;UQCRH
Energy Derivation by Oxidation of Organic Compounds (GO:0015980)	10/40	2.66912156235709e-08	2.97988357283152e-06	10	0.25	COX7B;UQCRB;NDUFA4;UQCRQ;COX7A2;UQCRC2;COX6A1;COX6C;COX7C;UQCRH
Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)	9/34	7.81296083875573e-08	8.14110519398347e-06	9	0.264705882352941	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFB3;NDUFAB1;NDUFS4;NDUFB2
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	18/171	1.77654806026922e-07	1.73546538637549e-05	18	0.105263157894737	HSPA8;WBP4;CWF19L2;C9ORF78;CWC15;PLRG1;LSM5;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;FRG1;SNRPG;SNRPB2;SNRPF;SLU7
mRNA Splicing, via Spliceosome (GO:0000398)	20/211	2.0964865077556e-07	1.92753435977765e-05	20	0.0947867298578199	HSPA8;DDX1;WBP4;CWF19L2;C9ORF78;CWC15;PLRG1;LSM5;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;CLNS1A;FRG1;SNRPG;SNRPB2;SNRPF;SLU7
Mitochondrial Electron Transport, Cytochrome C to Oxygen (GO:0006123)	6/13	2.82310782832934e-07	2.45139863093264e-05	6	0.461538461538462	COX7B;NDUFA4;COX7A2;COX6A1;COX6C;COX7C
Mitochondrial Translation (GO:0032543)	13/94	4.01130978027268e-07	3.29983009819274e-05	13	0.138297872340426	MRPS22;MRPS33;MRPS31;MRPS21;MRPL17;MRPL36;MTIF3;MRPL32;MRPL33;MRPS18C;MRPL3;MRPL50;MRPL51
rRNA Processing (GO:0006364)	13/110	2.48866841635455e-06	0.000186449950317907	13	0.118181818181818	RPL5;RPL11;RPL35A;RPL7;RPS25;RPS17;EMG1;RPS27;METTL5;RPL27;RIOK2;RPL26;RPS24
RNA Processing (GO:0006396)	22/291	2.50508570484712e-06	0.000186449950317907	22	0.0756013745704467	RPL5;SSB;RPL11;WBP4;LSM1;RPL35A;LSM5;LSM3;RPL7;RPS25;RPS17;EMG1;RPS27;SNRPD2;SNRPG;METTL5;RPL27;RPL26;PPIG;SNRPF;SLU7;RPS24
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	9/52	3.72928807638414e-06	0.000264948966517655	9	0.173076923076923	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;NDUFB2;NDUFA1
rRNA Metabolic Process (GO:0016072)	12/98	4.16112522126274e-06	0.000282775596557985	12	0.122448979591837	RPL5;RPS25;RPS17;EMG1;RPS27;RPL11;METTL5;RPL35A;RPL27;RPL26;RPS24;RPL7
Mitochondrial Gene Expression (GO:0140053)	12/100	5.15178836780895e-06	0.000335510217453558	12	0.12	MRPL3;MRPL50;MRPL51;MRPS22;MRPS33;MRPS31;MRPL17;MRPS21;MRPL36;MRPL32;MRPS18C;MRPL33
mRNA Processing (GO:0006397)	18/226	1.00427347680339e-05	0.00062787177769748	18	0.079646017699115	HSPA8;WBP4;CWF19L2;C9ORF78;CWC15;PLRG1;LSM5;LSM3;UBL5;LSM7;SNRPD2;ZMAT2;SYF2;FRG1;SNRPG;SNRPB2;SNRPF;SLU7
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	9/59	1.09705373516892e-05	0.00065949807233424	9	0.152542372881356	NDUFA8;NDUFB6;NDUFB5;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;NDUFB2;NDUFA1
NADH Dehydrogenase Complex Assembly (GO:0010257)	7/35	1.69357673192943e-05	0.000945378725716322	7	0.2	NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFAF2;TMEM126A;TMEM126B
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	7/35	1.69357673192943e-05	0.000945378725716322	7	0.2	NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFAF2;TMEM126A;TMEM126B
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	10/90	6.14445778378267e-05	0.00331165086760425	10	0.111111111111111	NDUFS5;NDUFS4;COX17;NDUFB3;TMEM126A;NDUFB2;NDUFAF2;COX7A2;TMEM126B;HIGD1A
Mitochondrial Electron Transport, Ubiquinol to Cytochrome C (GO:0006122)	4/11	9.60975135273358e-05	0.0050066804547742	4	0.363636363636364	UQCRB;UQCRQ;UQCRC2;UQCRH
7-Methylguanosine Cap Hypermethylation (GO:0036261)	3/6	0.000263531701899598	0.0128718765646585	3	0.5	SNRPD2;SNRPG;SNRPF
RNA Capping (GO:0036260)	3/6	0.000263531701899598	0.0128718765646585	3	0.5	SNRPD2;SNRPG;SNRPF
protein-RNA Complex Assembly (GO:0022618)	11/138	0.000523548757495658	0.024797172968658	11	0.0797101449275362	RPL5;HSP90AA1;RPS27;SNRPD2;CLNS1A;DDX1;RPL11;SNRPG;RPS27L;EIF3E;SNRPF
Response to Unfolded Protein (GO:0006986)	6/44	0.000616547670913995	0.0275890681688955	6	0.136363636363636	DNAJA1;HSPA8;HSP90AA1;HSPH1;HSPE1;HSPD1
Regulation of Ubiquitin Protein Ligase Activity (GO:1904666)	4/17	0.000617797431805082	0.0275890681688955	4	0.235294117647059	RPL5;RPL23;RPL11;PTEN
Negative Regulation of Ubiquitin Protein Ligase Activity (GO:1904667)	3/8	0.000711727430121101	0.0309008325910911	3	0.375	RPL5;RPL23;RPL11
Regulation of Transport (GO:0051049)	6/46	0.000785599694214957	0.0331862789745399	6	0.130434782608696	DNAJA1;SCFD1;REEP5;TRAT1;ARL6IP5;RAB11A
Ribosomal Large Subunit Biogenesis (GO:0042273)	6/47	0.000882502661226671	0.0362987278815076	6	0.127659574468085	RPL5;RPL11;RPL35A;RPL26;RPL26L1;RPL7
Regulation of Protein Neddylation (GO:2000434)	4/19	0.000968420351228892	0.0388113079223271	4	0.210526315789474	COPS4;RPL5;COPS5;RPL11
Protein Neddylation (GO:0045116)	4/20	0.00118765348291603	0.046407559844944	4	0.2	COPS4;COPS5;NAE1;RBX1
