Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome	43/158	3.4633030644313e-33	7.41146855788299e-31	43	0.272151898734177	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;MRPL17;RPS27L;MRPL36;RPL6;MRPL32;RPL7;MRPL33;RPS4X;MRPL3;RPS17;RPL36AL;RPS18;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;MRPL22;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24;RPL26L1
Coronavirus disease	37/232	5.43445786268913e-20	5.81486991307736e-18	37	0.15948275862069	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPS27L;RPL6;RPL7;RPS4X;RPS17;TBK1;RPL36AL;RPS18;CASP1;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24;RPL26L1
Oxidative phosphorylation	24/133	1.22292121904674e-14	8.72350469586675e-13	24	0.180451127819549	NDUFA8;ATP6V1G1;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFA4;COX17;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;PPA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2;ATP6V1E1;ATP6V1D
Parkinson disease	30/249	4.26261190157241e-13	2.28049736734124e-11	30	0.120481927710843	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;TXN;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;RPS27A;NDUFA8;NDUFA4;NDUFA1;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2
Amyotrophic lateral sclerosis	35/364	3.67494322629009e-12	1.57287570085216e-10	35	0.0961538461538462	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;TBK1;RB1CC1;PSMB1;CASP1;NUP88;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;MATR3;UQCRC2;ACTR10;NUP37
Prion disease	30/273	4.6650383215895e-12	1.66386366803359e-10	30	0.10989010989011	COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;PSMB1;HSPA8;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2
Huntington disease	31/306	1.71007062494619e-11	5.22793019626406e-10	31	0.101307189542484	COX7B;HDAC2;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;RB1CC1;PSMB1;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;ACTR10
Diabetic cardiomyopathy	22/203	4.45592426312316e-09	1.19195974038545e-07	22	0.108374384236453	NDUFA8;COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFA4;NDUFB3;PTEN;NDUFB2;NDUFA1;COX7A2;COX6C;COX6A1;COX7C;UQCRH;PPP1CC;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;UQCRC2
Non-alcoholic fatty liver disease	19/155	6.67217769228524e-09	1.54484437729374e-07	19	0.12258064516129	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Alzheimer disease	30/369	7.21889895931652e-09	1.54484437729374e-07	30	0.0813008130081301	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;RB1CC1;PSMB1;NAE1;NDUFA8;NDUFA4;NDUFA1;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2
Pathways of neurodegeneration	33/475	5.88648246024231e-08	1.14518840590169e-06	33	0.0694736842105263	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;TBK1;RB1CC1;PSMB1;RPS27A;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;PSMC2;NDUFAB1;NDUFS4;UQCRC2;CALM2;ACTR10
Thermogenesis	21/232	2.27536403479113e-07	4.05773252871085e-06	21	0.0905172413793103	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFA4;COX17;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6C;COX6A1;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;NDUFAF2;UQCRC2
Proteasome	9/46	1.26944640787692e-06	2.08970408681278e-05	9	0.195652173913043	PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;POMP;PSMB1;PSMC2
Spliceosome	15/150	3.57580972109201e-06	5.46588057366921e-05	15	0.1	HSPA8;RBM25;CWC15;PLRG1;LSM5;LSM3;LSM7;SNRPD2;ZMAT2;SYF2;MAGOH;SNRPG;SNRPB2;SNRPF;SLU7
Protein export	5/23	0.00018706301038011	0.00266876561475623	5	0.217391304347826	SRP19;SRP14;SEC11A;SRP9;SEC11C
Cardiac muscle contraction	9/87	0.000247017326103471	0.00330385673663392	9	0.103448275862069	COX7B;UQCRB;UQCRQ;COX7A2;UQCRC2;COX6A1;COX6C;COX7C;UQCRH
Nucleotide excision repair	6/47	0.000882502661226671	0.0111091511472063	6	0.127659574468085	POLE4;CETN2;RPA3;RPA2;GTF2H5;RBX1
Retrograde endocannabinoid signaling	11/148	0.000938568745203515	0.0111585395263085	11	0.0743243243243243	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFS4;NDUFB3;NDUFAB1;NDUFB2;NDUFA1;GNG11
Spinocerebellar ataxia	10/143	0.00248140709278219	0.0279484798871257	10	0.0699300699300699	PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;GTF2B;RB1CC1;PSMB1;PSMC2
RNA degradation	7/79	0.00294130183610922	0.0314719296463686	7	0.0886075949367089	ZCCHC7;LSM7;LSM1;WDR61;LSM5;LSM3;HSPD1
