Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosome	11/128	6.0321207130188e-07	0.000133913079829017	11	0.0859375	ATP6AP1;SLC11A1;GAA;GBA;TPP1;TCIRG1;ATP6V0D1;GNS;CTSD;ATP6V0A1;CTSB
Regulation of actin cytoskeleton	12/218	1.95863695431494e-05	0.00217408701928959	12	0.055045871559633	FGD3;ITGAM;ACTN1;ITGB2;ITGAX;PIK3CD;MYH9;ITGB7;ACTN4;ITGA5;ITGAL;SLC9A1
Platelet activation	8/124	0.000163980902842807	0.0121345868103677	8	0.0645161290322581	APBB1IP;PLA2G4B;P2RX1;TBXAS1;PIK3CD;ITPR3;TLN1;PLCB2
Shigellosis	11/246	0.000273443583950725	0.0151761189092653	11	0.0447154471544715	RNF31;HK3;ACTN1;PIK3CD;ITPR3;ACTN4;ARHGEF2;ITGA5;TLN1;FOXO3;PLCB2
Vibrio cholerae infection	5/50	0.000385458603661793	0.0171143620025836	5	0.1	SEC61A1;ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
Leukocyte transendothelial migration	7/114	0.000566070478487772	0.0205606382120329	7	0.0614035087719298	ITGAM;ACTN1;ITGB2;PIK3CD;ACTN4;ITGAL;SIPA1
Phagosome	8/152	0.000648308412091128	0.0205606382120329	8	0.0526315789473684	SEC61A1;ITGAM;ATP6AP1;ITGB2;TCIRG1;ITGA5;ATP6V0D1;ATP6V0A1
Rheumatoid arthritis	6/93	0.0010830288838357	0.0300540515264406	6	0.0645161290322581	ATP6AP1;ITGB2;TCIRG1;ITGAL;ATP6V0D1;ATP6V0A1
Rap1 signaling pathway	9/210	0.0013115917822218	0.0323525972948043	9	0.0428571428571429	APBB1IP;CSF1R;ITGAM;ITGB2;PIK3CD;TLN1;ITGAL;PLCB2;SIPA1
Insulin signaling pathway	7/137	0.00166344238582011	0.0351997679470864	7	0.0510948905109489	HK3;FASN;MKNK2;INPPL1;PIK3CD;FLOT2;PHKA2
Amoebiasis	6/102	0.0017441326460268	0.0351997679470864	6	0.0588235294117647	ITGAM;ACTN1;ITGB2;PIK3CD;ACTN4;PLCB2
Tuberculosis	8/180	0.00192043782722681	0.035528099803696	8	0.0444444444444444	ITGAM;ATP6AP1;ITGB2;ITGAX;TCIRG1;ATP6V0D1;CTSD;ATP6V0A1
