GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
CTSB		7.28117249234853e-05	0.0193955955243595	0.194563847871866	UP
ITGAL		1.19216675141838e-05	0.0103446046858082	0.178765511456273	UP
AP2M1		0.000296095289091851	0.0325446455299057	0.176274551813101	UP
PHF15		1.51897049238917e-05	0.0108167434705261	0.171736201961707	UP
SF3B2		8.9112093316233e-06	0.0100106297829123	0.166801693056515	UP
C11ORF2		0.000192520552355364	0.028398489155146	0.165841934595104	UP
CAPNS1		4.06303585127307e-05	0.0158662696680405	0.165109880829613	UP
GPI		0.000509515461275647	0.0387016266869024	0.164970402209033	UP
SUPT5H		0.000104232085182772	0.0228471646228676	0.164727046223438	UP
CSK		8.63852077319144e-06	0.0100106297829123	0.161393342178776	UP
DIAPH1		0.000262447057239376	0.0313758769508656	0.160194125215893	UP
PNPLA6		2.36498736762384e-05	0.0125024361604914	0.159197709017674	UP
STAG3L2		0.000377977920616221	0.0348709241086235	0.159064004715265	UP
GPSN2		0.000817943665723212	0.0471475055639972	0.155045099869106	UP
MAP2K2		0.000149722593609164	0.0267289287280999	0.154691602016118	UP
PIK3R2		0.000699505132012702	0.0450104006305357	0.15449527919678	UP
LOC730316		0.000164326999235506	0.0267728030444705	0.150814524332365	UP
EML3		9.80778257872621e-05	0.0228013637718687	0.150420083255693	UP
CHD4		0.000163852329980584	0.0267728030444705	0.149261145019933	UP
SPTAN1		0.000697978096724673	0.0450104006305357	0.149211085249432	UP
NCOR2		5.71140552752473e-06	0.00961837453217584	0.148319781367919	UP
SF3A2		0.000268665472922808	0.0314934339803123	0.148141901677157	UP
CLPTM1		0.000209923526441937	0.0287949941510234	0.147718822469127	UP
NDUFV1		1.22521324037139e-05	0.0103446046858082	0.147050813916012	UP
EIF3B		0.000197734405567984	0.028398489155146	0.146581278267345	UP
ICAM2		0.000419101608451961	0.0357575900806118	0.146341094243168	UP
CXXC1		5.5746968646917e-05	0.0179731711707379	0.145438110356649	UP
HS.374257		1.46574965520158e-06	0.00961837453217584	0.14504564568654	UP
TAPBP		0.000172093408667168	0.0273098498222203	0.143798230627407	UP
FEM1A		0.000906162060726662	0.0491128373006466	0.142676591306484	UP
ITPKB		5.01297751419989e-05	0.0167053317547749	0.142225179098737	UP
TRPV2		0.000144397216030171	0.0267289287280999	0.142156108107523	UP
PFKP		0.00030845186127776	0.0328295020878168	0.14204833653886	UP
PIP5K1C		0.000313498226715951	0.0328295020878168	0.139858674090911	UP
TBCD		7.17351171412989e-05	0.0193955955243595	0.139273805845024	UP
AATF		2.32377466982051e-05	0.0125024361604914	0.135876145702966	UP
HS.568928		0.000212730322181642	0.0287949941510234	0.135022388650308	UP
KPNA6		0.000679549067167269	0.0441963001505073	0.134253895479704	UP
DDX24		0.000189249822506167	0.028398489155146	0.134198107027327	UP
MXD4		0.00039924845012479	0.0351209684015692	0.133811870357636	UP
BRD3		0.000580474479884939	0.04094175744661	0.133587530340533	UP
