Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Influenza A	3/12	0.00071097950743802	0.744622235040239	3	0.25	IVNS1ABP;AIM2;PDIK1L
Cortical white matter abnormalities seen on MRI	4/29	0.000955127885660501	0.744622235040239	4	0.137931034482759	RRM2B;CHMP2B;TMEM106B;TMEM165
Hypergammaglobulinemia	4/30	0.00108887454066679	0.744622235040239	4	0.133333333333333	FAS;RNPC3;B2M;TNFSF13B
Neuroectodermal Tumors	4/34	0.0017560701568039	0.744622235040239	4	0.117647058823529	AIM2;XRCC5;TNFSF10;FAS
Leukoaraiosis	4/37	0.00241236167043645	0.744622235040239	4	0.108108108108108	RRM2B;CHMP2B;TMEM106B;TMEM165
Urogenital sinus anomaly	3/18	0.0024632179129386	0.744622235040239	3	0.166666666666667	MKKS;MAP3K1;VAMP7
Promyelocytic leukemia	10/233	0.00333067345072051	0.744622235040239	10	0.0429184549356223	NUP214;SRGN;PDIK1L;TNFSF10;TGFA;FAS;NBN;XPR1;NFE2L2;TNFSF13B
FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED	2/6	0.00338209429428079	0.744622235040239	2	0.333333333333333	CHMP2B;TMEM106B
Male Germ Cell Tumor	2/6	0.00338209429428079	0.744622235040239	2	0.333333333333333	FAS;DICER1
Benign neoplasm of prostate	2/6	0.00338209429428079	0.744622235040239	2	0.333333333333333	CKS2;FKBP5
Choanal Atresia	4/42	0.00385058882506795	0.744622235040239	4	0.0952380952380952	SMCHD1;USP9X;NBN;ZMPSTE24
MYELODYSPLASTIC SYNDROME	20/683	0.00458073149449116	0.744622235040239	20	0.0292825768667643	NUP214;PLK4;CDKN1B;SAMD9;XRCC5;DICER1;SMAD5;RAP1B;PPP3CA;STAG2;RRM2B;PDIK1L;TNFSF10;PGK1;FAS;CD48;CD69;XIST;TMED7;CD55
Small penis	2/8	0.00618624722431695	0.744622235040239	2	0.25	SMCHD1;SAMD9
Macular Holes	2/8	0.00618624722431695	0.744622235040239	2	0.25	TNFSF10;FAS
Dermal translucency	2/8	0.00618624722431695	0.744622235040239	2	0.25	PPP1CB;ZMPSTE24
Abnormality of the eyelashes	3/26	0.00716970838623964	0.744622235040239	3	0.115384615384615	PLK4;SMCHD1;FAS
Grammar-specific speech disorder	2/9	0.00787349207038626	0.744622235040239	2	0.222222222222222	CHMP2B;TMEM106B
Spoken Word Recognition Deficit	2/9	0.00787349207038626	0.744622235040239	2	0.222222222222222	CHMP2B;TMEM106B
Keratitis sicca	2/9	0.00787349207038626	0.744622235040239	2	0.222222222222222	B2M;ZMPSTE24
Hereditary Leiomyomatosis and Renal Cell Cancer	3/27	0.0079755516379206	0.744622235040239	3	0.111111111111111	CDKN1B;CLEC4D;NFE2L2
Low serum estradiol levels	3/28	0.00883261605573284	0.744622235040239	3	0.107142857142857	MAP3K1;VAMP7;ZMPSTE24
Social disinhibition	3/29	0.00974155965938599	0.744622235040239	3	0.103448275862069	LRRK2;CHMP2B;TMEM106B
Hereditary systemic amyloidosis	2/10	0.00974268412830316	0.744622235040239	2	0.2	USP9X;B2M
Temporal cortical atrophy	2/10	0.00974268412830316	0.744622235040239	2	0.2	CHMP2B;TMEM106B
Blunted affect	2/10	0.00974268412830316	0.744622235040239	2	0.2	CHMP2B;TMEM106B
EEG with continuous slow activity	2/10	0.00974268412830316	0.744622235040239	2	0.2	CHMP2B;TMEM106B
Hepatitis B	22/839	0.0105445491431947	0.744622235040239	22	0.0262216924910608	NUP214;PRKAA1;CDKN1B;DDX3X;GCA;XRCC5;GOLM1;TGFA;CLIP1;PDIK1L;TNFSF10;PAPOLA;RAB18;TMED2;FAS;PDSS1;CD58;TMED7;TMED5;XPR1;EIF4G2;NFE2L2
Albinism, Ocular	3/31	0.0117173757941081	0.744622235040239	3	0.0967741935483871	GNAI3;FNDC3A;LYST
HIV Encephalopathy	3/31	0.0117173757941081	0.744622235040239	3	0.0967741935483871	XRCC5;TMED2;ADAM10
Hyperorality	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	CHMP2B;TMEM106B
Xerophthalmia	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	B2M;ZMPSTE24
Alexia	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	CHMP2B;TMEM106B
Burn scar	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	FAS;S100A12
Difficulty making arithmetical calculations	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	CHMP2B;TMEM106B
Primary Progressive Nonfluent Aphasia	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	CHMP2B;TMEM106B
Pseudomonas Infections	2/11	0.0117878772402557	0.744622235040239	2	0.181818181818182	IMPA1;CMPK1
HIV encephalitis	3/32	0.0127852310488322	0.744622235040239	3	0.09375	XRCC5;TMED2;ADAM10
Iron deficiency anemia	3/32	0.0127852310488322	0.744622235040239	3	0.09375	CHMP2B;FAS;CD55
Squamous cell carcinoma of mouth	4/59	0.0127869166514329	0.744622235040239	4	0.0677966101694915	FAS;NBN;GBP1;TNFSF13B
Body fluid retention	4/59	0.0127869166514329	0.744622235040239	4	0.0677966101694915	MKKS;LYST;B2M;CD55
46,XY partial gonadal dysgenesis	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	MAP3K1;VAMP7
Frontotemporal cerebral atrophy	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	CHMP2B;TMEM106B
Restrictive behavior, interests, and activities	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	CHMP2B;TMEM106B
Abnormal brain FDG positron emission tomography	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	CHMP2B;TMEM106B
Abnormality of the labia	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	MAP3K1;VAMP7
Abnormality of the scrotum	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	MAP3K1;VAMP7
Infantile nystagmus	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	GNAI3;LYST
Lack of insight	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	CHMP2B;TMEM106B
Developmental arithmetic disorder	2/12	0.0140032638776956	0.744622235040239	2	0.166666666666667	CHMP2B;TMEM106B
early pregnancy	6/129	0.0147189531482121	0.744622235040239	6	0.0465116279069767	MAP3K1;TGFA;LY96;FAS;CD69;CD46
Restrictive behavior	2/13	0.0163831723132747	0.744622235040239	2	0.153846153846154	CHMP2B;TMEM106B
Testicular regression syndrome	2/13	0.0163831723132747	0.744622235040239	2	0.153846153846154	MAP3K1;VAMP7
Inappropriate behavior	2/13	0.0163831723132747	0.744622235040239	2	0.153846153846154	CHMP2B;TMEM106B
Monosomy 22	2/13	0.0163831723132747	0.744622235040239	2	0.153846153846154	CD69;CD55
Compulsive hoarding	2/13	0.0163831723132747	0.744622235040239	2	0.153846153846154	CHMP2B;TMEM106B
Large auricle	6/134	0.017445743134751	0.744622235040239	6	0.0447761194029851	RAP1B;OTUD6B;RAB18;SHOC2;NBN;ZMPSTE24
Large pinnae	6/134	0.017445743134751	0.744622235040239	6	0.0447761194029851	RAP1B;OTUD6B;RAB18;SHOC2;NBN;ZMPSTE24
Macrotia	6/134	0.017445743134751	0.744622235040239	6	0.0447761194029851	RAP1B;OTUD6B;RAB18;SHOC2;NBN;ZMPSTE24
Seckel syndrome	3/36	0.0175982542258714	0.744622235040239	3	0.0833333333333333	PLK4;NIN;CD69
Decreased testosterone in males	3/36	0.0175982542258714	0.744622235040239	3	0.0833333333333333	MAP3K1;VAMP7;ZMPSTE24
Motor Neuron Disease	6/135	0.0180300071591898	0.744622235040239	6	0.0444444444444444	RHOT1;LRRK2;CHMP2B;TMEM106B;GLRX;EXOSC3
GRN-related frontotemporal dementia	4/66	0.0186393821229283	0.744622235040239	4	0.0606060606060606	LRRK2;CHMP2B;TMEM106B;FNDC3A
Semantic Dementia	2/14	0.0189220638426228	0.744622235040239	2	0.142857142857143	CHMP2B;TMEM106B
Gastroparesis	2/14	0.0189220638426228	0.744622235040239	2	0.142857142857143	FAS;NFE2L2
Abnormal sex determination	2/14	0.0189220638426228	0.744622235040239	2	0.142857142857143	MAP3K1;VAMP7
Hypoproteinemia	2/14	0.0189220638426228	0.744622235040239	2	0.142857142857143	B2M;CD55
Intravascular hemolysis	2/14	0.0189220638426228	0.744622235040239	2	0.142857142857143	SLC40A1;CD55
Mitochondrial abnormalities	3/37	0.018938188880187	0.744622235040239	3	0.0810810810810811	RRM2B;LRRK2;CD55
Prostatic Diseases	3/38	0.0203331207649657	0.744622235040239	3	0.0789473684210526	AIM2;ADAM10;FAS
Erythrophagocytosis	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	CHMP2B;SLC40A1
Hair Diseases	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	SHOC2;NFE2L2
Helicobacter Infections	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	PRKAA1;CDKN1B
PNEUMOTHORAX, PRIMARY SPONTANEOUS	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	LRRK2;NFE2L2
Systemic amyloidosis	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	NUP214;B2M
Perseveration	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	CHMP2B;TMEM106B
Progesterone Resistance	2/15	0.0216145300636896	0.744622235040239	2	0.133333333333333	CDKN1B;FKBP5
Female external genitalia in individual with 46,XY karyotype	2/16	0.0244552902045568	0.744622235040239	2	0.125	MAP3K1;VAMP7
Severe chronic obstructive pulmonary disease	2/16	0.0244552902045568	0.744622235040239	2	0.125	FAS;CD46
Pleuropulmonary blastoma	2/16	0.0244552902045568	0.744622235040239	2	0.125	DICER1;TNFSF13B
Primary Systemic Amyloidosis	2/16	0.0244552902045568	0.744622235040239	2	0.125	NUP214;B2M
Uranostaphyloschisis	9/274	0.0261693457658266	0.744622235040239	9	0.0328467153284672	RAP1B;SMCHD1;CDKN1B;USP9X;GNAI3;TGFA;ZSWIM6;NBN;PDS5B
Chronic diarrhea	3/42	0.0264636472200957	0.744622235040239	3	0.0714285714285714	SAMD9;NBN;B2M
Infant, Small for Gestational Age	9/275	0.0267055507937608	0.744622235040239	9	0.0327272727272727	PLK4;NIN;SAMD9;OTUD6B;RAB18;NBN;SEC24D;XPR1;ZMPSTE24
Small testicle	5/110	0.02738480105537	0.744622235040239	5	0.0454545454545455	MKKS;VAMP7;MAP3K1;SAMD9;RAB18
Affective Disorders, Psychotic	2/17	0.0274391884940214	0.744622235040239	2	0.117647058823529	FKBP5;SKAP2
Hepatic necrosis	2/17	0.0274391884940214	0.744622235040239	2	0.117647058823529	PPP3CA;TGFA
Hyperplasia of nose	3/43	0.0281337966220466	0.744622235040239	3	0.0697674418604651	NIN;USP9X;NBN
Hypertrophy of nose	3/43	0.0281337966220466	0.744622235040239	3	0.0697674418604651	NIN;USP9X;NBN
Large nose	3/43	0.0281337966220466	0.744622235040239	3	0.0697674418604651	NIN;USP9X;NBN
Autoimmune hemolytic anemia	3/43	0.0281337966220466	0.744622235040239	3	0.0697674418604651	FAS;NBN;CD55
Chloracne	3/43	0.0281337966220466	0.744622235040239	3	0.0697674418604651	CDKN1B;TGFA;NFE2L2
Intrauterine retardation	9/278	0.0283607041584721	0.744622235040239	9	0.0323741007194245	PLK4;NIN;SAMD9;OTUD6B;RAB18;NBN;SEC24D;XPR1;ZMPSTE24
Developmental delay (disorder)	7/193	0.0298230029851697	0.744622235040239	7	0.0362694300518135	NUP214;STAG2;CDKN1B;USP9X;DICER1;NBN;XIST
Rudimentary vagina	2/18	0.0305611916103544	0.744622235040239	2	0.111111111111111	MAP3K1;VAMP7
Hypoplasia of vagina	2/18	0.0305611916103544	0.744622235040239	2	0.111111111111111	MAP3K1;VAMP7
Acute HIV infection	2/18	0.0305611916103544	0.744622235040239	2	0.111111111111111	FAS;TMED2
Kabuki make-up syndrome	2/18	0.0305611916103544	0.744622235040239	2	0.111111111111111	RAP1B;MKKS
Posteriorly rotated ear	5/114	0.0312883803633896	0.744622235040239	5	0.043859649122807	PPP1CB;USP9X;GNAI3;SHOC2;TMEM165
Abetalipoproteinemia	3/45	0.0316382853537461	0.744622235040239	3	0.0666666666666667	IVNS1ABP;CDKN1B;PTPN12
Aplastic Anemia	6/155	0.0326608283717671	0.744622235040239	6	0.0387096774193548	TNFSF10;FAS;CD48;NBN;B2M;CD55
Foot-drop	3/46	0.0334722346504156	0.744622235040239	3	0.0652173913043478	SMCHD1;RRM2B;LYST
leukemia	40/1941	0.0335939977142949	0.744622235040239	40	0.020607934054611	PRKAA1;CDKN1B;CBFB;NAB1;TGFA;NEDD9;RNPC3;SMC4;RCBTB2;TNFSF13B;SMCHD1;IMPA1;TP53INP1;TNFSF10;TMED2;NBN;TMED7;B2M;CD55;NUP214;PLK4;SACM1L;ADAM10;DICER1;PTPN12;SMAD5;STAG2;CLEC4D;PDIK1L;CCNG2;ABI1;CKS2;CMPK1;FAS;CD48;XIST;CD46;XPR1;TRIM33;NFE2L2
Hepatitis C	19/783	0.0337433569258065	0.744622235040239	19	0.0242656449553001	IVNS1ABP;PRKAA1;CDKN1B;DDX3X;GOLM1;TGFA;AZIN1;TNFSF13B;CLIP1;COP1;XRN1;PDIK1L;TNFSF10;RAB18;FAS;CD69;CD55;XPR1;FKBP5
Parathyroid hyperplasia	2/19	0.0338163861208567	0.744622235040239	2	0.105263157894737	CDKN1B;TGFA
Foot dorsiflexor weakness	3/47	0.035360335210126	0.744622235040239	3	0.0638297872340425	SMCHD1;RRM2B;LYST
Streak ovary	2/20	0.0371999760378311	0.744622235040239	2	0.1	MAP3K1;VAMP7
Central hypothyroidism	2/20	0.0371999760378311	0.744622235040239	2	0.1	NIN;XPR1
Chronic small plaque psoriasis	2/20	0.0371999760378311	0.744622235040239	2	0.1	TGFA;FAS
PITUITARY DWARFISM I	2/20	0.0371999760378311	0.744622235040239	2	0.1	PLK4;RNPC3
Dysgraphia	2/20	0.0371999760378311	0.744622235040239	2	0.1	CHMP2B;TMEM106B
Elevated circulating luteinizing hormone level	2/20	0.0371999760378311	0.744622235040239	2	0.1	MAP3K1;VAMP7
Acute lymphocytic leukemia	21/907	0.0406524852789059	0.744622235040239	21	0.0231532524807056	NUP214;PLK4;TLE4;PRKAA1;CDKN1B;CBFB;XRCC5;SACM1L;TNFSF13B;CLEC4D;TNFSF10;CKS2;FAS;CD48;CD58;CD69;NBN;B2M;CD55;TRIM33;FKBP5
Restlessness	2/21	0.0407072804002435	0.744622235040239	2	0.0952380952380952	CHMP2B;TMEM106B
Sialadenitis	2/21	0.0407072804002435	0.744622235040239	2	0.0952380952380952	FAS;TNFSF13B
SMITH-MCCORT DYSPLASIA 1	2/21	0.0407072804002435	0.744622235040239	2	0.0952380952380952	WTAP;RAB33B
Heparin-induced thrombocytopenia	2/21	0.0407072804002435	0.744622235040239	2	0.0952380952380952	CDKN1B;GPR65
Malignant neoplasm of mouth	13/492	0.0412683112240049	0.744622235040239	13	0.0264227642276423	CDKN1B;XRCC5;TGFA;DICER1;MRPL13;ALCAM;STAG2;CCNG2;TNFSF10;FAS;GBP1;XPR1;NFE2L2
Hepatitis D Infection	3/50	0.0413465811083513	0.744622235040239	3	0.06	PDIK1L;TMED2;TMED7
Calcinosis	3/50	0.0413465811083513	0.744622235040239	3	0.06	SAMD9;XPR1;ZMPSTE24
Primary physiologic amenorrhea	4/85	0.041894836475643	0.744622235040239	4	0.0470588235294118	SMCHD1;NIN;VAMP7;MAP3K1
Malignant neoplasm of liver	19/805	0.0426329370001024	0.744622235040239	19	0.0236024844720497	HSDL2;PRKAA1;CDKN1B;DDX3X;RNGTT;XRCC5;GOLM1;SLC40A1;TGFA;ACSL4;SNX10;CLIP1;ALCAM;TP53INP1;TNFSF10;FAS;NBN;TMED7;NFE2L2
Tapering fingers (finding)	3/51	0.0434481713032528	0.744622235040239	3	0.0588235294117647	USP9X;OTUD6B;ACSL4
Convex nasal ridge	3/51	0.0434481713032528	0.744622235040239	3	0.0588235294117647	PLK4;NBN;ZMPSTE24
THYROID CARCINOMA, SPORADIC MEDULLARY	2/22	0.0443337308437067	0.744622235040239	2	0.0909090909090909	CDKN1B;TGFA
Fetal Growth Retardation	9/304	0.045805269568318	0.744622235040239	9	0.0296052631578947	PLK4;NIN;SAMD9;OTUD6B;RAB18;NBN;SEC24D;XPR1;ZMPSTE24
Lupus Erythematosus	9/304	0.045805269568318	0.744622235040239	9	0.0296052631578947	AIM2;XRCC5;CPD;PGK1;FAS;CD48;RNPC3;CD46;TNFSF13B
granulosa cell tumor	3/53	0.0478082663732538	0.744622235040239	3	0.0566037735849057	TNFSF10;TGFA;SMAD5
Myeloid neoplasm	3/53	0.0478082663732538	0.744622235040239	3	0.0566037735849057	EVI2A;SAMD9;SMAD5
Exfoliation Syndrome	2/23	0.0480748693112401	0.744622235040239	2	0.0869565217391304	CMPK1;LYST
Skin Diseases, Infectious	2/23	0.0480748693112401	0.744622235040239	2	0.0869565217391304	ADAM10;IDE
Loss of speech	2/23	0.0480748693112401	0.744622235040239	2	0.0869565217391304	CHMP2B;TMEM106B
Elevated circulating follicle stimulating hormone level	2/23	0.0480748693112401	0.744622235040239	2	0.0869565217391304	MAP3K1;VAMP7
Lymphoproliferative Disorders	7/215	0.0486487401233244	0.744622235040239	7	0.0325581395348837	CDKN1B;CLEC4D;XRCC5;TNFSF10;FAS;CD69;TNFSF13B
Cleft palate, isolated	5/129	0.0489256596722856	0.744622235040239	5	0.0387596899224806	SRGN;CDKN1B;CBFB;TGFA;PDS5B
Male infertility	8/263	0.0507844893688572	0.744622235040239	8	0.0304182509505703	PPP1CC;VAMP7;MAP3K1;CMPK1;FAS;DICER1;AZIN1;NFE2L2
Repeated speech	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	CHMP2B;TMEM106B
Acute Lung Injury	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	FAS;NFE2L2
Behavioral variant of frontotemporal dementia	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	CHMP2B;TMEM106B
Decreased fertility in females	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	MAP3K1;VAMP7
Echolalia	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	CHMP2B;TMEM106B
Pure gonadal dysgenesis	2/24	0.0519263457523094	0.744622235040239	2	0.0833333333333333	MAP3K1;VAMP7
Primary central nervous system lymphoma	3/55	0.0523746284799441	0.744622235040239	3	0.0545454545454545	CDKN1B;FAS;TNFSF13B
Dejerine-Sottas Disease (disorder)	4/92	0.0532871018034939	0.744622235040239	4	0.0434782608695652	IVNS1ABP;S100A12;MAD2L1BP;NFE2L2
Refractory anemias	8/266	0.0535885041975075	0.744622235040239	8	0.0300751879699248	CDKN1B;TGFA;FAS;TMED7;CD55;XPR1;NFE2L2;TNFSF13B
Edema	4/93	0.0550388383685897	0.744622235040239	4	0.043010752688172	MKKS;LYST;B2M;CD55
Non-infiltrating lobular carcinoma	2/25	0.0558839158497723	0.744622235040239	2	0.08	MAP3K1;CBFB
Tooth Crowding	3/58	0.0596023646481953	0.744622235040239	3	0.0517241379310345	MKKS;GNAI3;ZMPSTE24
Tooth mass arch size discrepancy	3/58	0.0596023646481953	0.744622235040239	3	0.0517241379310345	MKKS;GNAI3;ZMPSTE24
Tooth size discrepancy	3/58	0.0596023646481953	0.744622235040239	3	0.0517241379310345	MKKS;GNAI3;ZMPSTE24
Inadequate arch length for tooth size	3/58	0.0596023646481953	0.744622235040239	3	0.0517241379310345	MKKS;GNAI3;ZMPSTE24
Thin rib	2/26	0.0599434388512149	0.744622235040239	2	0.0769230769230769	SEC24D;ZMPSTE24
Acute hepatitis	2/26	0.0599434388512149	0.744622235040239	2	0.0769230769230769	GOLM1;TGFA
Yellow Fever	2/26	0.0599434388512149	0.744622235040239	2	0.0769230769230769	IVNS1ABP;PDIK1L
Personality change	2/26	0.0599434388512149	0.744622235040239	2	0.0769230769230769	CHMP2B;TMEM106B
Pituitary carcinoma	2/26	0.0599434388512149	0.744622235040239	2	0.0769230769230769	TLE4;CDKN1B
Lymphopenia	5/137	0.0603117485904864	0.744622235040239	5	0.0364963503649635	FAS;NBN;CD69;RNPC3;TNFSF13B
Forgetful	3/59	0.0621103378186558	0.744622235040239	3	0.0508474576271186	CHMP2B;TMEM106B;XPR1
Bacterial Infections	8/276	0.063643352933789	0.744622235040239	8	0.0289855072463768	PRKAA1;USP15;AIM2;CPD;TGFA;LY96;CD55;NFE2L2
Gonadal Dysgenesis, Mixed	2/27	0.0641008753849028	0.744622235040239	2	0.0740740740740741	MAP3K1;VAMP7
Urogenital Abnormalities	2/27	0.0641008753849028	0.744622235040239	2	0.0740740740740741	SAMD9;PGK1
Lobular carcinoma in situ of breast	2/27	0.0641008753849028	0.744622235040239	2	0.0740740740740741	MAP3K1;CBFB
Frontotemporal Lobar Degeneration	4/98	0.0642579425092854	0.744622235040239	4	0.0408163265306122	LRRK2;CHMP2B;TMEM106B;FNDC3A
ADENOMAS AND ADENOCARCINOMAS	2/28	0.0683522853518549	0.744622235040239	2	0.0714285714285714	TGFA;CD58
Depressed philtrum	2/28	0.0683522853518549	0.744622235040239	2	0.0714285714285714	SHOC2;NBN
Premature canities	2/28	0.0683522853518549	0.744622235040239	2	0.0714285714285714	FAS;ZMPSTE24
Sparse scalp hair	3/62	0.0699224236698119	0.744622235040239	3	0.0483870967741935	PLK4;FAS;SHOC2
Acquired Immunodeficiency Syndrome	6/188	0.0703943032778998	0.744622235040239	6	0.0319148936170213	SLK;TNFSF10;TMED2;FAS;CD58;B2M
Influenza	14/589	0.0713639442058539	0.744622235040239	14	0.0237691001697793	IVNS1ABP;NDFIP1;CDKN1B;SAMD9;GLRX;APOL6;AIM2;TNFSF10;CMPK1;TMED2;XIST;TMED7;GBP1;CD55
Lupus Vulgaris	8/284	0.0724810661395823	0.744622235040239	8	0.028169014084507	AIM2;XRCC5;PGK1;FAS;CD48;RNPC3;CD46;TNFSF13B
Iron deficiency	3/63	0.0726204891138193	0.744622235040239	3	0.0476190476190476	CHMP2B;SLC40A1;XPR1
Neuro-degenerative disease	3/63	0.0726204891138193	0.744622235040239	3	0.0476190476190476	CHMP2B;NBN;LYST
Abnormal visual evoked potential	2/29	0.0726938258179899	0.744622235040239	2	0.0689655172413793	RAB18;SNX10
Keratoconjunctivitis Sicca	2/29	0.0726938258179899	0.744622235040239	2	0.0689655172413793	B2M;ZMPSTE24
Cardiac Lymphoma	2/29	0.0726938258179899	0.744622235040239	2	0.0689655172413793	FAS;B2M
Deep philtrum	2/29	0.0726938258179899	0.744622235040239	2	0.0689655172413793	SHOC2;NBN
Nerve Degeneration	5/145	0.0730790049732211	0.744622235040239	5	0.0344827586206897	LRRK2;CHMP2B;TGFA;NBN;LYST
Invasive carcinoma of breast	10/385	0.0743160635501535	0.744622235040239	10	0.025974025974026	PPP3CA;COP1;CDKN1B;DDX3X;ABI1;TNFSF10;TGFA;NEDD9;FAS;TMED7
Chronic Fatigue Syndrome	3/64	0.0753645268408509	0.744622235040239	3	0.046875	TMED2;CD69;XPR1
Inflammatory disorder	6/192	0.0761798044967457	0.744622235040239	6	0.03125	TNFSF10;S100A12;CD69;CD46;B2M;NFE2L2
heart rate	2/30	0.0771217490420668	0.744622235040239	2	0.0666666666666667	CPNE8;CD46
High pitched voice	2/30	0.0771217490420668	0.744622235040239	2	0.0666666666666667	SEC24D;ZMPSTE24
Christ-Siemens-Touraine syndrome	2/30	0.0771217490420668	0.744622235040239	2	0.0666666666666667	PGK1;FAS
Congenital malformation syndrome	2/30	0.0771217490420668	0.744622235040239	2	0.0666666666666667	MKKS;XIST
Rhabdomyolysis	3/65	0.0781538890225996	0.744622235040239	3	0.0461538461538462	RRM2B;AGL;PGK1
HEMOCHROMATOSIS, TYPE 1	3/65	0.0781538890225996	0.744622235040239	3	0.0461538461538462	UBL3;SLC40A1;B2M
Paroxysmal nocturnal hemoglobinuria	3/65	0.0781538890225996	0.744622235040239	3	0.0461538461538462	FAS;CD48;CD55
Leukoencephalopathy, Progressive Multifocal	4/105	0.0784294158773787	0.744622235040239	4	0.0380952380952381	PDIK1L;TNFSF10;TMED2;XPR1
Bulging forehead	4/105	0.0784294158773787	0.744622235040239	4	0.0380952380952381	PPP1CB;USP9X;SHOC2;ZMPSTE24
Prominent forehead	4/105	0.0784294158773787	0.744622235040239	4	0.0380952380952381	PPP1CB;USP9X;SHOC2;ZMPSTE24
Hypospadias	6/195	0.0806909908346725	0.744622235040239	6	0.0307692307692308	MKKS;VAMP7;MAP3K1;SAMD9;WTAP;ZMPSTE24
Autoimmune Lymphoproliferative Syndrome	2/31	0.0816324003697171	0.744622235040239	2	0.0645161290322581	FAS;CD48
Myxoma	2/31	0.0816324003697171	0.744622235040239	2	0.0645161290322581	SERP1;SAMD9
Idiopathic Inflammatory Myopathies	3/67	0.0838659352753022	0.744622235040239	3	0.0447761194029851	RNPC3;CKLF;TNFSF13B
Parasitemia	3/67	0.0838659352753022	0.744622235040239	3	0.0447761194029851	TMED2;CD55;TNFSF13B
Common Variable Immunodeficiency	5/152	0.0853667491748727	0.744622235040239	5	0.0328947368421053	LRRK2;NEDD9;FAS;CD69;TNFSF13B
Decreased platelet count	5/152	0.0853667491748727	0.744622235040239	5	0.0328947368421053	SNX10;NBN;LYST;XPR1;TMEM165
Renal carcinoma	12/500	0.0856152191124162	0.744622235040239	12	0.024	NUP214;CDKN1B;XRCC5;CCNG2;CHMP2B;TP53INP1;TNFSF10;TGFA;ADAM10;TMED7;COPS8;B2M
Adult T-Cell Lymphoma/Leukemia	12/500	0.0856152191124162	0.744622235040239	12	0.024	CDKN1B;SACM1L;TNFSF10;TMED2;FAS;CD58;CD69;TMED7;AZI2;B2M;TMED5;EIF4G2
Liver and Intrahepatic Biliary Tract Carcinoma	14/607	0.0860851310153811	0.744622235040239	14	0.0230642504118616	PRKAA1;DDX3X;RNGTT;XRCC5;GOLM1;TGFA;ACSL4;CLIP1;ALCAM;TP53INP1;TNFSF10;FAS;NBN;NFE2L2
Juvenile polyposis syndrome	2/32	0.0862222164112912	0.744622235040239	2	0.0625	TGFA;SMAD5
Amblyopia	2/32	0.0862222164112912	0.744622235040239	2	0.0625	SMCHD1;LYST
Myeloid Leukemia	12/501	0.0865755021708606	0.744622235040239	12	0.0239520958083832	NUP214;STAG2;CDKN1B;EVI2A;CBFB;XRCC5;CMPK1;NEDD9;FAS;CKLF;EIF4G2;NFE2L2
Human papilloma virus infection	3/68	0.0867872660230652	0.744622235040239	3	0.0441176470588235	CDKN1B;VAMP7;PAPOLA
Undifferentiated leukemia	3/68	0.0867872660230652	0.744622235040239	3	0.0441176470588235	NUP214;PRKAA1;TNFSF10
Wiskott-Aldrich Syndrome	3/68	0.0867872660230652	0.744622235040239	3	0.0441176470588235	FAS;CD69;TNFSF13B
