Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	12/185	3.0275165437281e-05	0.0478650365563413	12	0.0648648648648649	VAMP7;TRAPPC6B;CAPZA1;CAPZA2;TGFA;TMED2;TMED7;VAMP4;SEC24D;CNIH4;TMED5;CD55
neutrophil degranulation (GO:0043312)	19/481	0.000175102334872794	0.0831353221379292	19	0.0395010395010395	MS4A3;DDX3X;GCA;XRCC5;AGL;ADAM10;RAP2C;RAP1B;VAMP7;CLEC4D;RAB18;S100A12;PGM2;CPNE3;DEGS1;CD58;YPEL5;B2M;CD55
neutrophil activation involved in immune response (GO:0002283)	19/485	0.000194539672739293	0.0831353221379292	19	0.0391752577319588	MS4A3;DDX3X;GCA;XRCC5;AGL;ADAM10;RAP2C;RAP1B;VAMP7;CLEC4D;RAB18;S100A12;PGM2;CPNE3;DEGS1;CD58;YPEL5;B2M;CD55
neutrophil mediated immunity (GO:0002446)	19/488	0.000210336045889764	0.0831353221379292	19	0.0389344262295082	MS4A3;DDX3X;GCA;XRCC5;AGL;ADAM10;RAP2C;RAP1B;VAMP7;CLEC4D;RAB18;S100A12;PGM2;CPNE3;DEGS1;CD58;YPEL5;B2M;CD55
regulation of B cell receptor signaling pathway (GO:0050855)	4/23	0.000382836569553261	0.121052923292741	4	0.173913043478261	ELF1;ELF2;CBFB;SLC39A10
protein-containing complex assembly (GO:0065003)	12/267	0.000911713306345511	0.180591011049049	12	0.0449438202247191	TLE4;AIM2;TRAPPC6B;CAPZA1;LRRK2;CAPZA2;TGFA;TMED2;FAS;ADAM10;SEC24D;SKAP2
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	3/13	0.000913806507522069	0.180591011049049	3	0.230769230769231	ELF1;ELF2;CBFB
positive regulation of protein acetylation (GO:1901985)	3/13	0.000913806507522069	0.180591011049049	3	0.230769230769231	PRKAA1;DDX3X;DIP2B
glycogen catabolic process (GO:0005980)	3/15	0.00142107908379076	0.249636225719244	3	0.2	AGL;RB1CC1;PGM2
protein localization to organelle (GO:0033365)	8/142	0.00159849504995406	0.252722067397736	8	0.0563380281690141	HHEX;DDX3X;SERP1;LRRK2;PAQR3;SNX10;GBP1;RAB33B
iron ion homeostasis (GO:0055072)	5/61	0.00243128420786733	0.349441848421659	5	0.0819672131147541	ATP6V1G1;NDFIP1;SLC40A1;FBXL5;B2M
regulation of retrograde transport, endosome to Golgi (GO:1905279)	2/6	0.00338209429428079	0.442350258416188	2	0.333333333333333	LRRK2;ARFIP1
