Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
GTPase activity (GO:0003924)	13/216	3.12308001917765e-05	0.00588578738637604	13	0.0601851851851852	DDX3X;LRRK2;GNAI3;RAB33B;RAP2C;RAP1B;GNA13;GNG10;RHOT1;RAB18;GBP1;RAB8B;ARL8B
protein serine/threonine phosphatase activity (GO:0004722)	7/62	4.4758839440122e-05	0.00588578738637604	7	0.112903225806452	PPP1CB;PPP1CC;PPP3CA;UBLCP1;LRRK2;PPP1R3D;MTMR6
GDP binding (GO:0019003)	7/67	7.41378734350009e-05	0.00649942023780174	7	0.104477611940299	RAP2C;RAP1B;GNAI3;RAB18;GBP1;RAB8B;ARL8B
nucleoside-triphosphatase activity (GO:0017111)	14/278	0.000108214268987987	0.00711508818596015	14	0.0503597122302158	DDX3X;LRRK2;GNAI3;RAB33B;RAP2C;RAP1B;GNA13;GNG10;SMCHD1;RHOT1;RAB18;GBP1;RAB8B;ARL8B
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	4/33	0.00156821286795577	0.0824879968544736	4	0.121212121212121	XRN1;EXOSC3;CNOT8;DCP2
protein phosphatase 1 binding (GO:0008157)	3/23	0.0050518416078276	0.193763232136702	3	0.130434782608696	AKAP11;PPP1R3D;SHOC2
thiol-dependent deubiquitinase (GO:0004843)	6/106	0.00589721535436624	0.193763232136702	6	0.0566037735849057	VCPIP1;USP15;USP38;USP9X;OTUD6B;OTUD1
guanyl ribonucleotide binding (GO:0032561)	9/214	0.00597062480218067	0.193763232136702	9	0.0420560747663551	RAP2C;RAP1B;RHOT1;LRRK2;GNAI3;RAB18;GBP1;RAB8B;ARL8B
deubiquitinase activity (GO:0101005)	6/112	0.00766692492762928	0.193763232136702	6	0.0535714285714286	VCPIP1;USP15;USP38;USP9X;OTUD6B;OTUD1
omega peptidase activity (GO:0008242)	6/113	0.00799535426928893	0.193763232136702	6	0.0530973451327434	VCPIP1;USP15;USP38;USP9X;OTUD6B;OTUD1
pyrophosphatase activity (GO:0016462)	4/54	0.00942858620473359	0.193763232136702	4	0.0740740740740741	DDX3X;RNGTT;BNIP2;DCP2
co-SMAD binding (GO:0070410)	2/10	0.00974268412830316	0.193763232136702	2	0.2	USP9X;TRIM33
eukaryotic initiation factor 4E binding (GO:0008190)	2/10	0.00974268412830316	0.193763232136702	2	0.2	HHEX;DDX3X
transition metal ion transmembrane transporter activity (GO:0046915)	3/30	0.0107029718299603	0.193763232136702	3	0.1	SLC40A1;SLC39A10;TMEM165
alpha-tubulin binding (GO:0043014)	3/31	0.0117173757941081	0.193763232136702	3	0.0967741935483871	DIP2B;EFHC2;ARL8B
ubiquitin-dependent protein binding (GO:0140036)	2/11	0.0117878772402557	0.193763232136702	2	0.181818181818182	USP15;IDE
5'-3' exonuclease activity (GO:0008409)	2/14	0.0189220638426228	0.292735458271164	2	0.142857142857143	XRN1;DCP2
1-phosphatidylinositol binding (GO:0005545)	2/15	0.0216145300636896	0.299190600355283	2	0.133333333333333	WDFY1;SNX10
Lys48-specific deubiquitinase activity (GO:1990380)	2/15	0.0216145300636896	0.299190600355283	2	0.133333333333333	USP15;USP9X
ATPase binding (GO:0051117)	4/73	0.0259204664141139	0.340854133345597	4	0.0547945205479452	PPP3CA;ATP6V1G1;TMEM106B;SNX10
phosphatidylinositol monophosphate phosphatase activity (GO:0052744)	2/17	0.0274391884940214	0.34364317018703	2	0.117647058823529	SACM1L;MTMR6
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	3/44	0.0298587349797594	0.35694760453076	3	0.0681818181818182	CDKN1B;CCNG2;CKS2
TBP-class protein binding (GO:0017025)	2/22	0.0443337308437067	0.378006406737596	2	0.0909090909090909	DR1;HHEX
telomerase RNA binding (GO:0070034)	2/22	0.0443337308437067	0.378006406737596	2	0.0909090909090909	XRN1;DCP2
phosphoric ester hydrolase activity (GO:0042578)	3/53	0.0478082663732538	0.378006406737596	3	0.0566037735849057	PPP1CB;PPP1CC;SACM1L
carboxy-lyase activity (GO:0016831)	2/23	0.0480748693112401	0.378006406737596	2	0.0869565217391304	ECHDC1;AZIN1
phosphatidylinositol binding (GO:0035091)	4/92	0.0532871018034939	0.378006406737596	4	0.0434782608695652	PIGK;WDFY1;SNX13;SNX10
phosphatidylinositol-4-phosphate binding (GO:0070273)	2/26	0.0599434388512149	0.378006406737596	2	0.0769230769230769	OSBPL8;ARFIP1
general transcription initiation factor binding (GO:0140296)	2/26	0.0599434388512149	0.378006406737596	2	0.0769230769230769	HHEX;DR1
cadherin binding (GO:0045296)	9/322	0.0613775400883433	0.378006406737596	9	0.0279503105590062	SLK;DDX3X;CAPZA1;TMOD3;ABI1;CHMP2B;CD46;CLIC1;EIF4G2
GTP binding (GO:0005525)	6/189	0.0718160294657919	0.378006406737596	6	0.0317460317460317	RAP1B;RAP2C;RHOT1;LRRK2;GBP1;ARL8B
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.0744366025086234	0.378006406737596	1	0.2	XRCC5
RNA strand annealing activity (GO:0033592)	1/5	0.0744366025086234	0.378006406737596	1	0.2	DDX3X
annealing activity (GO:0097617)	1/5	0.0744366025086234	0.378006406737596	1	0.2	DDX3X
calmodulin-dependent protein phosphatase activity (GO:0033192)	1/5	0.0744366025086234	0.378006406737596	1	0.2	PPP3CA
cAMP-dependent protein kinase activity (GO:0004691)	1/5	0.0744366025086234	0.378006406737596	1	0.2	PRKAA1
CCR5 chemokine receptor binding (GO:0031730)	1/5	0.0744366025086234	0.378006406737596	1	0.2	CNIH4
nucleoside kinase activity (GO:0019206)	1/5	0.0744366025086234	0.378006406737596	1	0.2	CMPK1
chromatin insulator sequence binding (GO:0043035)	1/5	0.0744366025086234	0.378006406737596	1	0.2	ZFX
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	1/5	0.0744366025086234	0.378006406737596	1	0.2	PGK1
deoxyribonuclease I activity (GO:0004530)	1/5	0.0744366025086234	0.378006406737596	1	0.2	DICER1
exopolyphosphatase activity (GO:0004309)	1/5	0.0744366025086234	0.378006406737596	1	0.2	BNIP2
