Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Dopaminergic synapse	7/132	0.00432167719623244	0.832328082169874	7	0.053030303030303	PPP1CB;PPP1CC;PPP3CA;GNG10;GNG2;GNAI3;CREB5
Long-term potentiation	4/67	0.0195902149857412	0.832328082169874	4	0.0597014925373134	PPP1CB;RAP1B;PPP1CC;PPP3CA
Amphetamine addiction	4/69	0.0215804133755644	0.832328082169874	4	0.0579710144927536	PPP1CB;PPP1CC;PPP3CA;CREB5
Human cytomegalovirus infection	8/225	0.0232794968596882	0.832328082169874	8	0.0355555555555556	GNA13;PPP3CA;GNG10;GNG2;GNAI3;FAS;B2M;CREB5
Insulin resistance	5/108	0.0255554219414509	0.832328082169874	5	0.0462962962962963	PPP1CB;PPP1CC;PRKAA1;PPP1R3D;CREB5
p53 signaling pathway	4/73	0.0259204664141139	0.832328082169874	4	0.0547945205479452	COP1;RRM2B;CCNG2;FAS
RNA degradation	4/79	0.0333480826835523	0.832328082169874	4	0.0506329113924051	XRN1;EXOSC3;CNOT8;DCP2
Platelet activation	5/124	0.0425122850833979	0.832328082169874	5	0.0403225806451613	PPP1CB;RAP1B;GNA13;PPP1CC;GNAI3
Terpenoid backbone biosynthesis	2/22	0.0443337308437067	0.832328082169874	2	0.0909090909090909	PDSS1;ZMPSTE24
cGMP-PKG signaling pathway	6/167	0.0443407542977049	0.832328082169874	6	0.0359281437125748	PPP1CB;GNA13;PPP1CC;PPP3CA;GNAI3;CREB5
FoxO signaling pathway	5/131	0.051642255896315	0.832328082169874	5	0.0381679389312977	PLK4;PRKAA1;CDKN1B;CCNG2;TNFSF10
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/26	0.0599434388512149	0.832328082169874	2	0.0769230769230769	PIGK;PIGH
Apelin signaling pathway	5/137	0.0603117485904864	0.832328082169874	5	0.0364963503649635	GNA13;GNG10;PRKAA1;GNG2;GNAI3
mRNA surveillance pathway	4/98	0.0642579425092854	0.832328082169874	4	0.0408163265306122	PPP1CB;PPP1CC;RNGTT;PAPOLA
Ubiquitin mediated proteolysis	5/140	0.0649383551700725	0.832328082169874	5	0.0357142857142857	COP1;MAP3K1;UBA6;UBE2E1;UBA3
Alcoholism	6/186	0.0676002503285177	0.832328082169874	6	0.032258064516129	PPP1CB;PPP1CC;GNG10;GNG2;GNAI3;CREB5
Circadian rhythm	2/31	0.0816324003697171	0.858827316079574	2	0.0645161290322581	PRKAA1;FBXL3
Oxytocin signaling pathway	5/154	0.0890653434515205	0.858827316079574	5	0.0324675324675325	PPP1CB;PPP1CC;PPP3CA;PRKAA1;GNAI3
SNARE interactions in vesicular transport	2/33	0.0908877229828607	0.858827316079574	2	0.0606060606060606	VAMP7;VAMP4
RIG-I-like receptor signaling pathway	3/70	0.0927570851627351	0.858827316079574	3	0.0428571428571429	DDX3X;MAP3K1;AZI2
Cholinergic synapse	4/113	0.0963604996688058	0.858827316079574	4	0.0353982300884956	GNG10;GNG2;GNAI3;CREB5
Glutamatergic synapse	4/114	0.0987267600037387	0.858827316079574	4	0.0350877192982456	PPP3CA;GNG10;GNG2;GNAI3
Inositol phosphate metabolism	3/73	0.102019078440244	0.858827316079574	3	0.0410958904109589	IMPA1;SACM1L;MTMR6
Starch and sucrose metabolism	2/36	0.105304943853394	0.858827316079574	2	0.0555555555555556	AGL;PGM2
Human immunodeficiency virus 1 infection	6/212	0.108988238081164	0.858827316079574	6	0.0283018867924528	PPP3CA;GNG10;GNG2;GNAI3;FAS;B2M
Lipid and atherosclerosis	6/215	0.11445163952163	0.86719126868312	6	0.027906976744186	RAP1B;PPP3CA;TNFSF10;FAS;LY96;NFE2L2
Ferroptosis	2/41	0.130547731783875	0.880890519168443	2	0.0487804878048781	SLC40A1;ACSL4
Oocyte meiosis	4/129	0.137294345811371	0.880890519168443	4	0.0310077519379845	PPP1CB;PPP1CC;PPP3CA;SLK
Relaxin signaling pathway	4/129	0.137294345811371	0.880890519168443	4	0.0310077519379845	GNG10;GNG2;GNAI3;CREB5
Natural killer cell mediated cytotoxicity	4/131	0.14284164003392	0.880890519168443	4	0.0305343511450382	PPP3CA;TNFSF10;FAS;CD48
GABAergic synapse	3/89	0.156857982085271	0.880890519168443	3	0.0337078651685393	GNG10;GNG2;GNAI3
Estrogen signaling pathway	4/137	0.159996071858938	0.880890519168443	4	0.0291970802919708	GNAI3;TGFA;FKBP5;CREB5
Insulin signaling pathway	4/137	0.159996071858938	0.880890519168443	4	0.0291970802919708	PPP1CB;PPP1CC;PRKAA1;PPP1R3D
Morphine addiction	3/91	0.164262252401393	0.880890519168443	3	0.032967032967033	GNG10;GNG2;GNAI3
Amino sugar and nucleotide sugar metabolism	2/48	0.167842932567214	0.880890519168443	2	0.0416666666666667	CYB5R4;PGM2
Cocaine addiction	2/49	0.173312938887368	0.880890519168443	2	0.0408163265306122	GNAI3;CREB5
Non-homologous end-joining	1/13	0.182216566807614	0.880890519168443	1	0.0769230769230769	XRCC5
Pathogenic Escherichia coli infection	5/197	0.186652695884178	0.880890519168443	5	0.0253807106598985	GNA13;ABI1;TNFSF10;FAS;SEC24D
Circadian entrainment	3/97	0.187062869429009	0.880890519168443	3	0.0309278350515464	GNG10;GNG2;GNAI3
Phosphatidylinositol signaling system	3/97	0.187062869429009	0.880890519168443	3	0.0309278350515464	IMPA1;SACM1L;MTMR6
Prostate cancer	3/97	0.187062869429009	0.880890519168443	3	0.0309278350515464	CDKN1B;TGFA;CREB5
Retrograde endocannabinoid signaling	4/148	0.193239240623126	0.880890519168443	4	0.027027027027027	GNG10;GNG2;NDUFA4;GNAI3
Adrenergic signaling in cardiomyocytes	4/150	0.199503859839248	0.880890519168443	4	0.0266666666666667	PPP1CB;PPP1CC;GNAI3;CREB5
Longevity regulating pathway	3/102	0.206649160006852	0.880890519168443	3	0.0294117647058824	PRKAA1;RB1CC1;CREB5
Pyrimidine metabolism	2/56	0.212286889964161	0.880890519168443	2	0.0357142857142857	RRM2B;CMPK1
Cushing syndrome	4/155	0.215424684590305	0.880890519168443	4	0.0258064516129032	RAP1B;CDKN1B;GNAI3;CREB5
Cellular senescence	4/156	0.218650437657367	0.880890519168443	4	0.0256410256410256	PPP1CB;PPP1CC;PPP3CA;NBN
Parathyroid hormone synthesis, secretion and action	3/106	0.222636988454161	0.880890519168443	3	0.0283018867924528	GNA13;GNAI3;CREB5
Glucagon signaling pathway	3/107	0.226672409806632	0.880890519168443	3	0.0280373831775701	PPP3CA;PRKAA1;CREB5
Long-term depression	2/60	0.23492392625954	0.880890519168443	2	0.0333333333333333	GNA13;GNAI3
Viral myocarditis	2/60	0.23492392625954	0.880890519168443	2	0.0333333333333333	CD55;EIF4G2
Hepatitis B	4/162	0.238266149964514	0.880890519168443	4	0.0246913580246914	DDX3X;MAP3K1;FAS;CREB5
cAMP signaling pathway	5/216	0.238578734930232	0.880890519168443	5	0.0231481481481481	PPP1CB;RAP1B;PPP1CC;GNAI3;CREB5
Fatty acid biosynthesis	1/18	0.243128112075362	0.880890519168443	1	0.0555555555555556	ACSL4
Serotonergic synapse	3/113	0.251156146023483	0.880890519168443	3	0.0265486725663717	GNG10;GNG2;GNAI3
Tight junction	4/169	0.261642186066512	0.880890519168443	4	0.0236686390532544	RAP2C;PRKAA1;MAP3K1;RAB8B
Glycolysis / Gluconeogenesis	2/67	0.27478714520557	0.880890519168443	2	0.0298507462686567	PGK1;PGM2
Growth hormone synthesis, secretion and action	3/119	0.276003998529315	0.880890519168443	3	0.0252100840336134	MAP3K1;GNAI3;CREB5
Sphingolipid signaling pathway	3/119	0.276003998529315	0.880890519168443	3	0.0252100840336134	GNA13;GNAI3;DEGS1
Mitophagy	2/68	0.280484111321652	0.880890519168443	2	0.0294117647058824	USP15;RHOT1
Ras signaling pathway	5/232	0.284993535161876	0.880890519168443	5	0.021551724137931	RAP1B;GNG10;GNG2;TGFA;SHOC2
Adipocytokine signaling pathway	2/69	0.286177630592794	0.880890519168443	2	0.0289855072463768	PRKAA1;ACSL4
Renal cell carcinoma	2/69	0.286177630592794	0.880890519168443	2	0.0289855072463768	RAP1B;TGFA
Renin secretion	2/69	0.286177630592794	0.880890519168443	2	0.0289855072463768	PPP3CA;GNAI3
Epithelial cell signaling in Helicobacter pylori infection	2/70	0.291866470095966	0.884579917060082	2	0.0285714285714286	ATP6V1G1;ADAM10
Pertussis	2/76	0.325836919952277	0.88617215083242	2	0.0263157894736842	GNAI3;LY96
Maturity onset diabetes of the young	1/26	0.331318588090322	0.88617215083242	1	0.0384615384615385	HHEX
Vascular smooth muscle contraction	3/133	0.334672367010872	0.88617215083242	3	0.0225563909774436	PPP1CB;GNA13;PPP1CC
