Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	5/21	1.69911561963563e-06	0.0039725323187081	5	0.238095238095238	NDUFS8;NDUFS7;SDHA;NDUFV1;POLG
Hypertrichosis	6/50	1.02197980898525e-05	0.00696553618473032	6	0.12	NDUFS8;NDUFS7;BMS1;LTBP3;SDHA;SMARCA4
Necrotizing encephalopathy, infantile subacute, of Leigh	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome Due To Mitochondrial Complex II Deficiency	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex V Deficiency	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex III Deficiency	4/17	2.08548987566776e-05	0.00696553618473032	4	0.235294117647059	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex IV Deficiency	4/17	2.08548987566776e-05	0.00696553618473032	4	0.235294117647059	NDUFS8;SDHA;NDUFV1;POLG
Encephalopathy, Subacute Necrotizing, Infantile	4/19	3.34353593915814e-05	0.00868576336194637	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Encephalopathy, Subacute Necrotizing, Juvenile	4/19	3.34353593915814e-05	0.00868576336194637	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Mental and motor retardation	24/1021	8.97343705315923e-05	0.0209798958302863	24	0.0235063663075416	SLC25A1;ACD;PHC1;ECHS1;MAP2K2;ACY1;FLII;CEP164;TBCD;PLOD3;PIK3R2;CTCF;SDHA;SMARCA4;DIAPH1;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L;NDUFV1;RBM10;POLG
Cognitive delay	23/966	0.000105045228755725	0.0223268858937168	23	0.0238095238095238	SLC25A1;ACD;PHC1;ECHS1;MAP2K2;ACY1;FLII;CEP164;TBCD;PLOD3;PIK3R2;CTCF;SDHA;SMARCA4;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L;NDUFV1;RBM10;POLG
Cerebellar atrophy	9/190	0.000129176157826963	0.0251678214166199	9	0.0473684210526316	ATXN2;TBC1D20;ACY1;GPAA1;TBCD;PNPLA6;NDUFV1;SPTAN1;POLG
Abnormal mitochondria in muscle tissue	4/30	0.000216906368447347	0.039009776109992	4	0.133333333333333	NDUFS8;NDUFS7;SDHA;NDUFV1
