Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY	5/21	1.69911561963563e-06	0.0039725323187081	5	0.238095238095238	NDUFS8;NDUFS7;SDHA;NDUFV1;POLG
Hypertrichosis	6/50	1.02197980898525e-05	0.00696553618473032	6	0.12	NDUFS8;NDUFS7;BMS1;LTBP3;SDHA;SMARCA4
Necrotizing encephalopathy, infantile subacute, of Leigh	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome Due To Mitochondrial Complex II Deficiency	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex V Deficiency	4/16	1.60734219145103e-05	0.00696553618473032	4	0.25	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex III Deficiency	4/17	2.08548987566776e-05	0.00696553618473032	4	0.235294117647059	NDUFS8;SDHA;NDUFV1;POLG
Leigh Syndrome due to Mitochondrial Complex IV Deficiency	4/17	2.08548987566776e-05	0.00696553618473032	4	0.235294117647059	NDUFS8;SDHA;NDUFV1;POLG
Encephalopathy, Subacute Necrotizing, Infantile	4/19	3.34353593915814e-05	0.00868576336194637	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Encephalopathy, Subacute Necrotizing, Juvenile	4/19	3.34353593915814e-05	0.00868576336194637	4	0.210526315789474	ECHS1;NDUFS8;NDUFS7;SDHA
Mental and motor retardation	24/1021	8.97343705315923e-05	0.0209798958302863	24	0.0235063663075416	SLC25A1;ACD;PHC1;ECHS1;MAP2K2;ACY1;FLII;CEP164;TBCD;PLOD3;PIK3R2;CTCF;SDHA;SMARCA4;DIAPH1;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L;NDUFV1;RBM10;POLG
Cognitive delay	23/966	0.000105045228755725	0.0223268858937168	23	0.0238095238095238	SLC25A1;ACD;PHC1;ECHS1;MAP2K2;ACY1;FLII;CEP164;TBCD;PLOD3;PIK3R2;CTCF;SDHA;SMARCA4;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L;NDUFV1;RBM10;POLG
Cerebellar atrophy	9/190	0.000129176157826963	0.0251678214166199	9	0.0473684210526316	ATXN2;TBC1D20;ACY1;GPAA1;TBCD;PNPLA6;NDUFV1;SPTAN1;POLG
Abnormal mitochondria in muscle tissue	4/30	0.000216906368447347	0.039009776109992	4	0.133333333333333	NDUFS8;NDUFS7;SDHA;NDUFV1
Increased CSF lactate	5/61	0.00035926015678449	0.0599964461830098	5	0.0819672131147541	NDUFS8;ECHS1;NDUFS7;SDHA;NDUFV1
Small nose	8/176	0.000403452572950476	0.0628848077038809	8	0.0454545454545455	MAP2K2;TBC1D20;PUF60;FLII;SPECC1L;PLOD3;LTBP3;HDAC6
Short nose	8/179	0.000451529254386594	0.0658575409316887	8	0.0446927374301676	MAP2K2;TBC1D20;PUF60;FLII;SPECC1L;PLOD3;LTBP3;HDAC6
Leigh Disease	6/99	0.000480550243883302	0.0658575409316887	6	0.0606060606060606	NDUFS8;ECHS1;NDUFS7;SDHA;NDUFV1;POLG
Mood swings	6/100	0.000507029827532248	0.0658575409316887	6	0.06	ATXN2;NDUFS8;NDUFS7;DGCR8;SDHA;POLG
Ophthalmoplegia	7/144	0.000623647066221826	0.0767414126750858	7	0.0486111111111111	ATXN2;NDUFS8;NDUFS7;IDH3B;SDHA;DHDDS;POLG
Global developmental delay	23/1102	0.000683545204084587	0.0787802820739438	23	0.0208711433756806	SLC25A1;ACD;PHC1;ECHS1;MAP2K2;ACY1;FLII;CEP164;TBCD;PLOD3;PIK3R2;CTCF;SDHA;SMARCA4;CYB5R3;NDUFS8;TBC1D20;NDUFS7;PUF60;SPECC1L;NDUFV1;RBM10;POLG
Atrophy/Degeneration affecting the brainstem	3/18	0.000719527202692349	0.0787802820739438	3	0.166666666666667	ATXN2;TBCD;SPTAN1
Cerebellar degeneration	8/193	0.000741302910875434	0.0787802820739438	8	0.0414507772020725	ATXN2;ACY1;TBC1D20;TBCD;PNPLA6;SPTAN1;NDUFV1;POLG
Intellectual Disability	41/2503	0.000918895688155506	0.0934077443003293	41	0.0163803435876948	GPI;SMARCD2;ACY1;GPAA1;FLII;PLOD3;PIK3R2;CHD4;CTCF;LTBP3;HDAC6;CYB5R3;PUF60;DPF2;IDH3B;DGCR8;GUSB;SPTAN1;NDUFV1;TNPO2;RBM10;POLG;FBXW4;ACD;SMARCC2;PHC1;MAP2K2;SETD1A;TBCD;ASMTL;SDHA;RUNX1;SMARCA4;DHDDS;DIAPH1;NDUFS8;NDUFS7;SPECC1L;RAPGEF1;PNPLA6;EIF4G1
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	4/45	0.00104915768336805	0.102205444321438	4	0.0888888888888889	NDUFS8;NDUFS7;NDUFV1;POLG
Gliosis	5/79	0.0011773948684188	0.110109968094526	5	0.0632911392405063	NDUFS8;NDUFS7;TBCD;SDHA;POLG
Short stature	17/750	0.00146924916947262	0.125686261775671	17	0.0226666666666667	ACD;PHC1;MAP2K2;FLII;CEP164;CHD4;CTCF;LTBP3;SDHA;HDAC6;SMARCA4;DIAPH1;TBC1D20;PUF60;DGCR8;PNPLA6;GUSB
Infratentorial atrophy	7/167	0.00148263918827766	0.125686261775671	7	0.0419161676646707	TBC1D20;ACY1;TBCD;PNPLA6;NDUFV1;SPTAN1;POLG
Hepatocellular necrosis	3/23	0.0015052246919242	0.125686261775671	3	0.130434782608696	NDUFS8;NDUFS7;SDHA
Friedreich Ataxia	4/52	0.00180544668821074	0.145556357139197	4	0.0769230769230769	ATXN2;GPAA1;CTCF;NFE2L1
POLYCYSTIC LIVER DISEASE 1	2/7	0.00202161336978694	0.157551068618729	2	0.285714285714286	PRKCSH;HDAC6
Abnormal pattern of respiration	3/26	0.00216167100963469	0.158086652933987	3	0.115384615384615	NDUFS8;NDUFS7;SDHA
Blepharoptosis	10/337	0.00216371808977228	0.158086652933987	10	0.029673590504451	MAP2K2;NDUFS8;TBC1D20;NDUFS7;SPECC1L;PIK3R2;CHD4;SDHA;NDUFV1;POLG
Anteverted nostril	9/283	0.00224973584294403	0.159390375781914	9	0.0318021201413428	MAP2K2;TBC1D20;FLII;IDH3B;PLOD3;LTBP3;RBM10;SMARCA4;DHDDS
Loss of appetite (finding)	3/27	0.00241410591508541	0.166005283219697	3	0.111111111111111	ABL1;POLG;RUNX1
Amyotrophic Lateral Sclerosis 4, Juvenile	2/8	0.00267776746770229	0.172520802962229	2	0.25	BRD3;DDX19A
Chromosome 21 monosomy	2/8	0.00267776746770229	0.172520802962229	2	0.25	PFKL;RUNX1
Epileptic encephalopathy	12/468	0.00273022656527053	0.172520802962229	12	0.0256410256410256	DIAPH1;MAP2K2;NDUFS8;TBC1D20;NDUFS7;GPAA1;TBCD;PIK3R2;SDHA;SPTAN1;NDUFV1;POLG
Disease Exacerbation	6/144	0.00330329791229425	0.203239750498525	6	0.0416666666666667	URM1;PTOV1;IDH3B;NDUFV1;CTSB;ABCF1
Optic Atrophy	10/363	0.00367964921721932	0.209906316724413	10	0.0275482093663912	DIAPH1;NDUFS8;TBC1D20;NDUFS7;TBCD;IDH3B;PNPLA6;SDHA;DHDDS;POLG
NADH:Q(1) Oxidoreductase deficiency	3/32	0.00394644564052271	0.209906316724413	3	0.09375	NDUFS8;NDUFS7;NDUFV1
Decrease in appetite	3/32	0.00394644564052271	0.209906316724413	3	0.09375	ABL1;POLG;RUNX1
Friend leukemia	2/10	0.00424723213453984	0.209906316724413	2	0.2	FLII;RUNX1
