Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
chromatin disassembly (GO:0031498)	3/18	0.000719527202692349	0.18803564906171	3	0.166666666666667	SMARCD2;SMARCC2;SMARCA4
nucleosome disassembly (GO:0006337)	3/18	0.000719527202692349	0.18803564906171	3	0.166666666666667	SMARCD2;SMARCC2;SMARCA4
ATP-dependent chromatin remodeling (GO:0043044)	4/42	0.000806773046328259	0.18803564906171	4	0.0952380952380952	SMARCD2;SMARCC2;CHD4;SMARCA4
mRNA processing (GO:0006397)	10/300	0.000912638219893532	0.18803564906171	10	0.0333333333333333	SF3B2;IK;SF3A2;RAVER1;PUF60;AKAP8L;DDX23;RBM4B;SUPT5H;RBM10
isocitrate metabolic process (GO:0006102)	2/5	0.000975468183945434	0.18803564906171	2	0.4	IDH3G;IDH3B
protein-DNA complex disassembly (GO:0032986)	3/20	0.000990530196988814	0.18803564906171	3	0.15	SMARCD2;SMARCC2;SMARCA4
canonical glycolysis (GO:0061621)	3/24	0.00170766597313057	0.223831207270356	3	0.125	GPI;PFKL;PFKP
glucose catabolic process to pyruvate (GO:0061718)	3/24	0.00170766597313057	0.223831207270356	3	0.125	GPI;PFKL;PFKP
glycolytic process through glucose-6-phosphate (GO:0061620)	3/25	0.00192633320205762	0.223831207270356	3	0.12	GPI;PFKL;PFKP
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	2/7	0.00202161336978694	0.223831207270356	2	0.285714285714286	ATXN2L;ATXN2
clathrin-dependent endocytosis (GO:0072583)	3/26	0.00216167100963469	0.223831207270356	3	0.115384615384615	AP2S1;PIP5K1C;AP2M1
spermidine metabolic process (GO:0008216)	2/8	0.00267776746770229	0.23036178101147	2	0.25	DHPS;HDAC6
histone H3-K4 methylation (GO:0051568)	3/30	0.0032779948419926	0.23036178101147	3	0.1	SETD1A;CXXC1;WDR5
negative regulation of protein-containing complex disassembly (GO:0043242)	2/9	0.00342023183915731	0.23036178101147	2	0.222222222222222	UBQLN4;HDAC6
fructose 1,6-bisphosphate metabolic process (GO:0030388)	2/9	0.00342023183915731	0.23036178101147	2	0.222222222222222	PFKL;PFKP
chromatin remodeling (GO:0006338)	5/103	0.00377323607780555	0.23036178101147	5	0.0485436893203883	SMARCD2;SMARCC2;RUVBL1;CHD4;SMARCA4
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	8/251	0.0038524047024972	0.23036178101147	8	0.0318725099601594	SF3B2;IK;SF3A2;RAVER1;PUF60;DDX23;RBM4B;RBM10
adherens junction assembly (GO:0034333)	2/10	0.00424723213453984	0.23036178101147	2	0.2	TBCD;PIP5K1C
fructose 6-phosphate metabolic process (GO:0006002)	2/10	0.00424723213453984	0.23036178101147	2	0.2	PFKL;PFKP
low-density lipoprotein particle receptor catabolic process (GO:0032802)	2/10	0.00424723213453984	0.23036178101147	2	0.2	AP2S1;AP2M1
low-density lipoprotein receptor particle metabolic process (GO:0032799)	2/10	0.00424723213453984	0.23036178101147	2	0.2	AP2S1;AP2M1
positive regulation of protein localization to nucleus (GO:1900182)	4/68	0.00479860511898462	0.241806384716548	4	0.0588235294117647	CCT3;TRIM28;TESK1;PIK3R2
regulation of protein serine/threonine kinase activity (GO:0071900)	5/111	0.00518247966111871	0.241806384716548	5	0.045045045045045	MAP2K2;HGS;CDC37;TESK1;ABL1
aerobic electron transport chain (GO:0019646)	4/70	0.00531990038778685	0.241806384716548	4	0.0571428571428571	NDUFS8;NDUFS7;SDHA;NDUFV1
regulation of androgen receptor signaling pathway (GO:0060765)	3/36	0.00551728855972119	0.241806384716548	3	0.0833333333333333	NCOR2;HDAC6;SMARCA4
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	4/71	0.00559420095724425	0.241806384716548	4	0.0563380281690141	NDUFS8;NDUFS7;SDHA;NDUFV1
tricarboxylic acid metabolic process (GO:0072350)	2/12	0.00614787543166095	0.241806384716548	2	0.166666666666667	IDH3G;IDH3B
mRNA splicing, via spliceosome (GO:0000398)	8/274	0.0064679952560204	0.241806384716548	8	0.0291970802919708	SF3B2;IK;SF3A2;RAVER1;PUF60;DDX23;RBM4B;RBM10
regulation of T cell differentiation (GO:0045580)	3/39	0.00690907387399907	0.241806384716548	3	0.0769230769230769	ABL1;CLPTM1;RUNX1
