Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	31/1406	2.66009741855895e-05	0.00577241139827292	31	0.0220483641536273	SF3B2;DDX24;AKAP8L;DDX23;RBM4B;AATF;KRI1;STIP1;ATXN2;TRIM28;RAVER1;PUF60;BMS1;DGCR8;RBM10;ABCF1;CCT3;XRCC6;SF3A2;NCOA5;DDX56;ADAT1;SUPT5H;RANGAP1;ATXN2L;DIAPH1;DDX19A;MRPS9;ARHGEF1;EIF4G1;EIF3B
nucleosomal DNA binding (GO:0031492)	4/33	0.000316376872754873	0.0343268906939037	4	0.121212121212121	SMARCD2;SMARCC2;CHD4;SMARCA4
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	3/16	0.000501123965171343	0.0362479668140604	3	0.1875	SETD1A;CXXC1;WDR5
isocitrate dehydrogenase activity (GO:0004448)	2/5	0.000975468183945434	0.0414885377967514	2	0.4	IDH3G;IDH3B
acetylation-dependent protein binding (GO:0140033)	3/21	0.00114714851050926	0.0414885377967514	3	0.142857142857143	BRD3;DPF2;SMARCA4
lysine-acetylated histone binding (GO:0070577)	3/21	0.00114714851050926	0.0414885377967514	3	0.142857142857143	BRD3;DPF2;SMARCA4
NADH dehydrogenase activity (GO:0003954)	2/7	0.00202161336978694	0.0548362626554708	2	0.285714285714286	NDUFS8;NDUFS7
phosphofructokinase activity (GO:0008443)	2/7	0.00202161336978694	0.0548362626554708	2	0.285714285714286	PFKL;PFKP
histone deacetylase binding (GO:0042826)	5/93	0.00242663940056391	0.0585089722135965	5	0.0537634408602151	NCOR2;AKAP8L;CHD4;MEF2D;HDAC6
NADH dehydrogenase (quinone) activity (GO:0050136)	3/35	0.00509458770679372	0.0932561214219844	3	0.0857142857142857	NDUFS8;NDUFS7;NDUFV1
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	3/35	0.00509458770679372	0.0932561214219844	3	0.0857142857142857	NDUFS8;NDUFS7;NDUFV1
AMP binding (GO:0016208)	2/11	0.00515702053946458	0.0932561214219844	2	0.181818181818182	PFKL;PFKP
signal sequence binding (GO:0005048)	3/42	0.00849123527188726	0.141738311846118	3	0.0714285714285714	KPNA6;TNPO2;AP2M1
clathrin adaptor activity (GO:0035615)	2/15	0.0095900084936836	0.147674264088143	2	0.133333333333333	AP2S1;AP2M1
histone-lysine N-methyltransferase activity (GO:0018024)	3/45	0.010269125320644	0.147674264088143	3	0.0666666666666667	SETD1A;CXXC1;WDR5
nuclear import signal receptor activity (GO:0061608)	2/16	0.0108884250018908	0.147674264088143	2	0.125	KPNA6;TNPO2
DNA polymerase binding (GO:0070182)	2/18	0.0137022045657749	0.17490461122195	2	0.111111111111111	ACD;SMARCA4
cadherin binding (GO:0045296)	8/322	0.0160099320902872	0.193008625755129	8	0.0248447204968944	ATXN2L;NUDC;PUF60;RUVBL1;RANGAP1;SPTAN1;PFKP;PPP1CA
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	3/58	0.0203229330271079	0.232109287730654	3	0.0517241379310345	NDUFS8;NDUFS7;NDUFV1
low-density lipoprotein particle receptor binding (GO:0050750)	2/23	0.02193048949736	0.237945811046357	2	0.0869565217391304	SNX17;AP2M1
nuclear localization sequence binding (GO:0008139)	2/24	0.0237689324469591	0.245612301951911	2	0.0833333333333333	KPNA6;TNPO2
methylated histone binding (GO:0035064)	3/68	0.0307146647785554	0.29925336161433	3	0.0441176470588235	DPF2;WDR5;CXXC1
lipoprotein particle receptor binding (GO:0070325)	2/28	0.0317180982356203	0.29925336161433	2	0.0714285714285714	SNX17;AP2M1
telomeric DNA binding (GO:0042162)	2/33	0.042893951553667	0.315861726644001	2	0.0606060606060606	ACD;XRCC6
Hsp90 protein binding (GO:0051879)	2/35	0.0477171520360593	0.315861726644001	2	0.0571428571428571	STIP1;HDAC6
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	2/35	0.0477171520360593	0.315861726644001	2	0.0571428571428571	ABL1;CSK
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.0490145198704161	0.315861726644001	1	0.2	XRCC6
TAP1 binding (GO:0046978)	1/5	0.0490145198704161	0.315861726644001	1	0.2	TAPBP
nitrite reductase activity (GO:0098809)	1/5	0.0490145198704161	0.315861726644001	1	0.2	CYB5R3
chromatin insulator sequence binding (GO:0043035)	1/5	0.0490145198704161	0.315861726644001	1	0.2	CTCF
sequence-specific DNA binding (GO:0043565)	12/707	0.0523702687104274	0.315861726644001	12	0.016973125884017	XRCC6;ACD;ZGPAT;KLF13;NFATC3;ABL1;CXXC1;FOXJ2;CTCF;MEF2D;ZNF444;CENPB
phosphotyrosine residue binding (GO:0001784)	2/37	0.0527274511453542	0.315861726644001	2	0.0540540540540541	ABL1;PIK3R2
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	1/6	0.0585267307609904	0.315861726644001	1	0.166666666666667	UBQLN4
supercoiled DNA binding (GO:0097100)	1/6	0.0585267307609904	0.315861726644001	1	0.166666666666667	ABL1
chromo shadow domain binding (GO:0070087)	1/6	0.0585267307609904	0.315861726644001	1	0.166666666666667	TRIM28
fructose binding (GO:0070061)	1/6	0.0585267307609904	0.315861726644001	1	0.166666666666667	PFKL
primary miRNA binding (GO:0070878)	1/6	0.0585267307609904	0.315861726644001	1	0.166666666666667	DGCR8
translation initiation factor activity (GO:0003743)	2/41	0.0632725392250683	0.315861726644001	2	0.0487804878048781	EIF3B;EIF4G1
ubiquitin-like protein ligase binding (GO:0044389)	6/282	0.0645296929392971	0.315861726644001	6	0.0212765957446809	GPI;TRIM28;HGS;LAPTM5;SCAMP3;HDAC6
protein phosphorylated amino acid binding (GO:0045309)	2/42	0.0660116079502312	0.315861726644001	2	0.0476190476190476	ABL1;PIK3R2
ADP transmembrane transporter activity (GO:0015217)	1/7	0.0679442688885301	0.315861726644001	1	0.142857142857143	SLC25A42
DEAD/H-box RNA helicase binding (GO:0017151)	1/7	0.0679442688885301	0.315861726644001	1	0.142857142857143	AKAP8L
