Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Citrate cycle (TCA cycle)	3/30	0.0032779948419926	0.227444367961681	3	0.1	IDH3G;IDH3B;SDHA
Pentose phosphate pathway	3/30	0.0032779948419926	0.227444367961681	3	0.1	GPI;PFKL;PFKP
Glycolysis / Gluconeogenesis	4/67	0.00455133116891182	0.227444367961681	4	0.0597014925373134	GPI;PFKL;ACSS1;PFKP
Central carbon metabolism in cancer	4/70	0.00531990038778685	0.227444367961681	4	0.0571428571428571	PFKL;MAP2K2;PIK3R2;PFKP
Regulation of actin cytoskeleton	7/218	0.00646245986345509	0.227444367961681	7	0.0321100917431193	DIAPH1;MAP2K2;PIK3R2;ARHGEF1;PIP5K1C;ITGAL;PPP1CA
Chronic myeloid leukemia	4/76	0.00710763649880252	0.227444367961681	4	0.0526315789473684	MAP2K2;ABL1;PIK3R2;RUNX1
Thermogenesis	7/232	0.00895268823172643	0.245559448641639	7	0.0301724137931034	SMARCD2;SMARCC2;NDUFS8;NDUFS7;SDHA;NDUFV1;SMARCA4
Amyotrophic lateral sclerosis	9/364	0.0112485600908689	0.262089229653685	9	0.0247252747252747	ATXN2L;ACTR1A;ATXN2;NDUFS8;NDUFS7;SDHA;NDUFV1;UBQLN4;HDAC6
Yersinia infection	5/137	0.0122854326400165	0.262089229653685	5	0.0364963503649635	MAP2K2;NFATC3;PIK3R2;ARHGEF1;PIP5K1C
Diabetic cardiomyopathy	6/203	0.0165546067529673	0.317848449656973	6	0.0295566502463054	NDUFS8;NDUFS7;PIK3R2;SDHA;NDUFV1;PPP1CA
Non-alcoholic fatty liver disease	5/155	0.0199263415207939	0.332571915172606	5	0.032258064516129	NDUFS8;NDUFS7;PIK3R2;SDHA;NDUFV1
Viral myocarditis	3/60	0.0222156039824467	0.332571915172606	3	0.05	ABL1;ITGAL;EIF4G1
HIF-1 signaling pathway	4/109	0.0239421048557141	0.332571915172606	4	0.036697247706422	PFKL;MAP2K2;PIK3R2;PFKP
Lysine degradation	3/63	0.0252288983054118	0.332571915172606	3	0.0476190476190476	ECHS1;SETD1A;PLOD3
Hepatocellular carcinoma	5/168	0.0270455286853272	0.332571915172606	5	0.0297619047619048	SMARCD2;MAP2K2;SMARCC2;PIK3R2;SMARCA4
Acute myeloid leukemia	3/67	0.0295713073395419	0.332571915172606	3	0.0447761194029851	MAP2K2;PIK3R2;RUNX1
Neurotrophin signaling pathway	4/119	0.0316752226302637	0.332571915172606	4	0.0336134453781513	MAP2K2;ABL1;RAPGEF1;PIK3R2
Renal cell carcinoma	3/69	0.0318810265797798	0.332571915172606	3	0.0434782608695652	MAP2K2;RAPGEF1;PIK3R2
Thyroid hormone signaling pathway	4/121	0.0333781451030027	0.332571915172606	4	0.0330578512396694	PFKL;MAP2K2;PIK3R2;PFKP
Huntington disease	7/306	0.0346429078304798	0.332571915172606	7	0.0228758169934641	ACTR1A;NDUFS8;NDUFS7;AP2S1;SDHA;NDUFV1;AP2M1
Galactose metabolism	2/31	0.0382674239788824	0.347729759020345	2	0.0645161290322581	PFKL;PFKP
Natural killer cell mediated cytotoxicity	4/131	0.0426830199523466	0.347729759020345	4	0.0305343511450382	MAP2K2;ICAM2;PIK3R2;ITGAL
Fructose and mannose metabolism	2/33	0.042893951553667	0.347729759020345	2	0.0606060606060606	PFKL;PFKP
Oxidative phosphorylation	4/133	0.044702425539549	0.347729759020345	4	0.0300751879699248	NDUFS8;NDUFS7;SDHA;NDUFV1
Propanoate metabolism	2/34	0.0452815731960364	0.347729759020345	2	0.0588235294117647	ECHS1;ACSS1
B cell receptor signaling pathway	3/81	0.0476440648084671	0.347729759020345	3	0.037037037037037	MAP2K2;NFATC3;PIK3R2
Insulin signaling pathway	4/137	0.0488994973622361	0.347729759020345	4	0.0291970802919708	MAP2K2;RAPGEF1;PIK3R2;PPP1CA
Focal adhesion	5/201	0.0517369040386998	0.348425549616319	5	0.0248756218905473	DIAPH1;RAPGEF1;PIK3R2;PIP5K1C;PPP1CA
ErbB signaling pathway	3/85	0.0536051258792773	0.348425549616319	3	0.0352941176470588	MAP2K2;ABL1;PIK3R2
Apoptosis	4/142	0.0544414921275499	0.348425549616319	4	0.028169014084507	MAP2K2;PIK3R2;SPTAN1;CTSB
Prion disease	6/273	0.0569535342565841	0.352744470234328	6	0.021978021978022	STIP1;NDUFS8;NDUFS7;PIK3R2;SDHA;NDUFV1
PD-L1 expression and PD-1 checkpoint pathway in cancer	3/89	0.0599063264776533	0.357946344254186	3	0.0337078651685393	MAP2K2;NFATC3;PIK3R2
Cell adhesion molecules	4/148	0.0615220279186882	0.357946344254186	4	0.027027027027027	CLDN15;ICAM2;ITGAL;GLG1
Spliceosome	4/150	0.0639854868678937	0.361329808195165	4	0.0266666666666667	SF3B2;SF3A2;PUF60;DDX23
Cellular senescence	4/156	0.0716815873598332	0.37088674242254	4	0.0256410256410256	MAP2K2;NFATC3;PIK3R2;PPP1CA
Phosphatidylinositol signaling system	3/97	0.0734906143235922	0.37088674242254	3	0.0309278350515464	ITPKB;PIK3R2;PIP5K1C
Choline metabolism in cancer	3/98	0.0752775128137596	0.37088674242254	3	0.0306122448979592	MAP2K2;PIK3R2;PIP5K1C
Inflammatory mediator regulation of TRP channels	3/98	0.0752775128137596	0.37088674242254	3	0.0306122448979592	TRPV2;PIK3R2;PPP1CA
Human cytomegalovirus infection	5/225	0.0759067230347123	0.37088674242254	5	0.0222222222222222	MAP2K2;NFATC3;PIK3R2;ARHGEF1;TAPBP
Sulfur relay system	1/8	0.0772680713380292	0.37088674242254	1	0.125	URM1
Amino sugar and nucleotide sugar metabolism	2/48	0.0832284276217125	0.379438503981249	2	0.0416666666666667	GPI;CYB5R3
Valine, leucine and isoleucine degradation	2/48	0.0832284276217125	0.379438503981249	2	0.0416666666666667	ECHS1;BCAT2
T cell receptor signaling pathway	3/104	0.0863951479385648	0.379438503981249	3	0.0288461538461538	MAP2K2;NFATC3;PIK3R2
cGMP-PKG signaling pathway	4/167	0.0869546571623695	0.379438503981249	4	0.0239520958083832	MAP2K2;NFATC3;MEF2D;PPP1CA
Endocrine and other factor-regulated calcium reabsorption	2/53	0.0984917971521169	0.420231667849032	2	0.0377358490566038	AP2S1;AP2M1
Pathways of neurodegeneration	8/475	0.10499081657496	0.43444613372229	8	0.0168421052631579	ATXN2L;ACTR1A;ATXN2;MAP2K2;NDUFS8;NDUFS7;SDHA;NDUFV1
Leukocyte transendothelial migration	3/114	0.106348793150769	0.43444613372229	3	0.0263157894736842	CLDN15;PIK3R2;ITGAL
Endocytosis	5/252	0.109223139208244	0.435602533727169	5	0.0198412698412698	HGS;AP2S1;PIP5K1C;AP2M1;EPN1
Endometrial cancer	2/58	0.114465166642758	0.435602533727169	2	0.0344827586206897	MAP2K2;PIK3R2
RNA transport	4/186	0.116679700641128	0.435602533727169	4	0.021505376344086	DDX19A;RANGAP1;EIF4G1;EIF3B
VEGF signaling pathway	2/59	0.117735608263654	0.435602533727169	2	0.0338983050847458	MAP2K2;PIK3R2
AMPK signaling pathway	3/120	0.119106440592834	0.435602533727169	3	0.025	PFKL;PIK3R2;PFKP
Neutrophil extracellular trap formation	4/189	0.121734806090777	0.435602533727169	4	0.0211640211640212	MAP2K2;PIK3R2;ITGAL;HDAC6
Non-homologous end-joining	1/13	0.122513212610766	0.435602533727169	1	0.0769230769230769	XRCC6
Platelet activation	3/124	0.127911762894856	0.44652833592386	3	0.0241935483870968	PIK3R2;ARHGEF1;PPP1CA
GnRH secretion	2/64	0.134422566352201	0.448984145965715	2	0.03125	MAP2K2;PIK3R2
Lysosome	3/128	0.136941845314182	0.448984145965715	3	0.0234375	LAPTM5;GUSB;CTSB
Long-term potentiation	2/67	0.144675352069494	0.448984145965715	2	0.0298507462686567	MAP2K2;PPP1CA
Epstein-Barr virus infection	4/202	0.144681837402607	0.448984145965715	4	0.0198019801980198	NCOR2;PIK3R2;ITGAL;TAPBP
Fc epsilon RI signaling pathway	2/68	0.148128708078067	0.448984145965715	2	0.0294117647058824	MAP2K2;PIK3R2
Vascular smooth muscle contraction	3/133	0.148525263779094	0.448984145965715	3	0.0225563909774436	MAP2K2;ARHGEF1;PPP1CA
Proteoglycans in cancer	4/205	0.150204330820181	0.448984145965715	4	0.0195121951219512	MAP2K2;PIK3R2;ARHGEF1;PPP1CA
Prolactin signaling pathway	2/70	0.155084922699534	0.448984145965715	2	0.0285714285714286	MAP2K2;PIK3R2
Autophagy	3/137	0.158012442509856	0.448984145965715	3	0.0218978102189781	MAP2K2;PIK3R2;CTSB
Rap1 signaling pathway	4/210	0.159584932203015	0.448984145965715	4	0.019047619047619	MAP2K2;RAPGEF1;PIK3R2;ITGAL
Melanoma	2/72	0.162102700296018	0.448984145965715	2	0.0277777777777778	MAP2K2;PIK3R2
Non-small cell lung cancer	2/72	0.162102700296018	0.448984145965715	2	0.0277777777777778	MAP2K2;PIK3R2
Human immunodeficiency virus 1 infection	4/212	0.163396745292848	0.448984145965715	4	0.0188679245283019	MAP2K2;NFATC3;PIK3R2;TAPBP
Inositol phosphate metabolism	2/73	0.165633053261298	0.448984145965715	2	0.0273972602739726	ITPKB;PIP5K1C
Alzheimer disease	6/369	0.165782461178943	0.448984145965715	6	0.016260162601626	MAP2K2;NDUFS8;NDUFS7;PIK3R2;SDHA;NDUFV1
Lipid and atherosclerosis	4/215	0.16917592443626	0.448984145965715	4	0.0186046511627907	NFATC3;MIB2;PIK3R2;ARHGEF1
Spinocerebellar ataxia	3/143	0.172579586164455	0.448984145965715	3	0.020979020979021	ATXN2L;ATXN2;PIK3R2
Glioma	2/75	0.172733542222974	0.448984145965715	2	0.0266666666666667	MAP2K2;PIK3R2
Glycosaminoglycan degradation	1/19	0.173902367152705	0.448984145965715	1	0.0526315789473684	GUSB
Human T-cell leukemia virus 1 infection	4/219	0.176992198773609	0.448984145965715	4	0.0182648401826484	MAP2K2;NFATC3;PIK3R2;ITGAL
Synaptic vesicle cycle	2/78	0.183474626333084	0.448984145965715	2	0.0256410256410256	AP2S1;AP2M1
Antigen processing and presentation	2/78	0.183474626333084	0.448984145965715	2	0.0256410256410256	CTSB;TAPBP
Phospholipase D signaling pathway	3/148	0.18499904075895	0.448984145965715	3	0.0202702702702703	MAP2K2;PIK3R2;PIP5K1C
Retrograde endocannabinoid signaling	3/148	0.18499904075895	0.448984145965715	3	0.0202702702702703	NDUFS8;NDUFS7;NDUFV1
RNA degradation	2/79	0.187076727485715	0.448984145965715	2	0.0253164556962025	PFKL;PFKP
Pantothenate and CoA biosynthesis	1/21	0.190357649834759	0.451218132941652	1	0.0476190476190476	BCAT2
Arginine biosynthesis	1/22	0.198462571928234	0.457601907509734	1	0.0454545454545455	ACY1
Terpenoid backbone biosynthesis	1/22	0.198462571928234	0.457601907509734	1	0.0454545454545455	DHDDS
Oxytocin signaling pathway	3/154	0.200200834535509	0.457601907509734	3	0.0194805194805195	MAP2K2;NFATC3;PPP1CA
Hepatitis C	3/157	0.207911333270099	0.469635011621872	3	0.0191082802547771	MAP2K2;CLDN15;PIK3R2
Colorectal cancer	2/86	0.212538804438724	0.474505237816686	2	0.0232558139534884	MAP2K2;PIK3R2
Hepatitis B	3/162	0.220906413798563	0.487517602865793	3	0.0185185185185185	MAP2K2;NFATC3;PIK3R2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.230082895726683	0.501999045221853	1	0.0384615384615385	GPAA1
Fatty acid elongation	1/27	0.237792077524292	0.509940599304282	1	0.037037037037037	ECHS1
Parkinson disease	4/249	0.239034655923882	0.509940599304282	4	0.0160642570281124	NDUFS8;NDUFS7;SDHA;NDUFV1
Butanoate metabolism	1/28	0.245424449319578	0.510292508639954	1	0.0357142857142857	ECHS1
Influenza A	3/172	0.247352795493408	0.510292508639954	3	0.0174418604651163	MAP2K2;KPNA6;PIK3R2
Fc gamma R-mediated phagocytosis	2/97	0.253110289845866	0.510292508639954	2	0.0206185567010309	PIK3R2;PIP5K1C
Prostate cancer	2/97	0.253110289845866	0.510292508639954	2	0.0206185567010309	MAP2K2;PIK3R2
mRNA surveillance pathway	2/98	0.25681513967033	0.510292508639954	2	0.0204081632653061	DDX19A;PPP1CA
Ascorbate and aldarate metabolism	1/30	0.260461801284977	0.510292508639954	1	0.0333333333333333	GUSB
beta-Alanine metabolism	1/30	0.260461801284977	0.510292508639954	1	0.0333333333333333	ECHS1
Glyoxylate and dicarboxylate metabolism	1/30	0.260461801284977	0.510292508639954	1	0.0333333333333333	ACSS1
AGE-RAGE signaling pathway in diabetic complications	2/100	0.264227319043506	0.512440861175285	2	0.02	DIAPH1;PIK3R2
Axon guidance	3/182	0.274257059290157	0.52527248344971	3	0.0164835164835165	ABL1;NFATC3;PIK3R2
Toll-like receptor signaling pathway	2/104	0.279051006832658	0.52527248344971	2	0.0192307692307692	MAP2K2;PIK3R2
C-type lectin receptor signaling pathway	2/104	0.279051006832658	0.52527248344971	2	0.0192307692307692	NFATC3;PIK3R2
Parathyroid hormone synthesis, secretion and action	2/106	0.286456729130509	0.525567125232216	2	0.0188679245283019	ARHGEF1;MEF2D
Pentose and glucuronate interconversions	1/34	0.289647791075422	0.525567125232216	1	0.0294117647058824	GUSB
Th17 cell differentiation	2/107	0.290156850388619	0.525567125232216	2	0.0186915887850467	NFATC3;RUNX1
Glucagon signaling pathway	2/107	0.290156850388619	0.525567125232216	2	0.0186915887850467	PFKL;PFKP
Insulin resistance	2/108	0.293854702820449	0.527290681696506	2	0.0185185185185185	PIK3R2;PPP1CA
Starch and sucrose metabolism	1/36	0.303808081984429	0.535800130316693	1	0.0277777777777778	GPI
Kaposi sarcoma-associated herpesvirus infection	3/193	0.304178198981872	0.535800130316693	3	0.0155440414507772	MAP2K2;NFATC3;PIK3R2
Aldosterone-regulated sodium reabsorption	1/37	0.31078254425094	0.537569806271896	1	0.027027027027027	PIK3R2
Thyroid cancer	1/37	0.31078254425094	0.537569806271896	1	0.027027027027027	MAP2K2
Pathogenic Escherichia coli infection	3/197	0.315103825138149	0.540177985951113	3	0.0152284263959391	CLDN15;ABL1;ARHGEF1
Viral carcinogenesis	3/203	0.331506405239614	0.55812479140735	3	0.0147783251231527	PIK3R2;CHD4;HDAC6
Sphingolipid signaling pathway	2/119	0.334293494853361	0.55812479140735	2	0.0168067226890756	MAP2K2;PIK3R2
Growth hormone synthesis, secretion and action	2/119	0.334293494853361	0.55812479140735	2	0.0168067226890756	MAP2K2;PIK3R2
Bladder cancer	1/41	0.337992010039798	0.559435051100355	1	0.024390243902439	MAP2K2
Tryptophan metabolism	1/42	0.344625677945044	0.565539574063662	1	0.0238095238095238	ECHS1
Fatty acid degradation	1/43	0.351193201941265	0.566631048510277	1	0.0232558139534884	ECHS1
Porphyrin and chlorophyll metabolism	1/43	0.351193201941265	0.566631048510277	1	0.0232558139534884	GUSB
