GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
LOC100008589		1.76959411696322e-08	1.20784878449229e-06	1.12657459148037	UP
ATHL1		1.38189668200864e-07	6.93804775486685e-06	0.389107617788891	UP
HS.171171		3.26824201073065e-09	2.85162048062489e-07	0.372958580679969	UP
LOC643031		1.71057296075806e-07	8.385228653636e-06	0.368925895183438	UP
MARCH6		5.24923456301132e-10	6.02232395971695e-08	0.356524595018405	UP
HS.508682		3.06284128455767e-08	1.91594579751646e-06	0.340616664303148	UP
C5ORF41		2.31611682739639e-14	1.41920058598714e-11	0.339087534210128	UP
RYBP		5.02604136838143e-10	5.7909017663646e-08	0.332335329732105	UP
LOC401357		4.2335707622986e-06	0.000123931923259862	0.331694618180085	UP
PRIC285		5.22650369137676e-08	3.0303605596389e-06	0.315065723168491	UP
TYK2		1.11717165172865e-12	3.91169674055275e-10	0.311294537447889	UP
LOC338758		2.39601157655601e-10	3.22724757310427e-08	0.307590419173954	UP
ITGAM		4.22672918195042e-09	3.56115142108017e-07	0.307435765710489	UP
TCIRG1		2.94326163398072e-12	8.62535618627764e-10	0.304391772382722	UP
PADI4		3.50059907997968e-06	0.000105570080307978	0.304059575043459	UP
MMP9		0.00224082521111864	0.0222113560724153	0.295929704140546	UP
LOC730994		3.56193552601273e-10	4.40519925306555e-08	0.294458188882405	UP
MBD6		2.382541649178e-08	1.56626710322599e-06	0.291204428205065	UP
C16ORF7		2.11604281968495e-12	6.48302618880977e-10	0.28751934421285	UP
NBEAL2		3.0762783951492e-08	1.91989680119485e-06	0.282828856961824	UP
SHKBP1		2.79289678333234e-07	1.29826362371419e-05	0.277406495909222	UP
EDG4		2.0048972844245e-07	9.61815581590193e-06	0.274507139920345	UP
ITGAX		4.05078514103375e-07	1.73629917627044e-05	0.271532887916974	UP
HK3		5.32676290699309e-08	3.08186383552448e-06	0.270382984768862	UP
HBQ1		0.00225290721933684	0.0223147066644161	0.266383537935649	UP
UBA7		6.97532732647244e-11	1.1753862503064e-08	0.264834543223207	UP
PGLYRP1		0.00159217478198546	0.0168273713434378	0.264277056606172	UP
C7ORF43		3.30089176785896e-11	6.3568102109461e-09	0.260806975584748	UP
GRN		2.51856776022346e-06	8.0255179107728e-05	0.260390395652072	UP
FOXO3		4.88371918304587e-07	2.047744212972e-05	0.257758446060494	UP
C10ORF54		1.04846583408693e-08	7.63991550076158e-07	0.256411649607864	UP
ADAM8		2.54253529466523e-08	1.65578005022873e-06	0.254619884272266	UP
LOC641710		2.74334853035617e-06	8.68115255010947e-05	0.254193636947088	UP
FES		2.9254213076658e-08	1.84281037093406e-06	0.251551674765874	UP
LOC196752		4.8433833815615e-09	3.98117254116706e-07	0.251500464762662	UP
DYSF		0.00064282250284133	0.00804602483709615	0.251154627721181	UP
HS.131087		9.38686764880879e-07	3.53957117034313e-05	0.251056912062527	UP
OSCAR		7.27571506250998e-08	4.05290400413908e-06	0.249739377582527	UP
ACTN1		4.97144040325639e-05	0.000974800034270513	0.249203252976853	UP
SLC11A1		0.00015867233444108	0.00254944267512869	0.247769602707086	UP
KIAA0913		1.24086841534736e-10	1.91171733406744e-08	0.243994405741603	UP
MMP25		0.000293179299934632	0.00425654663733852	0.242748942000166	UP
HS.193767		8.10778798478634e-05	0.00148283575875314	0.240288804977462	UP
CUEDC1		3.6353878379243e-07	1.59891829524106e-05	0.239742095108808	UP
SFRS17A		7.17550294223482e-10	7.8323374423317e-08	0.239589210557831	UP
HCG27		1.40549264253359e-05	0.000338032891483925	0.238925974315956	UP
PPM1F		5.1025255873456e-06	0.000144168886492799	0.238660008393982	UP
HCG4		0.000473730340753332	0.00625477165379558	0.237878440306337	UP
SNTB2		2.47523977363185e-14	1.48299865637529e-11	0.237462366030147	UP
ATG16L2		2.91505031735224e-06	9.07536623627409e-05	0.236460161078304	UP
C1ORF218		1.25063807701235e-09	1.24809058286999e-07	0.235959821467016	UP
SORL1		4.94442958565708e-05	0.000970915994602334	0.234592574469938	UP
C17ORF62		2.71800756170896e-09	2.43455820170217e-07	0.23411863482001	UP
CSF3R		3.90673655177389e-06	0.000116386214555111	0.233213344038322	UP
DDEF1		8.90563746694628e-08	4.75455231180869e-06	0.2331565451312	UP
NPEPL1		6.51788617647776e-11	1.13373373680011e-08	0.233013645156408	UP
LPP		8.32409129144149e-11	1.34386721741649e-08	0.231223276321348	UP
FLJ21438		1.7162222385013e-07	8.39765295321845e-06	0.229042802127196	UP
CRISPLD2		0.00114137471359628	0.0128165779480505	0.228990541252546	UP
PSD4		2.2642760968909e-08	1.49625362373224e-06	0.228738994080931	UP
KCTD12		1.2584081095668e-06	4.51169428750405e-05	0.228465386651457	UP
SELPLG		4.13146373470984e-06	0.000121988257241289	0.22799834644475	UP
APBB3		2.82739828914322e-13	1.27049142122651e-10	0.227822346315586	UP
VCAN		0.00531740285559644	0.0437614463949132	0.22751192199067	UP
PLCB2		1.56976271130611e-06	5.38452575820917e-05	0.227323485330327	UP
BEST1		4.14144232639944e-06	0.000121988257241289	0.227047209189715	UP
ARHGAP4		1.31237605100505e-09	1.29453705567612e-07	0.225661706854149	UP
APBB1IP		1.77639094885865e-06	5.98665954652226e-05	0.224443840481499	UP
CECR6		4.33367166024048e-07	1.84290412668365e-05	0.223278592626732	UP
SCO2		0.00011478224792975	0.00197236723163415	0.223163796781812	UP
LOC729021		0.00101589580664118	0.0115910143219859	0.22289479967168	UP
ATP6AP1		1.27351594219218e-08	9.0118801358119e-07	0.222530689375953	UP
CPEB4		1.17088763060163e-07	5.96754279936684e-06	0.22156708596977	UP
ABTB1		1.9653140772782e-06	6.50943892352551e-05	0.221542225416838	UP
CFLAR		0.000138119307121428	0.00229300162518523	0.221000051382774	UP
ANPEP		0.00118534398315518	0.0132112687597547	0.220971181074999	UP
FAM39E		7.91663355624843e-08	4.32065500627559e-06	0.220503880199955	UP
DGKQ		3.63909390431885e-08	2.20480024167057e-06	0.220290561519493	UP
MICAL1		1.62450936688756e-08	1.13174152559833e-06	0.219645539122613	UP
TBXAS1		3.89612232336682e-07	1.69151938744433e-05	0.218872426601115	UP
PIK3CD		7.16854349181831e-07	2.82147592821771e-05	0.217447463861321	UP
LOC728417		9.46240110551481e-07	3.55810036549212e-05	0.217423182746485	UP
LRCH4		5.7181992441186e-09	4.56119437339295e-07	0.216610111638342	UP
MAST3		6.09676327305052e-06	0.000167900750362324	0.216278452903687	UP
LOC642103		0.00037211896791853	0.00516883023907856	0.215051678367676	UP
C14ORF159		1.27802099347795e-08	9.02008481810446e-07	0.214390706307091	UP
TMEM8		7.07513054966039e-07	2.79286375914193e-05	0.213741239469805	UP
KLF6		4.82769725810426e-10	5.64364782335293e-08	0.213302588399131	UP
NXF1		6.66111711119212e-11	1.15122037458238e-08	0.213207644432234	UP
KLHDC8B		4.76806036833408e-07	2.00236254814104e-05	0.21238664820565	UP
CYP4F3		0.00110501163379668	0.0124341480211987	0.21218679147111	UP
SBF1		9.06736364901099e-09	6.79069975947181e-07	0.211660836908491	UP
RNF24		0.000700238895956483	0.00860344045126007	0.211539658431072	UP
TRABD		4.83784717298263e-10	5.64364782335293e-08	0.210812516622026	UP
FLJ42957		3.24951299464772e-06	9.93312016425138e-05	0.210642470779437	UP
CA4		0.000983863973186895	0.0113213643111788	0.209467943280513	UP
CLCN7		1.37189157397722e-06	4.82866432454305e-05	0.208590167257126	UP
HLA-H		1.23013383075497e-05	0.000302330339206789	0.208399540907426	UP
SRRM2		2.96977808859304e-06	9.19267359891583e-05	0.208052901574227	UP
SLC12A9		5.97662754027418e-07	2.41221339990018e-05	0.207787080375752	UP
CRIPAK		2.57803714433567e-05	0.000562805339663434	0.20770950545074	UP
ANKRD13D		5.52549449761233e-10	6.25936374580362e-08	0.207192076865454	UP
DUSP1		0.00100478195507052	0.0115227249215892	0.205963591955081	UP
FPR2		0.00172530274431602	0.0179598020422796	0.205598274239435	UP
GBA		6.68030618821128e-08	3.7635965661406e-06	0.20538893654566	UP
CECR1		7.15397250726127e-05	0.00133479759701226	0.205382079637442	UP
ALOX5		5.81646513367435e-06	0.000161335099247936	0.205337947843082	UP
MYBPC3		9.40630053453452e-10	9.71660033377721e-08	0.205175839031686	UP
STXBP2		3.64775191879243e-06	0.000109274488313958	0.204141134864933	UP
CEBPB		1.91573749230666e-05	0.000436972914806091	0.20403455910202	UP
LOC653158		0.000160729203367914	0.00257788224390383	0.203250179316822	UP
FPR1		8.56585546807335e-05	0.00155100086819829	0.202393580264779	UP
SGSM2		8.25436709592101e-07	3.18377669918636e-05	0.202320650214281	UP
SOLH		1.14301693939693e-06	4.14762849301221e-05	0.202243312949062	UP
STAT2		0.000131694191345737	0.0022055642839882	0.201842657101491	UP
HS.347034		4.18118973963123e-05	0.000843780363549384	0.20167885315421	UP
TSPAN32		7.60178385669275e-08	4.19982980656339e-06	0.201455924499566	UP
ICAM3		1.74582328772098e-05	0.000403680460207935	0.201399018210957	UP
TIMP1		6.11921806408572e-05	0.0011700726115306	0.200938218118283	UP
PGS1		2.28242718453912e-06	7.40441639058677e-05	0.200295824778332	UP
ECGF1		6.78521567282383e-05	0.00127867267546508	0.200032887944415	UP
DEF8		2.46594109865107e-08	1.61369509613426e-06	0.199983034922777	UP
HS.371006		2.95491350462598e-08	1.85470202462345e-06	0.199656372903297	UP
XPO6		4.47530115454308e-05	0.000888497432924678	0.199485300374711	UP
FLOT1		3.16292846148136e-05	0.000667259109937393	0.199432753032358	UP
ELF4		1.63689874654656e-08	1.13743368828974e-06	0.199426333362002	UP
C9ORF164		5.43100909044962e-06	0.000151893605900013	0.199418839322453	UP
FGD3		5.8827187496333e-07	2.37816930908185e-05	0.19937812955707	UP
LILRA5		8.57165928835473e-06	0.000223012491009418	0.19833094364629	UP
CCDC130		5.88382516201042e-08	3.36802144783361e-06	0.198298143728204	UP
C11ORF56		1.40831701077885e-10	2.12120865517367e-08	0.198148662015551	UP
TLR5		0.0001007691009197	0.00177511443219905	0.197717377298348	UP
PITPNM1		1.08564718056597e-06	3.99865213596163e-05	0.197574900814839	UP
TBC1D10C		1.59709838964518e-09	1.5161749888459e-07	0.197408681891265	UP
FAM126B		1.06463224996168e-06	3.94279534220012e-05	0.197329522471723	UP
FAM53C		1.4914956798587e-05	0.00035398076606224	0.197238253431296	UP
TRIM25		8.00098690913339e-05	0.00146644872914443	0.196736898080015	UP
